"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95429500000E+006, +2.80972389759E-001, +0.00000000000E+000
+4.95429531250E+006, +2.80288952277E-001, +0.00000000000E+000
+4.95429562500E+006, +2.80364465743E-001, +0.00000000000E+000
+4.95429593750E+006, +2.80300625041E-001, +0.00000000000E+000
+4.95429625000E+006, +2.80287067385E-001, +0.00000000000E+000
+4.95429656250E+006, +2.80282617224E-001, +0.00000000000E+000
+4.95429687500E+006, +2.80212580518E-001, +0.00000000000E+000
+4.95429718750E+006, +2.80200307291E-001, +0.00000000000E+000
+4.95429750000E+006, +2.80181978234E-001, +0.00000000000E+000
+4.95429781250E+006, +2.80120327509E-001, +0.00000000000E+000
+4.95429812500E+006, +2.80050540065E-001, +0.00000000000E+000
+4.95429843750E+006, +2.80035308673E-001, +0.00000000000E+000
+4.95429875000E+006, +2.80003863621E-001, +0.00000000000E+000
+4.95429906250E+006, +2.79935312935E-001, +0.00000000000E+000
+4.95429937500E+006, +2.79888830068E-001, +0.00000000000E+000
+4.95429968750E+006, +2.79858417926E-001, +0.00000000000E+000
+4.95430000000E+006, +2.79807278813E-001, +0.00000000000E+000
+4.95430031250E+006, +2.79780360615E-001, +0.00000000000E+000
+4.95430062500E+006, +2.79756407309E-001, +0.00000000000E+000
+4.95430093750E+006, +2.79711592711E-001, +0.00000000000E+000
+4.95430125000E+006, +2.79650727397E-001, +0.00000000000E+000
+4.95430156250E+006, +2.79627270912E-001, +0.00000000000E+000
+4.95430187500E+006, +2.79581811359E-001, +0.00000000000E+000
+4.95430218750E+006, +2.79547314016E-001, +0.00000000000E+000
+4.95430250000E+006, +2.79497279464E-001, +0.00000000000E+000
+4.95430281250E+006, +2.79463489207E-001, +0.00000000000E+000
+4.95430312500E+006, +2.79420172359E-001, +0.00000000000E+000
+4.95430343750E+006, +2.79386563764E-001, +0.00000000000E+000
+4.95430375000E+006, +2.79378787234E-001, +0.00000000000E+000
+4.95430406250E+006, +2.79335708825E-001, +0.00000000000E+000
+4.95430437500E+006, +2.79277971600E-001, +0.00000000000E+000
+4.95430468750E+006, +2.79236650504E-001, +0.00000000000E+000
+4.95430500000E+006, +2.79214307079E-001, +0.00000000000E+000
+4.95430531250E+006, +2.79169635086E-001, +0.00000000000E+000
+4.95430562500E+006, +2.79090427835E-001, +0.00000000000E+000
+4.95430593750E+006, +2.79075055683E-001, +0.00000000000E+000
+4.95430625000E+006, +2.79047972364E-001, +0.00000000000E+000
+4.95430656250E+006, +2.78975185395E-001, +0.00000000000E+000
+4.95430687500E+006, +2.78925860921E-001, +0.00000000000E+000
+4.95430718750E+006, +2.78927062933E-001, +0.00000000000E+000
+4.95430750000E+006, +2.78865874091E-001, +0.00000000000E+000
+4.95430781250E+006, +2.78807757503E-001, +0.00000000000E+000
+4.95430812500E+006, +2.78779766551E-001, +0.00000000000E+000
+4.95430843750E+006, +2.78753232016E-001, +0.00000000000E+000
+4.95430875000E+006, +2.78666458806E-001, +0.00000000000E+000
+4.95430906250E+006, +2.78623778318E-001, +0.00000000000E+000
+4.95430937500E+006, +2.78621450354E-001, +0.00000000000E+000
+4.95430968750E+006, +2.78576956814E-001, +0.00000000000E+000
+4.95431000000E+006, +2.78540122503E-001, +0.00000000000E+000
+4.95431031250E+006, +2.78482645271E-001, +0.00000000000E+000
+4.95431062500E+006, +2.78452817904E-001, +0.00000000000E+000
+4.95431093750E+006, +2.78393922110E-001, +0.00000000000E+000
+4.95431125000E+006, +2.78346847304E-001, +0.00000000000E+000
+4.95431156250E+006, +2.78299902305E-001, +0.00000000000E+000
+4.95431187500E+006, +2.78277219157E-001, +0.00000000000E+000
+4.95431218750E+006, +2.78221786250E-001, +0.00000000000E+000
+4.95431250000E+006, +2.78175548831E-001, +0.00000000000E+000
+4.95431281250E+006, +2.78143675707E-001, +0.00000000000E+000
+4.95431312500E+006, +2.78099215031E-001, +0.00000000000E+000
+4.95431343750E+006, +2.78076386605E-001, +0.00000000000E+000
+4.95431375000E+006, +2.78029565350E-001, +0.00000000000E+000
+4.95431406250E+006, +2.77975873060E-001, +0.00000000000E+000
+4.95431437500E+006, +2.77933558080E-001, +0.00000000000E+000
+4.95431468750E+006, +2.77894606957E-001, +0.00000000000E+000
+4.95431500000E+006, +2.77806969026E-001, +0.00000000000E+000
+4.95431531250E+006, +2.77768563944E-001, +0.00000000000E+000
+4.95431562500E+006, +2.77706698556E-001, +0.00000000000E+000
+4.95431593750E+006, +2.77664450087E-001, +0.00000000000E+000
+4.95431625000E+006, +2.77620603779E-001, +0.00000000000E+000
+4.95431656250E+006, +2.77594422327E-001, +0.00000000000E+000
+4.95431687500E+006, +2.77520175043E-001, +0.00000000000E+000
+4.95431718750E+006, +2.77445990461E-001, +0.00000000000E+000
+4.95431750000E+006, +2.77428042159E-001, +0.00000000000E+000
+4.95431781250E+006, +2.77405321695E-001, +0.00000000000E+000
+4.95431812500E+006, +2.77347592705E-001, +0.00000000000E+000
+4.95431843750E+006, +2.77298887729E-001, +0.00000000000E+000
+4.95431875000E+006, +2.77297601424E-001, +0.00000000000E+000
+4.95431906250E+006, +2.77240917508E-001, +0.00000000000E+000
+4.95431937500E+006, +2.77186429084E-001, +0.00000000000E+000
+4.95431968750E+006, +2.77168754981E-001, +0.00000000000E+000
+4.95432000000E+006, +2.77126673859E-001, +0.00000000000E+000
+4.95432031250E+006, +2.77081164818E-001, +0.00000000000E+000
+4.95432062500E+006, +2.77021324954E-001, +0.00000000000E+000
+4.95432093750E+006, +2.76986682741E-001, +0.00000000000E+000
+4.95432125000E+006, +2.76905925421E-001, +0.00000000000E+000
+4.95432156250E+006, +2.76883054041E-001, +0.00000000000E+000
+4.95432187500E+006, +2.76834183460E-001, +0.00000000000E+000
+4.95432218750E+006, +2.76775155374E-001, +0.00000000000E+000
+4.95432250000E+006, +2.76727496899E-001, +0.00000000000E+000
+4.95432281250E+006, +2.76711157572E-001, +0.00000000000E+000
+4.95432312500E+006, +2.76658601697E-001, +0.00000000000E+000
+4.95432343750E+006, +2.76599185039E-001, +0.00000000000E+000
+4.95432375000E+006, +2.76581356963E-001, +0.00000000000E+000
+4.95432406250E+006, +2.76564942452E-001, +0.00000000000E+000
+4.95432437500E+006, +2.76464047392E-001, +0.00000000000E+000
+4.95432468750E+006, +2.76420198748E-001, +0.00000000000E+000
+4.95432500000E+006, +2.76406402612E-001, +0.00000000000E+000
+4.95432531250E+006, +2.76343391347E-001, +0.00000000000E+000
+4.95432562500E+006, +2.76288673680E-001, +0.00000000000E+000
+4.95432593750E+006, +2.76262798336E-001, +0.00000000000E+000
+4.95432625000E+006, +2.76216623096E-001, +0.00000000000E+000
+4.95432656250E+006, +2.76135188163E-001, +0.00000000000E+000
+4.95432687500E+006, +2.76100873400E-001, +0.00000000000E+000
+4.95432718750E+006, +2.76062121040E-001, +0.00000000000E+000
+4.95432750000E+006, +2.76021633238E-001, +0.00000000000E+000
+4.95432781250E+006, +2.75969087996E-001, +0.00000000000E+000
+4.95432812500E+006, +2.75934455627E-001, +0.00000000000E+000
+4.95432843750E+006, +2.75895895697E-001, +0.00000000000E+000
+4.95432875000E+006, +2.75854189634E-001, +0.00000000000E+000
+4.95432906250E+006, +2.75793060549E-001, +0.00000000000E+000
+4.95432937500E+006, +2.75743889295E-001, +0.00000000000E+000
+4.95432968750E+006, +2.75714647548E-001, +0.00000000000E+000
+4.95433000000E+006, +2.75678850863E-001, +0.00000000000E+000
+4.95433031250E+006, +2.75603185377E-001, +0.00000000000E+000
+4.95433062500E+006, +2.75553899873E-001, +0.00000000000E+000
+4.95433093750E+006, +2.75514867198E-001, +0.00000000000E+000
+4.95433125000E+006, +2.75470824180E-001, +0.00000000000E+000
+4.95433156250E+006, +2.75421121631E-001, +0.00000000000E+000
+4.95433187500E+006, +2.75367810231E-001, +0.00000000000E+000
+4.95433218750E+006, +2.75322078103E-001, +0.00000000000E+000
+4.95433250000E+006, +2.75299959229E-001, +0.00000000000E+000
+4.95433281250E+006, +2.75248668024E-001, +0.00000000000E+000
+4.95433312500E+006, +2.75182123987E-001, +0.00000000000E+000
+4.95433343750E+006, +2.75157792898E-001, +0.00000000000E+000
+4.95433375000E+006, +2.75114699310E-001, +0.00000000000E+000
+4.95433406250E+006, +2.75042596389E-001, +0.00000000000E+000
+4.95433437500E+006, +2.75009108563E-001, +0.00000000000E+000
+4.95433468750E+006, +2.74980708019E-001, +0.00000000000E+000
+4.95433500000E+006, +2.74900342242E-001, +0.00000000000E+000
+4.95433531250E+006, +2.74830444099E-001, +0.00000000000E+000
+4.95433562500E+006, +2.74799855136E-001, +0.00000000000E+000
+4.95433593750E+006, +2.74749434093E-001, +0.00000000000E+000
+4.95433625000E+006, +2.74697336303E-001, +0.00000000000E+000
+4.95433656250E+006, +2.74652677913E-001, +0.00000000000E+000
+4.95433687500E+006, +2.74626091178E-001, +0.00000000000E+000
+4.95433718750E+006, +2.74588279131E-001, +0.00000000000E+000
+4.95433750000E+006, +2.74541978677E-001, +0.00000000000E+000
+4.95433781250E+006, +2.74500762496E-001, +0.00000000000E+000
+4.95433812500E+006, +2.74471259092E-001, +0.00000000000E+000
+4.95433843750E+006, +2.74431143536E-001, +0.00000000000E+000
+4.95433875000E+006, +2.74411235591E-001, +0.00000000000E+000
+4.95433906250E+006, +2.74343804518E-001, +0.00000000000E+000
+4.95433937500E+006, +2.74284921445E-001, +0.00000000000E+000
+4.95433968750E+006, +2.74247714229E-001, +0.00000000000E+000
+4.95434000000E+006, +2.74214697383E-001, +0.00000000000E+000
+4.95434031250E+006, +2.74155682542E-001, +0.00000000000E+000
+4.95434062500E+006, +2.74114005371E-001, +0.00000000000E+000
+4.95434093750E+006, +2.74078185673E-001, +0.00000000000E+000
+4.95434125000E+006, +2.74049321801E-001, +0.00000000000E+000
