"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95429500000E+006, -6.42307527299E+001, +0.00000000000E+000
+4.95429531250E+006, -6.07846371915E+001, +0.00000000000E+000
+4.95429562500E+006, -6.08898392438E+001, +0.00000000000E+000
+4.95429593750E+006, -6.09777273002E+001, +0.00000000000E+000
+4.95429625000E+006, -6.10626014386E+001, +0.00000000000E+000
+4.95429656250E+006, -6.11411050837E+001, +0.00000000000E+000
+4.95429687500E+006, -6.12246439737E+001, +0.00000000000E+000
+4.95429718750E+006, -6.13048838455E+001, +0.00000000000E+000
+4.95429750000E+006, -6.13875066435E+001, +0.00000000000E+000
+4.95429781250E+006, -6.14699535210E+001, +0.00000000000E+000
+4.95429812500E+006, -6.15475626079E+001, +0.00000000000E+000
+4.95429843750E+006, -6.16287333666E+001, +0.00000000000E+000
+4.95429875000E+006, -6.17125569803E+001, +0.00000000000E+000
+4.95429906250E+006, -6.17973074897E+001, +0.00000000000E+000
+4.95429937500E+006, -6.18777581040E+001, +0.00000000000E+000
+4.95429968750E+006, -6.19598711247E+001, +0.00000000000E+000
+4.95430000000E+006, -6.20470479611E+001, +0.00000000000E+000
+4.95430031250E+006, -6.21267977884E+001, +0.00000000000E+000
+4.95430062500E+006, -6.22094314323E+001, +0.00000000000E+000
+4.95430093750E+006, -6.22961976303E+001, +0.00000000000E+000
+4.95430125000E+006, -6.23817770145E+001, +0.00000000000E+000
+4.95430156250E+006, -6.24635142957E+001, +0.00000000000E+000
+4.95430187500E+006, -6.25535931161E+001, +0.00000000000E+000
+4.95430218750E+006, -6.26383408840E+001, +0.00000000000E+000
+4.95430250000E+006, -6.27209015774E+001, +0.00000000000E+000
+4.95430281250E+006, -6.28060897616E+001, +0.00000000000E+000
+4.95430312500E+006, -6.28928428180E+001, +0.00000000000E+000
+4.95430343750E+006, -6.29742958907E+001, +0.00000000000E+000
+4.95430375000E+006, -6.30634591517E+001, +0.00000000000E+000
+4.95430406250E+006, -6.31511944638E+001, +0.00000000000E+000
+4.95430437500E+006, -6.32315414964E+001, +0.00000000000E+000
+4.95430468750E+006, -6.33222886896E+001, +0.00000000000E+000
+4.95430500000E+006, -6.34139893109E+001, +0.00000000000E+000
+4.95430531250E+006, -6.34967770646E+001, +0.00000000000E+000
+4.95430562500E+006, -6.35886506973E+001, +0.00000000000E+000
+4.95430593750E+006, -6.36867681075E+001, +0.00000000000E+000
+4.95430625000E+006, -6.37676130205E+001, +0.00000000000E+000
+4.95430656250E+006, -6.38536220135E+001, +0.00000000000E+000
+4.95430687500E+006, -6.39470991248E+001, +0.00000000000E+000
+4.95430718750E+006, -6.40383196061E+001, +0.00000000000E+000
+4.95430750000E+006, -6.41176323062E+001, +0.00000000000E+000
+4.95430781250E+006, -6.42116524861E+001, +0.00000000000E+000
+4.95430812500E+006, -6.43103934105E+001, +0.00000000000E+000
+4.95430843750E+006, -6.43970331017E+001, +0.00000000000E+000
+4.95430875000E+006, -6.44851542677E+001, +0.00000000000E+000
+4.95430906250E+006, -6.45804084765E+001, +0.00000000000E+000
+4.95430937500E+006, -6.46695044287E+001, +0.00000000000E+000
+4.95430968750E+006, -6.47605438229E+001, +0.00000000000E+000
+4.95431000000E+006, -6.48518746596E+001, +0.00000000000E+000
+4.95431031250E+006, -6.49447854533E+001, +0.00000000000E+000
+4.95431062500E+006, -6.50332973975E+001, +0.00000000000E+000
+4.95431093750E+006, -6.51350537578E+001, +0.00000000000E+000
+4.95431125000E+006, -6.52336275257E+001, +0.00000000000E+000
+4.95431156250E+006, -6.53195248167E+001, +0.00000000000E+000
+4.95431187500E+006, -6.54185646057E+001, +0.00000000000E+000
+4.95431218750E+006, -6.55169695532E+001, +0.00000000000E+000
+4.95431250000E+006, -6.56109710251E+001, +0.00000000000E+000
+4.95431281250E+006, -6.56965062244E+001, +0.00000000000E+000
+4.95431312500E+006, -6.57960564092E+001, +0.00000000000E+000
+4.95431343750E+006, -6.58940992314E+001, +0.00000000000E+000
+4.95431375000E+006, -6.59896582193E+001, +0.00000000000E+000
+4.95431406250E+006, -6.60833682484E+001, +0.00000000000E+000
+4.95431437500E+006, -6.61826039410E+001, +0.00000000000E+000
+4.95431468750E+006, -6.62775857988E+001, +0.00000000000E+000
+4.95431500000E+006, -6.63775752646E+001, +0.00000000000E+000
+4.95431531250E+006, -6.64732033216E+001, +0.00000000000E+000
+4.95431562500E+006, -6.65729707875E+001, +0.00000000000E+000
+4.95431593750E+006, -6.66698834092E+001, +0.00000000000E+000
+4.95431625000E+006, -6.67658071297E+001, +0.00000000000E+000
+4.95431656250E+006, -6.68738038367E+001, +0.00000000000E+000
+4.95431687500E+006, -6.69752847274E+001, +0.00000000000E+000
+4.95431718750E+006, -6.70693267002E+001, +0.00000000000E+000
+4.95431750000E+006, -6.71685074264E+001, +0.00000000000E+000
+4.95431781250E+006, -6.72718941095E+001, +0.00000000000E+000
+4.95431812500E+006, -6.73720789818E+001, +0.00000000000E+000
+4.95431843750E+006, -6.74666033586E+001, +0.00000000000E+000
+4.95431875000E+006, -6.75632269577E+001, +0.00000000000E+000
+4.95431906250E+006, -6.76717611906E+001, +0.00000000000E+000
+4.95431937500E+006, -6.77698505138E+001, +0.00000000000E+000
+4.95431968750E+006, -6.78809447515E+001, +0.00000000000E+000
+4.95432000000E+006, -6.79847433724E+001, +0.00000000000E+000
+4.95432031250E+006, -6.80981010735E+001, +0.00000000000E+000
+4.95432062500E+006, -6.82203987856E+001, +0.00000000000E+000
+4.95432093750E+006, -6.83260681605E+001, +0.00000000000E+000
+4.95432125000E+006, -6.84152492601E+001, +0.00000000000E+000
+4.95432156250E+006, -6.85178488130E+001, +0.00000000000E+000
+4.95432187500E+006, -6.86277488255E+001, +0.00000000000E+000
+4.95432218750E+006, -6.87316191463E+001, +0.00000000000E+000
+4.95432250000E+006, -6.88308542888E+001, +0.00000000000E+000
+4.95432281250E+006, -6.89400531905E+001, +0.00000000000E+000
+4.95432312500E+006, -6.90663107166E+001, +0.00000000000E+000
+4.95432343750E+006, -6.91641186059E+001, +0.00000000000E+000
+4.95432375000E+006, -6.92764396256E+001, +0.00000000000E+000
+4.95432406250E+006, -6.94003985679E+001, +0.00000000000E+000
+4.95432437500E+006, -6.95011345508E+001, +0.00000000000E+000
+4.95432468750E+006, -6.95972876000E+001, +0.00000000000E+000
