"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95404500000E+006, +3.83286136174E-001, +0.00000000000E+000
+4.95405000000E+006, +3.83859148769E-001, +0.00000000000E+000
+4.95405500000E+006, +3.83706819481E-001, +0.00000000000E+000
+4.95406000000E+006, +3.83540445247E-001, +0.00000000000E+000
+4.95406500000E+006, +3.83435525048E-001, +0.00000000000E+000
+4.95407000000E+006, +3.83290973632E-001, +0.00000000000E+000
+4.95407500000E+006, +3.83098951535E-001, +0.00000000000E+000
+4.95408000000E+006, +3.82950974391E-001, +0.00000000000E+000
+4.95408500000E+006, +3.82806500415E-001, +0.00000000000E+000
+4.95409000000E+006, +3.82642939328E-001, +0.00000000000E+000
+4.95409500000E+006, +3.82466496407E-001, +0.00000000000E+000
+4.95410000000E+006, +3.82351538636E-001, +0.00000000000E+000
+4.95410500000E+006, +3.82182939998E-001, +0.00000000000E+000
+4.95411000000E+006, +3.81973905343E-001, +0.00000000000E+000
+4.95411500000E+006, +3.81777602344E-001, +0.00000000000E+000
+4.95412000000E+006, +3.81621042456E-001, +0.00000000000E+000
+4.95412500000E+006, +3.81444097122E-001, +0.00000000000E+000
+4.95413000000E+006, +3.81212493159E-001, +0.00000000000E+000
+4.95413500000E+006, +3.81015599830E-001, +0.00000000000E+000
+4.95414000000E+006, +3.80828475690E-001, +0.00000000000E+000
+4.95414500000E+006, +3.80635382108E-001, +0.00000000000E+000
+4.95415000000E+006, +3.80437498459E-001, +0.00000000000E+000
+4.95415500000E+006, +3.80222359707E-001, +0.00000000000E+000
+4.95416000000E+006, +3.79940550701E-001, +0.00000000000E+000
+4.95416500000E+006, +3.79694912182E-001, +0.00000000000E+000
+4.95417000000E+006, +3.79386791462E-001, +0.00000000000E+000
+4.95417500000E+006, +3.79128519841E-001, +0.00000000000E+000
+4.95418000000E+006, +3.78873042557E-001, +0.00000000000E+000
+4.95418500000E+006, +3.78607860594E-001, +0.00000000000E+000
+4.95419000000E+006, +3.78353022815E-001, +0.00000000000E+000
+4.95419500000E+006, +3.78087738072E-001, +0.00000000000E+000
+4.95420000000E+006, +3.77840970286E-001, +0.00000000000E+000
+4.95420500000E+006, +3.77542948667E-001, +0.00000000000E+000
+4.95421000000E+006, +3.77204567078E-001, +0.00000000000E+000
+4.95421500000E+006, +3.76918672063E-001, +0.00000000000E+000
+4.95422000000E+006, +3.76606739242E-001, +0.00000000000E+000
+4.95422500000E+006, +3.76309529257E-001, +0.00000000000E+000
+4.95423000000E+006, +3.75967407321E-001, +0.00000000000E+000
+4.95423500000E+006, +3.75628641144E-001, +0.00000000000E+000
+4.95424000000E+006, +3.75245614705E-001, +0.00000000000E+000
+4.95424500000E+006, +3.74833484841E-001, +0.00000000000E+000
+4.95425000000E+006, +3.74467145306E-001, +0.00000000000E+000
+4.95425500000E+006, +3.74139305946E-001, +0.00000000000E+000
+4.95426000000E+006, +3.73749579733E-001, +0.00000000000E+000
+4.95426500000E+006, +3.73356339912E-001, +0.00000000000E+000
+4.95427000000E+006, +3.72905680128E-001, +0.00000000000E+000
+4.95427500000E+006, +3.72436698201E-001, +0.00000000000E+000
+4.95428000000E+006, +3.72001580350E-001, +0.00000000000E+000
+4.95428500000E+006, +3.71572173795E-001, +0.00000000000E+000
+4.95429000000E+006, +3.71094566347E-001, +0.00000000000E+000
+4.95429500000E+006, +3.70576110570E-001, +0.00000000000E+000
+4.95430000000E+006, +3.70090241101E-001, +0.00000000000E+000
+4.95430500000E+006, +3.69529288881E-001, +0.00000000000E+000
+4.95431000000E+006, +3.68981690428E-001, +0.00000000000E+000
+4.95431500000E+006, +3.68427800287E-001, +0.00000000000E+000
+4.95432000000E+006, +3.67791760757E-001, +0.00000000000E+000
+4.95432500000E+006, +3.67182982669E-001, +0.00000000000E+000
+4.95433000000E+006, +3.66558687600E-001, +0.00000000000E+000
+4.95433500000E+006, +3.65948339819E-001, +0.00000000000E+000
+4.95434000000E+006, +3.65293125742E-001, +0.00000000000E+000
+4.95434500000E+006, +3.64614637118E-001, +0.00000000000E+000
+4.95435000000E+006, +3.63876152879E-001, +0.00000000000E+000
+4.95435500000E+006, +3.63091855105E-001, +0.00000000000E+000
+4.95436000000E+006, +3.62349818544E-001, +0.00000000000E+000
+4.95436500000E+006, +3.61589153160E-001, +0.00000000000E+000
+4.95437000000E+006, +3.60790470458E-001, +0.00000000000E+000
+4.95437500000E+006, +3.59982478984E-001, +0.00000000000E+000
+4.95438000000E+006, +3.59187311783E-001, +0.00000000000E+000
+4.95438500000E+006, +3.58353872434E-001, +0.00000000000E+000
+4.95439000000E+006, +3.57561380878E-001, +0.00000000000E+000
+4.95439500000E+006, +3.56713044395E-001, +0.00000000000E+000
+4.95440000000E+006, +3.55890901021E-001, +0.00000000000E+000
+4.95440500000E+006, +3.55080951610E-001, +0.00000000000E+000
+4.95441000000E+006, +3.54293786148E-001, +0.00000000000E+000
+4.95441500000E+006, +3.53604387803E-001, +0.00000000000E+000
+4.95442000000E+006, +3.53009691335E-001, +0.00000000000E+000
+4.95442500000E+006, +3.52546029764E-001, +0.00000000000E+000
+4.95443000000E+006, +3.52288809925E-001, +0.00000000000E+000
+4.95443500000E+006, +3.52248799111E-001, +0.00000000000E+000
+4.95444000000E+006, +3.52466063625E-001, +0.00000000000E+000
+4.95444500000E+006, +3.53034255681E-001, +0.00000000000E+000
+4.95445000000E+006, +3.53997744517E-001, +0.00000000000E+000
+4.95445500000E+006, +3.55523169086E-001, +0.00000000000E+000
+4.95446000000E+006, +3.57632655795E-001, +0.00000000000E+000
+4.95446500000E+006, +3.60411510622E-001, +0.00000000000E+000
+4.95447000000E+006, +3.63956657683E-001, +0.00000000000E+000
+4.95447500000E+006, +3.68352285075E-001, +0.00000000000E+000
+4.95448000000E+006, +3.73596930614E-001, +0.00000000000E+000
+4.95448500000E+006, +3.79694401803E-001, +0.00000000000E+000
+4.95449000000E+006, +3.86530765634E-001, +0.00000000000E+000
+4.95449500000E+006, +3.93973753017E-001, +0.00000000000E+000
