"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95404500000E+006, -3.15826815771E+001, +0.00000000000E+000
+4.95405000000E+006, -3.17058831763E+001, +0.00000000000E+000
+4.95405500000E+006, -3.18771353694E+001, +0.00000000000E+000
+4.95406000000E+006, -3.20520067888E+001, +0.00000000000E+000
+4.95406500000E+006, -3.22302557657E+001, +0.00000000000E+000
+4.95407000000E+006, -3.24116128359E+001, +0.00000000000E+000
+4.95407500000E+006, -3.25998536866E+001, +0.00000000000E+000
+4.95408000000E+006, -3.27906583438E+001, +0.00000000000E+000
+4.95408500000E+006, -3.29851999004E+001, +0.00000000000E+000
+4.95409000000E+006, -3.31850456261E+001, +0.00000000000E+000
+4.95409500000E+006, -3.33900248265E+001, +0.00000000000E+000
+4.95410000000E+006, -3.35989905887E+001, +0.00000000000E+000
+4.95410500000E+006, -3.38125456989E+001, +0.00000000000E+000
+4.95411000000E+006, -3.40316421091E+001, +0.00000000000E+000
+4.95411500000E+006, -3.42561627978E+001, +0.00000000000E+000
+4.95412000000E+006, -3.44859923850E+001, +0.00000000000E+000
+4.95412500000E+006, -3.47213436783E+001, +0.00000000000E+000
+4.95413000000E+006, -3.49630415899E+001, +0.00000000000E+000
+4.95413500000E+006, -3.52106512238E+001, +0.00000000000E+000
+4.95414000000E+006, -3.54650815078E+001, +0.00000000000E+000
+4.95414500000E+006, -3.57262375837E+001, +0.00000000000E+000
+4.95415000000E+006, -3.59941068408E+001, +0.00000000000E+000
+4.95415500000E+006, -3.62689630819E+001, +0.00000000000E+000
+4.95416000000E+006, -3.65511778285E+001, +0.00000000000E+000
+4.95416500000E+006, -3.68416715330E+001, +0.00000000000E+000
+4.95417000000E+006, -3.71400712566E+001, +0.00000000000E+000
+4.95417500000E+006, -3.74473729189E+001, +0.00000000000E+000
+4.95418000000E+006, -3.77628428936E+001, +0.00000000000E+000
+4.95418500000E+006, -3.80874768105E+001, +0.00000000000E+000
+4.95419000000E+006, -3.84214973787E+001, +0.00000000000E+000
+4.95419500000E+006, -3.87658115140E+001, +0.00000000000E+000
+4.95420000000E+006, -3.91201315636E+001, +0.00000000000E+000
+4.95420500000E+006, -3.94859538702E+001, +0.00000000000E+000
+4.95421000000E+006, -3.98630975944E+001, +0.00000000000E+000
+4.95421500000E+006, -4.02532594534E+001, +0.00000000000E+000
+4.95422000000E+006, -4.06536496091E+001, +0.00000000000E+000
+4.95422500000E+006, -4.10683975030E+001, +0.00000000000E+000
+4.95423000000E+006, -4.14967989847E+001, +0.00000000000E+000
+4.95423500000E+006, -4.19403975031E+001, +0.00000000000E+000
+4.95424000000E+006, -4.23972570072E+001, +0.00000000000E+000
