"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95404500000E+006, +2.83258642479E-001, +0.00000000000E+000
+4.95405000000E+006, +2.83479875426E-001, +0.00000000000E+000
+4.95405500000E+006, +2.83391657831E-001, +0.00000000000E+000
+4.95406000000E+006, +2.83286142976E-001, +0.00000000000E+000
+4.95406500000E+006, +2.83170644985E-001, +0.00000000000E+000
+4.95407000000E+006, +2.83063385584E-001, +0.00000000000E+000
+4.95407500000E+006, +2.82954284845E-001, +0.00000000000E+000
+4.95408000000E+006, +2.82840457860E-001, +0.00000000000E+000
+4.95408500000E+006, +2.82722049033E-001, +0.00000000000E+000
+4.95409000000E+006, +2.82603759040E-001, +0.00000000000E+000
+4.95409500000E+006, +2.82495678764E-001, +0.00000000000E+000
+4.95410000000E+006, +2.82389737614E-001, +0.00000000000E+000
+4.95410500000E+006, +2.82260723702E-001, +0.00000000000E+000
+4.95411000000E+006, +2.82141051940E-001, +0.00000000000E+000
+4.95411500000E+006, +2.82025085599E-001, +0.00000000000E+000
+4.95412000000E+006, +2.81916954625E-001, +0.00000000000E+000
+4.95412500000E+006, +2.81757423214E-001, +0.00000000000E+000
+4.95413000000E+006, +2.81632980164E-001, +0.00000000000E+000
+4.95413500000E+006, +2.81499282323E-001, +0.00000000000E+000
+4.95414000000E+006, +2.81370818039E-001, +0.00000000000E+000
+4.95414500000E+006, +2.81230923077E-001, +0.00000000000E+000
+4.95415000000E+006, +2.81092538451E-001, +0.00000000000E+000
+4.95415500000E+006, +2.80955031210E-001, +0.00000000000E+000
+4.95416000000E+006, +2.80816876016E-001, +0.00000000000E+000
+4.95416500000E+006, +2.80652625706E-001, +0.00000000000E+000
+4.95417000000E+006, +2.80514916502E-001, +0.00000000000E+000
+4.95417500000E+006, +2.80369224460E-001, +0.00000000000E+000
+4.95418000000E+006, +2.80211208052E-001, +0.00000000000E+000
+4.95418500000E+006, +2.80053816141E-001, +0.00000000000E+000
+4.95419000000E+006, +2.79915731899E-001, +0.00000000000E+000
+4.95419500000E+006, +2.79753898343E-001, +0.00000000000E+000
+4.95420000000E+006, +2.79600756187E-001, +0.00000000000E+000
+4.95420500000E+006, +2.79447899754E-001, +0.00000000000E+000
+4.95421000000E+006, +2.79275459191E-001, +0.00000000000E+000
+4.95421500000E+006, +2.79115281135E-001, +0.00000000000E+000
+4.95422000000E+006, +2.78965883427E-001, +0.00000000000E+000
+4.95422500000E+006, +2.78795710247E-001, +0.00000000000E+000
+4.95423000000E+006, +2.78637297332E-001, +0.00000000000E+000
+4.95423500000E+006, +2.78472714064E-001, +0.00000000000E+000
+4.95424000000E+006, +2.78320883763E-001, +0.00000000000E+000
+4.95424500000E+006, +2.78138107440E-001, +0.00000000000E+000
+4.95425000000E+006, +2.77973821446E-001, +0.00000000000E+000
+4.95425500000E+006, +2.77791266688E-001, +0.00000000000E+000
+4.95426000000E+006, +2.77655387807E-001, +0.00000000000E+000
+4.95426500000E+006, +2.77495042287E-001, +0.00000000000E+000
+4.95427000000E+006, +2.77329142355E-001, +0.00000000000E+000
+4.95427500000E+006, +2.77164869328E-001, +0.00000000000E+000
+4.95428000000E+006, +2.77028556185E-001, +0.00000000000E+000
+4.95428500000E+006, +2.76886593846E-001, +0.00000000000E+000
+4.95429000000E+006, +2.76737088905E-001, +0.00000000000E+000
+4.95429500000E+006, +2.76596359703E-001, +0.00000000000E+000
+4.95430000000E+006, +2.76477275546E-001, +0.00000000000E+000
+4.95430500000E+006, +2.76337764563E-001, +0.00000000000E+000
+4.95431000000E+006, +2.76216461745E-001, +0.00000000000E+000
+4.95431500000E+006, +2.76112855292E-001, +0.00000000000E+000
+4.95432000000E+006, +2.76028943462E-001, +0.00000000000E+000
+4.95432500000E+006, +2.75934987822E-001, +0.00000000000E+000
+4.95433000000E+006, +2.75875829581E-001, +0.00000000000E+000
+4.95433500000E+006, +2.75841477781E-001, +0.00000000000E+000
+4.95434000000E+006, +2.75855864305E-001, +0.00000000000E+000
+4.95434500000E+006, +2.75873633069E-001, +0.00000000000E+000
+4.95435000000E+006, +2.75908037271E-001, +0.00000000000E+000
+4.95435500000E+006, +2.76005174919E-001, +0.00000000000E+000
+4.95436000000E+006, +2.76156223165E-001, +0.00000000000E+000
+4.95436500000E+006, +2.76352164762E-001, +0.00000000000E+000
+4.95437000000E+006, +2.76595895435E-001, +0.00000000000E+000
+4.95437500000E+006, +2.76911673052E-001, +0.00000000000E+000
+4.95438000000E+006, +2.77308038402E-001, +0.00000000000E+000
+4.95438500000E+006, +2.77790059239E-001, +0.00000000000E+000
+4.95439000000E+006, +2.78369314209E-001, +0.00000000000E+000
+4.95439500000E+006, +2.79063193222E-001, +0.00000000000E+000
+4.95440000000E+006, +2.79892618664E-001, +0.00000000000E+000
+4.95440500000E+006, +2.80834889034E-001, +0.00000000000E+000
+4.95441000000E+006, +2.81943653723E-001, +0.00000000000E+000
+4.95441500000E+006, +2.83261457200E-001, +0.00000000000E+000
+4.95442000000E+006, +2.84808613283E-001, +0.00000000000E+000
+4.95442500000E+006, +2.86609261085E-001, +0.00000000000E+000
+4.95443000000E+006, +2.88709591690E-001, +0.00000000000E+000
+4.95443500000E+006, +2.91151584307E-001, +0.00000000000E+000
+4.95444000000E+006, +2.93982108924E-001, +0.00000000000E+000
+4.95444500000E+006, +2.97272073317E-001, +0.00000000000E+000
+4.95445000000E+006, +3.01042267303E-001, +0.00000000000E+000
+4.95445500000E+006, +3.05391717803E-001, +0.00000000000E+000
+4.95446000000E+006, +3.10376445381E-001, +0.00000000000E+000
+4.95446500000E+006, +3.16049200497E-001, +0.00000000000E+000
+4.95447000000E+006, +3.22459059373E-001, +0.00000000000E+000
+4.95447500000E+006, +3.29653586276E-001, +0.00000000000E+000
+4.95448000000E+006, +3.37649283162E-001, +0.00000000000E+000
+4.95448500000E+006, +3.46442123481E-001, +0.00000000000E+000
+4.95449000000E+006, +3.56009982081E-001, +0.00000000000E+000
+4.95449500000E+006, +3.66246086389E-001, +0.00000000000E+000
+4.95450000000E+006, +3.76993142880E-001, +0.00000000000E+000
+4.95450500000E+006, +3.88075698535E-001, +0.00000000000E+000
+4.95451000000E+006, +3.99208910093E-001, +0.00000000000E+000
+4.95451500000E+006, +4.10075813057E-001, +0.00000000000E+000
+4.95452000000E+006, +4.20339053859E-001, +0.00000000000E+000
+4.95452500000E+006, +4.29595798238E-001, +0.00000000000E+000
+4.95453000000E+006, +4.37470072273E-001, +0.00000000000E+000
+4.95453500000E+006, +4.43690246163E-001, +0.00000000000E+000
+4.95454000000E+006, +4.48045514146E-001, +0.00000000000E+000
+4.95454500000E+006, +4.50447936027E-001, +0.00000000000E+000
+4.95455000000E+006, +4.50961093115E-001, +0.00000000000E+000
+4.95455500000E+006, +4.49736650687E-001, +0.00000000000E+000
+4.95456000000E+006, +4.47058136345E-001, +0.00000000000E+000
+4.95456500000E+006, +4.43243676999E-001, +0.00000000000E+000
+4.95457000000E+006, +4.38633789842E-001, +0.00000000000E+000
+4.95457500000E+006, +4.33482174675E-001, +0.00000000000E+000
+4.95458000000E+006, +4.28038763388E-001, +0.00000000000E+000
+4.95458500000E+006, +4.22489416548E-001, +0.00000000000E+000
