"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95429500000E+006, -5.35852148933E+001, +0.00000000000E+000
+4.95429531250E+006, -5.19967078286E+001, +0.00000000000E+000
+4.95429562500E+006, -5.20713144939E+001, +0.00000000000E+000
+4.95429593750E+006, -5.21258453625E+001, +0.00000000000E+000
+4.95429625000E+006, -5.21772272391E+001, +0.00000000000E+000
+4.95429656250E+006, -5.22304658866E+001, +0.00000000000E+000
+4.95429687500E+006, -5.22839659235E+001, +0.00000000000E+000
+4.95429718750E+006, -5.23369274726E+001, +0.00000000000E+000
+4.95429750000E+006, -5.23907740509E+001, +0.00000000000E+000
+4.95429781250E+006, -5.24437919299E+001, +0.00000000000E+000
+4.95429812500E+006, -5.24981950772E+001, +0.00000000000E+000
+4.95429843750E+006, -5.25516867121E+001, +0.00000000000E+000
+4.95429875000E+006, -5.26063754407E+001, +0.00000000000E+000
+4.95429906250E+006, -5.26593056510E+001, +0.00000000000E+000
+4.95429937500E+006, -5.27131188546E+001, +0.00000000000E+000
+4.95429968750E+006, -5.27676624046E+001, +0.00000000000E+000
+4.95430000000E+006, -5.28210647453E+001, +0.00000000000E+000
+4.95430031250E+006, -5.28769418807E+001, +0.00000000000E+000
+4.95430062500E+006, -5.29316097602E+001, +0.00000000000E+000
+4.95430093750E+006, -5.29863756191E+001, +0.00000000000E+000
+4.95430125000E+006, -5.30422552675E+001, +0.00000000000E+000
+4.95430156250E+006, -5.30968875300E+001, +0.00000000000E+000
+4.95430187500E+006, -5.31521155464E+001, +0.00000000000E+000
+4.95430218750E+006, -5.32073659518E+001, +0.00000000000E+000
+4.95430250000E+006, -5.32628451925E+001, +0.00000000000E+000
+4.95430281250E+006, -5.33192152037E+001, +0.00000000000E+000
+4.95430312500E+006, -5.33753601776E+001, +0.00000000000E+000
+4.95430343750E+006, -5.34314228778E+001, +0.00000000000E+000
+4.95430375000E+006, -5.34872146925E+001, +0.00000000000E+000
+4.95430406250E+006, -5.35444293950E+001, +0.00000000000E+000
+4.95430437500E+006, -5.36003349067E+001, +0.00000000000E+000
+4.95430468750E+006, -5.36577717668E+001, +0.00000000000E+000
+4.95430500000E+006, -5.37135794025E+001, +0.00000000000E+000
+4.95430531250E+006, -5.37716850599E+001, +0.00000000000E+000
+4.95430562500E+006, -5.38276536716E+001, +0.00000000000E+000
+4.95430593750E+006, -5.38862715369E+001, +0.00000000000E+000
+4.95430625000E+006, -5.39450535128E+001, +0.00000000000E+000
+4.95430656250E+006, -5.40020387603E+001, +0.00000000000E+000
+4.95430687500E+006, -5.40596753254E+001, +0.00000000000E+000
+4.95430718750E+006, -5.41169006584E+001, +0.00000000000E+000
+4.95430750000E+006, -5.41749831785E+001, +0.00000000000E+000
+4.95430781250E+006, -5.42338140877E+001, +0.00000000000E+000
+4.95430812500E+006, -5.42931532313E+001, +0.00000000000E+000
+4.95430843750E+006, -5.43508446036E+001, +0.00000000000E+000
+4.95430875000E+006, -5.44100859176E+001, +0.00000000000E+000
+4.95430906250E+006, -5.44695579620E+001, +0.00000000000E+000
+4.95430937500E+006, -5.45268870276E+001, +0.00000000000E+000
+4.95430968750E+006, -5.45859227212E+001, +0.00000000000E+000
+4.95431000000E+006, -5.46451293756E+001, +0.00000000000E+000
+4.95431031250E+006, -5.47060922175E+001, +0.00000000000E+000
+4.95431062500E+006, -5.47651238070E+001, +0.00000000000E+000
+4.95431093750E+006, -5.48256061869E+001, +0.00000000000E+000
+4.95431125000E+006, -5.48852623000E+001, +0.00000000000E+000
+4.95431156250E+006, -5.49462395287E+001, +0.00000000000E+000
+4.95431187500E+006, -5.50061208264E+001, +0.00000000000E+000
+4.95431218750E+006, -5.50669254506E+001, +0.00000000000E+000
+4.95431250000E+006, -5.51268098151E+001, +0.00000000000E+000
+4.95431281250E+006, -5.51885892267E+001, +0.00000000000E+000
+4.95431312500E+006, -5.52475514571E+001, +0.00000000000E+000
+4.95431343750E+006, -5.53093109118E+001, +0.00000000000E+000
+4.95431375000E+006, -5.53709832896E+001, +0.00000000000E+000
+4.95431406250E+006, -5.54331560248E+001, +0.00000000000E+000
+4.95431437500E+006, -5.54937761237E+001, +0.00000000000E+000
+4.95431468750E+006, -5.55578092310E+001, +0.00000000000E+000
+4.95431500000E+006, -5.56175779307E+001, +0.00000000000E+000
+4.95431531250E+006, -5.56794306519E+001, +0.00000000000E+000
+4.95431562500E+006, -5.57421532729E+001, +0.00000000000E+000
+4.95431593750E+006, -5.58051501895E+001, +0.00000000000E+000
+4.95431625000E+006, -5.58676964514E+001, +0.00000000000E+000
+4.95431656250E+006, -5.59294058054E+001, +0.00000000000E+000
+4.95431687500E+006, -5.59936279828E+001, +0.00000000000E+000
+4.95431718750E+006, -5.60559582456E+001, +0.00000000000E+000
+4.95431750000E+006, -5.61191765418E+001, +0.00000000000E+000
+4.95431781250E+006, -5.61827841612E+001, +0.00000000000E+000
+4.95431812500E+006, -5.62465118655E+001, +0.00000000000E+000
+4.95431843750E+006, -5.63105166973E+001, +0.00000000000E+000
+4.95431875000E+006, -5.63746830492E+001, +0.00000000000E+000
+4.95431906250E+006, -5.64392020907E+001, +0.00000000000E+000
+4.95431937500E+006, -5.65048700830E+001, +0.00000000000E+000
+4.95431968750E+006, -5.65691072031E+001, +0.00000000000E+000
+4.95432000000E+006, -5.66339484195E+001, +0.00000000000E+000
+4.95432031250E+006, -5.66979390491E+001, +0.00000000000E+000
+4.95432062500E+006, -5.67636432656E+001, +0.00000000000E+000
+4.95432093750E+006, -5.68295752662E+001, +0.00000000000E+000
+4.95432125000E+006, -5.68944629168E+001, +0.00000000000E+000
+4.95432156250E+006, -5.69613442195E+001, +0.00000000000E+000
+4.95432187500E+006, -5.70282483585E+001, +0.00000000000E+000
+4.95432218750E+006, -5.70930243446E+001, +0.00000000000E+000
+4.95432250000E+006, -5.71604870500E+001, +0.00000000000E+000
+4.95432281250E+006, -5.72269283861E+001, +0.00000000000E+000
+4.95432312500E+006, -5.72941653650E+001, +0.00000000000E+000
+4.95432343750E+006, -5.73596687908E+001, +0.00000000000E+000
+4.95432375000E+006, -5.74261563617E+001, +0.00000000000E+000
+4.95432406250E+006, -5.74938525274E+001, +0.00000000000E+000
+4.95432437500E+006, -5.75617714134E+001, +0.00000000000E+000
+4.95432468750E+006, -5.76281677206E+001, +0.00000000000E+000
+4.95432500000E+006, -5.76963768118E+001, +0.00000000000E+000
+4.95432531250E+006, -5.77640446363E+001, +0.00000000000E+000
+4.95432562500E+006, -5.78334267025E+001, +0.00000000000E+000
+4.95432593750E+006, -5.79012715522E+001, +0.00000000000E+000
+4.95432625000E+006, -5.79698618736E+001, +0.00000000000E+000
+4.95432656250E+006, -5.80389744694E+001, +0.00000000000E+000
+4.95432687500E+006, -5.81067781450E+001, +0.00000000000E+000
+4.95432718750E+006, -5.81773308350E+001, +0.00000000000E+000
+4.95432750000E+006, -5.82459548141E+001, +0.00000000000E+000
+4.95432781250E+006, -5.83146121628E+001, +0.00000000000E+000
+4.95432812500E+006, -5.83847694410E+001, +0.00000000000E+000
+4.95432843750E+006, -5.84542828826E+001, +0.00000000000E+000
+4.95432875000E+006, -5.85234347058E+001, +0.00000000000E+000
+4.95432906250E+006, -5.85942859984E+001, +0.00000000000E+000
+4.95432937500E+006, -5.86650437355E+001, +0.00000000000E+000
+4.95432968750E+006, -5.87352618568E+001, +0.00000000000E+000
+4.95433000000E+006, -5.88065676235E+001, +0.00000000000E+000
+4.95433031250E+006, -5.88770107706E+001, +0.00000000000E+000
+4.95433062500E+006, -5.89497319531E+001, +0.00000000000E+000
+4.95433093750E+006, -5.90211808104E+001, +0.00000000000E+000
+4.95433125000E+006, -5.90939105470E+001, +0.00000000000E+000
+4.95433156250E+006, -5.91665658803E+001, +0.00000000000E+000
+4.95433187500E+006, -5.92387449546E+001, +0.00000000000E+000
+4.95433218750E+006, -5.93116315673E+001, +0.00000000000E+000
+4.95433250000E+006, -5.93830861633E+001, +0.00000000000E+000
+4.95433281250E+006, -5.94557775965E+001, +0.00000000000E+000
+4.95433312500E+006, -5.95294543413E+001, +0.00000000000E+000
+4.95433343750E+006, -5.96015715978E+001, +0.00000000000E+000
+4.95433375000E+006, -5.96751265059E+001, +0.00000000000E+000
+4.95433406250E+006, -5.97493751719E+001, +0.00000000000E+000
+4.95433437500E+006, -5.98227728180E+001, +0.00000000000E+000
+4.95433468750E+006, -5.98978492263E+001, +0.00000000000E+000
+4.95433500000E+006, -5.99719756813E+001, +0.00000000000E+000
+4.95433531250E+006, -6.00450927923E+001, +0.00000000000E+000
+4.95433562500E+006, -6.01190511657E+001, +0.00000000000E+000
+4.95433593750E+006, -6.01943496187E+001, +0.00000000000E+000
+4.95433625000E+006, -6.02690577082E+001, +0.00000000000E+000
+4.95433656250E+006, -6.03443279945E+001, +0.00000000000E+000
+4.95433687500E+006, -6.04209590117E+001, +0.00000000000E+000
+4.95433718750E+006, -6.04987823610E+001, +0.00000000000E+000
+4.95433750000E+006, -6.05752009056E+001, +0.00000000000E+000
+4.95433781250E+006, -6.06518450952E+001, +0.00000000000E+000
+4.95433812500E+006, -6.07289906643E+001, +0.00000000000E+000
+4.95433843750E+006, -6.08061513688E+001, +0.00000000000E+000
+4.95433875000E+006, -6.08822542863E+001, +0.00000000000E+000
+4.95433906250E+006, -6.09587636825E+001, +0.00000000000E+000
+4.95433937500E+006, -6.10357763159E+001, +0.00000000000E+000
+4.95433968750E+006, -6.11140151213E+001, +0.00000000000E+000
+4.95434000000E+006, -6.11914163253E+001, +0.00000000000E+000
+4.95434031250E+006, -6.12695757070E+001, +0.00000000000E+000
+4.95434062500E+006, -6.13475924818E+001, +0.00000000000E+000
+4.95434093750E+006, -6.14267861135E+001, +0.00000000000E+000
+4.95434125000E+006, -6.15051541553E+001, +0.00000000000E+000
+4.95434156250E+006, -6.15840415541E+001, +0.00000000000E+000
+4.95434187500E+006, -6.16640977692E+001, +0.00000000000E+000
+4.95434218750E+006, -6.17450733837E+001, +0.00000000000E+000
+4.95434250000E+006, -6.18254370069E+001, +0.00000000000E+000
+4.95434281250E+006, -6.19054204802E+001, +0.00000000000E+000
+4.95434312500E+006, -6.19845564435E+001, +0.00000000000E+000
+4.95434343750E+006, -6.20649791165E+001, +0.00000000000E+000
+4.95434375000E+006, -6.21460194869E+001, +0.00000000000E+000
+4.95434406250E+006, -6.22268789448E+001, +0.00000000000E+000
+4.95434437500E+006, -6.23090409307E+001, +0.00000000000E+000
+4.95434468750E+006, -6.23902051017E+001, +0.00000000000E+000
+4.95434500000E+006, -6.24727347060E+001, +0.00000000000E+000
+4.95434531250E+006, -6.25555865492E+001, +0.00000000000E+000
+4.95434562500E+006, -6.26362674067E+001, +0.00000000000E+000
+4.95434593750E+006, -6.27184630136E+001, +0.00000000000E+000
+4.95434625000E+006, -6.28015208892E+001, +0.00000000000E+000
+4.95434656250E+006, -6.28844411810E+001, +0.00000000000E+000
+4.95434687500E+006, -6.29677564822E+001, +0.00000000000E+000
+4.95434718750E+006, -6.30508145317E+001, +0.00000000000E+000
+4.95434750000E+006, -6.31344732448E+001, +0.00000000000E+000
+4.95434781250E+006, -6.32179842439E+001, +0.00000000000E+000
+4.95434812500E+006, -6.33031390576E+001, +0.00000000000E+000
+4.95434843750E+006, -6.33872791471E+001, +0.00000000000E+000
+4.95434875000E+006, -6.34716801838E+001, +0.00000000000E+000
+4.95434906250E+006, -6.35561964350E+001, +0.00000000000E+000
+4.95434937500E+006, -6.36420392873E+001, +0.00000000000E+000
+4.95434968750E+006, -6.37297406564E+001, +0.00000000000E+000
+4.95435000000E+006, -6.38156101484E+001, +0.00000000000E+000
+4.95435031250E+006, -6.39018720494E+001, +0.00000000000E+000
+4.95435062500E+006, -6.39891834408E+001, +0.00000000000E+000
+4.95435093750E+006, -6.40760505197E+001, +0.00000000000E+000
+4.95435125000E+006, -6.41623334069E+001, +0.00000000000E+000
+4.95435156250E+006, -6.42498103439E+001, +0.00000000000E+000
+4.95435187500E+006, -6.43374719051E+001, +0.00000000000E+000
+4.95435218750E+006, -6.44256537143E+001, +0.00000000000E+000
+4.95435250000E+006, -6.45126948097E+001, +0.00000000000E+000
+4.95435281250E+006, -6.46003784972E+001, +0.00000000000E+000
+4.95435312500E+006, -6.46888380050E+001, +0.00000000000E+000
+4.95435343750E+006, -6.47770909655E+001, +0.00000000000E+000
+4.95435375000E+006, -6.48674107190E+001, +0.00000000000E+000
+4.95435406250E+006, -6.49563137585E+001, +0.00000000000E+000
+4.95435437500E+006, -6.50464583166E+001, +0.00000000000E+000
+4.95435468750E+006, -6.51365731622E+001, +0.00000000000E+000
+4.95435500000E+006, -6.52281282284E+001, +0.00000000000E+000
+4.95435531250E+006, -6.53177569562E+001, +0.00000000000E+000
+4.95435562500E+006, -6.54078338592E+001, +0.00000000000E+000
+4.95435593750E+006, -6.54995786860E+001, +0.00000000000E+000
+4.95435625000E+006, -6.55902058216E+001, +0.00000000000E+000
+4.95435656250E+006, -6.56815368181E+001, +0.00000000000E+000
+4.95435687500E+006, -6.57747297099E+001, +0.00000000000E+000
+4.95435718750E+006, -6.58662450912E+001, +0.00000000000E+000
+4.95435750000E+006, -6.59585081130E+001, +0.00000000000E+000
+4.95435781250E+006, -6.60505595683E+001, +0.00000000000E+000
+4.95435812500E+006, -6.61441889329E+001, +0.00000000000E+000
+4.95435843750E+006, -6.62366096697E+001, +0.00000000000E+000
+4.95435875000E+006, -6.63298598131E+001, +0.00000000000E+000
+4.95435906250E+006, -6.64241281322E+001, +0.00000000000E+000
+4.95435937500E+006, -6.65195598226E+001, +0.00000000000E+000
+4.95435968750E+006, -6.66128835466E+001, +0.00000000000E+000
+4.95436000000E+006, -6.67079338614E+001, +0.00000000000E+000
+4.95436031250E+006, -6.68041582883E+001, +0.00000000000E+000
+4.95436062500E+006, -6.69005145541E+001, +0.00000000000E+000
+4.95436093750E+006, -6.69949804649E+001, +0.00000000000E+000
+4.95436125000E+006, -6.70918722527E+001, +0.00000000000E+000
+4.95436156250E+006, -6.71873574643E+001, +0.00000000000E+000
+4.95436187500E+006, -6.72846853912E+001, +0.00000000000E+000
+4.95436218750E+006, -6.73827045612E+001, +0.00000000000E+000
+4.95436250000E+006, -6.74805281648E+001, +0.00000000000E+000
+4.95436281250E+006, -6.75789860429E+001, +0.00000000000E+000
+4.95436312500E+006, -6.76780732217E+001, +0.00000000000E+000
+4.95436343750E+006, -6.77762520664E+001, +0.00000000000E+000
+4.95436375000E+006, -6.78749647129E+001, +0.00000000000E+000
+4.95436406250E+006, -6.79727170880E+001, +0.00000000000E+000
+4.95436437500E+006, -6.80712185182E+001, +0.00000000000E+000
+4.95436468750E+006, -6.81714741181E+001, +0.00000000000E+000
+4.95436500000E+006, -6.82706778941E+001, +0.00000000000E+000
