"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95667125000E+006, -2.56682547506E+001, +0.00000000000E+000
+4.95667156250E+006, -5.81280207712E+001, +0.00000000000E+000
+4.95667187500E+006, -5.93098936093E+001, +0.00000000000E+000
+4.95667218750E+006, -5.05079045524E+001, +0.00000000000E+000
+4.95667250000E+006, -4.55996705942E+001, +0.00000000000E+000
+4.95667281250E+006, -4.69892348329E+001, +0.00000000000E+000
+4.95667312500E+006, -5.00044184972E+001, +0.00000000000E+000
+4.95667343750E+006, -5.06247011916E+001, +0.00000000000E+000
+4.95667375000E+006, -4.97045498928E+001, +0.00000000000E+000
+4.95667406250E+006, -4.90887089847E+001, +0.00000000000E+000
+4.95667437500E+006, -4.92480333100E+001, +0.00000000000E+000
+4.95667468750E+006, -4.96285522799E+001, +0.00000000000E+000
+4.95667500000E+006, -4.97738133522E+001, +0.00000000000E+000
+4.95667531250E+006, -4.97210264082E+001, +0.00000000000E+000
+4.95667562500E+006, -4.96858565284E+001, +0.00000000000E+000
+4.95667593750E+006, -4.97349389035E+001, +0.00000000000E+000
+4.95667625000E+006, -4.98217589066E+001, +0.00000000000E+000
+4.95667656250E+006, -4.98841877785E+001, +0.00000000000E+000
+4.95667687500E+006, -4.99255242430E+001, +0.00000000000E+000
+4.95667718750E+006, -4.99623924159E+001, +0.00000000000E+000
+4.95667750000E+006, -5.00097251453E+001, +0.00000000000E+000
+4.95667781250E+006, -5.00601123333E+001, +0.00000000000E+000
+4.95667812500E+006, -5.01127255052E+001, +0.00000000000E+000
+4.95667843750E+006, -5.01616234760E+001, +0.00000000000E+000
+4.95667875000E+006, -5.02077544042E+001, +0.00000000000E+000
+4.95667906250E+006, -5.02543464017E+001, +0.00000000000E+000
+4.95667937500E+006, -5.03059362389E+001, +0.00000000000E+000
+4.95667968750E+006, -5.03580895518E+001, +0.00000000000E+000
+4.95668000000E+006, -5.04071279349E+001, +0.00000000000E+000
+4.95668031250E+006, -5.04542228458E+001, +0.00000000000E+000
+4.95668062500E+006, -5.05062189084E+001, +0.00000000000E+000
+4.95668093750E+006, -5.05553009933E+001, +0.00000000000E+000
+4.95668125000E+006, -5.06050392192E+001, +0.00000000000E+000
+4.95668156250E+006, -5.06577850440E+001, +0.00000000000E+000
+4.95668187500E+006, -5.07065949360E+001, +0.00000000000E+000
+4.95668218750E+006, -5.07555208573E+001, +0.00000000000E+000
+4.95668250000E+006, -5.08046120120E+001, +0.00000000000E+000
+4.95668281250E+006, -5.08564136236E+001, +0.00000000000E+000
+4.95668312500E+006, -5.09086721736E+001, +0.00000000000E+000
+4.95668343750E+006, -5.09588247913E+001, +0.00000000000E+000
+4.95668375000E+006, -5.10066290205E+001, +0.00000000000E+000
+4.95668406250E+006, -5.10605250564E+001, +0.00000000000E+000
+4.95668437500E+006, -5.11119681009E+001, +0.00000000000E+000
+4.95668468750E+006, -5.11630583930E+001, +0.00000000000E+000
+4.95668500000E+006, -5.12138255218E+001, +0.00000000000E+000
+4.95668531250E+006, -5.12672796166E+001, +0.00000000000E+000
+4.95668562500E+006, -5.13196181892E+001, +0.00000000000E+000
+4.95668593750E+006, -5.13716452610E+001, +0.00000000000E+000
+4.95668625000E+006, -5.14258030892E+001, +0.00000000000E+000
+4.95668656250E+006, -5.14772754717E+001, +0.00000000000E+000
+4.95668687500E+006, -5.15296444947E+001, +0.00000000000E+000
+4.95668718750E+006, -5.15810547725E+001, +0.00000000000E+000
+4.95668750000E+006, -5.16347688757E+001, +0.00000000000E+000
+4.95668781250E+006, -5.16899022752E+001, +0.00000000000E+000
+4.95668812500E+006, -5.17412606840E+001, +0.00000000000E+000
+4.95668843750E+006, -5.17968275031E+001, +0.00000000000E+000
+4.95668875000E+006, -5.18498010015E+001, +0.00000000000E+000
+4.95668906250E+006, -5.19032914236E+001, +0.00000000000E+000
+4.95668937500E+006, -5.19569879436E+001, +0.00000000000E+000
+4.95668968750E+006, -5.20120517763E+001, +0.00000000000E+000
+4.95669000000E+006, -5.20664632535E+001, +0.00000000000E+000
+4.95669031250E+006, -5.21217095621E+001, +0.00000000000E+000
+4.95669062500E+006, -5.21753742501E+001, +0.00000000000E+000
+4.95669093750E+006, -5.22287012674E+001, +0.00000000000E+000
+4.95669125000E+006, -5.22871028643E+001, +0.00000000000E+000
+4.95669156250E+006, -5.23441171801E+001, +0.00000000000E+000
+4.95669187500E+006, -5.23970224960E+001, +0.00000000000E+000
+4.95669218750E+006, -5.24535721435E+001, +0.00000000000E+000
+4.95669250000E+006, -5.25083242402E+001, +0.00000000000E+000
+4.95669281250E+006, -5.25643379968E+001, +0.00000000000E+000
+4.95669312500E+006, -5.26251821560E+001, +0.00000000000E+000
+4.95669343750E+006, -5.26773487112E+001, +0.00000000000E+000
+4.95669375000E+006, -5.27342064474E+001, +0.00000000000E+000
+4.95669406250E+006, -5.27930170331E+001, +0.00000000000E+000
+4.95669437500E+006, -5.28474019665E+001, +0.00000000000E+000
+4.95669468750E+006, -5.29071562484E+001, +0.00000000000E+000
+4.95669500000E+006, -5.29622272112E+001, +0.00000000000E+000
+4.95669531250E+006, -5.30185824998E+001, +0.00000000000E+000
+4.95669562500E+006, -5.30791017063E+001, +0.00000000000E+000
+4.95669593750E+006, -5.31361909157E+001, +0.00000000000E+000
+4.95669625000E+006, -5.31933324326E+001, +0.00000000000E+000
+4.95669656250E+006, -5.32524954038E+001, +0.00000000000E+000
+4.95669687500E+006, -5.33113236083E+001, +0.00000000000E+000
+4.95669718750E+006, -5.33697643012E+001, +0.00000000000E+000
+4.95669750000E+006, -5.34282159553E+001, +0.00000000000E+000
+4.95669781250E+006, -5.34854930132E+001, +0.00000000000E+000
+4.95669812500E+006, -5.35453828921E+001, +0.00000000000E+000
+4.95669843750E+006, -5.36039127893E+001, +0.00000000000E+000
+4.95669875000E+006, -5.36648905089E+001, +0.00000000000E+000
+4.95669906250E+006, -5.37216911029E+001, +0.00000000000E+000
+4.95669937500E+006, -5.37830657340E+001, +0.00000000000E+000
+4.95669968750E+006, -5.38442002902E+001, +0.00000000000E+000
+4.95670000000E+006, -5.39040561541E+001, +0.00000000000E+000
+4.95670031250E+006, -5.39655129919E+001, +0.00000000000E+000
+4.95670062500E+006, -5.40245257310E+001, +0.00000000000E+000
+4.95670093750E+006, -5.40887575971E+001, +0.00000000000E+000
+4.95670125000E+006, -5.41468102177E+001, +0.00000000000E+000
+4.95670156250E+006, -5.42099654452E+001, +0.00000000000E+000
+4.95670187500E+006, -5.42719976865E+001, +0.00000000000E+000
+4.95670218750E+006, -5.43330284677E+001, +0.00000000000E+000
+4.95670250000E+006, -5.43914662739E+001, +0.00000000000E+000
+4.95670281250E+006, -5.44572906900E+001, +0.00000000000E+000
+4.95670312500E+006, -5.45214105317E+001, +0.00000000000E+000
+4.95670343750E+006, -5.45814296001E+001, +0.00000000000E+000
+4.95670375000E+006, -5.46445303022E+001, +0.00000000000E+000
+4.95670406250E+006, -5.47064535886E+001, +0.00000000000E+000
