"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95667125000E+006, -2.70590553706E+001, +0.00000000000E+000
+4.95667156250E+006, -5.48618789811E+001, +0.00000000000E+000
+4.95667187500E+006, -5.06025334696E+001, +0.00000000000E+000
+4.95667218750E+006, -4.17605836469E+001, +0.00000000000E+000
+4.95667250000E+006, -4.10557583561E+001, +0.00000000000E+000
+4.95667281250E+006, -4.51389932532E+001, +0.00000000000E+000
+4.95667312500E+006, -4.59346986783E+001, +0.00000000000E+000
+4.95667343750E+006, -4.44396403982E+001, +0.00000000000E+000
+4.95667375000E+006, -4.39051476260E+001, +0.00000000000E+000
+4.95667406250E+006, -4.44901025108E+001, +0.00000000000E+000
+4.95667437500E+006, -4.48544636622E+001, +0.00000000000E+000
+4.95667468750E+006, -4.47096861616E+001, +0.00000000000E+000
+4.95667500000E+006, -4.45734366389E+001, +0.00000000000E+000
+4.95667531250E+006, -4.46577941280E+001, +0.00000000000E+000
+4.95667562500E+006, -4.47660205082E+001, +0.00000000000E+000
+4.95667593750E+006, -4.47966041254E+001, +0.00000000000E+000
+4.95667625000E+006, -4.47946778459E+001, +0.00000000000E+000
+4.95667656250E+006, -4.48278403773E+001, +0.00000000000E+000
+4.95667687500E+006, -4.48744765620E+001, +0.00000000000E+000
+4.95667718750E+006, -4.49141853858E+001, +0.00000000000E+000
+4.95667750000E+006, -4.49439763095E+001, +0.00000000000E+000
+4.95667781250E+006, -4.49758361142E+001, +0.00000000000E+000
+4.95667812500E+006, -4.50109990751E+001, +0.00000000000E+000
+4.95667843750E+006, -4.50487777972E+001, +0.00000000000E+000
+4.95667875000E+006, -4.50825421104E+001, +0.00000000000E+000
+4.95667906250E+006, -4.51183419736E+001, +0.00000000000E+000
+4.95667937500E+006, -4.51539377955E+001, +0.00000000000E+000
+4.95667968750E+006, -4.51891764543E+001, +0.00000000000E+000
+4.95668000000E+006, -4.52217198229E+001, +0.00000000000E+000
+4.95668031250E+006, -4.52595573813E+001, +0.00000000000E+000
+4.95668062500E+006, -4.52928236036E+001, +0.00000000000E+000
+4.95668093750E+006, -4.53287601129E+001, +0.00000000000E+000
+4.95668125000E+006, -4.53664512403E+001, +0.00000000000E+000
+4.95668156250E+006, -4.54012543582E+001, +0.00000000000E+000
+4.95668187500E+006, -4.54367756087E+001, +0.00000000000E+000
+4.95668218750E+006, -4.54751076520E+001, +0.00000000000E+000
+4.95668250000E+006, -4.55091641896E+001, +0.00000000000E+000
+4.95668281250E+006, -4.55448764346E+001, +0.00000000000E+000
+4.95668312500E+006, -4.55836477168E+001, +0.00000000000E+000
+4.95668343750E+006, -4.56189266312E+001, +0.00000000000E+000
+4.95668375000E+006, -4.56548906057E+001, +0.00000000000E+000
+4.95668406250E+006, -4.56914771406E+001, +0.00000000000E+000
+4.95668437500E+006, -4.57292298987E+001, +0.00000000000E+000
+4.95668468750E+006, -4.57658164287E+001, +0.00000000000E+000
+4.95668500000E+006, -4.58002590826E+001, +0.00000000000E+000
+4.95668531250E+006, -4.58379558093E+001, +0.00000000000E+000
+4.95668562500E+006, -4.58742334775E+001, +0.00000000000E+000
+4.95668593750E+006, -4.59116761892E+001, +0.00000000000E+000
+4.95668625000E+006, -4.59473541445E+001, +0.00000000000E+000
+4.95668656250E+006, -4.59836581617E+001, +0.00000000000E+000
+4.95668687500E+006, -4.60241338695E+001, +0.00000000000E+000
+4.95668718750E+006, -4.60604432875E+001, +0.00000000000E+000
+4.95668750000E+006, -4.60983663758E+001, +0.00000000000E+000
+4.95668781250E+006, -4.61373355009E+001, +0.00000000000E+000
+4.95668812500E+006, -4.61742962388E+001, +0.00000000000E+000
+4.95668843750E+006, -4.62124516309E+001, +0.00000000000E+000
+4.95668875000E+006, -4.62515561691E+001, +0.00000000000E+000
+4.95668906250E+006, -4.62873395898E+001, +0.00000000000E+000
+4.95668937500E+006, -4.63259259024E+001, +0.00000000000E+000
+4.95668968750E+006, -4.63638857366E+001, +0.00000000000E+000
+4.95669000000E+006, -4.64026407605E+001, +0.00000000000E+000
+4.95669031250E+006, -4.64412225275E+001, +0.00000000000E+000
+4.95669062500E+006, -4.64786994216E+001, +0.00000000000E+000
+4.95669093750E+006, -4.65183876212E+001, +0.00000000000E+000
+4.95669125000E+006, -4.65560396635E+001, +0.00000000000E+000
+4.95669156250E+006, -4.65951565109E+001, +0.00000000000E+000
+4.95669187500E+006, -4.66328254349E+001, +0.00000000000E+000
+4.95669218750E+006, -4.66736760504E+001, +0.00000000000E+000
+4.95669250000E+006, -4.67130864876E+001, +0.00000000000E+000
+4.95669281250E+006, -4.67515683681E+001, +0.00000000000E+000
+4.95669312500E+006, -4.67923967068E+001, +0.00000000000E+000
+4.95669343750E+006, -4.68318307064E+001, +0.00000000000E+000
+4.95669375000E+006, -4.68702274593E+001, +0.00000000000E+000
+4.95669406250E+006, -4.69107277538E+001, +0.00000000000E+000
+4.95669437500E+006, -4.69503350417E+001, +0.00000000000E+000
+4.95669468750E+006, -4.69893407299E+001, +0.00000000000E+000
+4.95669500000E+006, -4.70318550899E+001, +0.00000000000E+000
+4.95669531250E+006, -4.70707730021E+001, +0.00000000000E+000
+4.95669562500E+006, -4.71109916692E+001, +0.00000000000E+000
+4.95669593750E+006, -4.71527138083E+001, +0.00000000000E+000
+4.95669625000E+006, -4.71936678248E+001, +0.00000000000E+000
+4.95669656250E+006, -4.72308929222E+001, +0.00000000000E+000
+4.95669687500E+006, -4.72749069558E+001, +0.00000000000E+000
+4.95669718750E+006, -4.73147396825E+001, +0.00000000000E+000
+4.95669750000E+006, -4.73582248206E+001, +0.00000000000E+000
+4.95669781250E+006, -4.73965002490E+001, +0.00000000000E+000
+4.95669812500E+006, -4.74384812571E+001, +0.00000000000E+000
+4.95669843750E+006, -4.74797302514E+001, +0.00000000000E+000
+4.95669875000E+006, -4.75213690873E+001, +0.00000000000E+000
+4.95669906250E+006, -4.75644739551E+001, +0.00000000000E+000
+4.95669937500E+006, -4.76053713187E+001, +0.00000000000E+000
+4.95669968750E+006, -4.76477834174E+001, +0.00000000000E+000
+4.95670000000E+006, -4.76866645656E+001, +0.00000000000E+000
+4.95670031250E+006, -4.77307017612E+001, +0.00000000000E+000
+4.95670062500E+006, -4.77702223210E+001, +0.00000000000E+000
+4.95670093750E+006, -4.78143820663E+001, +0.00000000000E+000
+4.95670125000E+006, -4.78557161629E+001, +0.00000000000E+000
+4.95670156250E+006, -4.78992348277E+001, +0.00000000000E+000
+4.95670187500E+006, -4.79402637398E+001, +0.00000000000E+000
+4.95670218750E+006, -4.79838789446E+001, +0.00000000000E+000
+4.95670250000E+006, -4.80254409520E+001, +0.00000000000E+000
+4.95670281250E+006, -4.80696508505E+001, +0.00000000000E+000
+4.95670312500E+006, -4.81088162846E+001, +0.00000000000E+000
+4.95670343750E+006, -4.81538707599E+001, +0.00000000000E+000
+4.95670375000E+006, -4.81965775707E+001, +0.00000000000E+000
+4.95670406250E+006, -4.82391899957E+001, +0.00000000000E+000
+4.95670437500E+006, -4.82839527252E+001, +0.00000000000E+000
+4.95670468750E+006, -4.83282129377E+001, +0.00000000000E+000
+4.95670500000E+006, -4.83733616826E+001, +0.00000000000E+000
+4.95670531250E+006, -4.84155392191E+001, +0.00000000000E+000
+4.95670562500E+006, -4.84600359276E+001, +0.00000000000E+000
+4.95670593750E+006, -4.85034422604E+001, +0.00000000000E+000
+4.95670625000E+006, -4.85495003711E+001, +0.00000000000E+000
+4.95670656250E+006, -4.85907193369E+001, +0.00000000000E+000
+4.95670687500E+006, -4.86360144197E+001, +0.00000000000E+000
+4.95670718750E+006, -4.86811943664E+001, +0.00000000000E+000
+4.95670750000E+006, -4.87256918981E+001, +0.00000000000E+000
+4.95670781250E+006, -4.87710187404E+001, +0.00000000000E+000
+4.95670812500E+006, -4.88162428422E+001, +0.00000000000E+000
+4.95670843750E+006, -4.88624849078E+001, +0.00000000000E+000
+4.95670875000E+006, -4.89084154574E+001, +0.00000000000E+000
+4.95670906250E+006, -4.89535787682E+001, +0.00000000000E+000
+4.95670937500E+006, -4.89983244179E+001, +0.00000000000E+000
+4.95670968750E+006, -4.90441619001E+001, +0.00000000000E+000
+4.95671000000E+006, -4.90905841955E+001, +0.00000000000E+000
+4.95671031250E+006, -4.91349168883E+001, +0.00000000000E+000
+4.95671062500E+006, -4.91814971486E+001, +0.00000000000E+000
+4.95671093750E+006, -4.92300095234E+001, +0.00000000000E+000
+4.95671125000E+006, -4.92735019635E+001, +0.00000000000E+000
+4.95671156250E+006, -4.93215847043E+001, +0.00000000000E+000
+4.95671187500E+006, -4.93692620335E+001, +0.00000000000E+000
+4.95671218750E+006, -4.94129243620E+001, +0.00000000000E+000
+4.95671250000E+006, -4.94605346927E+001, +0.00000000000E+000
+4.95671281250E+006, -4.95063402481E+001, +0.00000000000E+000
+4.95671312500E+006, -4.95547951156E+001, +0.00000000000E+000
+4.95671343750E+006, -4.96010040120E+001, +0.00000000000E+000
+4.95671375000E+006, -4.96507222569E+001, +0.00000000000E+000
+4.95671406250E+006, -4.96982008065E+001, +0.00000000000E+000
+4.95671437500E+006, -4.97450160882E+001, +0.00000000000E+000
+4.95671468750E+006, -4.97920392418E+001, +0.00000000000E+000
+4.95671500000E+006, -4.98380805371E+001, +0.00000000000E+000
+4.95671531250E+006, -4.98885678022E+001, +0.00000000000E+000
+4.95671562500E+006, -4.99380909099E+001, +0.00000000000E+000
+4.95671593750E+006, -4.99877133431E+001, +0.00000000000E+000
+4.95671625000E+006, -5.00345688454E+001, +0.00000000000E+000
+4.95671656250E+006, -5.00835767199E+001, +0.00000000000E+000
+4.95671687500E+006, -5.01316872702E+001, +0.00000000000E+000
+4.95671718750E+006, -5.01822445560E+001, +0.00000000000E+000
+4.95671750000E+006, -5.02284098857E+001, +0.00000000000E+000
+4.95671781250E+006, -5.02758019412E+001, +0.00000000000E+000
+4.95671812500E+006, -5.03291891433E+001, +0.00000000000E+000
+4.95671843750E+006, -5.03793802545E+001, +0.00000000000E+000
+4.95671875000E+006, -5.04293409614E+001, +0.00000000000E+000
+4.95671906250E+006, -5.04765540473E+001, +0.00000000000E+000
+4.95671937500E+006, -5.05277573654E+001, +0.00000000000E+000
+4.95671968750E+006, -5.05783903372E+001, +0.00000000000E+000
+4.95672000000E+006, -5.06297689825E+001, +0.00000000000E+000
+4.95672031250E+006, -5.06785868530E+001, +0.00000000000E+000
+4.95672062500E+006, -5.07312338745E+001, +0.00000000000E+000
+4.95672093750E+006, -5.07787175333E+001, +0.00000000000E+000
+4.95672125000E+006, -5.08334237563E+001, +0.00000000000E+000
+4.95672156250E+006, -5.08839428625E+001, +0.00000000000E+000
+4.95672187500E+006, -5.09341133138E+001, +0.00000000000E+000
+4.95672218750E+006, -5.09850073894E+001, +0.00000000000E+000
+4.95672250000E+006, -5.10404497781E+001, +0.00000000000E+000
+4.95672281250E+006, -5.10897963909E+001, +0.00000000000E+000
+4.95672312500E+006, -5.11403565663E+001, +0.00000000000E+000
