"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.94785250000E+006, +8.59698647666E-001, +0.00000000000E+000
+4.94785718750E+006, +8.59487647294E-001, +0.00000000000E+000
+4.94786187500E+006, +8.59509545915E-001, +0.00000000000E+000
+4.94786656250E+006, +8.59452786887E-001, +0.00000000000E+000
+4.94787125000E+006, +8.59434466792E-001, +0.00000000000E+000
+4.94787593750E+006, +8.59415077443E-001, +0.00000000000E+000
+4.94788062500E+006, +8.59384990022E-001, +0.00000000000E+000
+4.94788531250E+006, +8.59360284745E-001, +0.00000000000E+000
+4.94789000000E+006, +8.59334429162E-001, +0.00000000000E+000
+4.94789468750E+006, +8.59280875217E-001, +0.00000000000E+000
+4.94789937500E+006, +8.59280162041E-001, +0.00000000000E+000
+4.94790406250E+006, +8.59223296581E-001, +0.00000000000E+000
+4.94790875000E+006, +8.59186780048E-001, +0.00000000000E+000
+4.94791343750E+006, +8.59172748634E-001, +0.00000000000E+000
+4.94791812500E+006, +8.59164702658E-001, +0.00000000000E+000
+4.94792281250E+006, +8.59133458637E-001, +0.00000000000E+000
+4.94792750000E+006, +8.59092217338E-001, +0.00000000000E+000
+4.94793218750E+006, +8.59100844085E-001, +0.00000000000E+000
+4.94793687500E+006, +8.59070445724E-001, +0.00000000000E+000
+4.94794156250E+006, +8.59048229295E-001, +0.00000000000E+000
+4.94794625000E+006, +8.59025382803E-001, +0.00000000000E+000
+4.94795093750E+006, +8.59001758329E-001, +0.00000000000E+000
+4.94795562500E+006, +8.58954802050E-001, +0.00000000000E+000
+4.94796031250E+006, +8.58934014586E-001, +0.00000000000E+000
+4.94796500000E+006, +8.58901454160E-001, +0.00000000000E+000
+4.94796968750E+006, +8.58860732654E-001, +0.00000000000E+000
+4.94797437500E+006, +8.58872118192E-001, +0.00000000000E+000
+4.94797906250E+006, +8.58850468512E-001, +0.00000000000E+000
+4.94798375000E+006, +8.58787235200E-001, +0.00000000000E+000
+4.94798843750E+006, +8.58749941123E-001, +0.00000000000E+000
+4.94799312500E+006, +8.58772255674E-001, +0.00000000000E+000
+4.94799781250E+006, +8.58741329954E-001, +0.00000000000E+000
+4.94800250000E+006, +8.58670662083E-001, +0.00000000000E+000
+4.94800718750E+006, +8.58671307715E-001, +0.00000000000E+000
+4.94801187500E+006, +8.58631239716E-001, +0.00000000000E+000
+4.94801656250E+006, +8.58622598710E-001, +0.00000000000E+000
+4.94802125000E+006, +8.58577212825E-001, +0.00000000000E+000
+4.94802593750E+006, +8.58568079522E-001, +0.00000000000E+000
+4.94803062500E+006, +8.58551224656E-001, +0.00000000000E+000
+4.94803531250E+006, +8.58496032454E-001, +0.00000000000E+000
+4.94804000000E+006, +8.58487830372E-001, +0.00000000000E+000
+4.94804468750E+006, +8.58439212201E-001, +0.00000000000E+000
+4.94804937500E+006, +8.58448765375E-001, +0.00000000000E+000
+4.94805406250E+006, +8.58409430280E-001, +0.00000000000E+000
+4.94805875000E+006, +8.58376179720E-001, +0.00000000000E+000
+4.94806343750E+006, +8.58325418337E-001, +0.00000000000E+000
+4.94806812500E+006, +8.58292095221E-001, +0.00000000000E+000
+4.94807281250E+006, +8.58302468165E-001, +0.00000000000E+000
+4.94807750000E+006, +8.58233164839E-001, +0.00000000000E+000
+4.94808218750E+006, +8.58225724841E-001, +0.00000000000E+000
+4.94808687500E+006, +8.58199342055E-001, +0.00000000000E+000
+4.94809156250E+006, +8.58144069733E-001, +0.00000000000E+000
+4.94809625000E+006, +8.58152100470E-001, +0.00000000000E+000
+4.94810093750E+006, +8.58123133970E-001, +0.00000000000E+000
+4.94810562500E+006, +8.58110376399E-001, +0.00000000000E+000
+4.94811031250E+006, +8.58049007760E-001, +0.00000000000E+000
+4.94811500000E+006, +8.58021732906E-001, +0.00000000000E+000
+4.94811968750E+006, +8.57985433765E-001, +0.00000000000E+000
+4.94812437500E+006, +8.57957853019E-001, +0.00000000000E+000
+4.94812906250E+006, +8.57946867517E-001, +0.00000000000E+000
+4.94813375000E+006, +8.57902237505E-001, +0.00000000000E+000
+4.94813843750E+006, +8.57881506955E-001, +0.00000000000E+000
+4.94814312500E+006, +8.57868574296E-001, +0.00000000000E+000
+4.94814781250E+006, +8.57842372117E-001, +0.00000000000E+000
+4.94815250000E+006, +8.57796080405E-001, +0.00000000000E+000
+4.94815718750E+006, +8.57797807876E-001, +0.00000000000E+000
+4.94816187500E+006, +8.57746352619E-001, +0.00000000000E+000
+4.94816656250E+006, +8.57729669965E-001, +0.00000000000E+000
