"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.94785250000E+006, -2.63855202153E+001, +0.00000000000E+000
+4.94785718750E+006, -2.63733140528E+001, +0.00000000000E+000
+4.94786187500E+006, -2.63754532157E+001, +0.00000000000E+000
+4.94786656250E+006, -2.63772283562E+001, +0.00000000000E+000
+4.94787125000E+006, -2.63822479097E+001, +0.00000000000E+000
+4.94787593750E+006, -2.63847194786E+001, +0.00000000000E+000
+4.94788062500E+006, -2.63874257162E+001, +0.00000000000E+000
+4.94788531250E+006, -2.63893413068E+001, +0.00000000000E+000
+4.94789000000E+006, -2.63931691052E+001, +0.00000000000E+000
+4.94789468750E+006, -2.63971489588E+001, +0.00000000000E+000
+4.94789937500E+006, -2.63995862335E+001, +0.00000000000E+000
+4.94790406250E+006, -2.64034260469E+001, +0.00000000000E+000
+4.94790875000E+006, -2.64053776994E+001, +0.00000000000E+000
+4.94791343750E+006, -2.64079549064E+001, +0.00000000000E+000
+4.94791812500E+006, -2.64127493928E+001, +0.00000000000E+000
+4.94792281250E+006, -2.64149982168E+001, +0.00000000000E+000
+4.94792750000E+006, -2.64176093961E+001, +0.00000000000E+000
+4.94793218750E+006, -2.64238631632E+001, +0.00000000000E+000
+4.94793687500E+006, -2.64253955309E+001, +0.00000000000E+000
+4.94794156250E+006, -2.64275985069E+001, +0.00000000000E+000
+4.94794625000E+006, -2.64324669504E+001, +0.00000000000E+000
+4.94795093750E+006, -2.64351423752E+001, +0.00000000000E+000
+4.94795562500E+006, -2.64380556228E+001, +0.00000000000E+000
+4.94796031250E+006, -2.64418297185E+001, +0.00000000000E+000
+4.94796500000E+006, -2.64431515429E+001, +0.00000000000E+000
+4.94796968750E+006, -2.64493953333E+001, +0.00000000000E+000
+4.94797437500E+006, -2.64523020881E+001, +0.00000000000E+000
+4.94797906250E+006, -2.64557791309E+001, +0.00000000000E+000
+4.94798375000E+006, -2.64597996482E+001, +0.00000000000E+000
+4.94798843750E+006, -2.64610463783E+001, +0.00000000000E+000
+4.94799312500E+006, -2.64647259718E+001, +0.00000000000E+000
+4.94799781250E+006, -2.64674326581E+001, +0.00000000000E+000
+4.94800250000E+006, -2.64724671222E+001, +0.00000000000E+000
+4.94800718750E+006, -2.64762905131E+001, +0.00000000000E+000
+4.94801187500E+006, -2.64790170718E+001, +0.00000000000E+000
+4.94801656250E+006, -2.64801927128E+001, +0.00000000000E+000
+4.94802125000E+006, -2.64843232962E+001, +0.00000000000E+000
+4.94802593750E+006, -2.64873479146E+001, +0.00000000000E+000
+4.94803062500E+006, -2.64908661199E+001, +0.00000000000E+000
+4.94803531250E+006, -2.64947434388E+001, +0.00000000000E+000
+4.94804000000E+006, -2.64980184353E+001, +0.00000000000E+000
+4.94804468750E+006, -2.64994214626E+001, +0.00000000000E+000
+4.94804937500E+006, -2.65053709871E+001, +0.00000000000E+000
+4.94805406250E+006, -2.65101227856E+001, +0.00000000000E+000
+4.94805875000E+006, -2.65141218884E+001, +0.00000000000E+000
+4.94806343750E+006, -2.65138598731E+001, +0.00000000000E+000
+4.94806812500E+006, -2.65199649673E+001, +0.00000000000E+000
+4.94807281250E+006, -2.65201348530E+001, +0.00000000000E+000
+4.94807750000E+006, -2.65240695332E+001, +0.00000000000E+000
+4.94808218750E+006, -2.65273404513E+001, +0.00000000000E+000
+4.94808687500E+006, -2.65309573922E+001, +0.00000000000E+000
+4.94809156250E+006, -2.65361708318E+001, +0.00000000000E+000
+4.94809625000E+006, -2.65395818663E+001, +0.00000000000E+000
+4.94810093750E+006, -2.65425271833E+001, +0.00000000000E+000
+4.94810562500E+006, -2.65465761572E+001, +0.00000000000E+000
+4.94811031250E+006, -2.65496627892E+001, +0.00000000000E+000
+4.94811500000E+006, -2.65540972427E+001, +0.00000000000E+000
+4.94811968750E+006, -2.65570396672E+001, +0.00000000000E+000
+4.94812437500E+006, -2.65612309272E+001, +0.00000000000E+000
+4.94812906250E+006, -2.65654472598E+001, +0.00000000000E+000
+4.94813375000E+006, -2.65680969485E+001, +0.00000000000E+000
+4.94813843750E+006, -2.65696583922E+001, +0.00000000000E+000
+4.94814312500E+006, -2.65742886233E+001, +0.00000000000E+000
+4.94814781250E+006, -2.65785606186E+001, +0.00000000000E+000
+4.94815250000E+006, -2.65832548768E+001, +0.00000000000E+000
+4.94815718750E+006, -2.65869996571E+001, +0.00000000000E+000
+4.94816187500E+006, -2.65912823739E+001, +0.00000000000E+000
+4.94816656250E+006, -2.65944584676E+001, +0.00000000000E+000
+4.94817125000E+006, -2.65974777864E+001, +0.00000000000E+000
+4.94817593750E+006, -2.66003148318E+001, +0.00000000000E+000
+4.94818062500E+006, -2.66033003087E+001, +0.00000000000E+000
+4.94818531250E+006, -2.66084881151E+001, +0.00000000000E+000
+4.94819000000E+006, -2.66116376915E+001, +0.00000000000E+000
+4.94819468750E+006, -2.66126355283E+001, +0.00000000000E+000
+4.94819937500E+006, -2.66198637791E+001, +0.00000000000E+000
+4.94820406250E+006, -2.66215520244E+001, +0.00000000000E+000
+4.94820875000E+006, -2.66269113955E+001, +0.00000000000E+000
+4.94821343750E+006, -2.66302296270E+001, +0.00000000000E+000
+4.94821812500E+006, -2.66336544804E+001, +0.00000000000E+000
+4.94822281250E+006, -2.66376773493E+001, +0.00000000000E+000
+4.94822750000E+006, -2.66411670334E+001, +0.00000000000E+000
+4.94823218750E+006, -2.66457394539E+001, +0.00000000000E+000
+4.94823687500E+006, -2.66488741484E+001, +0.00000000000E+000
+4.94824156250E+006, -2.66513572031E+001, +0.00000000000E+000
+4.94824625000E+006, -2.66547588100E+001, +0.00000000000E+000
+4.94825093750E+006, -2.66594352691E+001, +0.00000000000E+000
+4.94825562500E+006, -2.66635288826E+001, +0.00000000000E+000
+4.94826031250E+006, -2.66686419770E+001, +0.00000000000E+000
+4.94826500000E+006, -2.66719493902E+001, +0.00000000000E+000
+4.94826968750E+006, -2.66758349201E+001, +0.00000000000E+000
+4.94827437500E+006, -2.66788601858E+001, +0.00000000000E+000
+4.94827906250E+006, -2.66828611400E+001, +0.00000000000E+000
+4.94828375000E+006, -2.66858724928E+001, +0.00000000000E+000
+4.94828843750E+006, -2.66911607013E+001, +0.00000000000E+000
+4.94829312500E+006, -2.66936588473E+001, +0.00000000000E+000
+4.94829781250E+006, -2.66979870182E+001, +0.00000000000E+000
+4.94830250000E+006, -2.67030793322E+001, +0.00000000000E+000
+4.94830718750E+006, -2.67040766868E+001, +0.00000000000E+000
+4.94831187500E+006, -2.67107868464E+001, +0.00000000000E+000
+4.94831656250E+006, -2.67156938425E+001, +0.00000000000E+000
+4.94832125000E+006, -2.67196787613E+001, +0.00000000000E+000
+4.94832593750E+006, -2.67222809345E+001, +0.00000000000E+000
+4.94833062500E+006, -2.67251324401E+001, +0.00000000000E+000
+4.94833531250E+006, -2.67301456902E+001, +0.00000000000E+000
+4.94834000000E+006, -2.67350440312E+001, +0.00000000000E+000
+4.94834468750E+006, -2.67391122232E+001, +0.00000000000E+000
+4.94834937500E+006, -2.67416553032E+001, +0.00000000000E+000
+4.94835406250E+006, -2.67457046450E+001, +0.00000000000E+000
+4.94835875000E+006, -2.67511771534E+001, +0.00000000000E+000
+4.94836343750E+006, -2.67561706626E+001, +0.00000000000E+000
+4.94836812500E+006, -2.67568734043E+001, +0.00000000000E+000
+4.94837281250E+006, -2.67623534039E+001, +0.00000000000E+000
+4.94837750000E+006, -2.67652786443E+001, +0.00000000000E+000
+4.94838218750E+006, -2.67715322419E+001, +0.00000000000E+000
+4.94838687500E+006, -2.67762326416E+001, +0.00000000000E+000
+4.94839156250E+006, -2.67766416109E+001, +0.00000000000E+000
+4.94839625000E+006, -2.67823179354E+001, +0.00000000000E+000
+4.94840093750E+006, -2.67869784015E+001, +0.00000000000E+000
+4.94840562500E+006, -2.67895004335E+001, +0.00000000000E+000
+4.94841031250E+006, -2.67936140528E+001, +0.00000000000E+000
+4.94841500000E+006, -2.67983974484E+001, +0.00000000000E+000
+4.94841968750E+006, -2.68027122016E+001, +0.00000000000E+000
+4.94842437500E+006, -2.68080599964E+001, +0.00000000000E+000
+4.94842906250E+006, -2.68118032442E+001, +0.00000000000E+000
+4.94843375000E+006, -2.68145680992E+001, +0.00000000000E+000
+4.94843843750E+006, -2.68195654291E+001, +0.00000000000E+000
+4.94844312500E+006, -2.68255780249E+001, +0.00000000000E+000
+4.94844781250E+006, -2.68285301951E+001, +0.00000000000E+000
+4.94845250000E+006, -2.68335244204E+001, +0.00000000000E+000
+4.94845718750E+006, -2.68355758407E+001, +0.00000000000E+000
+4.94846187500E+006, -2.68419983597E+001, +0.00000000000E+000
+4.94846656250E+006, -2.68446938234E+001, +0.00000000000E+000
+4.94847125000E+006, -2.68507562956E+001, +0.00000000000E+000
+4.94847593750E+006, -2.68557658444E+001, +0.00000000000E+000
+4.94848062500E+006, -2.68568286383E+001, +0.00000000000E+000
+4.94848531250E+006, -2.68621367029E+001, +0.00000000000E+000
+4.94849000000E+006, -2.68662469319E+001, +0.00000000000E+000
+4.94849468750E+006, -2.68713062975E+001, +0.00000000000E+000
+4.94849937500E+006, -2.68738123031E+001, +0.00000000000E+000
+4.94850406250E+006, -2.68779704587E+001, +0.00000000000E+000
+4.94850875000E+006, -2.68826064185E+001, +0.00000000000E+000
+4.94851343750E+006, -2.68868646551E+001, +0.00000000000E+000
+4.94851812500E+006, -2.68921331844E+001, +0.00000000000E+000
+4.94852281250E+006, -2.68967913275E+001, +0.00000000000E+000
+4.94852750000E+006, -2.69015683029E+001, +0.00000000000E+000
+4.94853218750E+006, -2.69051495824E+001, +0.00000000000E+000
+4.94853687500E+006, -2.69091973673E+001, +0.00000000000E+000
+4.94854156250E+006, -2.69137055297E+001, +0.00000000000E+000
+4.94854625000E+006, -2.69197376308E+001, +0.00000000000E+000
+4.94855093750E+006, -2.69230530267E+001, +0.00000000000E+000
+4.94855562500E+006, -2.69285229387E+001, +0.00000000000E+000
+4.94856031250E+006, -2.69304098862E+001, +0.00000000000E+000
+4.94856500000E+006, -2.69364738925E+001, +0.00000000000E+000
+4.94856968750E+006, -2.69405740261E+001, +0.00000000000E+000
+4.94857437500E+006, -2.69443535373E+001, +0.00000000000E+000
+4.94857906250E+006, -2.69495783314E+001, +0.00000000000E+000
+4.94858375000E+006, -2.69531683698E+001, +0.00000000000E+000
+4.94858843750E+006, -2.69592243173E+001, +0.00000000000E+000
+4.94859312500E+006, -2.69633023588E+001, +0.00000000000E+000
+4.94859781250E+006, -2.69680721195E+001, +0.00000000000E+000
+4.94860250000E+006, -2.69728236521E+001, +0.00000000000E+000
+4.94860718750E+006, -2.69764042148E+001, +0.00000000000E+000
+4.94861187500E+006, -2.69805824128E+001, +0.00000000000E+000
+4.94861656250E+006, -2.69857860251E+001, +0.00000000000E+000
+4.94862125000E+006, -2.69920118037E+001, +0.00000000000E+000
+4.94862593750E+006, -2.69968436008E+001, +0.00000000000E+000
+4.94863062500E+006, -2.69989238666E+001, +0.00000000000E+000
+4.94863531250E+006, -2.70035851884E+001, +0.00000000000E+000
+4.94864000000E+006, -2.70092288720E+001, +0.00000000000E+000
+4.94864468750E+006, -2.70119148539E+001, +0.00000000000E+000
+4.94864937500E+006, -2.70162109640E+001, +0.00000000000E+000
+4.94865406250E+006, -2.70239362997E+001, +0.00000000000E+000
+4.94865875000E+006, -2.70269447159E+001, +0.00000000000E+000
+4.94866343750E+006, -2.70319061178E+001, +0.00000000000E+000
+4.94866812500E+006, -2.70369198443E+001, +0.00000000000E+000
+4.94867281250E+006, -2.70409565471E+001, +0.00000000000E+000
+4.94867750000E+006, -2.70454227442E+001, +0.00000000000E+000
+4.94868218750E+006, -2.70508032290E+001, +0.00000000000E+000
+4.94868687500E+006, -2.70567609201E+001, +0.00000000000E+000
+4.94869156250E+006, -2.70604413369E+001, +0.00000000000E+000
+4.94869625000E+006, -2.70646593840E+001, +0.00000000000E+000
+4.94870093750E+006, -2.70695635123E+001, +0.00000000000E+000
+4.94870562500E+006, -2.70743005325E+001, +0.00000000000E+000
+4.94871031250E+006, -2.70793635623E+001, +0.00000000000E+000
+4.94871500000E+006, -2.70851960028E+001, +0.00000000000E+000
+4.94871968750E+006, -2.70898132483E+001, +0.00000000000E+000
+4.94872437500E+006, -2.70941744543E+001, +0.00000000000E+000
+4.94872906250E+006, -2.71000572326E+001, +0.00000000000E+000
+4.94873375000E+006, -2.71053985843E+001, +0.00000000000E+000
+4.94873843750E+006, -2.71087324040E+001, +0.00000000000E+000
+4.94874312500E+006, -2.71145560781E+001, +0.00000000000E+000
+4.94874781250E+006, -2.71191164652E+001, +0.00000000000E+000
+4.94875250000E+006, -2.71235986739E+001, +0.00000000000E+000
+4.94875718750E+006, -2.71280360547E+001, +0.00000000000E+000
+4.94876187500E+006, -2.71334242644E+001, +0.00000000000E+000
+4.94876656250E+006, -2.71393652448E+001, +0.00000000000E+000
+4.94877125000E+006, -2.71431828882E+001, +0.00000000000E+000
+4.94877593750E+006, -2.71481457244E+001, +0.00000000000E+000
+4.94878062500E+006, -2.71525605415E+001, +0.00000000000E+000
+4.94878531250E+006, -2.71582340650E+001, +0.00000000000E+000
+4.94879000000E+006, -2.71625751862E+001, +0.00000000000E+000
+4.94879468750E+006, -2.71683741413E+001, +0.00000000000E+000
+4.94879937500E+006, -2.71726943474E+001, +0.00000000000E+000
+4.94880406250E+006, -2.71763973364E+001, +0.00000000000E+000
+4.94880875000E+006, -2.71823463003E+001, +0.00000000000E+000
+4.94881343750E+006, -2.71874954647E+001, +0.00000000000E+000
+4.94881812500E+006, -2.71920549101E+001, +0.00000000000E+000
+4.94882281250E+006, -2.72007595132E+001, +0.00000000000E+000
+4.94882750000E+006, -2.72058167827E+001, +0.00000000000E+000
+4.94883218750E+006, -2.72105325820E+001, +0.00000000000E+000
+4.94883687500E+006, -2.72134585099E+001, +0.00000000000E+000
+4.94884156250E+006, -2.72187200833E+001, +0.00000000000E+000
+4.94884625000E+006, -2.72235817924E+001, +0.00000000000E+000
+4.94885093750E+006, -2.72309021839E+001, +0.00000000000E+000
+4.94885562500E+006, -2.72350532794E+001, +0.00000000000E+000
+4.94886031250E+006, -2.72402040590E+001, +0.00000000000E+000
+4.94886500000E+006, -2.72451831597E+001, +0.00000000000E+000
+4.94886968750E+006, -2.72500456518E+001, +0.00000000000E+000
+4.94887437500E+006, -2.72554386700E+001, +0.00000000000E+000
+4.94887906250E+006, -2.72620390728E+001, +0.00000000000E+000
+4.94888375000E+006, -2.72672057354E+001, +0.00000000000E+000
+4.94888843750E+006, -2.72735042997E+001, +0.00000000000E+000
+4.94889312500E+006, -2.72770870505E+001, +0.00000000000E+000
+4.94889781250E+006, -2.72822974906E+001, +0.00000000000E+000
+4.94890250000E+006, -2.72882857413E+001, +0.00000000000E+000
+4.94890718750E+006, -2.72923151039E+001, +0.00000000000E+000
+4.94891187500E+006, -2.72983437889E+001, +0.00000000000E+000
+4.94891656250E+006, -2.73023603331E+001, +0.00000000000E+000
+4.94892125000E+006, -2.73080016691E+001, +0.00000000000E+000
+4.94892593750E+006, -2.73140093623E+001, +0.00000000000E+000
+4.94893062500E+006, -2.73193730144E+001, +0.00000000000E+000
+4.94893531250E+006, -2.73246879072E+001, +0.00000000000E+000
+4.94894000000E+006, -2.73289961052E+001, +0.00000000000E+000
+4.94894468750E+006, -2.73359344635E+001, +0.00000000000E+000
+4.94894937500E+006, -2.73411065936E+001, +0.00000000000E+000
+4.94895406250E+006, -2.73460472367E+001, +0.00000000000E+000
+4.94895875000E+006, -2.73527273858E+001, +0.00000000000E+000
+4.94896343750E+006, -2.73595273455E+001, +0.00000000000E+000
+4.94896812500E+006, -2.73632154735E+001, +0.00000000000E+000
+4.94897281250E+006, -2.73682701453E+001, +0.00000000000E+000
+4.94897750000E+006, -2.73744236821E+001, +0.00000000000E+000
+4.94898218750E+006, -2.73802398924E+001, +0.00000000000E+000
+4.94898687500E+006, -2.73844133170E+001, +0.00000000000E+000
+4.94899156250E+006, -2.73921424792E+001, +0.00000000000E+000
+4.94899625000E+006, -2.73971585807E+001, +0.00000000000E+000
+4.94900093750E+006, -2.74023719219E+001, +0.00000000000E+000
+4.94900562500E+006, -2.74079794377E+001, +0.00000000000E+000
+4.94901031250E+006, -2.74125365836E+001, +0.00000000000E+000
+4.94901500000E+006, -2.74175929094E+001, +0.00000000000E+000
+4.94901968750E+006, -2.74250214411E+001, +0.00000000000E+000
+4.94902437500E+006, -2.74314840798E+001, +0.00000000000E+000
+4.94902906250E+006, -2.74359750722E+001, +0.00000000000E+000
+4.94903375000E+006, -2.74427992640E+001, +0.00000000000E+000
+4.94903843750E+006, -2.74470477707E+001, +0.00000000000E+000
+4.94904312500E+006, -2.74535604341E+001, +0.00000000000E+000
+4.94904781250E+006, -2.74605256553E+001, +0.00000000000E+000
+4.94905250000E+006, -2.74648639389E+001, +0.00000000000E+000
+4.94905718750E+006, -2.74704659205E+001, +0.00000000000E+000
+4.94906187500E+006, -2.74752837054E+001, +0.00000000000E+000
+4.94906656250E+006, -2.74818122684E+001, +0.00000000000E+000
+4.94907125000E+006, -2.74889674340E+001, +0.00000000000E+000
+4.94907593750E+006, -2.74967611287E+001, +0.00000000000E+000
+4.94908062500E+006, -2.75006338794E+001, +0.00000000000E+000
+4.94908531250E+006, -2.75062510411E+001, +0.00000000000E+000
+4.94909000000E+006, -2.75117241269E+001, +0.00000000000E+000
+4.94909468750E+006, -2.75168676343E+001, +0.00000000000E+000
+4.94909937500E+006, -2.75226628649E+001, +0.00000000000E+000
+4.94910406250E+006, -2.75293018342E+001, +0.00000000000E+000
+4.94910875000E+006, -2.75339603615E+001, +0.00000000000E+000
+4.94911343750E+006, -2.75399910556E+001, +0.00000000000E+000
+4.94911812500E+006, -2.75459577595E+001, +0.00000000000E+000
+4.94912281250E+006, -2.75555286726E+001, +0.00000000000E+000
+4.94912750000E+006, -2.75588540023E+001, +0.00000000000E+000
+4.94913218750E+006, -2.75659081727E+001, +0.00000000000E+000
+4.94913687500E+006, -2.75714927831E+001, +0.00000000000E+000
+4.94914156250E+006, -2.75770566757E+001, +0.00000000000E+000
+4.94914625000E+006, -2.75835723200E+001, +0.00000000000E+000
+4.94915093750E+006, -2.75897127231E+001, +0.00000000000E+000
+4.94915562500E+006, -2.75979631087E+001, +0.00000000000E+000
+4.94916031250E+006, -2.76031525918E+001, +0.00000000000E+000
+4.94916500000E+006, -2.76078727361E+001, +0.00000000000E+000
+4.94916968750E+006, -2.76141109563E+001, +0.00000000000E+000
+4.94917437500E+006, -2.76205179590E+001, +0.00000000000E+000
+4.94917906250E+006, -2.76262505534E+001, +0.00000000000E+000
+4.94918375000E+006, -2.76339500273E+001, +0.00000000000E+000
+4.94918843750E+006, -2.76394462154E+001, +0.00000000000E+000
+4.94919312500E+006, -2.76437066889E+001, +0.00000000000E+000
+4.94919781250E+006, -2.76527083373E+001, +0.00000000000E+000
+4.94920250000E+006, -2.76577775609E+001, +0.00000000000E+000
+4.94920718750E+006, -2.76649253023E+001, +0.00000000000E+000
+4.94921187500E+006, -2.76698803291E+001, +0.00000000000E+000
+4.94921656250E+006, -2.76763744761E+001, +0.00000000000E+000
+4.94922125000E+006, -2.76821082970E+001, +0.00000000000E+000
+4.94922593750E+006, -2.76896158752E+001, +0.00000000000E+000
+4.94923062500E+006, -2.76946597768E+001, +0.00000000000E+000
+4.94923531250E+006, -2.77018140761E+001, +0.00000000000E+000
+4.94924000000E+006, -2.77069142170E+001, +0.00000000000E+000
+4.94924468750E+006, -2.77153027923E+001, +0.00000000000E+000
+4.94924937500E+006, -2.77199930504E+001, +0.00000000000E+000
+4.94925406250E+006, -2.77263574721E+001, +0.00000000000E+000
+4.94925875000E+006, -2.77347941644E+001, +0.00000000000E+000
+4.94926343750E+006, -2.77398672050E+001, +0.00000000000E+000
+4.94926812500E+006, -2.77476565429E+001, +0.00000000000E+000
+4.94927281250E+006, -2.77520581092E+001, +0.00000000000E+000
+4.94927750000E+006, -2.77594945110E+001, +0.00000000000E+000
+4.94928218750E+006, -2.77666252586E+001, +0.00000000000E+000
+4.94928687500E+006, -2.77743770748E+001, +0.00000000000E+000
+4.94929156250E+006, -2.77780309185E+001, +0.00000000000E+000
+4.94929625000E+006, -2.77857577172E+001, +0.00000000000E+000
+4.94930093750E+006, -2.77947492561E+001, +0.00000000000E+000
+4.94930562500E+006, -2.77970431574E+001, +0.00000000000E+000
+4.94931031250E+006, -2.78058647019E+001, +0.00000000000E+000
+4.94931500000E+006, -2.78122383673E+001, +0.00000000000E+000
+4.94931968750E+006, -2.78195372431E+001, +0.00000000000E+000
+4.94932437500E+006, -2.78259991482E+001, +0.00000000000E+000
+4.94932906250E+006, -2.78323403418E+001, +0.00000000000E+000
+4.94933375000E+006, -2.78397618474E+001, +0.00000000000E+000
+4.94933843750E+006, -2.78461267188E+001, +0.00000000000E+000
+4.94934312500E+006, -2.78521983419E+001, +0.00000000000E+000
+4.94934781250E+006, -2.78601704605E+001, +0.00000000000E+000
+4.94935250000E+006, -2.78670825124E+001, +0.00000000000E+000
