"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95328375000E+006, -2.42588331414E+001, +0.00000000000E+000
+4.95328500000E+006, -2.36633419200E+001, +0.00000000000E+000
+4.95328625000E+006, -2.33041001126E+001, +0.00000000000E+000
+4.95328750000E+006, -2.30878821983E+001, +0.00000000000E+000
+4.95328875000E+006, -2.29605727421E+001, +0.00000000000E+000
+4.95329000000E+006, -2.28920730998E+001, +0.00000000000E+000
+4.95329125000E+006, -2.28513180234E+001, +0.00000000000E+000
+4.95329250000E+006, -2.28341158160E+001, +0.00000000000E+000
+4.95329375000E+006, -2.28286296846E+001, +0.00000000000E+000
+4.95329500000E+006, -2.28287622029E+001, +0.00000000000E+000
+4.95329625000E+006, -2.28318361859E+001, +0.00000000000E+000
+4.95329750000E+006, -2.28383546444E+001, +0.00000000000E+000
+4.95329875000E+006, -2.28469520515E+001, +0.00000000000E+000
+4.95330000000E+006, -2.28541226047E+001, +0.00000000000E+000
+4.95330125000E+006, -2.28628123658E+001, +0.00000000000E+000
+4.95330250000E+006, -2.28719089586E+001, +0.00000000000E+000
+4.95330375000E+006, -2.28801876294E+001, +0.00000000000E+000
+4.95330500000E+006, -2.28881336264E+001, +0.00000000000E+000
+4.95330625000E+006, -2.28975930550E+001, +0.00000000000E+000
+4.95330750000E+006, -2.29060405200E+001, +0.00000000000E+000
+4.95330875000E+006, -2.29137484828E+001, +0.00000000000E+000
+4.95331000000E+006, -2.29223149826E+001, +0.00000000000E+000
+4.95331125000E+006, -2.29305985776E+001, +0.00000000000E+000
+4.95331250000E+006, -2.29383576211E+001, +0.00000000000E+000
+4.95331375000E+006, -2.29479542826E+001, +0.00000000000E+000
+4.95331500000E+006, -2.29556964247E+001, +0.00000000000E+000
+4.95331625000E+006, -2.29641168379E+001, +0.00000000000E+000
+4.95331750000E+006, -2.29729105950E+001, +0.00000000000E+000
+4.95331875000E+006, -2.29822923556E+001, +0.00000000000E+000
+4.95332000000E+006, -2.29908131646E+001, +0.00000000000E+000
+4.95332125000E+006, -2.29988238461E+001, +0.00000000000E+000
+4.95332250000E+006, -2.30084235541E+001, +0.00000000000E+000
+4.95332375000E+006, -2.30171972171E+001, +0.00000000000E+000
+4.95332500000E+006, -2.30258129135E+001, +0.00000000000E+000
+4.95332625000E+006, -2.30336176266E+001, +0.00000000000E+000
+4.95332750000E+006, -2.30436758998E+001, +0.00000000000E+000
+4.95332875000E+006, -2.30533280534E+001, +0.00000000000E+000
+4.95333000000E+006, -2.30597531279E+001, +0.00000000000E+000
+4.95333125000E+006, -2.30706359875E+001, +0.00000000000E+000
+4.95333250000E+006, -2.30781526951E+001, +0.00000000000E+000
+4.95333375000E+006, -2.30886630405E+001, +0.00000000000E+000
+4.95333500000E+006, -2.30964881806E+001, +0.00000000000E+000
+4.95333625000E+006, -2.31045284217E+001, +0.00000000000E+000
+4.95333750000E+006, -2.31135491170E+001, +0.00000000000E+000
+4.95333875000E+006, -2.31214291364E+001, +0.00000000000E+000
+4.95334000000E+006, -2.31313039060E+001, +0.00000000000E+000
+4.95334125000E+006, -2.31414975636E+001, +0.00000000000E+000
+4.95334250000E+006, -2.31514644697E+001, +0.00000000000E+000
+4.95334375000E+006, -2.31597776527E+001, +0.00000000000E+000
+4.95334500000E+006, -2.31676622666E+001, +0.00000000000E+000
+4.95334625000E+006, -2.31764822621E+001, +0.00000000000E+000
+4.95334750000E+006, -2.31856497755E+001, +0.00000000000E+000
+4.95334875000E+006, -2.31932298239E+001, +0.00000000000E+000
+4.95335000000E+006, -2.32040030882E+001, +0.00000000000E+000
+4.95335125000E+006, -2.32130664298E+001, +0.00000000000E+000
+4.95335250000E+006, -2.32224032310E+001, +0.00000000000E+000
+4.95335375000E+006, -2.32312607395E+001, +0.00000000000E+000
+4.95335500000E+006, -2.32414067010E+001, +0.00000000000E+000
+4.95335625000E+006, -2.32505252869E+001, +0.00000000000E+000
+4.95335750000E+006, -2.32611198595E+001, +0.00000000000E+000
+4.95335875000E+006, -2.32705588135E+001, +0.00000000000E+000
+4.95336000000E+006, -2.32784916889E+001, +0.00000000000E+000
+4.95336125000E+006, -2.32861159934E+001, +0.00000000000E+000
+4.95336250000E+006, -2.32984492512E+001, +0.00000000000E+000
+4.95336375000E+006, -2.33085111348E+001, +0.00000000000E+000
+4.95336500000E+006, -2.33151078401E+001, +0.00000000000E+000
+4.95336625000E+006, -2.33253878111E+001, +0.00000000000E+000
+4.95336750000E+006, -2.33360173102E+001, +0.00000000000E+000
+4.95336875000E+006, -2.33470266582E+001, +0.00000000000E+000
+4.95337000000E+006, -2.33533175641E+001, +0.00000000000E+000
+4.95337125000E+006, -2.33651700875E+001, +0.00000000000E+000
+4.95337250000E+006, -2.33712280253E+001, +0.00000000000E+000
+4.95337375000E+006, -2.33841750522E+001, +0.00000000000E+000
+4.95337500000E+006, -2.33933592704E+001, +0.00000000000E+000
+4.95337625000E+006, -2.34030065192E+001, +0.00000000000E+000
+4.95337750000E+006, -2.34121763711E+001, +0.00000000000E+000
+4.95337875000E+006, -2.34225511671E+001, +0.00000000000E+000
+4.95338000000E+006, -2.34326855356E+001, +0.00000000000E+000
+4.95338125000E+006, -2.34426251883E+001, +0.00000000000E+000
+4.95338250000E+006, -2.34531784126E+001, +0.00000000000E+000
+4.95338375000E+006, -2.34616639929E+001, +0.00000000000E+000
+4.95338500000E+006, -2.34737807819E+001, +0.00000000000E+000
+4.95338625000E+006, -2.34827413673E+001, +0.00000000000E+000
+4.95338750000E+006, -2.34920369381E+001, +0.00000000000E+000
+4.95338875000E+006, -2.35021748574E+001, +0.00000000000E+000
+4.95339000000E+006, -2.35134654748E+001, +0.00000000000E+000
+4.95339125000E+006, -2.35240137235E+001, +0.00000000000E+000
+4.95339250000E+006, -2.35323740781E+001, +0.00000000000E+000
+4.95339375000E+006, -2.35424891454E+001, +0.00000000000E+000
+4.95339500000E+006, -2.35540167371E+001, +0.00000000000E+000
+4.95339625000E+006, -2.35624455941E+001, +0.00000000000E+000
+4.95339750000E+006, -2.35720190223E+001, +0.00000000000E+000
+4.95339875000E+006, -2.35843945979E+001, +0.00000000000E+000
+4.95340000000E+006, -2.35938078892E+001, +0.00000000000E+000
+4.95340125000E+006, -2.36042047534E+001, +0.00000000000E+000
+4.95340250000E+006, -2.36165515001E+001, +0.00000000000E+000
+4.95340375000E+006, -2.36236377333E+001, +0.00000000000E+000
+4.95340500000E+006, -2.36346049881E+001, +0.00000000000E+000
+4.95340625000E+006, -2.36450446602E+001, +0.00000000000E+000
+4.95340750000E+006, -2.36576301041E+001, +0.00000000000E+000
+4.95340875000E+006, -2.36672133588E+001, +0.00000000000E+000
+4.95341000000E+006, -2.36771402380E+001, +0.00000000000E+000
+4.95341125000E+006, -2.36865919685E+001, +0.00000000000E+000
+4.95341250000E+006, -2.36982456279E+001, +0.00000000000E+000
+4.95341375000E+006, -2.37090925063E+001, +0.00000000000E+000
+4.95341500000E+006, -2.37205156100E+001, +0.00000000000E+000
