"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95328375000E+006, +9.81403836835E-001, +0.00000000000E+000
+4.95328500000E+006, +9.77278885856E-001, +0.00000000000E+000
+4.95328625000E+006, +9.82679397635E-001, +0.00000000000E+000
+4.95328750000E+006, +9.88204672974E-001, +0.00000000000E+000
+4.95328875000E+006, +9.91222495210E-001, +0.00000000000E+000
+4.95329000000E+006, +9.92164642440E-001, +0.00000000000E+000
+4.95329125000E+006, +9.92064569364E-001, +0.00000000000E+000
+4.95329250000E+006, +9.91755224999E-001, +0.00000000000E+000
+4.95329375000E+006, +9.91508694475E-001, +0.00000000000E+000
+4.95329500000E+006, +9.91375803056E-001, +0.00000000000E+000
+4.95329625000E+006, +9.91356757556E-001, +0.00000000000E+000
+4.95329750000E+006, +9.91327680866E-001, +0.00000000000E+000
+4.95329875000E+006, +9.91320336830E-001, +0.00000000000E+000
+4.95330000000E+006, +9.91312763260E-001, +0.00000000000E+000
+4.95330125000E+006, +9.91320125288E-001, +0.00000000000E+000
+4.95330250000E+006, +9.91278746318E-001, +0.00000000000E+000
+4.95330375000E+006, +9.91258245222E-001, +0.00000000000E+000
+4.95330500000E+006, +9.91233292186E-001, +0.00000000000E+000
+4.95330625000E+006, +9.91208461995E-001, +0.00000000000E+000
+4.95330750000E+006, +9.91171914370E-001, +0.00000000000E+000
+4.95330875000E+006, +9.91171406196E-001, +0.00000000000E+000
+4.95331000000E+006, +9.91134822414E-001, +0.00000000000E+000
+4.95331125000E+006, +9.91151227992E-001, +0.00000000000E+000
+4.95331250000E+006, +9.91099479252E-001, +0.00000000000E+000
+4.95331375000E+006, +9.91075922507E-001, +0.00000000000E+000
+4.95331500000E+006, +9.91066534837E-001, +0.00000000000E+000
+4.95331625000E+006, +9.91037150488E-001, +0.00000000000E+000
+4.95331750000E+006, +9.91011940349E-001, +0.00000000000E+000
+4.95331875000E+006, +9.91002655660E-001, +0.00000000000E+000
+4.95332000000E+006, +9.90953741379E-001, +0.00000000000E+000
+4.95332125000E+006, +9.90948706319E-001, +0.00000000000E+000
+4.95332250000E+006, +9.90935208117E-001, +0.00000000000E+000
+4.95332375000E+006, +9.90916114280E-001, +0.00000000000E+000
+4.95332500000E+006, +9.90885973924E-001, +0.00000000000E+000
+4.95332625000E+006, +9.90856154367E-001, +0.00000000000E+000
+4.95332750000E+006, +9.90850667686E-001, +0.00000000000E+000
+4.95332875000E+006, +9.90841142643E-001, +0.00000000000E+000
+4.95333000000E+006, +9.90787419846E-001, +0.00000000000E+000
+4.95333125000E+006, +9.90802986049E-001, +0.00000000000E+000
+4.95333250000E+006, +9.90754076075E-001, +0.00000000000E+000
+4.95333375000E+006, +9.90700875304E-001, +0.00000000000E+000
+4.95333500000E+006, +9.90700970762E-001, +0.00000000000E+000
+4.95333625000E+006, +9.90670873013E-001, +0.00000000000E+000
+4.95333750000E+006, +9.90664624576E-001, +0.00000000000E+000
+4.95333875000E+006, +9.90644499725E-001, +0.00000000000E+000
+4.95334000000E+006, +9.90600395747E-001, +0.00000000000E+000
+4.95334125000E+006, +9.90592946678E-001, +0.00000000000E+000
+4.95334250000E+006, +9.90546869355E-001, +0.00000000000E+000
+4.95334375000E+006, +9.90527927725E-001, +0.00000000000E+000
+4.95334500000E+006, +9.90509779257E-001, +0.00000000000E+000
+4.95334625000E+006, +9.90498380752E-001, +0.00000000000E+000
+4.95334750000E+006, +9.90449324812E-001, +0.00000000000E+000
+4.95334875000E+006, +9.90448612913E-001, +0.00000000000E+000
+4.95335000000E+006, +9.90421439748E-001, +0.00000000000E+000
