"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95328375000E+006, -2.77890060006E+001, +0.00000000000E+000
+4.95328500000E+006, -2.65309135268E+001, +0.00000000000E+000
+4.95328625000E+006, -2.59438405688E+001, +0.00000000000E+000
+4.95328750000E+006, -2.58133082389E+001, +0.00000000000E+000
+4.95328875000E+006, -2.58692331211E+001, +0.00000000000E+000
+4.95329000000E+006, -2.59587055651E+001, +0.00000000000E+000
+4.95329125000E+006, -2.60174851036E+001, +0.00000000000E+000
+4.95329250000E+006, -2.60444620902E+001, +0.00000000000E+000
+4.95329375000E+006, -2.60551912312E+001, +0.00000000000E+000
+4.95329500000E+006, -2.60599333353E+001, +0.00000000000E+000
+4.95329625000E+006, -2.60670308690E+001, +0.00000000000E+000
+4.95329750000E+006, -2.60741216347E+001, +0.00000000000E+000
+4.95329875000E+006, -2.60835040196E+001, +0.00000000000E+000
+4.95330000000E+006, -2.60923210195E+001, +0.00000000000E+000
+4.95330125000E+006, -2.61028569443E+001, +0.00000000000E+000
+4.95330250000E+006, -2.61114763174E+001, +0.00000000000E+000
+4.95330375000E+006, -2.61202562246E+001, +0.00000000000E+000
+4.95330500000E+006, -2.61311144023E+001, +0.00000000000E+000
+4.95330625000E+006, -2.61393440249E+001, +0.00000000000E+000
+4.95330750000E+006, -2.61490532023E+001, +0.00000000000E+000
+4.95330875000E+006, -2.61609483405E+001, +0.00000000000E+000
+4.95331000000E+006, -2.61703599492E+001, +0.00000000000E+000
+4.95331125000E+006, -2.61802684340E+001, +0.00000000000E+000
+4.95331250000E+006, -2.61914376066E+001, +0.00000000000E+000
+4.95331375000E+006, -2.61996621986E+001, +0.00000000000E+000
+4.95331500000E+006, -2.62101428847E+001, +0.00000000000E+000
+4.95331625000E+006, -2.62186171319E+001, +0.00000000000E+000
+4.95331750000E+006, -2.62294497837E+001, +0.00000000000E+000
+4.95331875000E+006, -2.62393238569E+001, +0.00000000000E+000
+4.95332000000E+006, -2.62506864386E+001, +0.00000000000E+000
+4.95332125000E+006, -2.62597384649E+001, +0.00000000000E+000
+4.95332250000E+006, -2.62698129077E+001, +0.00000000000E+000
+4.95332375000E+006, -2.62801126342E+001, +0.00000000000E+000
+4.95332500000E+006, -2.62904169534E+001, +0.00000000000E+000
+4.95332625000E+006, -2.62995236384E+001, +0.00000000000E+000
+4.95332750000E+006, -2.63098231183E+001, +0.00000000000E+000
+4.95332875000E+006, -2.63209853746E+001, +0.00000000000E+000
