"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95634812500E+006, -2.98451390553E+001, +0.00000000000E+000
+4.95634875000E+006, -3.32143049407E+001, +0.00000000000E+000
+4.95634937500E+006, -2.90452296385E+001, +0.00000000000E+000
+4.95635000000E+006, -3.28355582043E+001, +0.00000000000E+000
+4.95635062500E+006, -3.01619452675E+001, +0.00000000000E+000
+4.95635125000E+006, -3.19456788809E+001, +0.00000000000E+000
+4.95635187500E+006, -3.09341577036E+001, +0.00000000000E+000
+4.95635250000E+006, -3.14907954233E+001, +0.00000000000E+000
+4.95635312500E+006, -3.12667430087E+001, +0.00000000000E+000
+4.95635375000E+006, -3.13657212176E+001, +0.00000000000E+000
+4.95635437500E+006, -3.13819678881E+001, +0.00000000000E+000
+4.95635500000E+006, -3.13741741320E+001, +0.00000000000E+000
+4.95635562500E+006, -3.14245357783E+001, +0.00000000000E+000
+4.95635625000E+006, -3.14186774730E+001, +0.00000000000E+000
+4.95635687500E+006, -3.14535130897E+001, +0.00000000000E+000
+4.95635750000E+006, -3.14629381024E+001, +0.00000000000E+000
+4.95635812500E+006, -3.14870388480E+001, +0.00000000000E+000
+4.95635875000E+006, -3.15026271271E+001, +0.00000000000E+000
+4.95635937500E+006, -3.15243594801E+001, +0.00000000000E+000
+4.95636000000E+006, -3.15433018030E+001, +0.00000000000E+000
+4.95636062500E+006, -3.15611532456E+001, +0.00000000000E+000
+4.95636125000E+006, -3.15818250219E+001, +0.00000000000E+000
+4.95636187500E+006, -3.15990620545E+001, +0.00000000000E+000
+4.95636250000E+006, -3.16209616365E+001, +0.00000000000E+000
+4.95636312500E+006, -3.16405065308E+001, +0.00000000000E+000
+4.95636375000E+006, -3.16606803395E+001, +0.00000000000E+000
+4.95636437500E+006, -3.16783012069E+001, +0.00000000000E+000
+4.95636500000E+006, -3.16978617178E+001, +0.00000000000E+000
+4.95636562500E+006, -3.17182408306E+001, +0.00000000000E+000
+4.95636625000E+006, -3.17376788081E+001, +0.00000000000E+000
+4.95636687500E+006, -3.17571259753E+001, +0.00000000000E+000
+4.95636750000E+006, -3.17761342787E+001, +0.00000000000E+000
+4.95636812500E+006, -3.17979561917E+001, +0.00000000000E+000
+4.95636875000E+006, -3.18194576383E+001, +0.00000000000E+000
+4.95636937500E+006, -3.18378704504E+001, +0.00000000000E+000
+4.95637000000E+006, -3.18589859337E+001, +0.00000000000E+000
+4.95637062500E+006, -3.18775822914E+001, +0.00000000000E+000
+4.95637125000E+006, -3.18979339014E+001, +0.00000000000E+000
+4.95637187500E+006, -3.19188660891E+001, +0.00000000000E+000
+4.95637250000E+006, -3.19373276676E+001, +0.00000000000E+000
+4.95637312500E+006, -3.19581977212E+001, +0.00000000000E+000
+4.95637375000E+006, -3.19791645742E+001, +0.00000000000E+000
+4.95637437500E+006, -3.19998220389E+001, +0.00000000000E+000
+4.95637500000E+006, -3.20210450481E+001, +0.00000000000E+000
+4.95637562500E+006, -3.20413081430E+001, +0.00000000000E+000
+4.95637625000E+006, -3.20626006885E+001, +0.00000000000E+000
+4.95637687500E+006, -3.20822399781E+001, +0.00000000000E+000
+4.95637750000E+006, -3.21044440469E+001, +0.00000000000E+000
+4.95637812500E+006, -3.21237435165E+001, +0.00000000000E+000
+4.95637875000E+006, -3.21451974204E+001, +0.00000000000E+000
+4.95637937500E+006, -3.21673612951E+001, +0.00000000000E+000
+4.95638000000E+006, -3.21865034857E+001, +0.00000000000E+000
+4.95638062500E+006, -3.22086430884E+001, +0.00000000000E+000
+4.95638125000E+006, -3.22303045906E+001, +0.00000000000E+000
+4.95638187500E+006, -3.22507576399E+001, +0.00000000000E+000
+4.95638250000E+006, -3.22731031444E+001, +0.00000000000E+000
+4.95638312500E+006, -3.22932927979E+001, +0.00000000000E+000
+4.95638375000E+006, -3.23142163233E+001, +0.00000000000E+000
+4.95638437500E+006, -3.23357962594E+001, +0.00000000000E+000
+4.95638500000E+006, -3.23573387913E+001, +0.00000000000E+000
+4.95638562500E+006, -3.23783565599E+001, +0.00000000000E+000
+4.95638625000E+006, -3.24014246323E+001, +0.00000000000E+000
+4.95638687500E+006, -3.24238910368E+001, +0.00000000000E+000
+4.95638750000E+006, -3.24437526539E+001, +0.00000000000E+000
+4.95638812500E+006, -3.24662047622E+001, +0.00000000000E+000
+4.95638875000E+006, -3.24882881061E+001, +0.00000000000E+000
+4.95638937500E+006, -3.25113390828E+001, +0.00000000000E+000
+4.95639000000E+006, -3.25320688167E+001, +0.00000000000E+000
+4.95639062500E+006, -3.25534127411E+001, +0.00000000000E+000
+4.95639125000E+006, -3.25776275194E+001, +0.00000000000E+000
+4.95639187500E+006, -3.25982174694E+001, +0.00000000000E+000
+4.95639250000E+006, -3.26204930907E+001, +0.00000000000E+000
+4.95639312500E+006, -3.26426979674E+001, +0.00000000000E+000
+4.95639375000E+006, -3.26641489941E+001, +0.00000000000E+000
+4.95639437500E+006, -3.26871188021E+001, +0.00000000000E+000
+4.95639500000E+006, -3.27094836062E+001, +0.00000000000E+000
+4.95639562500E+006, -3.27343299744E+001, +0.00000000000E+000
+4.95639625000E+006, -3.27545759627E+001, +0.00000000000E+000
+4.95639687500E+006, -3.27766899669E+001, +0.00000000000E+000
+4.95639750000E+006, -3.27999670869E+001, +0.00000000000E+000
+4.95639812500E+006, -3.28238670456E+001, +0.00000000000E+000
+4.95639875000E+006, -3.28453242598E+001, +0.00000000000E+000
+4.95639937500E+006, -3.28693749258E+001, +0.00000000000E+000
+4.95640000000E+006, -3.28915987826E+001, +0.00000000000E+000
+4.95640062500E+006, -3.29154012014E+001, +0.00000000000E+000
+4.95640125000E+006, -3.29383012692E+001, +0.00000000000E+000
+4.95640187500E+006, -3.29619486099E+001, +0.00000000000E+000
+4.95640250000E+006, -3.29848954792E+001, +0.00000000000E+000
+4.95640312500E+006, -3.30120769369E+001, +0.00000000000E+000
+4.95640375000E+006, -3.30321973514E+001, +0.00000000000E+000
+4.95640437500E+006, -3.30559827184E+001, +0.00000000000E+000
+4.95640500000E+006, -3.30794802342E+001, +0.00000000000E+000
+4.95640562500E+006, -3.31033463445E+001, +0.00000000000E+000
+4.95640625000E+006, -3.31273456162E+001, +0.00000000000E+000
+4.95640687500E+006, -3.31493451027E+001, +0.00000000000E+000
+4.95640750000E+006, -3.31750570428E+001, +0.00000000000E+000
+4.95640812500E+006, -3.31988422052E+001, +0.00000000000E+000
+4.95640875000E+006, -3.32214271037E+001, +0.00000000000E+000
+4.95640937500E+006, -3.32466447386E+001, +0.00000000000E+000
+4.95641000000E+006, -3.32700821874E+001, +0.00000000000E+000
+4.95641062500E+006, -3.32955189546E+001, +0.00000000000E+000
+4.95641125000E+006, -3.33204740521E+001, +0.00000000000E+000
+4.95641187500E+006, -3.33456596044E+001, +0.00000000000E+000
+4.95641250000E+006, -3.33673255735E+001, +0.00000000000E+000
+4.95641312500E+006, -3.33921896760E+001, +0.00000000000E+000
+4.95641375000E+006, -3.34183097179E+001, +0.00000000000E+000
+4.95641437500E+006, -3.34414241673E+001, +0.00000000000E+000
+4.95641500000E+006, -3.34658682837E+001, +0.00000000000E+000
+4.95641562500E+006, -3.34913301330E+001, +0.00000000000E+000
+4.95641625000E+006, -3.35163753477E+001, +0.00000000000E+000
+4.95641687500E+006, -3.35403435018E+001, +0.00000000000E+000
+4.95641750000E+006, -3.35669961023E+001, +0.00000000000E+000
+4.95641812500E+006, -3.35935452503E+001, +0.00000000000E+000
+4.95641875000E+006, -3.36163685993E+001, +0.00000000000E+000
+4.95641937500E+006, -3.36417020595E+001, +0.00000000000E+000
+4.95642000000E+006, -3.36660451931E+001, +0.00000000000E+000
+4.95642062500E+006, -3.36935939418E+001, +0.00000000000E+000
+4.95642125000E+006, -3.37175766975E+001, +0.00000000000E+000
+4.95642187500E+006, -3.37442260163E+001, +0.00000000000E+000
+4.95642250000E+006, -3.37706884697E+001, +0.00000000000E+000
+4.95642312500E+006, -3.37951911329E+001, +0.00000000000E+000
+4.95642375000E+006, -3.38207417010E+001, +0.00000000000E+000
+4.95642437500E+006, -3.38468285883E+001, +0.00000000000E+000
+4.95642500000E+006, -3.38720796556E+001, +0.00000000000E+000
+4.95642562500E+006, -3.38994874008E+001, +0.00000000000E+000
+4.95642625000E+006, -3.39258057580E+001, +0.00000000000E+000
+4.95642687500E+006, -3.39498751577E+001, +0.00000000000E+000
+4.95642750000E+006, -3.39775111459E+001, +0.00000000000E+000
+4.95642812500E+006, -3.40049319186E+001, +0.00000000000E+000
+4.95642875000E+006, -3.40277589172E+001, +0.00000000000E+000
+4.95642937500E+006, -3.40565136335E+001, +0.00000000000E+000
+4.95643000000E+006, -3.40830466439E+001, +0.00000000000E+000
