"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95634812500E+006, +4.41679182974E-001, +0.00000000000E+000
+4.95634875000E+006, +5.62381774791E-001, +0.00000000000E+000
+4.95634937500E+006, +4.98573304546E-001, +0.00000000000E+000
+4.95635000000E+006, +5.27853789838E-001, +0.00000000000E+000
+4.95635062500E+006, +5.16870294964E-001, +0.00000000000E+000
+4.95635125000E+006, +5.18560297418E-001, +0.00000000000E+000
+4.95635187500E+006, +5.20380046731E-001, +0.00000000000E+000
+4.95635250000E+006, +5.17579663791E-001, +0.00000000000E+000
+4.95635312500E+006, +5.20007448533E-001, +0.00000000000E+000
+4.95635375000E+006, +5.18157807205E-001, +0.00000000000E+000
+4.95635437500E+006, +5.19294381433E-001, +0.00000000000E+000
+4.95635500000E+006, +5.18582609546E-001, +0.00000000000E+000
+4.95635562500E+006, +5.18912015397E-001, +0.00000000000E+000
+4.95635625000E+006, +5.18734815125E-001, +0.00000000000E+000
+4.95635687500E+006, +5.18715392706E-001, +0.00000000000E+000
+4.95635750000E+006, +5.18711172754E-001, +0.00000000000E+000
+4.95635812500E+006, +5.18647555958E-001, +0.00000000000E+000
+4.95635875000E+006, +5.18640855353E-001, +0.00000000000E+000
+4.95635937500E+006, +5.18573817284E-001, +0.00000000000E+000
+4.95636000000E+006, +5.18560525726E-001, +0.00000000000E+000
+4.95636062500E+006, +5.18521298427E-001, +0.00000000000E+000
+4.95636125000E+006, +5.18470723084E-001, +0.00000000000E+000
+4.95636187500E+006, +5.18431397403E-001, +0.00000000000E+000
+4.95636250000E+006, +5.18408077461E-001, +0.00000000000E+000
+4.95636312500E+006, +5.18358849248E-001, +0.00000000000E+000
+4.95636375000E+006, +5.18342029540E-001, +0.00000000000E+000
+4.95636437500E+006, +5.18278659148E-001, +0.00000000000E+000
+4.95636500000E+006, +5.18244550237E-001, +0.00000000000E+000
+4.95636562500E+006, +5.18213977373E-001, +0.00000000000E+000
+4.95636625000E+006, +5.18162652038E-001, +0.00000000000E+000
+4.95636687500E+006, +5.18141064609E-001, +0.00000000000E+000
+4.95636750000E+006, +5.18114836586E-001, +0.00000000000E+000
+4.95636812500E+006, +5.18046302612E-001, +0.00000000000E+000
+4.95636875000E+006, +5.18023854894E-001, +0.00000000000E+000
+4.95636937500E+006, +5.17984056108E-001, +0.00000000000E+000
+4.95637000000E+006, +5.17958514981E-001, +0.00000000000E+000
+4.95637062500E+006, +5.17886742821E-001, +0.00000000000E+000
+4.95637125000E+006, +5.17859827931E-001, +0.00000000000E+000
+4.95637187500E+006, +5.17827926747E-001, +0.00000000000E+000
+4.95637250000E+006, +5.17793335939E-001, +0.00000000000E+000
+4.95637312500E+006, +5.17741049302E-001, +0.00000000000E+000
+4.95637375000E+006, +5.17699399143E-001, +0.00000000000E+000
+4.95637437500E+006, +5.17675877065E-001, +0.00000000000E+000
+4.95637500000E+006, +5.17624281805E-001, +0.00000000000E+000
+4.95637562500E+006, +5.17569487784E-001, +0.00000000000E+000
+4.95637625000E+006, +5.17534511421E-001, +0.00000000000E+000
+4.95637687500E+006, +5.17508994540E-001, +0.00000000000E+000
+4.95637750000E+006, +5.17470828943E-001, +0.00000000000E+000
+4.95637812500E+006, +5.17432627478E-001, +0.00000000000E+000
+4.95637875000E+006, +5.17397660569E-001, +0.00000000000E+000
+4.95637937500E+006, +5.17344264662E-001, +0.00000000000E+000
+4.95638000000E+006, +5.17306617333E-001, +0.00000000000E+000
+4.95638062500E+006, +5.17265061912E-001, +0.00000000000E+000
+4.95638125000E+006, +5.17228788295E-001, +0.00000000000E+000
+4.95638187500E+006, +5.17185686418E-001, +0.00000000000E+000
+4.95638250000E+006, +5.17131217386E-001, +0.00000000000E+000
+4.95638312500E+006, +5.17100996526E-001, +0.00000000000E+000
+4.95638375000E+006, +5.17064321297E-001, +0.00000000000E+000
+4.95638437500E+006, +5.17034183018E-001, +0.00000000000E+000
+4.95638500000E+006, +5.16985738338E-001, +0.00000000000E+000
+4.95638562500E+006, +5.16928986488E-001, +0.00000000000E+000
+4.95638625000E+006, +5.16900227551E-001, +0.00000000000E+000
+4.95638687500E+006, +5.16841796522E-001, +0.00000000000E+000
+4.95638750000E+006, +5.16796765866E-001, +0.00000000000E+000
+4.95638812500E+006, +5.16747543531E-001, +0.00000000000E+000
