"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95634812500E+006, +4.50030999821E-001, +0.00000000000E+000
+4.95634875000E+006, +5.63740646547E-001, +0.00000000000E+000
+4.95634937500E+006, +4.94440218881E-001, +0.00000000000E+000
+4.95635000000E+006, +5.36337246106E-001, +0.00000000000E+000
+4.95635062500E+006, +5.10995726396E-001, +0.00000000000E+000
+4.95635125000E+006, +5.26146568652E-001, +0.00000000000E+000
+4.95635187500E+006, +5.17079012053E-001, +0.00000000000E+000
+4.95635250000E+006, +5.22407562314E-001, +0.00000000000E+000
+4.95635312500E+006, +5.19246012724E-001, +0.00000000000E+000
+4.95635375000E+006, +5.21030898706E-001, +0.00000000000E+000
+4.95635437500E+006, +5.19960116814E-001, +0.00000000000E+000
+4.95635500000E+006, +5.20530109954E-001, +0.00000000000E+000
+4.95635562500E+006, +5.20168328461E-001, +0.00000000000E+000
+4.95635625000E+006, +5.20304470341E-001, +0.00000000000E+000
+4.95635687500E+006, +5.20206422869E-001, +0.00000000000E+000
+4.95635750000E+006, +5.20233315309E-001, +0.00000000000E+000
+4.95635812500E+006, +5.20176395191E-001, +0.00000000000E+000
+4.95635875000E+006, +5.20156593144E-001, +0.00000000000E+000
+4.95635937500E+006, +5.20136352911E-001, +0.00000000000E+000
+4.95636000000E+006, +5.20099410542E-001, +0.00000000000E+000
+4.95636062500E+006, +5.20071681536E-001, +0.00000000000E+000
+4.95636125000E+006, +5.20032999652E-001, +0.00000000000E+000
+4.95636187500E+006, +5.20034634559E-001, +0.00000000000E+000
+4.95636250000E+006, +5.19980133220E-001, +0.00000000000E+000
+4.95636312500E+006, +5.19968827784E-001, +0.00000000000E+000
+4.95636375000E+006, +5.19936309574E-001, +0.00000000000E+000
+4.95636437500E+006, +5.19914802108E-001, +0.00000000000E+000
+4.95636500000E+006, +5.19881548449E-001, +0.00000000000E+000
+4.95636562500E+006, +5.19849428618E-001, +0.00000000000E+000
+4.95636625000E+006, +5.19821639551E-001, +0.00000000000E+000
+4.95636687500E+006, +5.19795571877E-001, +0.00000000000E+000
+4.95636750000E+006, +5.19769040118E-001, +0.00000000000E+000
+4.95636812500E+006, +5.19744768778E-001, +0.00000000000E+000
+4.95636875000E+006, +5.19710963469E-001, +0.00000000000E+000
+4.95636937500E+006, +5.19672867371E-001, +0.00000000000E+000
+4.95637000000E+006, +5.19636503223E-001, +0.00000000000E+000
