"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95638187500E+006, +5.73417387778E-001, +0.00000000000E+000
+4.95638250000E+006, +7.19119517989E-001, +0.00000000000E+000
+4.95638312500E+006, +6.24967520107E-001, +0.00000000000E+000
+4.95638375000E+006, +6.85205653422E-001, +0.00000000000E+000
+4.95638437500E+006, +6.46742792243E-001, +0.00000000000E+000
+4.95638500000E+006, +6.71041183884E-001, +0.00000000000E+000
+4.95638562500E+006, +6.55743265409E-001, +0.00000000000E+000
+4.95638625000E+006, +6.65213556122E-001, +0.00000000000E+000
+4.95638687500E+006, +6.59366154552E-001, +0.00000000000E+000
+4.95638750000E+006, +6.62884288925E-001, +0.00000000000E+000
+4.95638812500E+006, +6.60744005816E-001, +0.00000000000E+000
+4.95638875000E+006, +6.61921036818E-001, +0.00000000000E+000
+4.95638937500E+006, +6.61225195959E-001, +0.00000000000E+000
+4.95639000000E+006, +6.61604400269E-001, +0.00000000000E+000
+4.95639062500E+006, +6.61350394931E-001, +0.00000000000E+000
+4.95639125000E+006, +6.61430672735E-001, +0.00000000000E+000
+4.95639187500E+006, +6.61412380297E-001, +0.00000000000E+000
+4.95639250000E+006, +6.61368853509E-001, +0.00000000000E+000
+4.95639312500E+006, +6.61332535897E-001, +0.00000000000E+000
+4.95639375000E+006, +6.61311065288E-001, +0.00000000000E+000
+4.95639437500E+006, +6.61264816023E-001, +0.00000000000E+000
+4.95639500000E+006, +6.61243393135E-001, +0.00000000000E+000
+4.95639562500E+006, +6.61240947877E-001, +0.00000000000E+000
+4.95639625000E+006, +6.61183363561E-001, +0.00000000000E+000
+4.95639687500E+006, +6.61164660752E-001, +0.00000000000E+000
+4.95639750000E+006, +6.61147481880E-001, +0.00000000000E+000
+4.95639812500E+006, +6.61099463381E-001, +0.00000000000E+000
+4.95639875000E+006, +6.61096791592E-001, +0.00000000000E+000
+4.95639937500E+006, +6.61069011004E-001, +0.00000000000E+000
+4.95640000000E+006, +6.61056210351E-001, +0.00000000000E+000
+4.95640062500E+006, +6.61020133193E-001, +0.00000000000E+000
+4.95640125000E+006, +6.60992148513E-001, +0.00000000000E+000
+4.95640187500E+006, +6.60988464144E-001, +0.00000000000E+000
+4.95640250000E+006, +6.60955686744E-001, +0.00000000000E+000
+4.95640312500E+006, +6.60947807779E-001, +0.00000000000E+000
+4.95640375000E+006, +6.60881307198E-001, +0.00000000000E+000
+4.95640437500E+006, +6.60870735648E-001, +0.00000000000E+000
+4.95640500000E+006, +6.60859219925E-001, +0.00000000000E+000
+4.95640562500E+006, +6.60862959975E-001, +0.00000000000E+000
+4.95640625000E+006, +6.60811971893E-001, +0.00000000000E+000
+4.95640687500E+006, +6.60758972458E-001, +0.00000000000E+000
+4.95640750000E+006, +6.60756592528E-001, +0.00000000000E+000
+4.95640812500E+006, +6.60704226575E-001, +0.00000000000E+000
+4.95640875000E+006, +6.60680876541E-001, +0.00000000000E+000
+4.95640937500E+006, +6.60674700912E-001, +0.00000000000E+000
