"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95404500000E+006, -3.40228315796E+001, +0.00000000000E+000
+4.95405000000E+006, -3.41890342781E+001, +0.00000000000E+000
+4.95405500000E+006, -3.44105759249E+001, +0.00000000000E+000
+4.95406000000E+006, -3.46397550845E+001, +0.00000000000E+000
+4.95406500000E+006, -3.48745117296E+001, +0.00000000000E+000
+4.95407000000E+006, -3.51155599372E+001, +0.00000000000E+000
+4.95407500000E+006, -3.53619585450E+001, +0.00000000000E+000
+4.95408000000E+006, -3.56153135460E+001, +0.00000000000E+000
+4.95408500000E+006, -3.58736125193E+001, +0.00000000000E+000
+4.95409000000E+006, -3.61413369051E+001, +0.00000000000E+000
+4.95409500000E+006, -3.64140027011E+001, +0.00000000000E+000
+4.95410000000E+006, -3.66938600594E+001, +0.00000000000E+000
+4.95410500000E+006, -3.69827875426E+001, +0.00000000000E+000
+4.95411000000E+006, -3.72791070685E+001, +0.00000000000E+000
+4.95411500000E+006, -3.75839018206E+001, +0.00000000000E+000
+4.95412000000E+006, -3.78981652219E+001, +0.00000000000E+000
+4.95412500000E+006, -3.82194762214E+001, +0.00000000000E+000
+4.95413000000E+006, -3.85521982684E+001, +0.00000000000E+000
+4.95413500000E+006, -3.88938095154E+001, +0.00000000000E+000
+4.95414000000E+006, -3.92459762857E+001, +0.00000000000E+000
+4.95414500000E+006, -3.96081024016E+001, +0.00000000000E+000
+4.95415000000E+006, -3.99822583998E+001, +0.00000000000E+000
+4.95415500000E+006, -4.03684040396E+001, +0.00000000000E+000
+4.95416000000E+006, -4.07660639270E+001, +0.00000000000E+000
+4.95416500000E+006, -4.11760108263E+001, +0.00000000000E+000
+4.95417000000E+006, -4.16009683201E+001, +0.00000000000E+000
+4.95417500000E+006, -4.20394018733E+001, +0.00000000000E+000
+4.95418000000E+006, -4.24920998858E+001, +0.00000000000E+000
+4.95418500000E+006, -4.29622981085E+001, +0.00000000000E+000
+4.95419000000E+006, -4.34465718780E+001, +0.00000000000E+000
+4.95419500000E+006, -4.39491717774E+001, +0.00000000000E+000
+4.95420000000E+006, -4.44709532006E+001, +0.00000000000E+000
+4.95420500000E+006, -4.50108089587E+001, +0.00000000000E+000
+4.95421000000E+006, -4.55714972837E+001, +0.00000000000E+000
+4.95421500000E+006, -4.61534711837E+001, +0.00000000000E+000
+4.95422000000E+006, -4.67571678870E+001, +0.00000000000E+000
+4.95422500000E+006, -4.73858806939E+001, +0.00000000000E+000
+4.95423000000E+006, -4.80400956217E+001, +0.00000000000E+000
+4.95423500000E+006, -4.87205490966E+001, +0.00000000000E+000
+4.95424000000E+006, -4.94294283665E+001, +0.00000000000E+000
+4.95424500000E+006, -5.01691078301E+001, +0.00000000000E+000
+4.95425000000E+006, -5.09405872191E+001, +0.00000000000E+000
+4.95425500000E+006, -5.17455155929E+001, +0.00000000000E+000
+4.95426000000E+006, -5.25870789931E+001, +0.00000000000E+000
+4.95426500000E+006, -5.34674515575E+001, +0.00000000000E+000
+4.95427000000E+006, -5.43883305212E+001, +0.00000000000E+000
+4.95427500000E+006, -5.53535702244E+001, +0.00000000000E+000
+4.95428000000E+006, -5.63656598371E+001, +0.00000000000E+000
+4.95428500000E+006, -5.74273355803E+001, +0.00000000000E+000
+4.95429000000E+006, -5.85429789806E+001, +0.00000000000E+000
+4.95429500000E+006, -5.97178736633E+001, +0.00000000000E+000
+4.95430000000E+006, -6.09575656374E+001, +0.00000000000E+000
+4.95430500000E+006, -6.22623646912E+001, +0.00000000000E+000
+4.95431000000E+006, -6.36423183099E+001, +0.00000000000E+000
+4.95431500000E+006, -6.50992074378E+001, +0.00000000000E+000
