"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95429500000E+006, +2.80212873130E-001, +0.00000000000E+000
+4.95429531250E+006, +2.79538544587E-001, +0.00000000000E+000
+4.95429562500E+006, +2.79648173620E-001, +0.00000000000E+000
+4.95429593750E+006, +2.79587238821E-001, +0.00000000000E+000
+4.95429625000E+006, +2.79546614040E-001, +0.00000000000E+000
+4.95429656250E+006, +2.79524722285E-001, +0.00000000000E+000
+4.95429687500E+006, +2.79502023408E-001, +0.00000000000E+000
+4.95429718750E+006, +2.79473823050E-001, +0.00000000000E+000
+4.95429750000E+006, +2.79425214941E-001, +0.00000000000E+000
+4.95429781250E+006, +2.79427470256E-001, +0.00000000000E+000
+4.95429812500E+006, +2.79378599845E-001, +0.00000000000E+000
+4.95429843750E+006, +2.79355664678E-001, +0.00000000000E+000
+4.95429875000E+006, +2.79301185926E-001, +0.00000000000E+000
+4.95429906250E+006, +2.79274627460E-001, +0.00000000000E+000
+4.95429937500E+006, +2.79243140974E-001, +0.00000000000E+000
+4.95429968750E+006, +2.79186168778E-001, +0.00000000000E+000
+4.95430000000E+006, +2.79137871285E-001, +0.00000000000E+000
+4.95430031250E+006, +2.79065633919E-001, +0.00000000000E+000
+4.95430062500E+006, +2.79033946769E-001, +0.00000000000E+000
+4.95430093750E+006, +2.78959927994E-001, +0.00000000000E+000
+4.95430125000E+006, +2.78914333730E-001, +0.00000000000E+000
+4.95430156250E+006, +2.78852700752E-001, +0.00000000000E+000
+4.95430187500E+006, +2.78825287138E-001, +0.00000000000E+000
+4.95430218750E+006, +2.78807254011E-001, +0.00000000000E+000
+4.95430250000E+006, +2.78765110554E-001, +0.00000000000E+000
+4.95430281250E+006, +2.78717456612E-001, +0.00000000000E+000
+4.95430312500E+006, +2.78694442976E-001, +0.00000000000E+000
+4.95430343750E+006, +2.78654758644E-001, +0.00000000000E+000
+4.95430375000E+006, +2.78595400788E-001, +0.00000000000E+000
+4.95430406250E+006, +2.78541173833E-001, +0.00000000000E+000
+4.95430437500E+006, +2.78517022118E-001, +0.00000000000E+000
+4.95430468750E+006, +2.78469676231E-001, +0.00000000000E+000
+4.95430500000E+006, +2.78416472766E-001, +0.00000000000E+000
+4.95430531250E+006, +2.78359514409E-001, +0.00000000000E+000
+4.95430562500E+006, +2.78326488807E-001, +0.00000000000E+000
+4.95430593750E+006, +2.78298458131E-001, +0.00000000000E+000
+4.95430625000E+006, +2.78258098304E-001, +0.00000000000E+000
+4.95430656250E+006, +2.78203136131E-001, +0.00000000000E+000
+4.95430687500E+006, +2.78150026135E-001, +0.00000000000E+000
+4.95430718750E+006, +2.78133545735E-001, +0.00000000000E+000
+4.95430750000E+006, +2.78092589976E-001, +0.00000000000E+000
+4.95430781250E+006, +2.78058030969E-001, +0.00000000000E+000
