"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95036375000E+006, +2.61726036689E-001, +0.00000000000E+000
+4.95037000000E+006, +2.61711474876E-001, +0.00000000000E+000
+4.95037625000E+006, +2.61696183842E-001, +0.00000000000E+000
+4.95038250000E+006, +2.61694884508E-001, +0.00000000000E+000
+4.95038875000E+006, +2.61688872019E-001, +0.00000000000E+000
+4.95039500000E+006, +2.61682138180E-001, +0.00000000000E+000
+4.95040125000E+006, +2.61688161644E-001, +0.00000000000E+000
+4.95040750000E+006, +2.61678141793E-001, +0.00000000000E+000
+4.95041375000E+006, +2.61667958988E-001, +0.00000000000E+000
+4.95042000000E+006, +2.61644352002E-001, +0.00000000000E+000
+4.95042625000E+006, +2.61636904023E-001, +0.00000000000E+000
+4.95043250000E+006, +2.61639678596E-001, +0.00000000000E+000
+4.95043875000E+006, +2.61613502295E-001, +0.00000000000E+000
+4.95044500000E+006, +2.61593234017E-001, +0.00000000000E+000
+4.95045125000E+006, +2.61601179061E-001, +0.00000000000E+000
+4.95045750000E+006, +2.61590065330E-001, +0.00000000000E+000
+4.95046375000E+006, +2.61582546547E-001, +0.00000000000E+000
+4.95047000000E+006, +2.61593701421E-001, +0.00000000000E+000
+4.95047625000E+006, +2.61604912933E-001, +0.00000000000E+000
+4.95048250000E+006, +2.61602148725E-001, +0.00000000000E+000
+4.95048875000E+006, +2.61596131913E-001, +0.00000000000E+000
+4.95049500000E+006, +2.61569987066E-001, +0.00000000000E+000
+4.95050125000E+006, +2.61550312106E-001, +0.00000000000E+000
+4.95050750000E+006, +2.61552076723E-001, +0.00000000000E+000
+4.95051375000E+006, +2.61551158260E-001, +0.00000000000E+000
+4.95052000000E+006, +2.61560256579E-001, +0.00000000000E+000
+4.95052625000E+006, +2.61547434036E-001, +0.00000000000E+000
+4.95053250000E+006, +2.61559760164E-001, +0.00000000000E+000
+4.95053875000E+006, +2.61543482952E-001, +0.00000000000E+000
+4.95054500000E+006, +2.61540784061E-001, +0.00000000000E+000
+4.95055125000E+006, +2.61530423955E-001, +0.00000000000E+000
+4.95055750000E+006, +2.61506930094E-001, +0.00000000000E+000
+4.95056375000E+006, +2.61513766023E-001, +0.00000000000E+000
+4.95057000000E+006, +2.61487092268E-001, +0.00000000000E+000
+4.95057625000E+006, +2.61480517538E-001, +0.00000000000E+000
+4.95058250000E+006, +2.61459034731E-001, +0.00000000000E+000
+4.95058875000E+006, +2.61473422912E-001, +0.00000000000E+000
+4.95059500000E+006, +2.61447482300E-001, +0.00000000000E+000
+4.95060125000E+006, +2.61434301431E-001, +0.00000000000E+000
+4.95060750000E+006, +2.61416628477E-001, +0.00000000000E+000
+4.95061375000E+006, +2.61416100633E-001, +0.00000000000E+000
+4.95062000000E+006, +2.61409307895E-001, +0.00000000000E+000
+4.95062625000E+006, +2.61390708135E-001, +0.00000000000E+000
+4.95063250000E+006, +2.61376709461E-001, +0.00000000000E+000
+4.95063875000E+006, +2.61370722405E-001, +0.00000000000E+000
+4.95064500000E+006, +2.61369565633E-001, +0.00000000000E+000
+4.95065125000E+006, +2.61365298871E-001, +0.00000000000E+000
+4.95065750000E+006, +2.61321349954E-001, +0.00000000000E+000
+4.95066375000E+006, +2.61317927439E-001, +0.00000000000E+000
+4.95067000000E+006, +2.61309186053E-001, +0.00000000000E+000
+4.95067625000E+006, +2.61342712470E-001, +0.00000000000E+000
+4.95068250000E+006, +2.61330474480E-001, +0.00000000000E+000
+4.95068875000E+006, +2.61318931783E-001, +0.00000000000E+000
+4.95069500000E+006, +2.61309741369E-001, +0.00000000000E+000
+4.95070125000E+006, +2.61284865516E-001, +0.00000000000E+000
+4.95070750000E+006, +2.61270476775E-001, +0.00000000000E+000
+4.95071375000E+006, +2.61251559592E-001, +0.00000000000E+000
+4.95072000000E+006, +2.61231566462E-001, +0.00000000000E+000
+4.95072625000E+006, +2.61226661612E-001, +0.00000000000E+000
+4.95073250000E+006, +2.61243492445E-001, +0.00000000000E+000
+4.95073875000E+006, +2.61232021568E-001, +0.00000000000E+000
+4.95074500000E+006, +2.61214614410E-001, +0.00000000000E+000
+4.95075125000E+006, +2.61201199048E-001, +0.00000000000E+000
+4.95075750000E+006, +2.61196960150E-001, +0.00000000000E+000
+4.95076375000E+006, +2.61191251235E-001, +0.00000000000E+000
+4.95077000000E+006, +2.61175365672E-001, +0.00000000000E+000
+4.95077625000E+006, +2.61166974065E-001, +0.00000000000E+000
+4.95078250000E+006, +2.61161233403E-001, +0.00000000000E+000
+4.95078875000E+006, +2.61153878408E-001, +0.00000000000E+000
+4.95079500000E+006, +2.61145671399E-001, +0.00000000000E+000
+4.95080125000E+006, +2.61123015839E-001, +0.00000000000E+000
+4.95080750000E+006, +2.61120633141E-001, +0.00000000000E+000
+4.95081375000E+006, +2.61108817790E-001, +0.00000000000E+000
+4.95082000000E+006, +2.61106816707E-001, +0.00000000000E+000
+4.95082625000E+006, +2.61087931230E-001, +0.00000000000E+000
+4.95083250000E+006, +2.61087047236E-001, +0.00000000000E+000
+4.95083875000E+006, +2.61070110433E-001, +0.00000000000E+000
+4.95084500000E+006, +2.61044405844E-001, +0.00000000000E+000
+4.95085125000E+006, +2.61063021280E-001, +0.00000000000E+000
+4.95085750000E+006, +2.61042201166E-001, +0.00000000000E+000
+4.95086375000E+006, +2.61037907828E-001, +0.00000000000E+000
+4.95087000000E+006, +2.61050471722E-001, +0.00000000000E+000
+4.95087625000E+006, +2.61064999499E-001, +0.00000000000E+000
+4.95088250000E+006, +2.61029752854E-001, +0.00000000000E+000
+4.95088875000E+006, +2.61054473697E-001, +0.00000000000E+000
+4.95089500000E+006, +2.61055533176E-001, +0.00000000000E+000
+4.95090125000E+006, +2.61012366660E-001, +0.00000000000E+000
+4.95090750000E+006, +2.61025830976E-001, +0.00000000000E+000
+4.95091375000E+006, +2.60996368157E-001, +0.00000000000E+000
+4.95092000000E+006, +2.60990090523E-001, +0.00000000000E+000
+4.95092625000E+006, +2.60972056851E-001, +0.00000000000E+000
+4.95093250000E+006, +2.60961334141E-001, +0.00000000000E+000
+4.95093875000E+006, +2.60937515377E-001, +0.00000000000E+000
+4.95094500000E+006, +2.60934959895E-001, +0.00000000000E+000
+4.95095125000E+006, +2.60924971241E-001, +0.00000000000E+000
+4.95095750000E+006, +2.60905239827E-001, +0.00000000000E+000
+4.95096375000E+006, +2.60896506584E-001, +0.00000000000E+000
+4.95097000000E+006, +2.60889727410E-001, +0.00000000000E+000
+4.95097625000E+006, +2.60878448497E-001, +0.00000000000E+000
+4.95098250000E+006, +2.60875906252E-001, +0.00000000000E+000
+4.95098875000E+006, +2.60854963745E-001, +0.00000000000E+000
+4.95099500000E+006, +2.60841525881E-001, +0.00000000000E+000
+4.95100125000E+006, +2.60823633439E-001, +0.00000000000E+000
+4.95100750000E+006, +2.60816353511E-001, +0.00000000000E+000
+4.95101375000E+006, +2.60801923973E-001, +0.00000000000E+000
+4.95102000000E+006, +2.60786322835E-001, +0.00000000000E+000
+4.95102625000E+006, +2.60793277310E-001, +0.00000000000E+000
+4.95103250000E+006, +2.60782900609E-001, +0.00000000000E+000
+4.95103875000E+006, +2.60798130474E-001, +0.00000000000E+000
+4.95104500000E+006, +2.60759775916E-001, +0.00000000000E+000
+4.95105125000E+006, +2.60743959034E-001, +0.00000000000E+000
+4.95105750000E+006, +2.60742109714E-001, +0.00000000000E+000
+4.95106375000E+006, +2.60707790534E-001, +0.00000000000E+000
+4.95107000000E+006, +2.60700161282E-001, +0.00000000000E+000
+4.95107625000E+006, +2.60697421797E-001, +0.00000000000E+000
+4.95108250000E+006, +2.60676088564E-001, +0.00000000000E+000
+4.95108875000E+006, +2.60651735080E-001, +0.00000000000E+000
+4.95109500000E+006, +2.60647315352E-001, +0.00000000000E+000
+4.95110125000E+006, +2.60617077813E-001, +0.00000000000E+000
+4.95110750000E+006, +2.60628004852E-001, +0.00000000000E+000
+4.95111375000E+006, +2.60608018873E-001, +0.00000000000E+000
+4.95112000000E+006, +2.60594699793E-001, +0.00000000000E+000
+4.95112625000E+006, +2.60571275564E-001, +0.00000000000E+000
+4.95113250000E+006, +2.60557918124E-001, +0.00000000000E+000
+4.95113875000E+006, +2.60537175434E-001, +0.00000000000E+000
+4.95114500000E+006, +2.60524900596E-001, +0.00000000000E+000
+4.95115125000E+006, +2.60514528913E-001, +0.00000000000E+000
+4.95115750000E+006, +2.60505707363E-001, +0.00000000000E+000
+4.95116375000E+006, +2.60512034767E-001, +0.00000000000E+000
+4.95117000000E+006, +2.60499606534E-001, +0.00000000000E+000
+4.95117625000E+006, +2.60486225734E-001, +0.00000000000E+000
+4.95118250000E+006, +2.60467083507E-001, +0.00000000000E+000
+4.95118875000E+006, +2.60430337168E-001, +0.00000000000E+000
+4.95119500000E+006, +2.60434279537E-001, +0.00000000000E+000
+4.95120125000E+006, +2.60406113560E-001, +0.00000000000E+000
+4.95120750000E+006, +2.60391207319E-001, +0.00000000000E+000
+4.95121375000E+006, +2.60370947443E-001, +0.00000000000E+000
+4.95122000000E+006, +2.60351611570E-001, +0.00000000000E+000
+4.95122625000E+006, +2.60338883205E-001, +0.00000000000E+000
+4.95123250000E+006, +2.60319287409E-001, +0.00000000000E+000
+4.95123875000E+006, +2.60315284749E-001, +0.00000000000E+000
+4.95124500000E+006, +2.60292281654E-001, +0.00000000000E+000
+4.95125125000E+006, +2.60285881306E-001, +0.00000000000E+000
+4.95125750000E+006, +2.60275590716E-001, +0.00000000000E+000
+4.95126375000E+006, +2.60240460190E-001, +0.00000000000E+000
+4.95127000000E+006, +2.60231108192E-001, +0.00000000000E+000
