"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95036375000E+006, -1.54104947212E+001, +0.00000000000E+000
+4.95037000000E+006, -1.54185535893E+001, +0.00000000000E+000
+4.95037625000E+006, -1.54240013262E+001, +0.00000000000E+000
+4.95038250000E+006, -1.54267519374E+001, +0.00000000000E+000
+4.95038875000E+006, -1.54322111809E+001, +0.00000000000E+000
+4.95039500000E+006, -1.54377661589E+001, +0.00000000000E+000
+4.95040125000E+006, -1.54400984027E+001, +0.00000000000E+000
+4.95040750000E+006, -1.54442793854E+001, +0.00000000000E+000
+4.95041375000E+006, -1.54506782869E+001, +0.00000000000E+000
+4.95042000000E+006, -1.54548369441E+001, +0.00000000000E+000
+4.95042625000E+006, -1.54577273078E+001, +0.00000000000E+000
+4.95043250000E+006, -1.54627039862E+001, +0.00000000000E+000
+4.95043875000E+006, -1.54703799070E+001, +0.00000000000E+000
+4.95044500000E+006, -1.54772204360E+001, +0.00000000000E+000
+4.95045125000E+006, -1.54827396282E+001, +0.00000000000E+000
+4.95045750000E+006, -1.54899015098E+001, +0.00000000000E+000
+4.95046375000E+006, -1.54971173483E+001, +0.00000000000E+000
+4.95047000000E+006, -1.55021989822E+001, +0.00000000000E+000
+4.95047625000E+006, -1.55064963521E+001, +0.00000000000E+000
+4.95048250000E+006, -1.55142806205E+001, +0.00000000000E+000
+4.95048875000E+006, -1.55197005747E+001, +0.00000000000E+000
+4.95049500000E+006, -1.55235892827E+001, +0.00000000000E+000
+4.95050125000E+006, -1.55274413236E+001, +0.00000000000E+000
+4.95050750000E+006, -1.55345420579E+001, +0.00000000000E+000
+4.95051375000E+006, -1.55381249365E+001, +0.00000000000E+000
+4.95052000000E+006, -1.55409156442E+001, +0.00000000000E+000
+4.95052625000E+006, -1.55493116605E+001, +0.00000000000E+000
+4.95053250000E+006, -1.55564669833E+001, +0.00000000000E+000
+4.95053875000E+006, -1.55600738823E+001, +0.00000000000E+000
+4.95054500000E+006, -1.55681933937E+001, +0.00000000000E+000
+4.95055125000E+006, -1.55759038714E+001, +0.00000000000E+000
+4.95055750000E+006, -1.55810676573E+001, +0.00000000000E+000
+4.95056375000E+006, -1.55872676500E+001, +0.00000000000E+000
