"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95404500000E+006, +3.83020746051E-001, +0.00000000000E+000
+4.95405000000E+006, +3.83564944128E-001, +0.00000000000E+000
+4.95405500000E+006, +3.83413918104E-001, +0.00000000000E+000
+4.95406000000E+006, +3.83226187738E-001, +0.00000000000E+000
+4.95406500000E+006, +3.83088167582E-001, +0.00000000000E+000
+4.95407000000E+006, +3.82945976553E-001, +0.00000000000E+000
+4.95407500000E+006, +3.82792698412E-001, +0.00000000000E+000
+4.95408000000E+006, +3.82663089058E-001, +0.00000000000E+000
+4.95408500000E+006, +3.82509467533E-001, +0.00000000000E+000
+4.95409000000E+006, +3.82340791323E-001, +0.00000000000E+000
+4.95409500000E+006, +3.82224284784E-001, +0.00000000000E+000
+4.95410000000E+006, +3.82029997218E-001, +0.00000000000E+000
+4.95410500000E+006, +3.81829053983E-001, +0.00000000000E+000
+4.95411000000E+006, +3.81606312338E-001, +0.00000000000E+000
+4.95411500000E+006, +3.81411567001E-001, +0.00000000000E+000
+4.95412000000E+006, +3.81317951804E-001, +0.00000000000E+000
+4.95412500000E+006, +3.81169605994E-001, +0.00000000000E+000
+4.95413000000E+006, +3.80926373912E-001, +0.00000000000E+000
+4.95413500000E+006, +3.80736593093E-001, +0.00000000000E+000
+4.95414000000E+006, +3.80483485598E-001, +0.00000000000E+000
+4.95414500000E+006, +3.80264771144E-001, +0.00000000000E+000
+4.95415000000E+006, +3.80108965939E-001, +0.00000000000E+000
+4.95415500000E+006, +3.79833546143E-001, +0.00000000000E+000
+4.95416000000E+006, +3.79608142029E-001, +0.00000000000E+000
+4.95416500000E+006, +3.79406303158E-001, +0.00000000000E+000
+4.95417000000E+006, +3.79170931309E-001, +0.00000000000E+000
+4.95417500000E+006, +3.78908687322E-001, +0.00000000000E+000
+4.95418000000E+006, +3.78620626912E-001, +0.00000000000E+000
+4.95418500000E+006, +3.78394749749E-001, +0.00000000000E+000
+4.95419000000E+006, +3.78117619878E-001, +0.00000000000E+000
+4.95419500000E+006, +3.77899021728E-001, +0.00000000000E+000
+4.95420000000E+006, +3.77617227512E-001, +0.00000000000E+000
+4.95420500000E+006, +3.77283073611E-001, +0.00000000000E+000
+4.95421000000E+006, +3.77038682429E-001, +0.00000000000E+000
+4.95421500000E+006, +3.76722908954E-001, +0.00000000000E+000
+4.95422000000E+006, +3.76407526347E-001, +0.00000000000E+000
+4.95422500000E+006, +3.76105444765E-001, +0.00000000000E+000
+4.95423000000E+006, +3.75791626647E-001, +0.00000000000E+000
+4.95423500000E+006, +3.75412122272E-001, +0.00000000000E+000
+4.95424000000E+006, +3.75039269119E-001, +0.00000000000E+000
+4.95424500000E+006, +3.74678051452E-001, +0.00000000000E+000
+4.95425000000E+006, +3.74254039799E-001, +0.00000000000E+000
+4.95425500000E+006, +3.73860665666E-001, +0.00000000000E+000
+4.95426000000E+006, +3.73476512061E-001, +0.00000000000E+000
+4.95426500000E+006, +3.73148306142E-001, +0.00000000000E+000
+4.95427000000E+006, +3.72703398859E-001, +0.00000000000E+000
+4.95427500000E+006, +3.72300252048E-001, +0.00000000000E+000
+4.95428000000E+006, +3.71863195045E-001, +0.00000000000E+000
+4.95428500000E+006, +3.71386608253E-001, +0.00000000000E+000
+4.95429000000E+006, +3.70890968410E-001, +0.00000000000E+000
+4.95429500000E+006, +3.70424249011E-001, +0.00000000000E+000
+4.95430000000E+006, +3.69920390338E-001, +0.00000000000E+000
+4.95430500000E+006, +3.69361595949E-001, +0.00000000000E+000
+4.95431000000E+006, +3.68818588089E-001, +0.00000000000E+000
+4.95431500000E+006, +3.68242167367E-001, +0.00000000000E+000
+4.95432000000E+006, +3.67649711783E-001, +0.00000000000E+000
+4.95432500000E+006, +3.67059418977E-001, +0.00000000000E+000
+4.95433000000E+006, +3.66416320659E-001, +0.00000000000E+000
+4.95433500000E+006, +3.65778001821E-001, +0.00000000000E+000
+4.95434000000E+006, +3.65135797220E-001, +0.00000000000E+000
+4.95434500000E+006, +3.64449782714E-001, +0.00000000000E+000
+4.95435000000E+006, +3.63732141121E-001, +0.00000000000E+000
+4.95435500000E+006, +3.62970408169E-001, +0.00000000000E+000
+4.95436000000E+006, +3.62261572539E-001, +0.00000000000E+000
+4.95436500000E+006, +3.61513129399E-001, +0.00000000000E+000
+4.95437000000E+006, +3.60734074212E-001, +0.00000000000E+000
+4.95437500000E+006, +3.59938157407E-001, +0.00000000000E+000
+4.95438000000E+006, +3.59100702148E-001, +0.00000000000E+000
+4.95438500000E+006, +3.58267640269E-001, +0.00000000000E+000
+4.95439000000E+006, +3.57468787909E-001, +0.00000000000E+000
+4.95439500000E+006, +3.56654227349E-001, +0.00000000000E+000
+4.95440000000E+006, +3.55847280367E-001, +0.00000000000E+000
+4.95440500000E+006, +3.55055160003E-001, +0.00000000000E+000
+4.95441000000E+006, +3.54258384987E-001, +0.00000000000E+000
+4.95441500000E+006, +3.53527968229E-001, +0.00000000000E+000
+4.95442000000E+006, +3.52923289140E-001, +0.00000000000E+000
+4.95442500000E+006, +3.52475923686E-001, +0.00000000000E+000
+4.95443000000E+006, +3.52216203865E-001, +0.00000000000E+000
+4.95443500000E+006, +3.52167361492E-001, +0.00000000000E+000
+4.95444000000E+006, +3.52380842687E-001, +0.00000000000E+000
+4.95444500000E+006, +3.52946967333E-001, +0.00000000000E+000
+4.95445000000E+006, +3.53930998082E-001, +0.00000000000E+000
+4.95445500000E+006, +3.55437563423E-001, +0.00000000000E+000
+4.95446000000E+006, +3.57510966991E-001, +0.00000000000E+000
+4.95446500000E+006, +3.60331017601E-001, +0.00000000000E+000
+4.95447000000E+006, +3.63870891358E-001, +0.00000000000E+000
+4.95447500000E+006, +3.68247406707E-001, +0.00000000000E+000
+4.95448000000E+006, +3.73500886691E-001, +0.00000000000E+000
