"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95404500000E+006, -3.24612966645E+001, +0.00000000000E+000
+4.95405000000E+006, -3.25650209794E+001, +0.00000000000E+000
+4.95405500000E+006, -3.27534717630E+001, +0.00000000000E+000
+4.95406000000E+006, -3.29460598565E+001, +0.00000000000E+000
+4.95406500000E+006, -3.31428189304E+001, +0.00000000000E+000
+4.95407000000E+006, -3.33445183653E+001, +0.00000000000E+000
+4.95407500000E+006, -3.35505364352E+001, +0.00000000000E+000
+4.95408000000E+006, -3.37613242223E+001, +0.00000000000E+000
+4.95408500000E+006, -3.39762808407E+001, +0.00000000000E+000
+4.95409000000E+006, -3.41974201461E+001, +0.00000000000E+000
+4.95409500000E+006, -3.44233822102E+001, +0.00000000000E+000
+4.95410000000E+006, -3.46560625908E+001, +0.00000000000E+000
+4.95410500000E+006, -3.48937749021E+001, +0.00000000000E+000
+4.95411000000E+006, -3.51377999307E+001, +0.00000000000E+000
+4.95411500000E+006, -3.53878444110E+001, +0.00000000000E+000
+4.95412000000E+006, -3.56434386529E+001, +0.00000000000E+000
+4.95412500000E+006, -3.59067022290E+001, +0.00000000000E+000
+4.95413000000E+006, -3.61773090866E+001, +0.00000000000E+000
+4.95413500000E+006, -3.64556017095E+001, +0.00000000000E+000
+4.95414000000E+006, -3.67399602881E+001, +0.00000000000E+000
+4.95414500000E+006, -3.70332548946E+001, +0.00000000000E+000
+4.95415000000E+006, -3.73341168376E+001, +0.00000000000E+000
+4.95415500000E+006, -3.76435860933E+001, +0.00000000000E+000
+4.95416000000E+006, -3.79626885357E+001, +0.00000000000E+000
+4.95416500000E+006, -3.82905749656E+001, +0.00000000000E+000
+4.95417000000E+006, -3.86285756477E+001, +0.00000000000E+000
+4.95417500000E+006, -3.89763635267E+001, +0.00000000000E+000
+4.95418000000E+006, -3.93353400594E+001, +0.00000000000E+000
+4.95418500000E+006, -3.97050348735E+001, +0.00000000000E+000
+4.95419000000E+006, -4.00855125189E+001, +0.00000000000E+000
+4.95419500000E+006, -4.04788379020E+001, +0.00000000000E+000
+4.95420000000E+006, -4.08849244211E+001, +0.00000000000E+000
+4.95420500000E+006, -4.13055543478E+001, +0.00000000000E+000
+4.95421000000E+006, -4.17387455432E+001, +0.00000000000E+000
+4.95421500000E+006, -4.21863604324E+001, +0.00000000000E+000
+4.95422000000E+006, -4.26494966492E+001, +0.00000000000E+000
+4.95422500000E+006, -4.31295201531E+001, +0.00000000000E+000
+4.95423000000E+006, -4.36246783678E+001, +0.00000000000E+000
+4.95423500000E+006, -4.41407261796E+001, +0.00000000000E+000
+4.95424000000E+006, -4.46742383574E+001, +0.00000000000E+000
+4.95424500000E+006, -4.52292516853E+001, +0.00000000000E+000
+4.95425000000E+006, -4.58045334566E+001, +0.00000000000E+000
+4.95425500000E+006, -4.64013168826E+001, +0.00000000000E+000
