"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95404500000E+006, -3.15620629516E+001, +0.00000000000E+000
+4.95405000000E+006, -3.17133171795E+001, +0.00000000000E+000
+4.95405500000E+006, -3.18866910421E+001, +0.00000000000E+000
+4.95406000000E+006, -3.20613709795E+001, +0.00000000000E+000
+4.95406500000E+006, -3.22404403275E+001, +0.00000000000E+000
+4.95407000000E+006, -3.24234020234E+001, +0.00000000000E+000
+4.95407500000E+006, -3.26107757614E+001, +0.00000000000E+000
+4.95408000000E+006, -3.28021557241E+001, +0.00000000000E+000
+4.95408500000E+006, -3.29962982162E+001, +0.00000000000E+000
+4.95409000000E+006, -3.31973562066E+001, +0.00000000000E+000
+4.95409500000E+006, -3.34016204560E+001, +0.00000000000E+000
+4.95410000000E+006, -3.36108507836E+001, +0.00000000000E+000
+4.95410500000E+006, -3.38253387330E+001, +0.00000000000E+000
+4.95411000000E+006, -3.40447139784E+001, +0.00000000000E+000
+4.95411500000E+006, -3.42695121690E+001, +0.00000000000E+000
+4.95412000000E+006, -3.45001597680E+001, +0.00000000000E+000
+4.95412500000E+006, -3.47357892247E+001, +0.00000000000E+000
+4.95413000000E+006, -3.49780276051E+001, +0.00000000000E+000
+4.95413500000E+006, -3.52268673921E+001, +0.00000000000E+000
+4.95414000000E+006, -3.54804092592E+001, +0.00000000000E+000
+4.95414500000E+006, -3.57420071381E+001, +0.00000000000E+000
+4.95415000000E+006, -3.60108270296E+001, +0.00000000000E+000
+4.95415500000E+006, -3.62863811355E+001, +0.00000000000E+000
+4.95416000000E+006, -3.65684800497E+001, +0.00000000000E+000
+4.95416500000E+006, -3.68604375268E+001, +0.00000000000E+000
+4.95417000000E+006, -3.71592362756E+001, +0.00000000000E+000
+4.95417500000E+006, -3.74658132222E+001, +0.00000000000E+000
+4.95418000000E+006, -3.77824168163E+001, +0.00000000000E+000
+4.95418500000E+006, -3.81089129093E+001, +0.00000000000E+000
+4.95419000000E+006, -3.84426622178E+001, +0.00000000000E+000
+4.95419500000E+006, -3.87881983175E+001, +0.00000000000E+000
+4.95420000000E+006, -3.91438890316E+001, +0.00000000000E+000
+4.95420500000E+006, -3.95101573364E+001, +0.00000000000E+000
+4.95421000000E+006, -3.98872993103E+001, +0.00000000000E+000
+4.95421500000E+006, -4.02778265618E+001, +0.00000000000E+000
+4.95422000000E+006, -4.06797276972E+001, +0.00000000000E+000
+4.95422500000E+006, -4.10946802244E+001, +0.00000000000E+000
+4.95423000000E+006, -4.15244964061E+001, +0.00000000000E+000
+4.95423500000E+006, -4.19674142232E+001, +0.00000000000E+000
+4.95424000000E+006, -4.24271462498E+001, +0.00000000000E+000
+4.95424500000E+006, -4.29023197038E+001, +0.00000000000E+000
+4.95425000000E+006, -4.33948878110E+001, +0.00000000000E+000
+4.95425500000E+006, -4.39051798285E+001, +0.00000000000E+000
+4.95426000000E+006, -4.44325250248E+001, +0.00000000000E+000
+4.95426500000E+006, -4.49826465669E+001, +0.00000000000E+000
+4.95427000000E+006, -4.55522087730E+001, +0.00000000000E+000
+4.95427500000E+006, -4.61427110574E+001, +0.00000000000E+000
+4.95428000000E+006, -4.67565923003E+001, +0.00000000000E+000
+4.95428500000E+006, -4.73955570478E+001, +0.00000000000E+000
+4.95429000000E+006, -4.80604367010E+001, +0.00000000000E+000
+4.95429500000E+006, -4.87533583848E+001, +0.00000000000E+000
+4.95430000000E+006, -4.94756838548E+001, +0.00000000000E+000
+4.95430500000E+006, -5.02286458781E+001, +0.00000000000E+000
+4.95431000000E+006, -5.10167261439E+001, +0.00000000000E+000
+4.95431500000E+006, -5.18391008108E+001, +0.00000000000E+000
+4.95432000000E+006, -5.26986515447E+001, +0.00000000000E+000
+4.95432500000E+006, -5.35972411276E+001, +0.00000000000E+000
+4.95433000000E+006, -5.45391741720E+001, +0.00000000000E+000
+4.95433500000E+006, -5.55263997049E+001, +0.00000000000E+000
+4.95434000000E+006, -5.65639750334E+001, +0.00000000000E+000
+4.95434500000E+006, -5.76542892289E+001, +0.00000000000E+000
+4.95435000000E+006, -5.88010260991E+001, +0.00000000000E+000
+4.95435500000E+006, -6.00051638354E+001, +0.00000000000E+000
+4.95436000000E+006, -6.12772486900E+001, +0.00000000000E+000
+4.95436500000E+006, -6.26194160626E+001, +0.00000000000E+000
+4.95437000000E+006, -6.40389988366E+001, +0.00000000000E+000
+4.95437500000E+006, -6.55406704173E+001, +0.00000000000E+000
+4.95438000000E+006, -6.71314271883E+001, +0.00000000000E+000
+4.95438500000E+006, -6.88201310515E+001, +0.00000000000E+000
+4.95439000000E+006, -7.06124774831E+001, +0.00000000000E+000
+4.95439500000E+006, -7.25222496650E+001, +0.00000000000E+000
+4.95440000000E+006, -7.45533576940E+001, +0.00000000000E+000
+4.95440500000E+006, -7.67068182910E+001, +0.00000000000E+000
+4.95441000000E+006, -7.90207571550E+001, +0.00000000000E+000
+4.95441500000E+006, -8.14901903381E+001, +0.00000000000E+000
+4.95442000000E+006, -8.41356227010E+001, +0.00000000000E+000
+4.95442500000E+006, -8.69663716389E+001, +0.00000000000E+000
+4.95443000000E+006, -9.00023958150E+001, +0.00000000000E+000
+4.95443500000E+006, -9.32577363100E+001, +0.00000000000E+000
+4.95444000000E+006, -9.67542073137E+001, +0.00000000000E+000
+4.95444500000E+006, -1.00510593199E+002, +0.00000000000E+000
+4.95445000000E+006, -1.04546655123E+002, +0.00000000000E+000
+4.95445500000E+006, -1.08887198230E+002, +0.00000000000E+000
+4.95446000000E+006, -1.13548041111E+002, +0.00000000000E+000
+4.95446500000E+006, -1.18557084001E+002, +0.00000000000E+000
+4.95447000000E+006, -1.23926796696E+002, +0.00000000000E+000
+4.95447500000E+006, -1.29676471900E+002, +0.00000000000E+000
+4.95448000000E+006, -1.35809372100E+002, +0.00000000000E+000
+4.95448500000E+006, -1.42330904529E+002, +0.00000000000E+000
+4.95449000000E+006, -1.49228106029E+002, +0.00000000000E+000
+4.95449500000E+006, -1.56494617454E+002, +0.00000000000E+000
+4.95450000000E+006, -1.64092805821E+002, +0.00000000000E+000
+4.95450500000E+006, -1.71990243956E+002, +0.00000000000E+000
+4.95451000000E+006, -1.80126748393E+002, +0.00000000000E+000
+4.95451500000E+006, -1.88437527240E+002, +0.00000000000E+000
+4.95452000000E+006, -1.96857425098E+002, +0.00000000000E+000
+4.95452500000E+006, -2.05311288561E+002, +0.00000000000E+000
+4.95453000000E+006, -2.13719634377E+002, +0.00000000000E+000
+4.95453500000E+006, -2.21994789708E+002, +0.00000000000E+000
+4.95454000000E+006, -2.30062645732E+002, +0.00000000000E+000
+4.95454500000E+006, -2.37854389944E+002, +0.00000000000E+000
+4.95455000000E+006, -2.45311120003E+002, +0.00000000000E+000
+4.95455500000E+006, -2.52386520341E+002, +0.00000000000E+000
+4.95456000000E+006, -2.59050193868E+002, +0.00000000000E+000
+4.95456500000E+006, -2.65289383615E+002, +0.00000000000E+000
+4.95457000000E+006, -2.71098379645E+002, +0.00000000000E+000
+4.95457500000E+006, -2.76489631160E+002, +0.00000000000E+000
+4.95458000000E+006, -2.81478982827E+002, +0.00000000000E+000
+4.95458500000E+006, -2.86090838344E+002, +0.00000000000E+000
+4.95459000000E+006, -2.90352286663E+002, +0.00000000000E+000
+4.95459500000E+006, -2.94289523111E+002, +0.00000000000E+000
