"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95404500000E+006, +2.82880842178E-001, +0.00000000000E+000
+4.95405000000E+006, +2.83409656692E-001, +0.00000000000E+000
+4.95405500000E+006, +2.83292104719E-001, +0.00000000000E+000
+4.95406000000E+006, +2.83194459512E-001, +0.00000000000E+000
+4.95406500000E+006, +2.83085150851E-001, +0.00000000000E+000
+4.95407000000E+006, +2.82976873141E-001, +0.00000000000E+000
+4.95407500000E+006, +2.82882679288E-001, +0.00000000000E+000
+4.95408000000E+006, +2.82750472316E-001, +0.00000000000E+000
+4.95408500000E+006, +2.82632135540E-001, +0.00000000000E+000
+4.95409000000E+006, +2.82510176128E-001, +0.00000000000E+000
+4.95409500000E+006, +2.82385662915E-001, +0.00000000000E+000
+4.95410000000E+006, +2.82278362244E-001, +0.00000000000E+000
+4.95410500000E+006, +2.82153274471E-001, +0.00000000000E+000
+4.95411000000E+006, +2.82014878017E-001, +0.00000000000E+000
+4.95411500000E+006, +2.81895862892E-001, +0.00000000000E+000
+4.95412000000E+006, +2.81787407769E-001, +0.00000000000E+000
+4.95412500000E+006, +2.81654563600E-001, +0.00000000000E+000
+4.95413000000E+006, +2.81514305621E-001, +0.00000000000E+000
+4.95413500000E+006, +2.81405914284E-001, +0.00000000000E+000
+4.95414000000E+006, +2.81287203106E-001, +0.00000000000E+000
+4.95414500000E+006, +2.81153784484E-001, +0.00000000000E+000
+4.95415000000E+006, +2.81014678138E-001, +0.00000000000E+000
+4.95415500000E+006, +2.80880749570E-001, +0.00000000000E+000
+4.95416000000E+006, +2.80726848036E-001, +0.00000000000E+000
+4.95416500000E+006, +2.80595453649E-001, +0.00000000000E+000
+4.95417000000E+006, +2.80441293346E-001, +0.00000000000E+000
+4.95417500000E+006, +2.80304016481E-001, +0.00000000000E+000
+4.95418000000E+006, +2.80169105296E-001, +0.00000000000E+000
+4.95418500000E+006, +2.80015880505E-001, +0.00000000000E+000
+4.95419000000E+006, +2.79854474856E-001, +0.00000000000E+000
+4.95419500000E+006, +2.79715248840E-001, +0.00000000000E+000
+4.95420000000E+006, +2.79558930364E-001, +0.00000000000E+000
+4.95420500000E+006, +2.79397872552E-001, +0.00000000000E+000
+4.95421000000E+006, +2.79228062019E-001, +0.00000000000E+000
+4.95421500000E+006, +2.79077646070E-001, +0.00000000000E+000
+4.95422000000E+006, +2.78920145489E-001, +0.00000000000E+000
+4.95422500000E+006, +2.78764388706E-001, +0.00000000000E+000
+4.95423000000E+006, +2.78576132005E-001, +0.00000000000E+000
+4.95423500000E+006, +2.78412194858E-001, +0.00000000000E+000
+4.95424000000E+006, +2.78245654762E-001, +0.00000000000E+000
+4.95424500000E+006, +2.78092020052E-001, +0.00000000000E+000
+4.95425000000E+006, +2.77929212896E-001, +0.00000000000E+000
+4.95425500000E+006, +2.77771023852E-001, +0.00000000000E+000
+4.95426000000E+006, +2.77613381944E-001, +0.00000000000E+000
+4.95426500000E+006, +2.77442696220E-001, +0.00000000000E+000
+4.95427000000E+006, +2.77283514476E-001, +0.00000000000E+000
+4.95427500000E+006, +2.77136224537E-001, +0.00000000000E+000
+4.95428000000E+006, +2.76979521679E-001, +0.00000000000E+000
+4.95428500000E+006, +2.76830920009E-001, +0.00000000000E+000
+4.95429000000E+006, +2.76695541702E-001, +0.00000000000E+000
+4.95429500000E+006, +2.76555479711E-001, +0.00000000000E+000
+4.95430000000E+006, +2.76407829391E-001, +0.00000000000E+000
+4.95430500000E+006, +2.76279728029E-001, +0.00000000000E+000
+4.95431000000E+006, +2.76165149065E-001, +0.00000000000E+000
+4.95431500000E+006, +2.76058990273E-001, +0.00000000000E+000
+4.95432000000E+006, +2.75963239699E-001, +0.00000000000E+000
+4.95432500000E+006, +2.75892259773E-001, +0.00000000000E+000
+4.95433000000E+006, +2.75830112303E-001, +0.00000000000E+000
+4.95433500000E+006, +2.75785672732E-001, +0.00000000000E+000
+4.95434000000E+006, +2.75775829099E-001, +0.00000000000E+000
+4.95434500000E+006, +2.75793052195E-001, +0.00000000000E+000
+4.95435000000E+006, +2.75850059180E-001, +0.00000000000E+000
+4.95435500000E+006, +2.75945487549E-001, +0.00000000000E+000
+4.95436000000E+006, +2.76083487869E-001, +0.00000000000E+000
+4.95436500000E+006, +2.76273803561E-001, +0.00000000000E+000
+4.95437000000E+006, +2.76521951276E-001, +0.00000000000E+000
+4.95437500000E+006, +2.76838417134E-001, +0.00000000000E+000
+4.95438000000E+006, +2.77229931890E-001, +0.00000000000E+000
+4.95438500000E+006, +2.77700743087E-001, +0.00000000000E+000
+4.95439000000E+006, +2.78281569544E-001, +0.00000000000E+000
+4.95439500000E+006, +2.78971387176E-001, +0.00000000000E+000
+4.95440000000E+006, +2.79786409305E-001, +0.00000000000E+000
+4.95440500000E+006, +2.80737384834E-001, +0.00000000000E+000
+4.95441000000E+006, +2.81851016929E-001, +0.00000000000E+000
+4.95441500000E+006, +2.83180673702E-001, +0.00000000000E+000
+4.95442000000E+006, +2.84720324760E-001, +0.00000000000E+000
+4.95442500000E+006, +2.86530854996E-001, +0.00000000000E+000
+4.95443000000E+006, +2.88634348658E-001, +0.00000000000E+000
+4.95443500000E+006, +2.91062808227E-001, +0.00000000000E+000
+4.95444000000E+006, +2.93894494064E-001, +0.00000000000E+000
+4.95444500000E+006, +2.97148578092E-001, +0.00000000000E+000
+4.95445000000E+006, +3.00942062889E-001, +0.00000000000E+000
+4.95445500000E+006, +3.05288634371E-001, +0.00000000000E+000
+4.95446000000E+006, +3.10271257712E-001, +0.00000000000E+000
+4.95446500000E+006, +3.15935644193E-001, +0.00000000000E+000
+4.95447000000E+006, +3.22340405616E-001, +0.00000000000E+000
+4.95447500000E+006, +3.29528592798E-001, +0.00000000000E+000
+4.95448000000E+006, +3.37522432998E-001, +0.00000000000E+000
+4.95448500000E+006, +3.46318958550E-001, +0.00000000000E+000
+4.95449000000E+006, +3.55869932263E-001, +0.00000000000E+000
+4.95449500000E+006, +3.66102286932E-001, +0.00000000000E+000
+4.95450000000E+006, +3.76845186915E-001, +0.00000000000E+000
+4.95450500000E+006, +3.87929099681E-001, +0.00000000000E+000
+4.95451000000E+006, +3.99057684848E-001, +0.00000000000E+000
+4.95451500000E+006, +4.09926804520E-001, +0.00000000000E+000
+4.95452000000E+006, +4.20181523284E-001, +0.00000000000E+000
+4.95452500000E+006, +4.29441718994E-001, +0.00000000000E+000
+4.95453000000E+006, +4.37356587518E-001, +0.00000000000E+000
+4.95453500000E+006, +4.43601959360E-001, +0.00000000000E+000
+4.95454000000E+006, +4.47975415908E-001, +0.00000000000E+000
+4.95454500000E+006, +4.50403883823E-001, +0.00000000000E+000
+4.95455000000E+006, +4.50923563039E-001, +0.00000000000E+000
+4.95455500000E+006, +4.49710896539E-001, +0.00000000000E+000
+4.95456000000E+006, +4.47058827026E-001, +0.00000000000E+000
+4.95456500000E+006, +4.43261894659E-001, +0.00000000000E+000
+4.95457000000E+006, +4.38644957799E-001, +0.00000000000E+000
+4.95457500000E+006, +4.33502636690E-001, +0.00000000000E+000
+4.95458000000E+006, +4.28074773898E-001, +0.00000000000E+000
+4.95458500000E+006, +4.22528938585E-001, +0.00000000000E+000
+4.95459000000E+006, +4.17006953943E-001, +0.00000000000E+000
+4.95459500000E+006, +4.11610224066E-001, +0.00000000000E+000
+4.95460000000E+006, +4.06399406424E-001, +0.00000000000E+000
+4.95460500000E+006, +4.01402747043E-001, +0.00000000000E+000
+4.95461000000E+006, +3.96659844245E-001, +0.00000000000E+000
+4.95461500000E+006, +3.92164519357E-001, +0.00000000000E+000
+4.95462000000E+006, +3.87929128717E-001, +0.00000000000E+000
