"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95404500000E+006, -3.15645519845E+001, +0.00000000000E+000
+4.95405000000E+006, -3.16388319859E+001, +0.00000000000E+000
+4.95405500000E+006, -3.18369784442E+001, +0.00000000000E+000
+4.95406000000E+006, -3.20372456192E+001, +0.00000000000E+000
+4.95406500000E+006, -3.22414726269E+001, +0.00000000000E+000
+4.95407000000E+006, -3.24508872112E+001, +0.00000000000E+000
+4.95407500000E+006, -3.26654843789E+001, +0.00000000000E+000
+4.95408000000E+006, -3.28841416419E+001, +0.00000000000E+000
+4.95408500000E+006, -3.31074316949E+001, +0.00000000000E+000
+4.95409000000E+006, -3.33366555681E+001, +0.00000000000E+000
+4.95409500000E+006, -3.35723590663E+001, +0.00000000000E+000
+4.95410000000E+006, -3.38111545110E+001, +0.00000000000E+000
+4.95410500000E+006, -3.40567486208E+001, +0.00000000000E+000
+4.95411000000E+006, -3.43078652370E+001, +0.00000000000E+000
+4.95411500000E+006, -3.45656505324E+001, +0.00000000000E+000
+4.95412000000E+006, -3.48302049082E+001, +0.00000000000E+000
+4.95412500000E+006, -3.51002990253E+001, +0.00000000000E+000
+4.95413000000E+006, -3.53783048195E+001, +0.00000000000E+000
+4.95413500000E+006, -3.56615047965E+001, +0.00000000000E+000
+4.95414000000E+006, -3.59537387378E+001, +0.00000000000E+000
+4.95414500000E+006, -3.62536874555E+001, +0.00000000000E+000
+4.95415000000E+006, -3.65616949818E+001, +0.00000000000E+000
+4.95415500000E+006, -3.68769286188E+001, +0.00000000000E+000
+4.95416000000E+006, -3.72016050577E+001, +0.00000000000E+000
+4.95416500000E+006, -3.75340412656E+001, +0.00000000000E+000
+4.95417000000E+006, -3.78773621836E+001, +0.00000000000E+000
+4.95417500000E+006, -3.82307293706E+001, +0.00000000000E+000
+4.95418000000E+006, -3.85931004361E+001, +0.00000000000E+000
+4.95418500000E+006, -3.89656770426E+001, +0.00000000000E+000
+4.95419000000E+006, -3.93501765327E+001, +0.00000000000E+000
+4.95419500000E+006, -3.97458915130E+001, +0.00000000000E+000
+4.95420000000E+006, -4.01537404599E+001, +0.00000000000E+000
+4.95420500000E+006, -4.05741912440E+001, +0.00000000000E+000
+4.95421000000E+006, -4.10081786160E+001, +0.00000000000E+000
+4.95421500000E+006, -4.14559406147E+001, +0.00000000000E+000
+4.95422000000E+006, -4.19171987979E+001, +0.00000000000E+000
+4.95422500000E+006, -4.23934048489E+001, +0.00000000000E+000
+4.95423000000E+006, -4.28872591142E+001, +0.00000000000E+000
+4.95423500000E+006, -4.33953288054E+001, +0.00000000000E+000
+4.95424000000E+006, -4.39226468972E+001, +0.00000000000E+000
+4.95424500000E+006, -4.44669962823E+001, +0.00000000000E+000
+4.95425000000E+006, -4.50326043684E+001, +0.00000000000E+000
+4.95425500000E+006, -4.56164117047E+001, +0.00000000000E+000
+4.95426000000E+006, -4.62231843197E+001, +0.00000000000E+000
+4.95426500000E+006, -4.68529840121E+001, +0.00000000000E+000
+4.95427000000E+006, -4.75049090421E+001, +0.00000000000E+000
+4.95427500000E+006, -4.81838679559E+001, +0.00000000000E+000
+4.95428000000E+006, -4.88882690787E+001, +0.00000000000E+000
+4.95428500000E+006, -4.96208364082E+001, +0.00000000000E+000
+4.95429000000E+006, -5.03837404829E+001, +0.00000000000E+000
+4.95429500000E+006, -5.11758789543E+001, +0.00000000000E+000
+4.95430000000E+006, -5.20036472404E+001, +0.00000000000E+000
+4.95430500000E+006, -5.28660351446E+001, +0.00000000000E+000
+4.95431000000E+006, -5.37654522635E+001, +0.00000000000E+000
+4.95431500000E+006, -5.47057727436E+001, +0.00000000000E+000
+4.95432000000E+006, -5.56859070727E+001, +0.00000000000E+000
+4.95432500000E+006, -5.67126065120E+001, +0.00000000000E+000
+4.95433000000E+006, -5.77855061466E+001, +0.00000000000E+000
+4.95433500000E+006, -5.89090240790E+001, +0.00000000000E+000
+4.95434000000E+006, -6.00890388998E+001, +0.00000000000E+000
+4.95434500000E+006, -6.13255905879E+001, +0.00000000000E+000
+4.95435000000E+006, -6.26232865357E+001, +0.00000000000E+000
+4.95435500000E+006, -6.39914124200E+001, +0.00000000000E+000
+4.95436000000E+006, -6.54286733418E+001, +0.00000000000E+000
+4.95436500000E+006, -6.69437484437E+001, +0.00000000000E+000
+4.95437000000E+006, -6.85417977070E+001, +0.00000000000E+000
+4.95437500000E+006, -7.02303247344E+001, +0.00000000000E+000
+4.95438000000E+006, -7.20108730813E+001, +0.00000000000E+000
+4.95438500000E+006, -7.38958960906E+001, +0.00000000000E+000
+4.95439000000E+006, -7.58950274377E+001, +0.00000000000E+000
+4.95439500000E+006, -7.80115900783E+001, +0.00000000000E+000
+4.95440000000E+006, -8.02544153882E+001, +0.00000000000E+000
+4.95440500000E+006, -8.26361272153E+001, +0.00000000000E+000
+4.95441000000E+006, -8.51503168731E+001, +0.00000000000E+000
+4.95441500000E+006, -8.78327482293E+001, +0.00000000000E+000
+4.95442000000E+006, -9.06849581611E+001, +0.00000000000E+000
+4.95442500000E+006, -9.37199693416E+001, +0.00000000000E+000
+4.95443000000E+006, -9.69501088131E+001, +0.00000000000E+000
+4.95443500000E+006, -1.00379453836E+002, +0.00000000000E+000
+4.95444000000E+006, -1.04025902260E+002, +0.00000000000E+000
+4.95444500000E+006, -1.07901097320E+002, +0.00000000000E+000
+4.95445000000E+006, -1.12022061219E+002, +0.00000000000E+000
+4.95445500000E+006, -1.16392728010E+002, +0.00000000000E+000
+4.95446000000E+006, -1.21033497886E+002, +0.00000000000E+000
+4.95446500000E+006, -1.25950632547E+002, +0.00000000000E+000
+4.95447000000E+006, -1.31152402409E+002, +0.00000000000E+000
+4.95447500000E+006, -1.36641957688E+002, +0.00000000000E+000
+4.95448000000E+006, -1.42421375693E+002, +0.00000000000E+000
+4.95448500000E+006, -1.48493629874E+002, +0.00000000000E+000
+4.95449000000E+006, -1.54841543225E+002, +0.00000000000E+000
+4.95449500000E+006, -1.61460469304E+002, +0.00000000000E+000
+4.95450000000E+006, -1.68332637521E+002, +0.00000000000E+000
+4.95450500000E+006, -1.75431409429E+002, +0.00000000000E+000
+4.95451000000E+006, -1.82729038742E+002, +0.00000000000E+000
+4.95451500000E+006, -1.90185216204E+002, +0.00000000000E+000
+4.95452000000E+006, -1.97756118503E+002, +0.00000000000E+000
+4.95452500000E+006, -2.05387241339E+002, +0.00000000000E+000
+4.95453000000E+006, -2.13015104020E+002, +0.00000000000E+000
+4.95453500000E+006, -2.20578218591E+002, +0.00000000000E+000
+4.95454000000E+006, -2.28004408545E+002, +0.00000000000E+000
+4.95454500000E+006, -2.35228050253E+002, +0.00000000000E+000
+4.95455000000E+006, -2.42183693636E+002, +0.00000000000E+000
+4.95455500000E+006, -2.48820691379E+002, +0.00000000000E+000
+4.95456000000E+006, -2.55103260190E+002, +0.00000000000E+000
+4.95456500000E+006, -2.61006891834E+002, +0.00000000000E+000
+4.95457000000E+006, -2.66525254739E+002, +0.00000000000E+000
+4.95457500000E+006, -2.71663640435E+002, +0.00000000000E+000
+4.95458000000E+006, -2.76432934288E+002, +0.00000000000E+000
+4.95458500000E+006, -2.80860973118E+002, +0.00000000000E+000
+4.95459000000E+006, -2.84967287843E+002, +0.00000000000E+000
+4.95459500000E+006, -2.88775829681E+002, +0.00000000000E+000
+4.95460000000E+006, -2.92310454020E+002, +0.00000000000E+000
+4.95460500000E+006, -2.95596896565E+002, +0.00000000000E+000
+4.95461000000E+006, -2.98653948414E+002, +0.00000000000E+000
+4.95461500000E+006, -3.01497781747E+002, +0.00000000000E+000
+4.95462000000E+006, -3.04152037013E+002, +0.00000000000E+000
+4.95462500000E+006, -3.06631413803E+002, +0.00000000000E+000
+4.95463000000E+006, -3.08950123339E+002, +0.00000000000E+000
+4.95463500000E+006, -3.11124816978E+002, +0.00000000000E+000
+4.95464000000E+006, -3.13163750616E+002, +0.00000000000E+000
+4.95464500000E+006, -3.15078773239E+002, +0.00000000000E+000
+4.95465000000E+006, -3.16883491350E+002, +0.00000000000E+000
+4.95465500000E+006, -3.18584843213E+002, +0.00000000000E+000
+4.95466000000E+006, -3.20192957696E+002, +0.00000000000E+000
+4.95466500000E+006, -3.21715511656E+002, +0.00000000000E+000
+4.95467000000E+006, -3.23157006634E+002, +0.00000000000E+000
+4.95467500000E+006, -3.24524374851E+002, +0.00000000000E+000
+4.95468000000E+006, -3.25819589867E+002, +0.00000000000E+000
+4.95468500000E+006, -3.27054751062E+002, +0.00000000000E+000
+4.95469000000E+006, -3.28230842323E+002, +0.00000000000E+000
+4.95469500000E+006, -3.29348755716E+002, +0.00000000000E+000
+4.95470000000E+006, -3.30415987647E+002, +0.00000000000E+000
+4.95470500000E+006, -3.31433580562E+002, +0.00000000000E+000
+4.95471000000E+006, -3.32407314089E+002, +0.00000000000E+000
+4.95471500000E+006, -3.33337692005E+002, +0.00000000000E+000
+4.95472000000E+006, -3.34228490732E+002, +0.00000000000E+000
+4.95472500000E+006, -3.35080372401E+002, +0.00000000000E+000
+4.95473000000E+006, -3.35896961680E+002, +0.00000000000E+000
+4.95473500000E+006, -3.36681464541E+002, +0.00000000000E+000
+4.95474000000E+006, -3.37433101632E+002, +0.00000000000E+000
+4.95474500000E+006, -3.38156770681E+002, +0.00000000000E+000
+4.95475000000E+006, -3.38850798005E+002, +0.00000000000E+000
+4.95475500000E+006, -3.39520076252E+002, +0.00000000000E+000
+4.95476000000E+006, -3.40165445518E+002, +0.00000000000E+000
+4.95476500000E+006, -3.40787634200E+002, +0.00000000000E+000
+4.95477000000E+006, -3.41386324011E+002, +0.00000000000E+000
+4.95477500000E+006, -3.41963838972E+002, +0.00000000000E+000
+4.95478000000E+006, -3.42519128870E+002, +0.00000000000E+000
+4.95478500000E+006, -3.43057433855E+002, +0.00000000000E+000
+4.95479000000E+006, -3.43577270581E+002, +0.00000000000E+000
+4.95479500000E+006, -3.44082046760E+002, +0.00000000000E+000
+4.95480000000E+006, -3.44568654676E+002, +0.00000000000E+000
+4.95480500000E+006, -3.45040303002E+002, +0.00000000000E+000
+4.95481000000E+006, -3.45497413695E+002, +0.00000000000E+000
+4.95481500000E+006, -3.45939632480E+002, +0.00000000000E+000
+4.95482000000E+006, -3.46368665390E+002, +0.00000000000E+000
+4.95482500000E+006, -3.46785052785E+002, +0.00000000000E+000
+4.95483000000E+006, -3.47187344039E+002, +0.00000000000E+000
+4.95483500000E+006, -3.47580094802E+002, +0.00000000000E+000
+4.95484000000E+006, -3.47959430164E+002, +0.00000000000E+000
+4.95484500000E+006, -3.48329392743E+002, +0.00000000000E+000
+4.95485000000E+006, -3.48688223480E+002, +0.00000000000E+000
+4.95485500000E+006, -3.49038528007E+002, +0.00000000000E+000
+4.95486000000E+006, -3.49378099067E+002, +0.00000000000E+000
+4.95486500000E+006, -3.49707856633E+002, +0.00000000000E+000
+4.95487000000E+006, -3.50029717659E+002, +0.00000000000E+000
+4.95487500000E+006, -3.50343066905E+002, +0.00000000000E+000
+4.95488000000E+006, -3.50647799839E+002, +0.00000000000E+000
+4.95488500000E+006, -3.50943213416E+002, +0.00000000000E+000
+4.95489000000E+006, -3.51232943739E+002, +0.00000000000E+000
+4.95489500000E+006, -3.51514503451E+002, +0.00000000000E+000
+4.95490000000E+006, -3.51789794451E+002, +0.00000000000E+000
+4.95490500000E+006, -3.52059204948E+002, +0.00000000000E+000
+4.95491000000E+006, -3.52321153312E+002, +0.00000000000E+000
