"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95667125000E+006, -2.57808474966E+001, +0.00000000000E+000
+4.95667156250E+006, -5.80547564803E+001, +0.00000000000E+000
+4.95667187500E+006, -5.93555613901E+001, +0.00000000000E+000
+4.95667218750E+006, -5.06099691665E+001, +0.00000000000E+000
+4.95667250000E+006, -4.56791784663E+001, +0.00000000000E+000
+4.95667281250E+006, -4.70182665758E+001, +0.00000000000E+000
+4.95667312500E+006, -5.00339682636E+001, +0.00000000000E+000
+4.95667343750E+006, -5.06802372543E+001, +0.00000000000E+000
+4.95667375000E+006, -4.97650402788E+001, +0.00000000000E+000
+4.95667406250E+006, -4.91400501480E+001, +0.00000000000E+000
+4.95667437500E+006, -4.92871428090E+001, +0.00000000000E+000
+4.95667468750E+006, -4.96769117382E+001, +0.00000000000E+000
+4.95667500000E+006, -4.98255312307E+001, +0.00000000000E+000
+4.95667531250E+006, -4.97768701649E+001, +0.00000000000E+000
+4.95667562500E+006, -4.97369546813E+001, +0.00000000000E+000
+4.95667593750E+006, -4.97845280054E+001, +0.00000000000E+000
+4.95667625000E+006, -4.98708005163E+001, +0.00000000000E+000
+4.95667656250E+006, -4.99385499660E+001, +0.00000000000E+000
+4.95667687500E+006, -4.99764011104E+001, +0.00000000000E+000
+4.95667718750E+006, -5.00122294995E+001, +0.00000000000E+000
+4.95667750000E+006, -5.00617149185E+001, +0.00000000000E+000
+4.95667781250E+006, -5.01136500110E+001, +0.00000000000E+000
+4.95667812500E+006, -5.01653800027E+001, +0.00000000000E+000
+4.95667843750E+006, -5.02106637722E+001, +0.00000000000E+000
+4.95667875000E+006, -5.02607181576E+001, +0.00000000000E+000
+4.95667906250E+006, -5.03093750039E+001, +0.00000000000E+000
+4.95667937500E+006, -5.03573633996E+001, +0.00000000000E+000
+4.95667968750E+006, -5.04075907747E+001, +0.00000000000E+000
+4.95668000000E+006, -5.04572472083E+001, +0.00000000000E+000
+4.95668031250E+006, -5.05060924486E+001, +0.00000000000E+000
+4.95668062500E+006, -5.05570302708E+001, +0.00000000000E+000
+4.95668093750E+006, -5.06082069248E+001, +0.00000000000E+000
