"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95667125000E+006, +4.73669331694E-001, +0.00000000000E+000
+4.95667156250E+006, +4.69218433431E-001, +0.00000000000E+000
+4.95667187500E+006, +6.41031077478E-001, +0.00000000000E+000
+4.95667218750E+006, +6.90702568969E-001, +0.00000000000E+000
+4.95667250000E+006, +6.44660240879E-001, +0.00000000000E+000
+4.95667281250E+006, +5.99343563886E-001, +0.00000000000E+000
+4.95667312500E+006, +5.99430095255E-001, +0.00000000000E+000
+4.95667343750E+006, +6.18503049821E-001, +0.00000000000E+000
+4.95667375000E+006, +6.26337279516E-001, +0.00000000000E+000
+4.95667406250E+006, +6.21723149695E-001, +0.00000000000E+000
+4.95667437500E+006, +6.16243298590E-001, +0.00000000000E+000
+4.95667468750E+006, +6.15697716100E-001, +0.00000000000E+000
+4.95667500000E+006, +6.17704636466E-001, +0.00000000000E+000
+4.95667531250E+006, +6.18694047022E-001, +0.00000000000E+000
+4.95667562500E+006, +6.18205223066E-001, +0.00000000000E+000
+4.95667593750E+006, +6.17456370682E-001, +0.00000000000E+000
+4.95667625000E+006, +6.17267979987E-001, +0.00000000000E+000
+4.95667656250E+006, +6.17400750432E-001, +0.00000000000E+000
+4.95667687500E+006, +6.17420383918E-001, +0.00000000000E+000
+4.95667718750E+006, +6.17290340949E-001, +0.00000000000E+000
+4.95667750000E+006, +6.17137650783E-001, +0.00000000000E+000
+4.95667781250E+006, +6.16989808421E-001, +0.00000000000E+000
+4.95667812500E+006, +6.16933541489E-001, +0.00000000000E+000
+4.95667843750E+006, +6.16821022169E-001, +0.00000000000E+000
+4.95667875000E+006, +6.16724621632E-001, +0.00000000000E+000
+4.95667906250E+006, +6.16598248933E-001, +0.00000000000E+000
+4.95667937500E+006, +6.16495759718E-001, +0.00000000000E+000
+4.95667968750E+006, +6.16363050441E-001, +0.00000000000E+000
+4.95668000000E+006, +6.16272415149E-001, +0.00000000000E+000
+4.95668031250E+006, +6.16138216930E-001, +0.00000000000E+000
+4.95668062500E+006, +6.16043569504E-001, +0.00000000000E+000
+4.95668093750E+006, +6.15918408607E-001, +0.00000000000E+000
+4.95668125000E+006, +6.15853030322E-001, +0.00000000000E+000
+4.95668156250E+006, +6.15771249755E-001, +0.00000000000E+000
+4.95668187500E+006, +6.15619116216E-001, +0.00000000000E+000
+4.95668218750E+006, +6.15497754264E-001, +0.00000000000E+000
+4.95668250000E+006, +6.15370845469E-001, +0.00000000000E+000
+4.95668281250E+006, +6.15244712109E-001, +0.00000000000E+000
+4.95668312500E+006, +6.15142426161E-001, +0.00000000000E+000
+4.95668343750E+006, +6.14995796510E-001, +0.00000000000E+000
+4.95668375000E+006, +6.14890441412E-001, +0.00000000000E+000
+4.95668406250E+006, +6.14777464558E-001, +0.00000000000E+000
+4.95668437500E+006, +6.14638748502E-001, +0.00000000000E+000
+4.95668468750E+006, +6.14538500523E-001, +0.00000000000E+000
+4.95668500000E+006, +6.14415648194E-001, +0.00000000000E+000
+4.95668531250E+006, +6.14327172580E-001, +0.00000000000E+000
+4.95668562500E+006, +6.14209739899E-001, +0.00000000000E+000
+4.95668593750E+006, +6.14050939870E-001, +0.00000000000E+000
+4.95668625000E+006, +6.13940608923E-001, +0.00000000000E+000
+4.95668656250E+006, +6.13800779685E-001, +0.00000000000E+000
+4.95668687500E+006, +6.13705619197E-001, +0.00000000000E+000
+4.95668718750E+006, +6.13544528569E-001, +0.00000000000E+000
+4.95668750000E+006, +6.13431729862E-001, +0.00000000000E+000
+4.95668781250E+006, +6.13324539104E-001, +0.00000000000E+000
+4.95668812500E+006, +6.13175090725E-001, +0.00000000000E+000
+4.95668843750E+006, +6.13087121905E-001, +0.00000000000E+000
+4.95668875000E+006, +6.12947397267E-001, +0.00000000000E+000
+4.95668906250E+006, +6.12817146804E-001, +0.00000000000E+000
+4.95668937500E+006, +6.12719497708E-001, +0.00000000000E+000
+4.95668968750E+006, +6.12560886923E-001, +0.00000000000E+000
+4.95669000000E+006, +6.12467686684E-001, +0.00000000000E+000
+4.95669031250E+006, +6.12327877650E-001, +0.00000000000E+000
+4.95669062500E+006, +6.12230303010E-001, +0.00000000000E+000
+4.95669093750E+006, +6.12083268542E-001, +0.00000000000E+000
+4.95669125000E+006, +6.11917932755E-001, +0.00000000000E+000
+4.95669156250E+006, +6.11772979246E-001, +0.00000000000E+000
+4.95669187500E+006, +6.11679377697E-001, +0.00000000000E+000
+4.95669218750E+006, +6.11558850419E-001, +0.00000000000E+000
+4.95669250000E+006, +6.11438087770E-001, +0.00000000000E+000
+4.95669281250E+006, +6.11293079486E-001, +0.00000000000E+000
+4.95669312500E+006, +6.11140392496E-001, +0.00000000000E+000
+4.95669343750E+006, +6.11014227939E-001, +0.00000000000E+000
+4.95669375000E+006, +6.10878782673E-001, +0.00000000000E+000
+4.95669406250E+006, +6.10747577556E-001, +0.00000000000E+000
+4.95669437500E+006, +6.10633104739E-001, +0.00000000000E+000
+4.95669468750E+006, +6.10468899754E-001, +0.00000000000E+000
+4.95669500000E+006, +6.10344213251E-001, +0.00000000000E+000
+4.95669531250E+006, +6.10221937331E-001, +0.00000000000E+000
+4.95669562500E+006, +6.10069638565E-001, +0.00000000000E+000
+4.95669593750E+006, +6.09936671185E-001, +0.00000000000E+000
+4.95669625000E+006, +6.09800038996E-001, +0.00000000000E+000
+4.95669656250E+006, +6.09654601706E-001, +0.00000000000E+000
+4.95669687500E+006, +6.09510545257E-001, +0.00000000000E+000
+4.95669718750E+006, +6.09368327686E-001, +0.00000000000E+000
+4.95669750000E+006, +6.09243111523E-001, +0.00000000000E+000
+4.95669781250E+006, +6.09089185475E-001, +0.00000000000E+000
+4.95669812500E+006, +6.08933364152E-001, +0.00000000000E+000
+4.95669843750E+006, +6.08812194295E-001, +0.00000000000E+000
+4.95669875000E+006, +6.08669053602E-001, +0.00000000000E+000
+4.95669906250E+006, +6.08523132039E-001, +0.00000000000E+000
+4.95669937500E+006, +6.08381463038E-001, +0.00000000000E+000
+4.95669968750E+006, +6.08271090709E-001, +0.00000000000E+000
+4.95670000000E+006, +6.08099686229E-001, +0.00000000000E+000
+4.95670031250E+006, +6.07989886780E-001, +0.00000000000E+000
+4.95670062500E+006, +6.07829023191E-001, +0.00000000000E+000
+4.95670093750E+006, +6.07711694528E-001, +0.00000000000E+000
+4.95670125000E+006, +6.07520500675E-001, +0.00000000000E+000
+4.95670156250E+006, +6.07387454414E-001, +0.00000000000E+000
+4.95670187500E+006, +6.07227167523E-001, +0.00000000000E+000
+4.95670218750E+006, +6.07055978124E-001, +0.00000000000E+000
+4.95670250000E+006, +6.06925977289E-001, +0.00000000000E+000
+4.95670281250E+006, +6.06741336677E-001, +0.00000000000E+000
+4.95670312500E+006, +6.06614069144E-001, +0.00000000000E+000
+4.95670343750E+006, +6.06472800151E-001, +0.00000000000E+000
+4.95670375000E+006, +6.06344872940E-001, +0.00000000000E+000
+4.95670406250E+006, +6.06134177445E-001, +0.00000000000E+000
+4.95670437500E+006, +6.05975861471E-001, +0.00000000000E+000
+4.95670468750E+006, +6.05836012440E-001, +0.00000000000E+000
+4.95670500000E+006, +6.05713193926E-001, +0.00000000000E+000
+4.95670531250E+006, +6.05523701086E-001, +0.00000000000E+000
+4.95670562500E+006, +6.05349633311E-001, +0.00000000000E+000
+4.95670593750E+006, +6.05243459113E-001, +0.00000000000E+000
+4.95670625000E+006, +6.05093955577E-001, +0.00000000000E+000
+4.95670656250E+006, +6.04922560568E-001, +0.00000000000E+000
+4.95670687500E+006, +6.04779392803E-001, +0.00000000000E+000
+4.95670718750E+006, +6.04643472539E-001, +0.00000000000E+000
+4.95670750000E+006, +6.04460197367E-001, +0.00000000000E+000
+4.95670781250E+006, +6.04305993667E-001, +0.00000000000E+000
+4.95670812500E+006, +6.04119442185E-001, +0.00000000000E+000
+4.95670843750E+006, +6.03967009941E-001, +0.00000000000E+000
+4.95670875000E+006, +6.03795842349E-001, +0.00000000000E+000
+4.95670906250E+006, +6.03635214210E-001, +0.00000000000E+000
+4.95670937500E+006, +6.03475125348E-001, +0.00000000000E+000
+4.95670968750E+006, +6.03321353023E-001, +0.00000000000E+000
+4.95671000000E+006, +6.03152675254E-001, +0.00000000000E+000
+4.95671031250E+006, +6.02984271250E-001, +0.00000000000E+000
+4.95671062500E+006, +6.02838858539E-001, +0.00000000000E+000
+4.95671093750E+006, +6.02645862518E-001, +0.00000000000E+000
+4.95671125000E+006, +6.02475412761E-001, +0.00000000000E+000
+4.95671156250E+006, +6.02338209765E-001, +0.00000000000E+000
+4.95671187500E+006, +6.02142286239E-001, +0.00000000000E+000
+4.95671218750E+006, +6.01983261262E-001, +0.00000000000E+000
+4.95671250000E+006, +6.01786969559E-001, +0.00000000000E+000
+4.95671281250E+006, +6.01620571965E-001, +0.00000000000E+000
+4.95671312500E+006, +6.01463192203E-001, +0.00000000000E+000
+4.95671343750E+006, +6.01292066702E-001, +0.00000000000E+000
+4.95671375000E+006, +6.01097879982E-001, +0.00000000000E+000
+4.95671406250E+006, +6.00938686969E-001, +0.00000000000E+000
+4.95671437500E+006, +6.00750764345E-001, +0.00000000000E+000
+4.95671468750E+006, +6.00574770658E-001, +0.00000000000E+000
+4.95671500000E+006, +6.00400686445E-001, +0.00000000000E+000
+4.95671531250E+006, +6.00252129440E-001, +0.00000000000E+000
+4.95671562500E+006, +6.00040820389E-001, +0.00000000000E+000
+4.95671593750E+006, +5.99862370309E-001, +0.00000000000E+000
+4.95671625000E+006, +5.99687815025E-001, +0.00000000000E+000
+4.95671656250E+006, +5.99492611209E-001, +0.00000000000E+000
+4.95671687500E+006, +5.99311564544E-001, +0.00000000000E+000
+4.95671718750E+006, +5.99174327091E-001, +0.00000000000E+000
+4.95671750000E+006, +5.98971325246E-001, +0.00000000000E+000
+4.95671781250E+006, +5.98789112126E-001, +0.00000000000E+000
+4.95671812500E+006, +5.98632660958E-001, +0.00000000000E+000
+4.95671843750E+006, +5.98427492785E-001, +0.00000000000E+000
+4.95671875000E+006, +5.98246512956E-001, +0.00000000000E+000
+4.95671906250E+006, +5.98045679341E-001, +0.00000000000E+000
+4.95671937500E+006, +5.97891021694E-001, +0.00000000000E+000
+4.95671968750E+006, +5.97683567823E-001, +0.00000000000E+000
+4.95672000000E+006, +5.97494002441E-001, +0.00000000000E+000
+4.95672031250E+006, +5.97308869887E-001, +0.00000000000E+000
+4.95672062500E+006, +5.97126766419E-001, +0.00000000000E+000
+4.95672093750E+006, +5.96923652248E-001, +0.00000000000E+000
+4.95672125000E+006, +5.96708964317E-001, +0.00000000000E+000
+4.95672156250E+006, +5.96530980591E-001, +0.00000000000E+000
+4.95672187500E+006, +5.96325777467E-001, +0.00000000000E+000
+4.95672218750E+006, +5.96101007427E-001, +0.00000000000E+000
+4.95672250000E+006, +5.95893049973E-001, +0.00000000000E+000
+4.95672281250E+006, +5.95717337637E-001, +0.00000000000E+000
+4.95672312500E+006, +5.95502198264E-001, +0.00000000000E+000
+4.95672343750E+006, +5.95298548477E-001, +0.00000000000E+000
+4.95672375000E+006, +5.95125264592E-001, +0.00000000000E+000
+4.95672406250E+006, +5.94918272319E-001, +0.00000000000E+000
+4.95672437500E+006, +5.94702984021E-001, +0.00000000000E+000
+4.95672468750E+006, +5.94512341871E-001, +0.00000000000E+000
+4.95672500000E+006, +5.94300270347E-001, +0.00000000000E+000
+4.95672531250E+006, +5.94112048016E-001, +0.00000000000E+000
+4.95672562500E+006, +5.93854938513E-001, +0.00000000000E+000
+4.95672593750E+006, +5.93646211863E-001, +0.00000000000E+000
+4.95672625000E+006, +5.93477772230E-001, +0.00000000000E+000
+4.95672656250E+006, +5.93268111503E-001, +0.00000000000E+000
+4.95672687500E+006, +5.93064889296E-001, +0.00000000000E+000
+4.95672718750E+006, +5.92836868427E-001, +0.00000000000E+000
+4.95672750000E+006, +5.92638662416E-001, +0.00000000000E+000
+4.95672781250E+006, +5.92439043483E-001, +0.00000000000E+000
+4.95672812500E+006, +5.92212141133E-001, +0.00000000000E+000
+4.95672843750E+006, +5.91960791637E-001, +0.00000000000E+000
+4.95672875000E+006, +5.91764831062E-001, +0.00000000000E+000
