"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95667125000E+006, +5.19921873408E-001, +0.00000000000E+000
+4.95667156250E+006, +5.74184803442E-001, +0.00000000000E+000
+4.95667187500E+006, +7.46190407801E-001, +0.00000000000E+000
+4.95667218750E+006, +7.38632113515E-001, +0.00000000000E+000
+4.95667250000E+006, +6.63820427433E-001, +0.00000000000E+000
+4.95667281250E+006, +6.52390411099E-001, +0.00000000000E+000
+4.95667312500E+006, +6.82633696017E-001, +0.00000000000E+000
+4.95667343750E+006, +6.91549499525E-001, +0.00000000000E+000
+4.95667375000E+006, +6.80230925917E-001, +0.00000000000E+000
+4.95667406250E+006, +6.74353779872E-001, +0.00000000000E+000
+4.95667437500E+006, +6.78086472042E-001, +0.00000000000E+000
+4.95667468750E+006, +6.81054986078E-001, +0.00000000000E+000
+4.95667500000E+006, +6.79907044805E-001, +0.00000000000E+000
+4.95667531250E+006, +6.78352257022E-001, +0.00000000000E+000
+4.95667562500E+006, +6.78466843023E-001, +0.00000000000E+000
+4.95667593750E+006, +6.79050572122E-001, +0.00000000000E+000
+4.95667625000E+006, +6.79016289452E-001, +0.00000000000E+000
+4.95667656250E+006, +6.78642668080E-001, +0.00000000000E+000
+4.95667687500E+006, +6.78485711628E-001, +0.00000000000E+000
+4.95667718750E+006, +6.78512921309E-001, +0.00000000000E+000
+4.95667750000E+006, +6.78487237414E-001, +0.00000000000E+000
+4.95667781250E+006, +6.78355220598E-001, +0.00000000000E+000
+4.95667812500E+006, +6.78272031678E-001, +0.00000000000E+000
+4.95667843750E+006, +6.78202863044E-001, +0.00000000000E+000
+4.95667875000E+006, +6.78173974201E-001, +0.00000000000E+000
+4.95667906250E+006, +6.78116062081E-001, +0.00000000000E+000
+4.95667937500E+006, +6.78001977896E-001, +0.00000000000E+000
+4.95667968750E+006, +6.77879481288E-001, +0.00000000000E+000
+4.95668000000E+006, +6.77815823400E-001, +0.00000000000E+000
+4.95668031250E+006, +6.77742281566E-001, +0.00000000000E+000
+4.95668062500E+006, +6.77644590352E-001, +0.00000000000E+000
+4.95668093750E+006, +6.77589826182E-001, +0.00000000000E+000
+4.95668125000E+006, +6.77482989253E-001, +0.00000000000E+000
+4.95668156250E+006, +6.77414713656E-001, +0.00000000000E+000
+4.95668187500E+006, +6.77339450363E-001, +0.00000000000E+000
+4.95668218750E+006, +6.77236158595E-001, +0.00000000000E+000
+4.95668250000E+006, +6.77158729220E-001, +0.00000000000E+000
+4.95668281250E+006, +6.77115309129E-001, +0.00000000000E+000
+4.95668312500E+006, +6.76993648038E-001, +0.00000000000E+000
+4.95668343750E+006, +6.76895830418E-001, +0.00000000000E+000
+4.95668375000E+006, +6.76788685437E-001, +0.00000000000E+000
+4.95668406250E+006, +6.76711278957E-001, +0.00000000000E+000
+4.95668437500E+006, +6.76659258642E-001, +0.00000000000E+000
+4.95668468750E+006, +6.76536820426E-001, +0.00000000000E+000
+4.95668500000E+006, +6.76463406667E-001, +0.00000000000E+000
+4.95668531250E+006, +6.76370838648E-001, +0.00000000000E+000
+4.95668562500E+006, +6.76292393297E-001, +0.00000000000E+000
+4.95668593750E+006, +6.76197015567E-001, +0.00000000000E+000
+4.95668625000E+006, +6.76105367348E-001, +0.00000000000E+000
+4.95668656250E+006, +6.76026800915E-001, +0.00000000000E+000
+4.95668687500E+006, +6.75938862200E-001, +0.00000000000E+000
+4.95668718750E+006, +6.75855878775E-001, +0.00000000000E+000
+4.95668750000E+006, +6.75781301499E-001, +0.00000000000E+000
+4.95668781250E+006, +6.75661328077E-001, +0.00000000000E+000
+4.95668812500E+006, +6.75559436203E-001, +0.00000000000E+000
+4.95668843750E+006, +6.75488849104E-001, +0.00000000000E+000
+4.95668875000E+006, +6.75416920694E-001, +0.00000000000E+000
+4.95668906250E+006, +6.75354198986E-001, +0.00000000000E+000
+4.95668937500E+006, +6.75210940765E-001, +0.00000000000E+000
