"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95667125000E+006, -2.70210717561E+001, +0.00000000000E+000
+4.95667156250E+006, -5.52056336609E+001, +0.00000000000E+000
+4.95667187500E+006, -5.08921498318E+001, +0.00000000000E+000
+4.95667218750E+006, -4.18784988645E+001, +0.00000000000E+000
+4.95667250000E+006, -4.10515740536E+001, +0.00000000000E+000
+4.95667281250E+006, -4.52399436890E+001, +0.00000000000E+000
+4.95667312500E+006, -4.61359279614E+001, +0.00000000000E+000
+4.95667343750E+006, -4.45989651172E+001, +0.00000000000E+000
+4.95667375000E+006, -4.40003638537E+001, +0.00000000000E+000
+4.95667406250E+006, -4.45924397252E+001, +0.00000000000E+000
+4.95667437500E+006, -4.49925712265E+001, +0.00000000000E+000
+4.95667468750E+006, -4.48490493520E+001, +0.00000000000E+000
+4.95667500000E+006, -4.47027486892E+001, +0.00000000000E+000
+4.95667531250E+006, -4.47798127572E+001, +0.00000000000E+000
+4.95667562500E+006, -4.48990411311E+001, +0.00000000000E+000
+4.95667593750E+006, -4.49304640257E+001, +0.00000000000E+000
+4.95667625000E+006, -4.49306423088E+001, +0.00000000000E+000
+4.95667656250E+006, -4.49578973399E+001, +0.00000000000E+000
+4.95667687500E+006, -4.50056829853E+001, +0.00000000000E+000
+4.95667718750E+006, -4.50444376104E+001, +0.00000000000E+000
+4.95667750000E+006, -4.50770000754E+001, +0.00000000000E+000
+4.95667781250E+006, -4.51076573789E+001, +0.00000000000E+000
+4.95667812500E+006, -4.51473002367E+001, +0.00000000000E+000
+4.95667843750E+006, -4.51813672483E+001, +0.00000000000E+000
+4.95667875000E+006, -4.52185022430E+001, +0.00000000000E+000
+4.95667906250E+006, -4.52506998457E+001, +0.00000000000E+000
+4.95667937500E+006, -4.52877801976E+001, +0.00000000000E+000
+4.95667968750E+006, -4.53219557010E+001, +0.00000000000E+000
+4.95668000000E+006, -4.53569600574E+001, +0.00000000000E+000
+4.95668031250E+006, -4.53894996734E+001, +0.00000000000E+000
+4.95668062500E+006, -4.54276945798E+001, +0.00000000000E+000
+4.95668093750E+006, -4.54651832573E+001, +0.00000000000E+000
+4.95668125000E+006, -4.55020870617E+001, +0.00000000000E+000
+4.95668156250E+006, -4.55355893001E+001, +0.00000000000E+000
+4.95668187500E+006, -4.55730258167E+001, +0.00000000000E+000
+4.95668218750E+006, -4.56096483111E+001, +0.00000000000E+000
+4.95668250000E+006, -4.56442873229E+001, +0.00000000000E+000
+4.95668281250E+006, -4.56832254516E+001, +0.00000000000E+000
+4.95668312500E+006, -4.57200845806E+001, +0.00000000000E+000
+4.95668343750E+006, -4.57563800132E+001, +0.00000000000E+000
+4.95668375000E+006, -4.57909728106E+001, +0.00000000000E+000
+4.95668406250E+006, -4.58270388607E+001, +0.00000000000E+000
+4.95668437500E+006, -4.58675164906E+001, +0.00000000000E+000
+4.95668468750E+006, -4.59016561271E+001, +0.00000000000E+000
+4.95668500000E+006, -4.59404076838E+001, +0.00000000000E+000
+4.95668531250E+006, -4.59806894864E+001, +0.00000000000E+000
+4.95668562500E+006, -4.60122762674E+001, +0.00000000000E+000
+4.95668593750E+006, -4.60527430065E+001, +0.00000000000E+000
+4.95668625000E+006, -4.60871682871E+001, +0.00000000000E+000
+4.95668656250E+006, -4.61273600414E+001, +0.00000000000E+000
+4.95668687500E+006, -4.61633869873E+001, +0.00000000000E+000
+4.95668718750E+006, -4.62012820996E+001, +0.00000000000E+000
+4.95668750000E+006, -4.62406204602E+001, +0.00000000000E+000
+4.95668781250E+006, -4.62794774453E+001, +0.00000000000E+000
+4.95668812500E+006, -4.63171036678E+001, +0.00000000000E+000
+4.95668843750E+006, -4.63553312045E+001, +0.00000000000E+000
+4.95668875000E+006, -4.63936763627E+001, +0.00000000000E+000
+4.95668906250E+006, -4.64297069423E+001, +0.00000000000E+000
+4.95668937500E+006, -4.64718595636E+001, +0.00000000000E+000
+4.95668968750E+006, -4.65078133895E+001, +0.00000000000E+000
+4.95669000000E+006, -4.65447833649E+001, +0.00000000000E+000
+4.95669031250E+006, -4.65855748815E+001, +0.00000000000E+000
+4.95669062500E+006, -4.66271061861E+001, +0.00000000000E+000
+4.95669093750E+006, -4.66652267266E+001, +0.00000000000E+000
+4.95669125000E+006, -4.67035311599E+001, +0.00000000000E+000
+4.95669156250E+006, -4.67424317419E+001, +0.00000000000E+000
+4.95669187500E+006, -4.67807318446E+001, +0.00000000000E+000
+4.95669218750E+006, -4.68221598492E+001, +0.00000000000E+000
+4.95669250000E+006, -4.68601126944E+001, +0.00000000000E+000
+4.95669281250E+006, -4.69013684660E+001, +0.00000000000E+000
+4.95669312500E+006, -4.69425227979E+001, +0.00000000000E+000
+4.95669343750E+006, -4.69803221571E+001, +0.00000000000E+000
+4.95669375000E+006, -4.70216375173E+001, +0.00000000000E+000
+4.95669406250E+006, -4.70614686435E+001, +0.00000000000E+000
+4.95669437500E+006, -4.71021130602E+001, +0.00000000000E+000
+4.95669468750E+006, -4.71417411280E+001, +0.00000000000E+000
+4.95669500000E+006, -4.71823523557E+001, +0.00000000000E+000
+4.95669531250E+006, -4.72244857540E+001, +0.00000000000E+000
+4.95669562500E+006, -4.72630865633E+001, +0.00000000000E+000
+4.95669593750E+006, -4.73068108148E+001, +0.00000000000E+000
+4.95669625000E+006, -4.73435941045E+001, +0.00000000000E+000
+4.95669656250E+006, -4.73876992730E+001, +0.00000000000E+000
+4.95669687500E+006, -4.74268177751E+001, +0.00000000000E+000
+4.95669718750E+006, -4.74682979784E+001, +0.00000000000E+000
+4.95669750000E+006, -4.75090143404E+001, +0.00000000000E+000
+4.95669781250E+006, -4.75527929166E+001, +0.00000000000E+000
+4.95669812500E+006, -4.75929357094E+001, +0.00000000000E+000
+4.95669843750E+006, -4.76354922253E+001, +0.00000000000E+000
+4.95669875000E+006, -4.76761666900E+001, +0.00000000000E+000
+4.95669906250E+006, -4.77188285985E+001, +0.00000000000E+000
+4.95669937500E+006, -4.77591689171E+001, +0.00000000000E+000
+4.95669968750E+006, -4.78038824614E+001, +0.00000000000E+000
+4.95670000000E+006, -4.78448696988E+001, +0.00000000000E+000
+4.95670031250E+006, -4.78887084348E+001, +0.00000000000E+000
+4.95670062500E+006, -4.79288682293E+001, +0.00000000000E+000
+4.95670093750E+006, -4.79700504714E+001, +0.00000000000E+000
+4.95670125000E+006, -4.80163060892E+001, +0.00000000000E+000
+4.95670156250E+006, -4.80586516010E+001, +0.00000000000E+000
+4.95670187500E+006, -4.81012347644E+001, +0.00000000000E+000
+4.95670218750E+006, -4.81434545709E+001, +0.00000000000E+000
+4.95670250000E+006, -4.81875805335E+001, +0.00000000000E+000
+4.95670281250E+006, -4.82326601180E+001, +0.00000000000E+000
+4.95670312500E+006, -4.82754309442E+001, +0.00000000000E+000
+4.95670343750E+006, -4.83171813660E+001, +0.00000000000E+000
+4.95670375000E+006, -4.83630381435E+001, +0.00000000000E+000
+4.95670406250E+006, -4.84040315532E+001, +0.00000000000E+000
+4.95670437500E+006, -4.84468231917E+001, +0.00000000000E+000
+4.95670468750E+006, -4.84933613575E+001, +0.00000000000E+000
+4.95670500000E+006, -4.85355382708E+001, +0.00000000000E+000
+4.95670531250E+006, -4.85834799436E+001, +0.00000000000E+000
+4.95670562500E+006, -4.86258356626E+001, +0.00000000000E+000
+4.95670593750E+006, -4.86693605852E+001, +0.00000000000E+000
+4.95670625000E+006, -4.87151939066E+001, +0.00000000000E+000
+4.95670656250E+006, -4.87613058250E+001, +0.00000000000E+000
+4.95670687500E+006, -4.88051594117E+001, +0.00000000000E+000
+4.95670718750E+006, -4.88503247865E+001, +0.00000000000E+000
+4.95670750000E+006, -4.88967206548E+001, +0.00000000000E+000
+4.95670781250E+006, -4.89418968596E+001, +0.00000000000E+000
+4.95670812500E+006, -4.89865312311E+001, +0.00000000000E+000
+4.95670843750E+006, -4.90328575179E+001, +0.00000000000E+000
+4.95670875000E+006, -4.90794827185E+001, +0.00000000000E+000
+4.95670906250E+006, -4.91249351129E+001, +0.00000000000E+000
+4.95670937500E+006, -4.91720525841E+001, +0.00000000000E+000
+4.95670968750E+006, -4.92155971668E+001, +0.00000000000E+000
+4.95671000000E+006, -4.92633302447E+001, +0.00000000000E+000
+4.95671031250E+006, -4.93097295738E+001, +0.00000000000E+000
