"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95667125000E+006, +5.99084453020E-001, +0.00000000000E+000
+4.95667156250E+006, +4.33626725658E-001, +0.00000000000E+000
+4.95667187500E+006, +6.88761169652E-001, +0.00000000000E+000
+4.95667218750E+006, +7.19277426120E-001, +0.00000000000E+000
+4.95667250000E+006, +6.12995988002E-001, +0.00000000000E+000
+4.95667281250E+006, +5.90084244242E-001, +0.00000000000E+000
+4.95667312500E+006, +6.37099930407E-001, +0.00000000000E+000
+4.95667343750E+006, +6.46484375548E-001, +0.00000000000E+000
+4.95667375000E+006, +6.26381881355E-001, +0.00000000000E+000
+4.95667406250E+006, +6.21310743509E-001, +0.00000000000E+000
+4.95667437500E+006, +6.29806898294E-001, +0.00000000000E+000
+4.95667468750E+006, +6.32124549691E-001, +0.00000000000E+000
+4.95667500000E+006, +6.28531380668E-001, +0.00000000000E+000
+4.95667531250E+006, +6.27362431587E-001, +0.00000000000E+000
+4.95667562500E+006, +6.28759378296E-001, +0.00000000000E+000
+4.95667593750E+006, +6.29096811800E-001, +0.00000000000E+000
+4.95667625000E+006, +6.28419368231E-001, +0.00000000000E+000
+4.95667656250E+006, +6.28253403430E-001, +0.00000000000E+000
+4.95667687500E+006, +6.28554054719E-001, +0.00000000000E+000
+4.95667718750E+006, +6.28517045020E-001, +0.00000000000E+000
+4.95667750000E+006, +6.28201015815E-001, +0.00000000000E+000
+4.95667781250E+006, +6.28084826411E-001, +0.00000000000E+000
+4.95667812500E+006, +6.28235048022E-001, +0.00000000000E+000
+4.95667843750E+006, +6.28307282018E-001, +0.00000000000E+000
+4.95667875000E+006, +6.28148670768E-001, +0.00000000000E+000
+4.95667906250E+006, +6.27942845454E-001, +0.00000000000E+000
+4.95667937500E+006, +6.27846389860E-001, +0.00000000000E+000
+4.95667968750E+006, +6.27907803924E-001, +0.00000000000E+000
+4.95668000000E+006, +6.27997676730E-001, +0.00000000000E+000
+4.95668031250E+006, +6.27861529655E-001, +0.00000000000E+000
+4.95668062500E+006, +6.27658761558E-001, +0.00000000000E+000
+4.95668093750E+006, +6.27558224017E-001, +0.00000000000E+000
+4.95668125000E+006, +6.27606103304E-001, +0.00000000000E+000
+4.95668156250E+006, +6.27677358903E-001, +0.00000000000E+000
+4.95668187500E+006, +6.27590211263E-001, +0.00000000000E+000
+4.95668218750E+006, +6.27365189357E-001, +0.00000000000E+000
+4.95668250000E+006, +6.27251115723E-001, +0.00000000000E+000
+4.95668281250E+006, +6.27249074657E-001, +0.00000000000E+000
+4.95668312500E+006, +6.27362168085E-001, +0.00000000000E+000
+4.95668343750E+006, +6.27330145440E-001, +0.00000000000E+000
+4.95668375000E+006, +6.27090067502E-001, +0.00000000000E+000
+4.95668406250E+006, +6.26931124938E-001, +0.00000000000E+000
+4.95668437500E+006, +6.26929423830E-001, +0.00000000000E+000
+4.95668468750E+006, +6.27003350393E-001, +0.00000000000E+000
+4.95668500000E+006, +6.27000782010E-001, +0.00000000000E+000
+4.95668531250E+006, +6.26777739331E-001, +0.00000000000E+000
+4.95668562500E+006, +6.26627379592E-001, +0.00000000000E+000
+4.95668593750E+006, +6.26606924074E-001, +0.00000000000E+000
+4.95668625000E+006, +6.26644575246E-001, +0.00000000000E+000
+4.95668656250E+006, +6.26669649394E-001, +0.00000000000E+000
+4.95668687500E+006, +6.26498934488E-001, +0.00000000000E+000
+4.95668718750E+006, +6.26311907505E-001, +0.00000000000E+000
+4.95668750000E+006, +6.26254481845E-001, +0.00000000000E+000
+4.95668781250E+006, +6.26325359316E-001, +0.00000000000E+000
+4.95668812500E+006, +6.26373906673E-001, +0.00000000000E+000
+4.95668843750E+006, +6.26200721250E-001, +0.00000000000E+000
+4.95668875000E+006, +6.26027525106E-001, +0.00000000000E+000
+4.95668906250E+006, +6.25925034733E-001, +0.00000000000E+000
+4.95668937500E+006, +6.25980660179E-001, +0.00000000000E+000
+4.95668968750E+006, +6.26027626446E-001, +0.00000000000E+000
+4.95669000000E+006, +6.25927094017E-001, +0.00000000000E+000
+4.95669031250E+006, +6.25731805820E-001, +0.00000000000E+000
+4.95669062500E+006, +6.25564345226E-001, +0.00000000000E+000
+4.95669093750E+006, +6.25611907139E-001, +0.00000000000E+000
+4.95669125000E+006, +6.25695923260E-001, +0.00000000000E+000
+4.95669156250E+006, +6.25604825441E-001, +0.00000000000E+000
+4.95669187500E+006, +6.25418344526E-001, +0.00000000000E+000
+4.95669218750E+006, +6.25259972220E-001, +0.00000000000E+000
+4.95669250000E+006, +6.25261240797E-001, +0.00000000000E+000
+4.95669281250E+006, +6.25345427772E-001, +0.00000000000E+000
+4.95669312500E+006, +6.25302192190E-001, +0.00000000000E+000
+4.95669343750E+006, +6.25122760975E-001, +0.00000000000E+000
+4.95669375000E+006, +6.24946139283E-001, +0.00000000000E+000
+4.95669406250E+006, +6.24914404351E-001, +0.00000000000E+000
+4.95669437500E+006, +6.24987950887E-001, +0.00000000000E+000
+4.95669468750E+006, +6.24967898292E-001, +0.00000000000E+000
+4.95669500000E+006, +6.24789010563E-001, +0.00000000000E+000
+4.95669531250E+006, +6.24609206430E-001, +0.00000000000E+000
+4.95669562500E+006, +6.24552291529E-001, +0.00000000000E+000
+4.95669593750E+006, +6.24627207785E-001, +0.00000000000E+000
+4.95669625000E+006, +6.24611720473E-001, +0.00000000000E+000
+4.95669656250E+006, +6.24492384509E-001, +0.00000000000E+000
+4.95669687500E+006, +6.24298710890E-001, +0.00000000000E+000
+4.95669718750E+006, +6.24218993370E-001, +0.00000000000E+000
+4.95669750000E+006, +6.24238642402E-001, +0.00000000000E+000
+4.95669781250E+006, +6.24267033984E-001, +0.00000000000E+000
+4.95669812500E+006, +6.24148296357E-001, +0.00000000000E+000
+4.95669843750E+006, +6.23954943743E-001, +0.00000000000E+000
+4.95669875000E+006, +6.23856422842E-001, +0.00000000000E+000
+4.95669906250E+006, +6.23867187165E-001, +0.00000000000E+000
+4.95669937500E+006, +6.23924910559E-001, +0.00000000000E+000
+4.95669968750E+006, +6.23800307872E-001, +0.00000000000E+000
+4.95670000000E+006, +6.23601300099E-001, +0.00000000000E+000
+4.95670031250E+006, +6.23472632021E-001, +0.00000000000E+000
+4.95670062500E+006, +6.23463714276E-001, +0.00000000000E+000
+4.95670093750E+006, +6.23508345865E-001, +0.00000000000E+000
+4.95670125000E+006, +6.23416195903E-001, +0.00000000000E+000
+4.95670156250E+006, +6.23271517815E-001, +0.00000000000E+000
+4.95670187500E+006, +6.23105806367E-001, +0.00000000000E+000
+4.95670218750E+006, +6.23091938429E-001, +0.00000000000E+000
+4.95670250000E+006, +6.23140026506E-001, +0.00000000000E+000
+4.95670281250E+006, +6.23107139817E-001, +0.00000000000E+000
+4.95670312500E+006, +6.22904069903E-001, +0.00000000000E+000
+4.95670343750E+006, +6.22721668460E-001, +0.00000000000E+000
+4.95670375000E+006, +6.22694152735E-001, +0.00000000000E+000
+4.95670406250E+006, +6.22739382945E-001, +0.00000000000E+000
+4.95670437500E+006, +6.22704889660E-001, +0.00000000000E+000
+4.95670468750E+006, +6.22527795421E-001, +0.00000000000E+000
+4.95670500000E+006, +6.22377683534E-001, +0.00000000000E+000
+4.95670531250E+006, +6.22306822192E-001, +0.00000000000E+000
+4.95670562500E+006, +6.22324002162E-001, +0.00000000000E+000
+4.95670593750E+006, +6.22305107430E-001, +0.00000000000E+000
+4.95670625000E+006, +6.22210405452E-001, +0.00000000000E+000
+4.95670656250E+006, +6.21995421298E-001, +0.00000000000E+000
+4.95670687500E+006, +6.21943719971E-001, +0.00000000000E+000
+4.95670718750E+006, +6.21963566221E-001, +0.00000000000E+000
+4.95670750000E+006, +6.21924448273E-001, +0.00000000000E+000
+4.95670781250E+006, +6.21797058591E-001, +0.00000000000E+000
+4.95670812500E+006, +6.21622117090E-001, +0.00000000000E+000
+4.95670843750E+006, +6.21565716491E-001, +0.00000000000E+000
+4.95670875000E+006, +6.21558987186E-001, +0.00000000000E+000
+4.95670906250E+006, +6.21543930232E-001, +0.00000000000E+000
+4.95670937500E+006, +6.21421280578E-001, +0.00000000000E+000
+4.95670968750E+006, +6.21252708355E-001, +0.00000000000E+000
+4.95671000000E+006, +6.21154265765E-001, +0.00000000000E+000
+4.95671031250E+006, +6.21161631485E-001, +0.00000000000E+000
+4.95671062500E+006, +6.21122352961E-001, +0.00000000000E+000
+4.95671093750E+006, +6.21033260303E-001, +0.00000000000E+000
+4.95671125000E+006, +6.20892871537E-001, +0.00000000000E+000
+4.95671156250E+006, +6.20747405076E-001, +0.00000000000E+000
+4.95671187500E+006, +6.20690524211E-001, +0.00000000000E+000
+4.95671218750E+006, +6.20730158348E-001, +0.00000000000E+000
+4.95671250000E+006, +6.20621351919E-001, +0.00000000000E+000
+4.95671281250E+006, +6.20454888954E-001, +0.00000000000E+000
+4.95671312500E+006, +6.20333418128E-001, +0.00000000000E+000
+4.95671343750E+006, +6.20279185420E-001, +0.00000000000E+000
+4.95671375000E+006, +6.20280367768E-001, +0.00000000000E+000
+4.95671406250E+006, +6.20197003467E-001, +0.00000000000E+000
+4.95671437500E+006, +6.20039408477E-001, +0.00000000000E+000
+4.95671468750E+006, +6.19905347574E-001, +0.00000000000E+000
+4.95671500000E+006, +6.19864914100E-001, +0.00000000000E+000
+4.95671531250E+006, +6.19835720581E-001, +0.00000000000E+000
+4.95671562500E+006, +6.19791555585E-001, +0.00000000000E+000
+4.95671593750E+006, +6.19632107503E-001, +0.00000000000E+000
+4.95671625000E+006, +6.19492739635E-001, +0.00000000000E+000
+4.95671656250E+006, +6.19412361574E-001, +0.00000000000E+000
+4.95671687500E+006, +6.19406532560E-001, +0.00000000000E+000
+4.95671718750E+006, +6.19372370322E-001, +0.00000000000E+000
+4.95671750000E+006, +6.19244782103E-001, +0.00000000000E+000
+4.95671781250E+006, +6.19078884789E-001, +0.00000000000E+000
+4.95671812500E+006, +6.18985698960E-001, +0.00000000000E+000
+4.95671843750E+006, +6.18962538653E-001, +0.00000000000E+000
+4.95671875000E+006, +6.18911455970E-001, +0.00000000000E+000
+4.95671906250E+006, +6.18783398474E-001, +0.00000000000E+000
+4.95671937500E+006, +6.18624173652E-001, +0.00000000000E+000
+4.95671968750E+006, +6.18546926901E-001, +0.00000000000E+000
+4.95672000000E+006, +6.18507897493E-001, +0.00000000000E+000
+4.95672031250E+006, +6.18457231559E-001, +0.00000000000E+000
+4.95672062500E+006, +6.18359280995E-001, +0.00000000000E+000
+4.95672093750E+006, +6.18197306334E-001, +0.00000000000E+000
+4.95672125000E+006, +6.18088660152E-001, +0.00000000000E+000
+4.95672156250E+006, +6.18038132475E-001, +0.00000000000E+000
+4.95672187500E+006, +6.17999552503E-001, +0.00000000000E+000
+4.95672218750E+006, +6.17923122003E-001, +0.00000000000E+000
+4.95672250000E+006, +6.17731751720E-001, +0.00000000000E+000
+4.95672281250E+006, +6.17627981424E-001, +0.00000000000E+000
+4.95672312500E+006, +6.17553675777E-001, +0.00000000000E+000
+4.95672343750E+006, +6.17521598713E-001, +0.00000000000E+000
+4.95672375000E+006, +6.17462370893E-001, +0.00000000000E+000
+4.95672406250E+006, +6.17280466342E-001, +0.00000000000E+000
+4.95672437500E+006, +6.17157439853E-001, +0.00000000000E+000
+4.95672468750E+006, +6.17093423153E-001, +0.00000000000E+000
+4.95672500000E+006, +6.17025417595E-001, +0.00000000000E+000
+4.95672531250E+006, +6.16978646339E-001, +0.00000000000E+000
+4.95672562500E+006, +6.16825521881E-001, +0.00000000000E+000
+4.95672593750E+006, +6.16694429372E-001, +0.00000000000E+000
+4.95672625000E+006, +6.16590936049E-001, +0.00000000000E+000
+4.95672656250E+006, +6.16548507770E-001, +0.00000000000E+000
+4.95672687500E+006, +6.16504913546E-001, +0.00000000000E+000
+4.95672718750E+006, +6.16357435747E-001, +0.00000000000E+000
+4.95672750000E+006, +6.16209648989E-001, +0.00000000000E+000
+4.95672781250E+006, +6.16116162051E-001, +0.00000000000E+000
+4.95672812500E+006, +6.16064634990E-001, +0.00000000000E+000
+4.95672843750E+006, +6.16004507201E-001, +0.00000000000E+000
+4.95672875000E+006, +6.15850324591E-001, +0.00000000000E+000
+4.95672906250E+006, +6.15712586644E-001, +0.00000000000E+000
+4.95672937500E+006, +6.15606655204E-001, +0.00000000000E+000
+4.95672968750E+006, +6.15551381185E-001, +0.00000000000E+000
+4.95673000000E+006, +6.15505226816E-001, +0.00000000000E+000
+4.95673031250E+006, +6.15366783022E-001, +0.00000000000E+000
+4.95673062500E+006, +6.15206628576E-001, +0.00000000000E+000
+4.95673093750E+006, +6.15086430761E-001, +0.00000000000E+000
+4.95673125000E+006, +6.15026414058E-001, +0.00000000000E+000
+4.95673156250E+006, +6.14954686657E-001, +0.00000000000E+000
+4.95673187500E+006, +6.14848706719E-001, +0.00000000000E+000
+4.95673218750E+006, +6.14701775017E-001, +0.00000000000E+000
+4.95673250000E+006, +6.14563466744E-001, +0.00000000000E+000
+4.95673281250E+006, +6.14502021225E-001, +0.00000000000E+000
+4.95673312500E+006, +6.14434539170E-001, +0.00000000000E+000
+4.95673343750E+006, +6.14347205887E-001, +0.00000000000E+000
+4.95673375000E+006, +6.14181414219E-001, +0.00000000000E+000
+4.95673406250E+006, +6.14054060741E-001, +0.00000000000E+000
+4.95673437500E+006, +6.13944163656E-001, +0.00000000000E+000
+4.95673468750E+006, +6.13910444441E-001, +0.00000000000E+000
+4.95673500000E+006, +6.13824891121E-001, +0.00000000000E+000
+4.95673531250E+006, +6.13682407860E-001, +0.00000000000E+000
+4.95673562500E+006, +6.13522472617E-001, +0.00000000000E+000
+4.95673593750E+006, +6.13401239141E-001, +0.00000000000E+000
+4.95673625000E+006, +6.13335535372E-001, +0.00000000000E+000
+4.95673656250E+006, +6.13308474379E-001, +0.00000000000E+000
+4.95673687500E+006, +6.13144237482E-001, +0.00000000000E+000
+4.95673718750E+006, +6.12978155268E-001, +0.00000000000E+000
+4.95673750000E+006, +6.12853363664E-001, +0.00000000000E+000
+4.95673781250E+006, +6.12790509987E-001, +0.00000000000E+000
+4.95673812500E+006, +6.12747681674E-001, +0.00000000000E+000
