"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95667125000E+006, -3.01037604822E+001, +0.00000000000E+000
+4.95667156250E+006, -4.08463002249E+001, +0.00000000000E+000
+4.95667187500E+006, -4.83162686303E+001, +0.00000000000E+000
+4.95667218750E+006, -4.32086222332E+001, +0.00000000000E+000
+4.95667250000E+006, -4.01593586536E+001, +0.00000000000E+000
+4.95667281250E+006, -4.22930331442E+001, +0.00000000000E+000
+4.95667312500E+006, -4.37417314109E+001, +0.00000000000E+000
+4.95667343750E+006, -4.28600851747E+001, +0.00000000000E+000
+4.95667375000E+006, -4.22581160050E+001, +0.00000000000E+000
+4.95667406250E+006, -4.26707894462E+001, +0.00000000000E+000
+4.95667437500E+006, -4.29863786124E+001, +0.00000000000E+000
+4.95667468750E+006, -4.28590018482E+001, +0.00000000000E+000
+4.95667500000E+006, -4.27558998286E+001, +0.00000000000E+000
+4.95667531250E+006, -4.28529343345E+001, +0.00000000000E+000
+4.95667562500E+006, -4.29460007702E+001, +0.00000000000E+000
+4.95667593750E+006, -4.29497102744E+001, +0.00000000000E+000
+4.95667625000E+006, -4.29470489050E+001, +0.00000000000E+000
+4.95667656250E+006, -4.29880480460E+001, +0.00000000000E+000
+4.95667687500E+006, -4.30317625246E+001, +0.00000000000E+000
+4.95667718750E+006, -4.30608848584E+001, +0.00000000000E+000
+4.95667750000E+006, -4.30878528152E+001, +0.00000000000E+000
+4.95667781250E+006, -4.31154501228E+001, +0.00000000000E+000
+4.95667812500E+006, -4.31476550167E+001, +0.00000000000E+000
+4.95667843750E+006, -4.31790679577E+001, +0.00000000000E+000
+4.95667875000E+006, -4.32121750187E+001, +0.00000000000E+000
+4.95667906250E+006, -4.32445343819E+001, +0.00000000000E+000
+4.95667937500E+006, -4.32712565088E+001, +0.00000000000E+000
+4.95667968750E+006, -4.33020273681E+001, +0.00000000000E+000
+4.95668000000E+006, -4.33324781819E+001, +0.00000000000E+000
+4.95668031250E+006, -4.33667600351E+001, +0.00000000000E+000
+4.95668062500E+006, -4.33997627066E+001, +0.00000000000E+000
+4.95668093750E+006, -4.34299908041E+001, +0.00000000000E+000
+4.95668125000E+006, -4.34592468395E+001, +0.00000000000E+000
+4.95668156250E+006, -4.34919397538E+001, +0.00000000000E+000
+4.95668187500E+006, -4.35241616275E+001, +0.00000000000E+000
