"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.94785250000E+006, +8.51279195246E-001, +0.00000000000E+000
+4.94785718750E+006, +8.51086666634E-001, +0.00000000000E+000
+4.94786187500E+006, +8.51029238754E-001, +0.00000000000E+000
+4.94786656250E+006, +8.51019818942E-001, +0.00000000000E+000
+4.94787125000E+006, +8.50988192960E-001, +0.00000000000E+000
+4.94787593750E+006, +8.50975423908E-001, +0.00000000000E+000
+4.94788062500E+006, +8.50954668664E-001, +0.00000000000E+000
+4.94788531250E+006, +8.50934465588E-001, +0.00000000000E+000
+4.94789000000E+006, +8.50902393481E-001, +0.00000000000E+000
+4.94789468750E+006, +8.50832315993E-001, +0.00000000000E+000
+4.94789937500E+006, +8.50826269970E-001, +0.00000000000E+000
+4.94790406250E+006, +8.50814370615E-001, +0.00000000000E+000
+4.94790875000E+006, +8.50789954357E-001, +0.00000000000E+000
+4.94791343750E+006, +8.50781996044E-001, +0.00000000000E+000
+4.94791812500E+006, +8.50710872099E-001, +0.00000000000E+000
+4.94792281250E+006, +8.50745801824E-001, +0.00000000000E+000
+4.94792750000E+006, +8.50704836480E-001, +0.00000000000E+000
+4.94793218750E+006, +8.50679541474E-001, +0.00000000000E+000
+4.94793687500E+006, +8.50646185275E-001, +0.00000000000E+000
+4.94794156250E+006, +8.50632929848E-001, +0.00000000000E+000
+4.94794625000E+006, +8.50632601769E-001, +0.00000000000E+000
+4.94795093750E+006, +8.50560284411E-001, +0.00000000000E+000
+4.94795562500E+006, +8.50565066613E-001, +0.00000000000E+000
+4.94796031250E+006, +8.50569346659E-001, +0.00000000000E+000
+4.94796500000E+006, +8.50510202111E-001, +0.00000000000E+000
+4.94796968750E+006, +8.50469237245E-001, +0.00000000000E+000
+4.94797437500E+006, +8.50464653875E-001, +0.00000000000E+000
+4.94797906250E+006, +8.50430987795E-001, +0.00000000000E+000
+4.94798375000E+006, +8.50405718450E-001, +0.00000000000E+000
+4.94798843750E+006, +8.50381184294E-001, +0.00000000000E+000
+4.94799312500E+006, +8.50360693143E-001, +0.00000000000E+000
+4.94799781250E+006, +8.50341290519E-001, +0.00000000000E+000
+4.94800250000E+006, +8.50326799099E-001, +0.00000000000E+000
+4.94800718750E+006, +8.50281477589E-001, +0.00000000000E+000
+4.94801187500E+006, +8.50254087353E-001, +0.00000000000E+000
+4.94801656250E+006, +8.50248894711E-001, +0.00000000000E+000
+4.94802125000E+006, +8.50203624717E-001, +0.00000000000E+000
+4.94802593750E+006, +8.50164358149E-001, +0.00000000000E+000
+4.94803062500E+006, +8.50163566996E-001, +0.00000000000E+000
+4.94803531250E+006, +8.50107778228E-001, +0.00000000000E+000
+4.94804000000E+006, +8.50081290890E-001, +0.00000000000E+000
+4.94804468750E+006, +8.50062111746E-001, +0.00000000000E+000
+4.94804937500E+006, +8.50026832241E-001, +0.00000000000E+000
+4.94805406250E+006, +8.50006378265E-001, +0.00000000000E+000
+4.94805875000E+006, +8.49984664951E-001, +0.00000000000E+000
+4.94806343750E+006, +8.49973588515E-001, +0.00000000000E+000
+4.94806812500E+006, +8.49950673401E-001, +0.00000000000E+000
+4.94807281250E+006, +8.49932429031E-001, +0.00000000000E+000
+4.94807750000E+006, +8.49842592802E-001, +0.00000000000E+000
+4.94808218750E+006, +8.49870265148E-001, +0.00000000000E+000
+4.94808687500E+006, +8.49826794844E-001, +0.00000000000E+000
+4.94809156250E+006, +8.49774800604E-001, +0.00000000000E+000
+4.94809625000E+006, +8.49778052071E-001, +0.00000000000E+000
+4.94810093750E+006, +8.49730557172E-001, +0.00000000000E+000
+4.94810562500E+006, +8.49713122568E-001, +0.00000000000E+000
+4.94811031250E+006, +8.49656906727E-001, +0.00000000000E+000
+4.94811500000E+006, +8.49650741110E-001, +0.00000000000E+000
+4.94811968750E+006, +8.49649666567E-001, +0.00000000000E+000
+4.94812437500E+006, +8.49611272636E-001, +0.00000000000E+000
+4.94812906250E+006, +8.49602845474E-001, +0.00000000000E+000
+4.94813375000E+006, +8.49562461755E-001, +0.00000000000E+000
+4.94813843750E+006, +8.49522259480E-001, +0.00000000000E+000
+4.94814312500E+006, +8.49488386429E-001, +0.00000000000E+000
+4.94814781250E+006, +8.49442299226E-001, +0.00000000000E+000
+4.94815250000E+006, +8.49465146084E-001, +0.00000000000E+000
+4.94815718750E+006, +8.49410235542E-001, +0.00000000000E+000
+4.94816187500E+006, +8.49368576777E-001, +0.00000000000E+000
+4.94816656250E+006, +8.49355837314E-001, +0.00000000000E+000
+4.94817125000E+006, +8.49286244541E-001, +0.00000000000E+000
+4.94817593750E+006, +8.49272028218E-001, +0.00000000000E+000
+4.94818062500E+006, +8.49278484516E-001, +0.00000000000E+000
+4.94818531250E+006, +8.49258002659E-001, +0.00000000000E+000
+4.94819000000E+006, +8.49209821380E-001, +0.00000000000E+000
+4.94819468750E+006, +8.49166872510E-001, +0.00000000000E+000
+4.94819937500E+006, +8.49164751693E-001, +0.00000000000E+000
+4.94820406250E+006, +8.49127259340E-001, +0.00000000000E+000
+4.94820875000E+006, +8.49048151565E-001, +0.00000000000E+000
+4.94821343750E+006, +8.49037277949E-001, +0.00000000000E+000
+4.94821812500E+006, +8.48984115156E-001, +0.00000000000E+000
+4.94822281250E+006, +8.48998519314E-001, +0.00000000000E+000
+4.94822750000E+006, +8.48944355538E-001, +0.00000000000E+000
+4.94823218750E+006, +8.48953073109E-001, +0.00000000000E+000
+4.94823687500E+006, +8.48886447924E-001, +0.00000000000E+000
+4.94824156250E+006, +8.48834228672E-001, +0.00000000000E+000
+4.94824625000E+006, +8.48815109308E-001, +0.00000000000E+000
+4.94825093750E+006, +8.48791264086E-001, +0.00000000000E+000
+4.94825562500E+006, +8.48762241834E-001, +0.00000000000E+000
+4.94826031250E+006, +8.48744077912E-001, +0.00000000000E+000
+4.94826500000E+006, +8.48724091351E-001, +0.00000000000E+000
+4.94826968750E+006, +8.48637556715E-001, +0.00000000000E+000
+4.94827437500E+006, +8.48631514545E-001, +0.00000000000E+000
+4.94827906250E+006, +8.48597219715E-001, +0.00000000000E+000
+4.94828375000E+006, +8.48578173102E-001, +0.00000000000E+000
+4.94828843750E+006, +8.48523660911E-001, +0.00000000000E+000
+4.94829312500E+006, +8.48519082568E-001, +0.00000000000E+000
+4.94829781250E+006, +8.48462077798E-001, +0.00000000000E+000
+4.94830250000E+006, +8.48447112309E-001, +0.00000000000E+000
+4.94830718750E+006, +8.48424470904E-001, +0.00000000000E+000
+4.94831187500E+006, +8.48374275877E-001, +0.00000000000E+000
+4.94831656250E+006, +8.48364601172E-001, +0.00000000000E+000
+4.94832125000E+006, +8.48318951343E-001, +0.00000000000E+000
+4.94832593750E+006, +8.48295424004E-001, +0.00000000000E+000
+4.94833062500E+006, +8.48231632845E-001, +0.00000000000E+000
+4.94833531250E+006, +8.48226967816E-001, +0.00000000000E+000
+4.94834000000E+006, +8.48186276092E-001, +0.00000000000E+000
+4.94834468750E+006, +8.48147786519E-001, +0.00000000000E+000
+4.94834937500E+006, +8.48093717494E-001, +0.00000000000E+000
+4.94835406250E+006, +8.48091212238E-001, +0.00000000000E+000
+4.94835875000E+006, +8.48051249769E-001, +0.00000000000E+000
+4.94836343750E+006, +8.48033172083E-001, +0.00000000000E+000
+4.94836812500E+006, +8.48012221513E-001, +0.00000000000E+000
+4.94837281250E+006, +8.47914563483E-001, +0.00000000000E+000
+4.94837750000E+006, +8.47874584348E-001, +0.00000000000E+000
+4.94838218750E+006, +8.47860650356E-001, +0.00000000000E+000
+4.94838687500E+006, +8.47847603044E-001, +0.00000000000E+000
+4.94839156250E+006, +8.47794069491E-001, +0.00000000000E+000
+4.94839625000E+006, +8.47766645248E-001, +0.00000000000E+000
+4.94840093750E+006, +8.47745052870E-001, +0.00000000000E+000
+4.94840562500E+006, +8.47666360951E-001, +0.00000000000E+000
+4.94841031250E+006, +8.47657421852E-001, +0.00000000000E+000
+4.94841500000E+006, +8.47597388569E-001, +0.00000000000E+000
+4.94841968750E+006, +8.47591106154E-001, +0.00000000000E+000
+4.94842437500E+006, +8.47561475672E-001, +0.00000000000E+000
+4.94842906250E+006, +8.47502597864E-001, +0.00000000000E+000
+4.94843375000E+006, +8.47456547927E-001, +0.00000000000E+000
+4.94843843750E+006, +8.47424856014E-001, +0.00000000000E+000
+4.94844312500E+006, +8.47398888669E-001, +0.00000000000E+000
+4.94844781250E+006, +8.47360591283E-001, +0.00000000000E+000
+4.94845250000E+006, +8.47305140822E-001, +0.00000000000E+000
+4.94845718750E+006, +8.47280440206E-001, +0.00000000000E+000
+4.94846187500E+006, +8.47225596640E-001, +0.00000000000E+000
+4.94846656250E+006, +8.47197302476E-001, +0.00000000000E+000
+4.94847125000E+006, +8.47156287623E-001, +0.00000000000E+000
+4.94847593750E+006, +8.47141933310E-001, +0.00000000000E+000
+4.94848062500E+006, +8.47092525848E-001, +0.00000000000E+000
+4.94848531250E+006, +8.47044131420E-001, +0.00000000000E+000
+4.94849000000E+006, +8.47055755281E-001, +0.00000000000E+000
+4.94849468750E+006, +8.46994809050E-001, +0.00000000000E+000
+4.94849937500E+006, +8.46952502978E-001, +0.00000000000E+000
+4.94850406250E+006, +8.46924439646E-001, +0.00000000000E+000
+4.94850875000E+006, +8.46852503146E-001, +0.00000000000E+000
+4.94851343750E+006, +8.46813029241E-001, +0.00000000000E+000
+4.94851812500E+006, +8.46803985918E-001, +0.00000000000E+000
+4.94852281250E+006, +8.46741365309E-001, +0.00000000000E+000
+4.94852750000E+006, +8.46721399202E-001, +0.00000000000E+000
+4.94853218750E+006, +8.46675836517E-001, +0.00000000000E+000
+4.94853687500E+006, +8.46651800823E-001, +0.00000000000E+000
+4.94854156250E+006, +8.46595871771E-001, +0.00000000000E+000
+4.94854625000E+006, +8.46543290732E-001, +0.00000000000E+000
+4.94855093750E+006, +8.46507928938E-001, +0.00000000000E+000
+4.94855562500E+006, +8.46496363246E-001, +0.00000000000E+000
+4.94856031250E+006, +8.46440361396E-001, +0.00000000000E+000
+4.94856500000E+006, +8.46404879193E-001, +0.00000000000E+000
+4.94856968750E+006, +8.46368893876E-001, +0.00000000000E+000
+4.94857437500E+006, +8.46306980737E-001, +0.00000000000E+000
+4.94857906250E+006, +8.46259101642E-001, +0.00000000000E+000
+4.94858375000E+006, +8.46228744197E-001, +0.00000000000E+000
+4.94858843750E+006, +8.46204986032E-001, +0.00000000000E+000
+4.94859312500E+006, +8.46157178852E-001, +0.00000000000E+000
+4.94859781250E+006, +8.46109885930E-001, +0.00000000000E+000
+4.94860250000E+006, +8.46068078259E-001, +0.00000000000E+000
+4.94860718750E+006, +8.46024138493E-001, +0.00000000000E+000
+4.94861187500E+006, +8.45988517700E-001, +0.00000000000E+000
+4.94861656250E+006, +8.45959603032E-001, +0.00000000000E+000
+4.94862125000E+006, +8.45896497940E-001, +0.00000000000E+000
+4.94862593750E+006, +8.45820933792E-001, +0.00000000000E+000
+4.94863062500E+006, +8.45813148087E-001, +0.00000000000E+000
+4.94863531250E+006, +8.45774786278E-001, +0.00000000000E+000
+4.94864000000E+006, +8.45725516884E-001, +0.00000000000E+000
+4.94864468750E+006, +8.45702445688E-001, +0.00000000000E+000
+4.94864937500E+006, +8.45622884504E-001, +0.00000000000E+000
+4.94865406250E+006, +8.45620919558E-001, +0.00000000000E+000
+4.94865875000E+006, +8.45563202708E-001, +0.00000000000E+000
+4.94866343750E+006, +8.45489929127E-001, +0.00000000000E+000
+4.94866812500E+006, +8.45472229236E-001, +0.00000000000E+000
+4.94867281250E+006, +8.45404349499E-001, +0.00000000000E+000
+4.94867750000E+006, +8.45350460038E-001, +0.00000000000E+000
+4.94868218750E+006, +8.45322872419E-001, +0.00000000000E+000
+4.94868687500E+006, +8.45289326043E-001, +0.00000000000E+000
+4.94869156250E+006, +8.45266299591E-001, +0.00000000000E+000
+4.94869625000E+006, +8.45182766019E-001, +0.00000000000E+000
+4.94870093750E+006, +8.45138904163E-001, +0.00000000000E+000
+4.94870562500E+006, +8.45096977956E-001, +0.00000000000E+000
+4.94871031250E+006, +8.45047745678E-001, +0.00000000000E+000
+4.94871500000E+006, +8.45016710751E-001, +0.00000000000E+000
+4.94871968750E+006, +8.44966694270E-001, +0.00000000000E+000
+4.94872437500E+006, +8.44920945864E-001, +0.00000000000E+000
+4.94872906250E+006, +8.44872489707E-001, +0.00000000000E+000
+4.94873375000E+006, +8.44830898940E-001, +0.00000000000E+000
+4.94873843750E+006, +8.44772155099E-001, +0.00000000000E+000
+4.94874312500E+006, +8.44738883372E-001, +0.00000000000E+000
+4.94874781250E+006, +8.44697716026E-001, +0.00000000000E+000
+4.94875250000E+006, +8.44651280849E-001, +0.00000000000E+000
+4.94875718750E+006, +8.44567124469E-001, +0.00000000000E+000
+4.94876187500E+006, +8.44561638129E-001, +0.00000000000E+000
+4.94876656250E+006, +8.44503149229E-001, +0.00000000000E+000
+4.94877125000E+006, +8.44465706955E-001, +0.00000000000E+000
