"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.94785250000E+006, -2.64213058405E+001, +0.00000000000E+000
+4.94785718750E+006, -2.64095906877E+001, +0.00000000000E+000
+4.94786187500E+006, -2.64099291916E+001, +0.00000000000E+000
+4.94786656250E+006, -2.64138131531E+001, +0.00000000000E+000
+4.94787125000E+006, -2.64179214638E+001, +0.00000000000E+000
+4.94787593750E+006, -2.64205994046E+001, +0.00000000000E+000
+4.94788062500E+006, -2.64215620725E+001, +0.00000000000E+000
+4.94788531250E+006, -2.64250542239E+001, +0.00000000000E+000
+4.94789000000E+006, -2.64279597685E+001, +0.00000000000E+000
+4.94789468750E+006, -2.64325757179E+001, +0.00000000000E+000
+4.94789937500E+006, -2.64370906234E+001, +0.00000000000E+000
+4.94790406250E+006, -2.64381124335E+001, +0.00000000000E+000
+4.94790875000E+006, -2.64433121577E+001, +0.00000000000E+000
+4.94791343750E+006, -2.64463056513E+001, +0.00000000000E+000
+4.94791812500E+006, -2.64478805843E+001, +0.00000000000E+000
+4.94792281250E+006, -2.64500452025E+001, +0.00000000000E+000
+4.94792750000E+006, -2.64551639861E+001, +0.00000000000E+000
+4.94793218750E+006, -2.64584145695E+001, +0.00000000000E+000
+4.94793687500E+006, -2.64603938088E+001, +0.00000000000E+000
+4.94794156250E+006, -2.64633593099E+001, +0.00000000000E+000
+4.94794625000E+006, -2.64703564219E+001, +0.00000000000E+000
+4.94795093750E+006, -2.64720429509E+001, +0.00000000000E+000
+4.94795562500E+006, -2.64736390754E+001, +0.00000000000E+000
+4.94796031250E+006, -2.64763882815E+001, +0.00000000000E+000
+4.94796500000E+006, -2.64803394116E+001, +0.00000000000E+000
+4.94796968750E+006, -2.64844148224E+001, +0.00000000000E+000
+4.94797437500E+006, -2.64859440093E+001, +0.00000000000E+000
+4.94797906250E+006, -2.64890002132E+001, +0.00000000000E+000
+4.94798375000E+006, -2.64929853015E+001, +0.00000000000E+000
+4.94798843750E+006, -2.64958017498E+001, +0.00000000000E+000
+4.94799312500E+006, -2.64976266391E+001, +0.00000000000E+000
+4.94799781250E+006, -2.65032030974E+001, +0.00000000000E+000
+4.94800250000E+006, -2.65080174826E+001, +0.00000000000E+000
+4.94800718750E+006, -2.65108714228E+001, +0.00000000000E+000
+4.94801187500E+006, -2.65155152756E+001, +0.00000000000E+000
+4.94801656250E+006, -2.65164468429E+001, +0.00000000000E+000
+4.94802125000E+006, -2.65200434508E+001, +0.00000000000E+000
+4.94802593750E+006, -2.65246107124E+001, +0.00000000000E+000
+4.94803062500E+006, -2.65285896400E+001, +0.00000000000E+000
+4.94803531250E+006, -2.65317391659E+001, +0.00000000000E+000
+4.94804000000E+006, -2.65352007479E+001, +0.00000000000E+000
+4.94804468750E+006, -2.65387135691E+001, +0.00000000000E+000
+4.94804937500E+006, -2.65405527330E+001, +0.00000000000E+000
+4.94805406250E+006, -2.65459770874E+001, +0.00000000000E+000
+4.94805875000E+006, -2.65497352894E+001, +0.00000000000E+000
+4.94806343750E+006, -2.65511745574E+001, +0.00000000000E+000
+4.94806812500E+006, -2.65550926366E+001, +0.00000000000E+000
+4.94807281250E+006, -2.65599435358E+001, +0.00000000000E+000
+4.94807750000E+006, -2.65628581103E+001, +0.00000000000E+000
+4.94808218750E+006, -2.65659978481E+001, +0.00000000000E+000
+4.94808687500E+006, -2.65682651187E+001, +0.00000000000E+000
+4.94809156250E+006, -2.65736680872E+001, +0.00000000000E+000
+4.94809625000E+006, -2.65759670543E+001, +0.00000000000E+000
+4.94810093750E+006, -2.65797477014E+001, +0.00000000000E+000
+4.94810562500E+006, -2.65843102031E+001, +0.00000000000E+000
+4.94811031250E+006, -2.65875274343E+001, +0.00000000000E+000
+4.94811500000E+006, -2.65920364478E+001, +0.00000000000E+000
+4.94811968750E+006, -2.65960773039E+001, +0.00000000000E+000
+4.94812437500E+006, -2.65986214474E+001, +0.00000000000E+000
+4.94812906250E+006, -2.66013430292E+001, +0.00000000000E+000
+4.94813375000E+006, -2.66039146385E+001, +0.00000000000E+000
+4.94813843750E+006, -2.66110955701E+001, +0.00000000000E+000
+4.94814312500E+006, -2.66131963434E+001, +0.00000000000E+000
+4.94814781250E+006, -2.66153466851E+001, +0.00000000000E+000
+4.94815250000E+006, -2.66205605352E+001, +0.00000000000E+000
+4.94815718750E+006, -2.66212740156E+001, +0.00000000000E+000
+4.94816187500E+006, -2.66276582187E+001, +0.00000000000E+000
+4.94816656250E+006, -2.66302774155E+001, +0.00000000000E+000
+4.94817125000E+006, -2.66344567523E+001, +0.00000000000E+000
+4.94817593750E+006, -2.66390566366E+001, +0.00000000000E+000
+4.94818062500E+006, -2.66415534947E+001, +0.00000000000E+000
+4.94818531250E+006, -2.66460328763E+001, +0.00000000000E+000
+4.94819000000E+006, -2.66482324532E+001, +0.00000000000E+000
+4.94819468750E+006, -2.66531205353E+001, +0.00000000000E+000
+4.94819937500E+006, -2.66564535354E+001, +0.00000000000E+000
+4.94820406250E+006, -2.66579792904E+001, +0.00000000000E+000
+4.94820875000E+006, -2.66634027569E+001, +0.00000000000E+000
+4.94821343750E+006, -2.66654278853E+001, +0.00000000000E+000
+4.94821812500E+006, -2.66728069677E+001, +0.00000000000E+000
+4.94822281250E+006, -2.66759635795E+001, +0.00000000000E+000
+4.94822750000E+006, -2.66778655941E+001, +0.00000000000E+000
+4.94823218750E+006, -2.66818494764E+001, +0.00000000000E+000
+4.94823687500E+006, -2.66861664546E+001, +0.00000000000E+000
+4.94824156250E+006, -2.66906792142E+001, +0.00000000000E+000
+4.94824625000E+006, -2.66955731433E+001, +0.00000000000E+000
+4.94825093750E+006, -2.66962730842E+001, +0.00000000000E+000
+4.94825562500E+006, -2.67025699705E+001, +0.00000000000E+000
+4.94826031250E+006, -2.67050256894E+001, +0.00000000000E+000
+4.94826500000E+006, -2.67105535879E+001, +0.00000000000E+000
+4.94826968750E+006, -2.67134926035E+001, +0.00000000000E+000
+4.94827437500E+006, -2.67176327269E+001, +0.00000000000E+000
+4.94827906250E+006, -2.67205729718E+001, +0.00000000000E+000
+4.94828375000E+006, -2.67248444193E+001, +0.00000000000E+000
+4.94828843750E+006, -2.67298665856E+001, +0.00000000000E+000
+4.94829312500E+006, -2.67329673601E+001, +0.00000000000E+000
+4.94829781250E+006, -2.67357105442E+001, +0.00000000000E+000
+4.94830250000E+006, -2.67398276809E+001, +0.00000000000E+000
+4.94830718750E+006, -2.67446412010E+001, +0.00000000000E+000
+4.94831187500E+006, -2.67478178531E+001, +0.00000000000E+000
+4.94831656250E+006, -2.67528723674E+001, +0.00000000000E+000
+4.94832125000E+006, -2.67578630311E+001, +0.00000000000E+000
+4.94832593750E+006, -2.67589703003E+001, +0.00000000000E+000
+4.94833062500E+006, -2.67652264939E+001, +0.00000000000E+000
+4.94833531250E+006, -2.67698886611E+001, +0.00000000000E+000
+4.94834000000E+006, -2.67736636628E+001, +0.00000000000E+000
+4.94834468750E+006, -2.67743042552E+001, +0.00000000000E+000
+4.94834937500E+006, -2.67801751909E+001, +0.00000000000E+000
+4.94835406250E+006, -2.67857524354E+001, +0.00000000000E+000
+4.94835875000E+006, -2.67865035541E+001, +0.00000000000E+000
+4.94836343750E+006, -2.67919693865E+001, +0.00000000000E+000
+4.94836812500E+006, -2.67948933415E+001, +0.00000000000E+000
+4.94837281250E+006, -2.68022609988E+001, +0.00000000000E+000
+4.94837750000E+006, -2.68058387489E+001, +0.00000000000E+000
+4.94838218750E+006, -2.68077519129E+001, +0.00000000000E+000
+4.94838687500E+006, -2.68127953860E+001, +0.00000000000E+000
+4.94839156250E+006, -2.68169447704E+001, +0.00000000000E+000
+4.94839625000E+006, -2.68194793614E+001, +0.00000000000E+000
+4.94840093750E+006, -2.68245835377E+001, +0.00000000000E+000
+4.94840562500E+006, -2.68289736018E+001, +0.00000000000E+000
+4.94841031250E+006, -2.68324772537E+001, +0.00000000000E+000
+4.94841500000E+006, -2.68373611703E+001, +0.00000000000E+000
+4.94841968750E+006, -2.68406746851E+001, +0.00000000000E+000
+4.94842437500E+006, -2.68457028221E+001, +0.00000000000E+000
+4.94842906250E+006, -2.68489436178E+001, +0.00000000000E+000
+4.94843375000E+006, -2.68549500392E+001, +0.00000000000E+000
+4.94843843750E+006, -2.68583057358E+001, +0.00000000000E+000
+4.94844312500E+006, -2.68626725887E+001, +0.00000000000E+000
+4.94844781250E+006, -2.68670304020E+001, +0.00000000000E+000
