"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95328375000E+006, +9.81275458027E-001, +0.00000000000E+000
+4.95328500000E+006, +9.77312072751E-001, +0.00000000000E+000
+4.95328625000E+006, +9.82694202760E-001, +0.00000000000E+000
+4.95328750000E+006, +9.88120849574E-001, +0.00000000000E+000
+4.95328875000E+006, +9.91120622079E-001, +0.00000000000E+000
+4.95329000000E+006, +9.92070792030E-001, +0.00000000000E+000
+4.95329125000E+006, +9.92042070982E-001, +0.00000000000E+000
+4.95329250000E+006, +9.91684150900E-001, +0.00000000000E+000
+4.95329375000E+006, +9.91408989255E-001, +0.00000000000E+000
+4.95329500000E+006, +9.91286435036E-001, +0.00000000000E+000
+4.95329625000E+006, +9.91280665652E-001, +0.00000000000E+000
+4.95329750000E+006, +9.91252713883E-001, +0.00000000000E+000
+4.95329875000E+006, +9.91239275760E-001, +0.00000000000E+000
+4.95330000000E+006, +9.91253883987E-001, +0.00000000000E+000
+4.95330125000E+006, +9.91218014368E-001, +0.00000000000E+000
+4.95330250000E+006, +9.91221860145E-001, +0.00000000000E+000
+4.95330375000E+006, +9.91161449787E-001, +0.00000000000E+000
+4.95330500000E+006, +9.91157565265E-001, +0.00000000000E+000
+4.95330625000E+006, +9.91140059836E-001, +0.00000000000E+000
+4.95330750000E+006, +9.91128840208E-001, +0.00000000000E+000
+4.95330875000E+006, +9.91082502249E-001, +0.00000000000E+000
+4.95331000000E+006, +9.91062565068E-001, +0.00000000000E+000
+4.95331125000E+006, +9.91057767270E-001, +0.00000000000E+000
+4.95331250000E+006, +9.91028720147E-001, +0.00000000000E+000
+4.95331375000E+006, +9.91015700718E-001, +0.00000000000E+000
+4.95331500000E+006, +9.90968103154E-001, +0.00000000000E+000
+4.95331625000E+006, +9.90921565426E-001, +0.00000000000E+000
+4.95331750000E+006, +9.90910058005E-001, +0.00000000000E+000
+4.95331875000E+006, +9.90908902504E-001, +0.00000000000E+000
+4.95332000000E+006, +9.90910811126E-001, +0.00000000000E+000
+4.95332125000E+006, +9.90880530789E-001, +0.00000000000E+000
+4.95332250000E+006, +9.90839293290E-001, +0.00000000000E+000
+4.95332375000E+006, +9.90806087735E-001, +0.00000000000E+000
+4.95332500000E+006, +9.90779603114E-001, +0.00000000000E+000
+4.95332625000E+006, +9.90773553423E-001, +0.00000000000E+000
+4.95332750000E+006, +9.90725373593E-001, +0.00000000000E+000
+4.95332875000E+006, +9.90711975240E-001, +0.00000000000E+000
+4.95333000000E+006, +9.90734801377E-001, +0.00000000000E+000
+4.95333125000E+006, +9.90688256788E-001, +0.00000000000E+000
+4.95333250000E+006, +9.90667397156E-001, +0.00000000000E+000
+4.95333375000E+006, +9.90644982955E-001, +0.00000000000E+000
+4.95333500000E+006, +9.90632600757E-001, +0.00000000000E+000
+4.95333625000E+006, +9.90575957348E-001, +0.00000000000E+000
+4.95333750000E+006, +9.90563716715E-001, +0.00000000000E+000
+4.95333875000E+006, +9.90534761903E-001, +0.00000000000E+000
+4.95334000000E+006, +9.90505174989E-001, +0.00000000000E+000
+4.95334125000E+006, +9.90472489851E-001, +0.00000000000E+000
+4.95334250000E+006, +9.90470896509E-001, +0.00000000000E+000
+4.95334375000E+006, +9.90410220684E-001, +0.00000000000E+000
+4.95334500000E+006, +9.90422411227E-001, +0.00000000000E+000
+4.95334625000E+006, +9.90379987981E-001, +0.00000000000E+000
+4.95334750000E+006, +9.90369728065E-001, +0.00000000000E+000
+4.95334875000E+006, +9.90361307240E-001, +0.00000000000E+000
+4.95335000000E+006, +9.90304988343E-001, +0.00000000000E+000
+4.95335125000E+006, +9.90290675479E-001, +0.00000000000E+000
+4.95335250000E+006, +9.90243451340E-001, +0.00000000000E+000
+4.95335375000E+006, +9.90209249048E-001, +0.00000000000E+000
+4.95335500000E+006, +9.90201407213E-001, +0.00000000000E+000
+4.95335625000E+006, +9.90175206559E-001, +0.00000000000E+000
+4.95335750000E+006, +9.90142898886E-001, +0.00000000000E+000
+4.95335875000E+006, +9.90116358356E-001, +0.00000000000E+000
+4.95336000000E+006, +9.90101669303E-001, +0.00000000000E+000
+4.95336125000E+006, +9.90082457985E-001, +0.00000000000E+000
+4.95336250000E+006, +9.90057228474E-001, +0.00000000000E+000
+4.95336375000E+006, +9.90047864951E-001, +0.00000000000E+000
+4.95336500000E+006, +9.90007209814E-001, +0.00000000000E+000
+4.95336625000E+006, +9.89955388798E-001, +0.00000000000E+000
+4.95336750000E+006, +9.89959717396E-001, +0.00000000000E+000
+4.95336875000E+006, +9.89914493122E-001, +0.00000000000E+000
+4.95337000000E+006, +9.89924514875E-001, +0.00000000000E+000
+4.95337125000E+006, +9.89873687575E-001, +0.00000000000E+000
+4.95337250000E+006, +9.89851334302E-001, +0.00000000000E+000
+4.95337375000E+006, +9.89835157797E-001, +0.00000000000E+000
+4.95337500000E+006, +9.89830256186E-001, +0.00000000000E+000
+4.95337625000E+006, +9.89748813511E-001, +0.00000000000E+000
+4.95337750000E+006, +9.89744309096E-001, +0.00000000000E+000
+4.95337875000E+006, +9.89766391056E-001, +0.00000000000E+000
+4.95338000000E+006, +9.89676677441E-001, +0.00000000000E+000
+4.95338125000E+006, +9.89674006811E-001, +0.00000000000E+000
+4.95338250000E+006, +9.89610226560E-001, +0.00000000000E+000
+4.95338375000E+006, +9.89610027795E-001, +0.00000000000E+000
+4.95338500000E+006, +9.89583305988E-001, +0.00000000000E+000
+4.95338625000E+006, +9.89538942166E-001, +0.00000000000E+000
+4.95338750000E+006, +9.89528799975E-001, +0.00000000000E+000
+4.95338875000E+006, +9.89498067825E-001, +0.00000000000E+000
+4.95339000000E+006, +9.89460249709E-001, +0.00000000000E+000
+4.95339125000E+006, +9.89438661619E-001, +0.00000000000E+000
+4.95339250000E+006, +9.89399434982E-001, +0.00000000000E+000
+4.95339375000E+006, +9.89380572093E-001, +0.00000000000E+000
+4.95339500000E+006, +9.89353150329E-001, +0.00000000000E+000
+4.95339625000E+006, +9.89300842573E-001, +0.00000000000E+000
+4.95339750000E+006, +9.89262618029E-001, +0.00000000000E+000
+4.95339875000E+006, +9.89242326619E-001, +0.00000000000E+000
+4.95340000000E+006, +9.89223589893E-001, +0.00000000000E+000
+4.95340125000E+006, +9.89205254265E-001, +0.00000000000E+000
+4.95340250000E+006, +9.89145234683E-001, +0.00000000000E+000
+4.95340375000E+006, +9.89128924101E-001, +0.00000000000E+000
