"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95328375000E+006, -2.77798529344E+001, +0.00000000000E+000
+4.95328500000E+006, -2.65255683985E+001, +0.00000000000E+000
+4.95328625000E+006, -2.59428990476E+001, +0.00000000000E+000
+4.95328750000E+006, -2.58103992478E+001, +0.00000000000E+000
+4.95328875000E+006, -2.58677738969E+001, +0.00000000000E+000
+4.95329000000E+006, -2.59529227584E+001, +0.00000000000E+000
+4.95329125000E+006, -2.60112397685E+001, +0.00000000000E+000
+4.95329250000E+006, -2.60385224064E+001, +0.00000000000E+000
+4.95329375000E+006, -2.60498045065E+001, +0.00000000000E+000
+4.95329500000E+006, -2.60575597402E+001, +0.00000000000E+000
+4.95329625000E+006, -2.60636984829E+001, +0.00000000000E+000
+4.95329750000E+006, -2.60677988354E+001, +0.00000000000E+000
+4.95329875000E+006, -2.60791300073E+001, +0.00000000000E+000
+4.95330000000E+006, -2.60886136838E+001, +0.00000000000E+000
+4.95330125000E+006, -2.60972636178E+001, +0.00000000000E+000
+4.95330250000E+006, -2.61077851633E+001, +0.00000000000E+000
+4.95330375000E+006, -2.61184886665E+001, +0.00000000000E+000
+4.95330500000E+006, -2.61280090996E+001, +0.00000000000E+000
+4.95330625000E+006, -2.61377568065E+001, +0.00000000000E+000
+4.95330750000E+006, -2.61493251081E+001, +0.00000000000E+000
+4.95330875000E+006, -2.61561604181E+001, +0.00000000000E+000
+4.95331000000E+006, -2.61675862253E+001, +0.00000000000E+000
+4.95331125000E+006, -2.61766321109E+001, +0.00000000000E+000
+4.95331250000E+006, -2.61866836512E+001, +0.00000000000E+000
+4.95331375000E+006, -2.61968811611E+001, +0.00000000000E+000
+4.95331500000E+006, -2.62056762916E+001, +0.00000000000E+000
+4.95331625000E+006, -2.62146659419E+001, +0.00000000000E+000
+4.95331750000E+006, -2.62259917154E+001, +0.00000000000E+000
+4.95331875000E+006, -2.62340354953E+001, +0.00000000000E+000
+4.95332000000E+006, -2.62458425269E+001, +0.00000000000E+000
+4.95332125000E+006, -2.62556868834E+001, +0.00000000000E+000
+4.95332250000E+006, -2.62644196143E+001, +0.00000000000E+000
+4.95332375000E+006, -2.62770452955E+001, +0.00000000000E+000
+4.95332500000E+006, -2.62832910155E+001, +0.00000000000E+000
+4.95332625000E+006, -2.62952180530E+001, +0.00000000000E+000
+4.95332750000E+006, -2.63060770624E+001, +0.00000000000E+000
+4.95332875000E+006, -2.63175397299E+001, +0.00000000000E+000
+4.95333000000E+006, -2.63276039084E+001, +0.00000000000E+000
+4.95333125000E+006, -2.63357101307E+001, +0.00000000000E+000
+4.95333250000E+006, -2.63465948468E+001, +0.00000000000E+000
+4.95333375000E+006, -2.63578256025E+001, +0.00000000000E+000
+4.95333500000E+006, -2.63675946666E+001, +0.00000000000E+000
+4.95333625000E+006, -2.63786865574E+001, +0.00000000000E+000
+4.95333750000E+006, -2.63902136707E+001, +0.00000000000E+000
+4.95333875000E+006, -2.64004199232E+001, +0.00000000000E+000
+4.95334000000E+006, -2.64118525758E+001, +0.00000000000E+000
+4.95334125000E+006, -2.64204282255E+001, +0.00000000000E+000
+4.95334250000E+006, -2.64307310318E+001, +0.00000000000E+000
+4.95334375000E+006, -2.64409872724E+001, +0.00000000000E+000
+4.95334500000E+006, -2.64520896415E+001, +0.00000000000E+000
+4.95334625000E+006, -2.64631258528E+001, +0.00000000000E+000
+4.95334750000E+006, -2.64734592275E+001, +0.00000000000E+000
+4.95334875000E+006, -2.64832728567E+001, +0.00000000000E+000
+4.95335000000E+006, -2.64933513261E+001, +0.00000000000E+000
+4.95335125000E+006, -2.65075328928E+001, +0.00000000000E+000
+4.95335250000E+006, -2.65159355539E+001, +0.00000000000E+000
+4.95335375000E+006, -2.65276092429E+001, +0.00000000000E+000
+4.95335500000E+006, -2.65355175695E+001, +0.00000000000E+000
+4.95335625000E+006, -2.65496420678E+001, +0.00000000000E+000
+4.95335750000E+006, -2.65617948312E+001, +0.00000000000E+000
+4.95335875000E+006, -2.65710516731E+001, +0.00000000000E+000
+4.95336000000E+006, -2.65822589420E+001, +0.00000000000E+000
+4.95336125000E+006, -2.65922030405E+001, +0.00000000000E+000
+4.95336250000E+006, -2.66041079403E+001, +0.00000000000E+000
+4.95336375000E+006, -2.66163460552E+001, +0.00000000000E+000
+4.95336500000E+006, -2.66271443619E+001, +0.00000000000E+000
+4.95336625000E+006, -2.66392973659E+001, +0.00000000000E+000
+4.95336750000E+006, -2.66501888542E+001, +0.00000000000E+000
+4.95336875000E+006, -2.66615285031E+001, +0.00000000000E+000
+4.95337000000E+006, -2.66719238500E+001, +0.00000000000E+000
+4.95337125000E+006, -2.66843810355E+001, +0.00000000000E+000
+4.95337250000E+006, -2.66946880062E+001, +0.00000000000E+000
+4.95337375000E+006, -2.67052714763E+001, +0.00000000000E+000
