"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95634812500E+006, +4.42059946663E-001, +0.00000000000E+000
+4.95634875000E+006, +5.62134894247E-001, +0.00000000000E+000
+4.95634937500E+006, +4.98755033744E-001, +0.00000000000E+000
+4.95635000000E+006, +5.27630484142E-001, +0.00000000000E+000
+4.95635062500E+006, +5.17072543372E-001, +0.00000000000E+000
+4.95635125000E+006, +5.18341013896E-001, +0.00000000000E+000
+4.95635187500E+006, +5.20501971192E-001, +0.00000000000E+000
+4.95635250000E+006, +5.17422675080E-001, +0.00000000000E+000
+4.95635312500E+006, +5.20050210953E-001, +0.00000000000E+000
+4.95635375000E+006, +5.18080760148E-001, +0.00000000000E+000
+4.95635437500E+006, +5.19281089132E-001, +0.00000000000E+000
+4.95635500000E+006, +5.18550609004E-001, +0.00000000000E+000
+4.95635562500E+006, +5.18885172217E-001, +0.00000000000E+000
+4.95635625000E+006, +5.18705230334E-001, +0.00000000000E+000
+4.95635687500E+006, +5.18676024185E-001, +0.00000000000E+000
+4.95635750000E+006, +5.18660288407E-001, +0.00000000000E+000
+4.95635812500E+006, +5.18588829971E-001, +0.00000000000E+000
+4.95635875000E+006, +5.18591171305E-001, +0.00000000000E+000
+4.95635937500E+006, +5.18526899105E-001, +0.00000000000E+000
+4.95636000000E+006, +5.18491457536E-001, +0.00000000000E+000
+4.95636062500E+006, +5.18437014838E-001, +0.00000000000E+000
+4.95636125000E+006, +5.18453933289E-001, +0.00000000000E+000
+4.95636187500E+006, +5.18382001094E-001, +0.00000000000E+000
+4.95636250000E+006, +5.18341020814E-001, +0.00000000000E+000
+4.95636312500E+006, +5.18314858146E-001, +0.00000000000E+000
+4.95636375000E+006, +5.18284110477E-001, +0.00000000000E+000
+4.95636437500E+006, +5.18241252272E-001, +0.00000000000E+000
+4.95636500000E+006, +5.18191981096E-001, +0.00000000000E+000
+4.95636562500E+006, +5.18170154454E-001, +0.00000000000E+000
+4.95636625000E+006, +5.18124304484E-001, +0.00000000000E+000
+4.95636687500E+006, +5.18086054035E-001, +0.00000000000E+000
+4.95636750000E+006, +5.18041372312E-001, +0.00000000000E+000
+4.95636812500E+006, +5.18020056661E-001, +0.00000000000E+000
+4.95636875000E+006, +5.17987069060E-001, +0.00000000000E+000
+4.95636937500E+006, +5.17943487742E-001, +0.00000000000E+000
+4.95637000000E+006, +5.17919527225E-001, +0.00000000000E+000
+4.95637062500E+006, +5.17881746208E-001, +0.00000000000E+000
+4.95637125000E+006, +5.17838481695E-001, +0.00000000000E+000
+4.95637187500E+006, +5.17786039956E-001, +0.00000000000E+000
+4.95637250000E+006, +5.17738553013E-001, +0.00000000000E+000
+4.95637312500E+006, +5.17709367814E-001, +0.00000000000E+000
+4.95637375000E+006, +5.17671492221E-001, +0.00000000000E+000
+4.95637437500E+006, +5.17637826154E-001, +0.00000000000E+000
+4.95637500000E+006, +5.17607412472E-001, +0.00000000000E+000
+4.95637562500E+006, +5.17549704204E-001, +0.00000000000E+000
+4.95637625000E+006, +5.17519194479E-001, +0.00000000000E+000
+4.95637687500E+006, +5.17489999379E-001, +0.00000000000E+000
+4.95637750000E+006, +5.17429838587E-001, +0.00000000000E+000
+4.95637812500E+006, +5.17388094091E-001, +0.00000000000E+000
