"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95634812500E+006, -2.99834117814E+001, +0.00000000000E+000
+4.95634875000E+006, -3.31357572613E+001, +0.00000000000E+000
+4.95634937500E+006, -2.90769630014E+001, +0.00000000000E+000
+4.95635000000E+006, -3.27925526300E+001, +0.00000000000E+000
+4.95635062500E+006, -3.01663129849E+001, +0.00000000000E+000
+4.95635125000E+006, -3.19236284152E+001, +0.00000000000E+000
+4.95635187500E+006, -3.09239063932E+001, +0.00000000000E+000
+4.95635250000E+006, -3.14761721391E+001, +0.00000000000E+000
+4.95635312500E+006, -3.12551301003E+001, +0.00000000000E+000
+4.95635375000E+006, -3.13541180482E+001, +0.00000000000E+000
+4.95635437500E+006, -3.13668320663E+001, +0.00000000000E+000
+4.95635500000E+006, -3.13633807947E+001, +0.00000000000E+000
+4.95635562500E+006, -3.14090424334E+001, +0.00000000000E+000
+4.95635625000E+006, -3.14068770192E+001, +0.00000000000E+000
+4.95635687500E+006, -3.14388520279E+001, +0.00000000000E+000
+4.95635750000E+006, -3.14503786641E+001, +0.00000000000E+000
+4.95635812500E+006, -3.14757224396E+001, +0.00000000000E+000
+4.95635875000E+006, -3.14924087275E+001, +0.00000000000E+000
+4.95635937500E+006, -3.15102605666E+001, +0.00000000000E+000
+4.95636000000E+006, -3.15307791297E+001, +0.00000000000E+000
+4.95636062500E+006, -3.15487677336E+001, +0.00000000000E+000
+4.95636125000E+006, -3.15694095477E+001, +0.00000000000E+000
+4.95636187500E+006, -3.15887035292E+001, +0.00000000000E+000
+4.95636250000E+006, -3.16090902308E+001, +0.00000000000E+000
+4.95636312500E+006, -3.16273814022E+001, +0.00000000000E+000
+4.95636375000E+006, -3.16469007429E+001, +0.00000000000E+000
+4.95636437500E+006, -3.16648235735E+001, +0.00000000000E+000
+4.95636500000E+006, -3.16858389614E+001, +0.00000000000E+000
+4.95636562500E+006, -3.17073335782E+001, +0.00000000000E+000
+4.95636625000E+006, -3.17252094485E+001, +0.00000000000E+000
+4.95636687500E+006, -3.17449085079E+001, +0.00000000000E+000
+4.95636750000E+006, -3.17655418261E+001, +0.00000000000E+000
+4.95636812500E+006, -3.17855455434E+001, +0.00000000000E+000
+4.95636875000E+006, -3.18051383391E+001, +0.00000000000E+000
+4.95636937500E+006, -3.18237848163E+001, +0.00000000000E+000
+4.95637000000E+006, -3.18442599398E+001, +0.00000000000E+000
+4.95637062500E+006, -3.18657583813E+001, +0.00000000000E+000
+4.95637125000E+006, -3.18846784583E+001, +0.00000000000E+000
+4.95637187500E+006, -3.19050889036E+001, +0.00000000000E+000
