"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95634812500E+006, -3.01813989594E+001, +0.00000000000E+000
+4.95634875000E+006, -3.02736394315E+001, +0.00000000000E+000
+4.95634937500E+006, -2.97865548509E+001, +0.00000000000E+000
+4.95635000000E+006, -3.04119562355E+001, +0.00000000000E+000
+4.95635062500E+006, -2.98775082571E+001, +0.00000000000E+000
+4.95635125000E+006, -3.03532998625E+001, +0.00000000000E+000
+4.95635187500E+006, -3.00165414118E+001, +0.00000000000E+000
+4.95635250000E+006, -3.02970432104E+001, +0.00000000000E+000
+4.95635312500E+006, -3.01224072599E+001, +0.00000000000E+000
+4.95635375000E+006, -3.02711113124E+001, +0.00000000000E+000
+4.95635437500E+006, -3.01961983024E+001, +0.00000000000E+000
+4.95635500000E+006, -3.02740747774E+001, +0.00000000000E+000
+4.95635562500E+006, -3.02499863502E+001, +0.00000000000E+000
+4.95635625000E+006, -3.02910208879E+001, +0.00000000000E+000
+4.95635687500E+006, -3.02909994773E+001, +0.00000000000E+000
+4.95635750000E+006, -3.03202197309E+001, +0.00000000000E+000
+4.95635812500E+006, -3.03264254577E+001, +0.00000000000E+000
+4.95635875000E+006, -3.03487095496E+001, +0.00000000000E+000
+4.95635937500E+006, -3.03623816494E+001, +0.00000000000E+000
+4.95636000000E+006, -3.03799832391E+001, +0.00000000000E+000
+4.95636062500E+006, -3.03970804882E+001, +0.00000000000E+000
+4.95636125000E+006, -3.04131927129E+001, +0.00000000000E+000
+4.95636187500E+006, -3.04277228362E+001, +0.00000000000E+000
+4.95636250000E+006, -3.04427341865E+001, +0.00000000000E+000
+4.95636312500E+006, -3.04615463676E+001, +0.00000000000E+000
+4.95636375000E+006, -3.04785801064E+001, +0.00000000000E+000
+4.95636437500E+006, -3.04933743783E+001, +0.00000000000E+000
+4.95636500000E+006, -3.05114398157E+001, +0.00000000000E+000
+4.95636562500E+006, -3.05269304981E+001, +0.00000000000E+000
+4.95636625000E+006, -3.05429022897E+001, +0.00000000000E+000
+4.95636687500E+006, -3.05610603669E+001, +0.00000000000E+000
+4.95636750000E+006, -3.05775730871E+001, +0.00000000000E+000
+4.95636812500E+006, -3.05931672290E+001, +0.00000000000E+000
+4.95636875000E+006, -3.06118570805E+001, +0.00000000000E+000
+4.95636937500E+006, -3.06296863258E+001, +0.00000000000E+000
+4.95637000000E+006, -3.06450949841E+001, +0.00000000000E+000
+4.95637062500E+006, -3.06614041666E+001, +0.00000000000E+000
+4.95637125000E+006, -3.06782205289E+001, +0.00000000000E+000
+4.95637187500E+006, -3.06973917326E+001, +0.00000000000E+000
+4.95637250000E+006, -3.07135897525E+001, +0.00000000000E+000
+4.95637312500E+006, -3.07304021830E+001, +0.00000000000E+000
+4.95637375000E+006, -3.07469256250E+001, +0.00000000000E+000
+4.95637437500E+006, -3.07642035750E+001, +0.00000000000E+000
+4.95637500000E+006, -3.07829133188E+001, +0.00000000000E+000
+4.95637562500E+006, -3.08008839677E+001, +0.00000000000E+000
+4.95637625000E+006, -3.08183164282E+001, +0.00000000000E+000
+4.95637687500E+006, -3.08356416940E+001, +0.00000000000E+000
+4.95637750000E+006, -3.08530520916E+001, +0.00000000000E+000
+4.95637812500E+006, -3.08708585655E+001, +0.00000000000E+000
+4.95637875000E+006, -3.08895780468E+001, +0.00000000000E+000
+4.95637937500E+006, -3.09053626311E+001, +0.00000000000E+000
+4.95638000000E+006, -3.09233652550E+001, +0.00000000000E+000
+4.95638062500E+006, -3.09408826607E+001, +0.00000000000E+000
+4.95638125000E+006, -3.09609309156E+001, +0.00000000000E+000
+4.95638187500E+006, -3.09781429122E+001, +0.00000000000E+000
+4.95638250000E+006, -3.09946572517E+001, +0.00000000000E+000
+4.95638312500E+006, -3.10128323747E+001, +0.00000000000E+000
+4.95638375000E+006, -3.10297125134E+001, +0.00000000000E+000
+4.95638437500E+006, -3.10477261774E+001, +0.00000000000E+000
+4.95638500000E+006, -3.10660032093E+001, +0.00000000000E+000
+4.95638562500E+006, -3.10840423762E+001, +0.00000000000E+000
+4.95638625000E+006, -3.11042442827E+001, +0.00000000000E+000
+4.95638687500E+006, -3.11215911528E+001, +0.00000000000E+000
+4.95638750000E+006, -3.11389812186E+001, +0.00000000000E+000
+4.95638812500E+006, -3.11580247523E+001, +0.00000000000E+000
+4.95638875000E+006, -3.11757323077E+001, +0.00000000000E+000
