"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95634812500E+006, +4.50036600465E-001, +0.00000000000E+000
+4.95634875000E+006, +5.62960752669E-001, +0.00000000000E+000
+4.95634937500E+006, +4.94482955905E-001, +0.00000000000E+000
+4.95635000000E+006, +5.35604172988E-001, +0.00000000000E+000
+4.95635062500E+006, +5.10911125100E-001, +0.00000000000E+000
+4.95635125000E+006, +5.25553186085E-001, +0.00000000000E+000
+4.95635187500E+006, +5.16850161223E-001, +0.00000000000E+000
+4.95635250000E+006, +5.21906696999E-001, +0.00000000000E+000
+4.95635312500E+006, +5.18942457870E-001, +0.00000000000E+000
+4.95635375000E+006, +5.20610040973E-001, +0.00000000000E+000
+4.95635437500E+006, +5.19624608875E-001, +0.00000000000E+000
+4.95635500000E+006, +5.20145852090E-001, +0.00000000000E+000
+4.95635562500E+006, +5.19821168583E-001, +0.00000000000E+000
+4.95635625000E+006, +5.19960804536E-001, +0.00000000000E+000
+4.95635687500E+006, +5.19828545499E-001, +0.00000000000E+000
+4.95635750000E+006, +5.19856137415E-001, +0.00000000000E+000
+4.95635812500E+006, +5.19818899420E-001, +0.00000000000E+000
+4.95635875000E+006, +5.19791315537E-001, +0.00000000000E+000
+4.95635937500E+006, +5.19764708645E-001, +0.00000000000E+000
+4.95636000000E+006, +5.19734916138E-001, +0.00000000000E+000
+4.95636062500E+006, +5.19711579436E-001, +0.00000000000E+000
+4.95636125000E+006, +5.19673065824E-001, +0.00000000000E+000
+4.95636187500E+006, +5.19658412379E-001, +0.00000000000E+000
+4.95636250000E+006, +5.19619462620E-001, +0.00000000000E+000
+4.95636312500E+006, +5.19606491332E-001, +0.00000000000E+000
+4.95636375000E+006, +5.19551415157E-001, +0.00000000000E+000
+4.95636437500E+006, +5.19525970597E-001, +0.00000000000E+000
+4.95636500000E+006, +5.19497009606E-001, +0.00000000000E+000
+4.95636562500E+006, +5.19485934043E-001, +0.00000000000E+000
+4.95636625000E+006, +5.19460974764E-001, +0.00000000000E+000
+4.95636687500E+006, +5.19433897575E-001, +0.00000000000E+000
+4.95636750000E+006, +5.19390361537E-001, +0.00000000000E+000
+4.95636812500E+006, +5.19371210704E-001, +0.00000000000E+000
+4.95636875000E+006, +5.19324686641E-001, +0.00000000000E+000
+4.95636937500E+006, +5.19304832819E-001, +0.00000000000E+000
+4.95637000000E+006, +5.19272922948E-001, +0.00000000000E+000
+4.95637062500E+006, +5.19246744387E-001, +0.00000000000E+000
+4.95637125000E+006, +5.19223158157E-001, +0.00000000000E+000
+4.95637187500E+006, +5.19182571591E-001, +0.00000000000E+000
+4.95637250000E+006, +5.19151442823E-001, +0.00000000000E+000
+4.95637312500E+006, +5.19130602425E-001, +0.00000000000E+000
+4.95637375000E+006, +5.19110699027E-001, +0.00000000000E+000
+4.95637437500E+006, +5.19066186255E-001, +0.00000000000E+000
+4.95637500000E+006, +5.19025402121E-001, +0.00000000000E+000
+4.95637562500E+006, +5.19000472987E-001, +0.00000000000E+000
+4.95637625000E+006, +5.18981670929E-001, +0.00000000000E+000
+4.95637687500E+006, +5.18953877686E-001, +0.00000000000E+000
+4.95637750000E+006, +5.18906484033E-001, +0.00000000000E+000
+4.95637812500E+006, +5.18881956342E-001, +0.00000000000E+000
+4.95637875000E+006, +5.18850381589E-001, +0.00000000000E+000
+4.95637937500E+006, +5.18822837505E-001, +0.00000000000E+000
+4.95638000000E+006, +5.18801168303E-001, +0.00000000000E+000
+4.95638062500E+006, +5.18764835099E-001, +0.00000000000E+000
+4.95638125000E+006, +5.18727656252E-001, +0.00000000000E+000
+4.95638187500E+006, +5.18699779284E-001, +0.00000000000E+000
+4.95638250000E+006, +5.18661506829E-001, +0.00000000000E+000
+4.95638312500E+006, +5.18629562832E-001, +0.00000000000E+000
+4.95638375000E+006, +5.18601222307E-001, +0.00000000000E+000
+4.95638437500E+006, +5.18562391115E-001, +0.00000000000E+000
+4.95638500000E+006, +5.18535836989E-001, +0.00000000000E+000
+4.95638562500E+006, +5.18491025498E-001, +0.00000000000E+000
+4.95638625000E+006, +5.18489708384E-001, +0.00000000000E+000
+4.95638687500E+006, +5.18450313260E-001, +0.00000000000E+000
+4.95638750000E+006, +5.18426162771E-001, +0.00000000000E+000
+4.95638812500E+006, +5.18394254441E-001, +0.00000000000E+000
+4.95638875000E+006, +5.18354977651E-001, +0.00000000000E+000
+4.95638937500E+006, +5.18310977709E-001, +0.00000000000E+000
+4.95639000000E+006, +5.18281752855E-001, +0.00000000000E+000
+4.95639062500E+006, +5.18232388374E-001, +0.00000000000E+000
+4.95639125000E+006, +5.18217350330E-001, +0.00000000000E+000
+4.95639187500E+006, +5.18171771108E-001, +0.00000000000E+000
+4.95639250000E+006, +5.18150887532E-001, +0.00000000000E+000
+4.95639312500E+006, +5.18114389615E-001, +0.00000000000E+000
+4.95639375000E+006, +5.18074887627E-001, +0.00000000000E+000
+4.95639437500E+006, +5.18036840450E-001, +0.00000000000E+000
+4.95639500000E+006, +5.17998294384E-001, +0.00000000000E+000
+4.95639562500E+006, +5.17978180389E-001, +0.00000000000E+000
+4.95639625000E+006, +5.17962604767E-001, +0.00000000000E+000
+4.95639687500E+006, +5.17893071640E-001, +0.00000000000E+000
+4.95639750000E+006, +5.17876533872E-001, +0.00000000000E+000
+4.95639812500E+006, +5.17839176650E-001, +0.00000000000E+000
+4.95639875000E+006, +5.17810750909E-001, +0.00000000000E+000
+4.95639937500E+006, +5.17769441582E-001, +0.00000000000E+000
+4.95640000000E+006, +5.17754583787E-001, +0.00000000000E+000
+4.95640062500E+006, +5.17716787890E-001, +0.00000000000E+000
+4.95640125000E+006, +5.17676577893E-001, +0.00000000000E+000
+4.95640187500E+006, +5.17634227464E-001, +0.00000000000E+000
+4.95640250000E+006, +5.17608953599E-001, +0.00000000000E+000
+4.95640312500E+006, +5.17566598969E-001, +0.00000000000E+000
+4.95640375000E+006, +5.17533264536E-001, +0.00000000000E+000
+4.95640437500E+006, +5.17498754230E-001, +0.00000000000E+000
+4.95640500000E+006, +5.17464884962E-001, +0.00000000000E+000
+4.95640562500E+006, +5.17424471747E-001, +0.00000000000E+000
+4.95640625000E+006, +5.17410378101E-001, +0.00000000000E+000
