"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95370468800E+006, -1.96750938820E+001, +0.00000000000E+000
+4.95370562550E+006, -1.76264483534E+001, +0.00000000000E+000
+4.95370656300E+006, -1.70031076071E+001, +0.00000000000E+000
+4.95370750050E+006, -1.68630371695E+001, +0.00000000000E+000
+4.95370843800E+006, -1.68974985562E+001, +0.00000000000E+000
+4.95370937550E+006, -1.69602315251E+001, +0.00000000000E+000
+4.95371031300E+006, -1.70118626977E+001, +0.00000000000E+000
+4.95371125050E+006, -1.70667148925E+001, +0.00000000000E+000
+4.95371218799E+006, -1.71149680823E+001, +0.00000000000E+000
+4.95371312549E+006, -1.71708515099E+001, +0.00000000000E+000
+4.95371406299E+006, -1.72313352412E+001, +0.00000000000E+000
+4.95371500049E+006, -1.72871215916E+001, +0.00000000000E+000
+4.95371593799E+006, -1.73515150927E+001, +0.00000000000E+000
+4.95371687549E+006, -1.73857533726E+001, +0.00000000000E+000
+4.95371781299E+006, -1.74437511373E+001, +0.00000000000E+000
+4.95371875049E+006, -1.74959406108E+001, +0.00000000000E+000
+4.95371968799E+006, -1.75419569984E+001, +0.00000000000E+000
+4.95372062549E+006, -1.76018430781E+001, +0.00000000000E+000
+4.95372156299E+006, -1.76671600010E+001, +0.00000000000E+000
+4.95372250049E+006, -1.77347778521E+001, +0.00000000000E+000
+4.95372343799E+006, -1.78076110764E+001, +0.00000000000E+000
+4.95372437549E+006, -1.78645618095E+001, +0.00000000000E+000
+4.95372531299E+006, -1.79136467413E+001, +0.00000000000E+000
+4.95372625049E+006, -1.79958321151E+001, +0.00000000000E+000
+4.95372718799E+006, -1.80667733378E+001, +0.00000000000E+000
+4.95372812548E+006, -1.81367715877E+001, +0.00000000000E+000
+4.95372906298E+006, -1.82119967954E+001, +0.00000000000E+000
+4.95373000048E+006, -1.82920056416E+001, +0.00000000000E+000
+4.95373093798E+006, -1.83460030500E+001, +0.00000000000E+000
+4.95373187548E+006, -1.83815241401E+001, +0.00000000000E+000
+4.95373281298E+006, -1.84474825080E+001, +0.00000000000E+000
+4.95373375048E+006, -1.85013562239E+001, +0.00000000000E+000
+4.95373468798E+006, -1.85706295246E+001, +0.00000000000E+000
+4.95373562548E+006, -1.86192949994E+001, +0.00000000000E+000
+4.95373656298E+006, -1.86575062459E+001, +0.00000000000E+000
+4.95373750048E+006, -1.87122648194E+001, +0.00000000000E+000
