"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95351718800E+006, +2.88502892604E-002, +0.00000000000E+000
+4.95351812550E+006, +2.99457864343E-002, +0.00000000000E+000
+4.95351906300E+006, +2.99830016639E-002, +0.00000000000E+000
+4.95352000050E+006, +2.99151713727E-002, +0.00000000000E+000
+4.95352093800E+006, +2.98781961350E-002, +0.00000000000E+000
+4.95352187550E+006, +2.99057983916E-002, +0.00000000000E+000
+4.95352281300E+006, +2.99532022774E-002, +0.00000000000E+000
+4.95352375050E+006, +2.99397001209E-002, +0.00000000000E+000
+4.95352468799E+006, +2.98899296343E-002, +0.00000000000E+000
+4.95352562549E+006, +2.97359824353E-002, +0.00000000000E+000
+4.95352656299E+006, +2.96330675148E-002, +0.00000000000E+000
+4.95352750049E+006, +2.96857581373E-002, +0.00000000000E+000
+4.95352843799E+006, +2.96587638014E-002, +0.00000000000E+000
+4.95352937549E+006, +2.95875908399E-002, +0.00000000000E+000
+4.95353031299E+006, +2.95464584740E-002, +0.00000000000E+000
+4.95353125049E+006, +2.94516566192E-002, +0.00000000000E+000
+4.95353218799E+006, +2.93512672290E-002, +0.00000000000E+000
+4.95353312549E+006, +2.92728561589E-002, +0.00000000000E+000
+4.95353406299E+006, +2.93039424164E-002, +0.00000000000E+000
+4.95353500049E+006, +2.92070842792E-002, +0.00000000000E+000
+4.95353593799E+006, +2.91400570754E-002, +0.00000000000E+000
+4.95353687549E+006, +2.91117905699E-002, +0.00000000000E+000
+4.95353781299E+006, +2.90263476115E-002, +0.00000000000E+000
+4.95353875049E+006, +2.90301657511E-002, +0.00000000000E+000
+4.95353968799E+006, +2.90314752871E-002, +0.00000000000E+000
+4.95354062548E+006, +2.89800926811E-002, +0.00000000000E+000
+4.95354156298E+006, +2.89449821279E-002, +0.00000000000E+000
+4.95354250048E+006, +2.88781393427E-002, +0.00000000000E+000
+4.95354343798E+006, +2.88532240440E-002, +0.00000000000E+000
+4.95354437548E+006, +2.87399024307E-002, +0.00000000000E+000
+4.95354531298E+006, +2.86884658254E-002, +0.00000000000E+000
+4.95354625048E+006, +2.86820720681E-002, +0.00000000000E+000
+4.95354718798E+006, +2.86767087050E-002, +0.00000000000E+000
+4.95354812548E+006, +2.85963101790E-002, +0.00000000000E+000
+4.95354906298E+006, +2.86020439903E-002, +0.00000000000E+000
+4.95355000048E+006, +2.85373399402E-002, +0.00000000000E+000
+4.95355093798E+006, +2.84920824387E-002, +0.00000000000E+000
+4.95355187548E+006, +2.83721532780E-002, +0.00000000000E+000
+4.95355281298E+006, +2.82999441305E-002, +0.00000000000E+000
+4.95355375048E+006, +2.81938103036E-002, +0.00000000000E+000
+4.95355468797E+006, +2.81245303159E-002, +0.00000000000E+000
+4.95355562547E+006, +2.81273471405E-002, +0.00000000000E+000
+4.95355656297E+006, +2.80272041732E-002, +0.00000000000E+000
+4.95355750047E+006, +2.79812016846E-002, +0.00000000000E+000
+4.95355843797E+006, +2.79741933238E-002, +0.00000000000E+000
+4.95355937547E+006, +2.79152302470E-002, +0.00000000000E+000
+4.95356031297E+006, +2.78468479630E-002, +0.00000000000E+000
+4.95356125047E+006, +2.78856113681E-002, +0.00000000000E+000
+4.95356218797E+006, +2.78543152452E-002, +0.00000000000E+000
+4.95356312547E+006, +2.78370284453E-002, +0.00000000000E+000
+4.95356406297E+006, +2.77891934606E-002, +0.00000000000E+000
+4.95356500047E+006, +2.77042216221E-002, +0.00000000000E+000
+4.95356593797E+006, +2.75945946033E-002, +0.00000000000E+000
+4.95356687547E+006, +2.76255030421E-002, +0.00000000000E+000
+4.95356781297E+006, +2.75444525693E-002, +0.00000000000E+000
+4.95356875047E+006, +2.74472733469E-002, +0.00000000000E+000
+4.95356968797E+006, +2.74332683971E-002, +0.00000000000E+000
+4.95357062546E+006, +2.74185084919E-002, +0.00000000000E+000
+4.95357156296E+006, +2.73364152263E-002, +0.00000000000E+000
+4.95357250046E+006, +2.73743759092E-002, +0.00000000000E+000
+4.95357343796E+006, +2.73233186080E-002, +0.00000000000E+000
+4.95357437546E+006, +2.72482103899E-002, +0.00000000000E+000
+4.95357531296E+006, +2.71764280950E-002, +0.00000000000E+000
+4.95357625046E+006, +2.71134209707E-002, +0.00000000000E+000
+4.95357718796E+006, +2.70416951716E-002, +0.00000000000E+000
+4.95357812546E+006, +2.69137773904E-002, +0.00000000000E+000
+4.95357906296E+006, +2.69207015174E-002, +0.00000000000E+000
+4.95358000046E+006, +2.68944040285E-002, +0.00000000000E+000
+4.95358093796E+006, +2.68389114740E-002, +0.00000000000E+000
+4.95358187546E+006, +2.67960987995E-002, +0.00000000000E+000
+4.95358281296E+006, +2.67618630738E-002, +0.00000000000E+000
+4.95358375046E+006, +2.66687646691E-002, +0.00000000000E+000
+4.95358468796E+006, +2.66943603640E-002, +0.00000000000E+000
+4.95358562545E+006, +2.66602190755E-002, +0.00000000000E+000
+4.95358656295E+006, +2.65097536418E-002, +0.00000000000E+000
+4.95358750045E+006, +2.65089266494E-002, +0.00000000000E+000
+4.95358843795E+006, +2.64168910555E-002, +0.00000000000E+000
+4.95358937545E+006, +2.63891694620E-002, +0.00000000000E+000
+4.95359031295E+006, +2.63707986090E-002, +0.00000000000E+000
+4.95359125045E+006, +2.62091087108E-002, +0.00000000000E+000
+4.95359218795E+006, +2.61897293705E-002, +0.00000000000E+000
+4.95359312545E+006, +2.60833955929E-002, +0.00000000000E+000
+4.95359406295E+006, +2.60646691360E-002, +0.00000000000E+000
+4.95359500045E+006, +2.60689587693E-002, +0.00000000000E+000
+4.95359593795E+006, +2.60295740058E-002, +0.00000000000E+000
+4.95359687545E+006, +2.60316799687E-002, +0.00000000000E+000
+4.95359781295E+006, +2.60092268068E-002, +0.00000000000E+000
+4.95359875045E+006, +2.59453524870E-002, +0.00000000000E+000
+4.95359968794E+006, +2.58507149987E-002, +0.00000000000E+000
+4.95360062544E+006, +2.57980075631E-002, +0.00000000000E+000
+4.95360156294E+006, +2.57830866145E-002, +0.00000000000E+000
+4.95360250044E+006, +2.57907050069E-002, +0.00000000000E+000
+4.95360343794E+006, +2.57715953436E-002, +0.00000000000E+000
+4.95360437544E+006, +2.57247299917E-002, +0.00000000000E+000
+4.95360531294E+006, +2.56701083933E-002, +0.00000000000E+000
+4.95360625044E+006, +2.56639128745E-002, +0.00000000000E+000
+4.95360718794E+006, +2.55995650835E-002, +0.00000000000E+000
+4.95360812544E+006, +2.55943437022E-002, +0.00000000000E+000
+4.95360906294E+006, +2.55668896588E-002, +0.00000000000E+000
+4.95361000044E+006, +2.55124271086E-002, +0.00000000000E+000
+4.95361093794E+006, +2.55149441583E-002, +0.00000000000E+000
+4.95361187544E+006, +2.54304347434E-002, +0.00000000000E+000
+4.95361281294E+006, +2.53600793671E-002, +0.00000000000E+000
+4.95361375044E+006, +2.53337173784E-002, +0.00000000000E+000
+4.95361468794E+006, +2.53387347443E-002, +0.00000000000E+000
+4.95361562543E+006, +2.52924961329E-002, +0.00000000000E+000
+4.95361656293E+006, +2.53051967788E-002, +0.00000000000E+000
+4.95361750043E+006, +2.52300813297E-002, +0.00000000000E+000
+4.95361843793E+006, +2.51662083665E-002, +0.00000000000E+000
+4.95361937543E+006, +2.51100007906E-002, +0.00000000000E+000
+4.95362031293E+006, +2.50719759322E-002, +0.00000000000E+000
+4.95362125043E+006, +2.51105015544E-002, +0.00000000000E+000
+4.95362218793E+006, +2.51361712970E-002, +0.00000000000E+000
+4.95362312543E+006, +2.50969166251E-002, +0.00000000000E+000
+4.95362406293E+006, +2.51162483929E-002, +0.00000000000E+000
+4.95362500043E+006, +2.49780495423E-002, +0.00000000000E+000
