"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95370468800E+006, -2.43505379821E+001, +0.00000000000E+000
+4.95370562550E+006, -2.33291414013E+001, +0.00000000000E+000
+4.95370656300E+006, -2.32317405664E+001, +0.00000000000E+000
+4.95370750050E+006, -2.33204592109E+001, +0.00000000000E+000
+4.95370843800E+006, -2.33723942006E+001, +0.00000000000E+000
+4.95370937550E+006, -2.33993666570E+001, +0.00000000000E+000
+4.95371031300E+006, -2.34231482211E+001, +0.00000000000E+000
+4.95371125050E+006, -2.34474675498E+001, +0.00000000000E+000
+4.95371218799E+006, -2.34741005149E+001, +0.00000000000E+000
+4.95371312549E+006, -2.34984829308E+001, +0.00000000000E+000
+4.95371406299E+006, -2.35247261548E+001, +0.00000000000E+000
+4.95371500049E+006, -2.35503918595E+001, +0.00000000000E+000
+4.95371593799E+006, -2.35760114215E+001, +0.00000000000E+000
+4.95371687549E+006, -2.36016347890E+001, +0.00000000000E+000
+4.95371781299E+006, -2.36253036083E+001, +0.00000000000E+000
+4.95371875049E+006, -2.36522364701E+001, +0.00000000000E+000
+4.95371968799E+006, -2.36756406978E+001, +0.00000000000E+000
+4.95372062549E+006, -2.37042751164E+001, +0.00000000000E+000
+4.95372156299E+006, -2.37332825327E+001, +0.00000000000E+000
+4.95372250049E+006, -2.37583872806E+001, +0.00000000000E+000
+4.95372343799E+006, -2.37838525976E+001, +0.00000000000E+000
+4.95372437549E+006, -2.38120455456E+001, +0.00000000000E+000
+4.95372531299E+006, -2.38359621335E+001, +0.00000000000E+000
+4.95372625049E+006, -2.38626530025E+001, +0.00000000000E+000
+4.95372718799E+006, -2.38905943053E+001, +0.00000000000E+000
+4.95372812548E+006, -2.39188671130E+001, +0.00000000000E+000
+4.95372906298E+006, -2.39428836891E+001, +0.00000000000E+000
+4.95373000048E+006, -2.39703297484E+001, +0.00000000000E+000
+4.95373093798E+006, -2.39969962850E+001, +0.00000000000E+000
+4.95373187548E+006, -2.40254192000E+001, +0.00000000000E+000
+4.95373281298E+006, -2.40489485292E+001, +0.00000000000E+000
+4.95373375048E+006, -2.40767843844E+001, +0.00000000000E+000
+4.95373468798E+006, -2.41056788082E+001, +0.00000000000E+000
+4.95373562548E+006, -2.41338669203E+001, +0.00000000000E+000
+4.95373656298E+006, -2.41626519926E+001, +0.00000000000E+000
+4.95373750048E+006, -2.41902107003E+001, +0.00000000000E+000
+4.95373843798E+006, -2.42176191581E+001, +0.00000000000E+000
+4.95373937548E+006, -2.42458539994E+001, +0.00000000000E+000
+4.95374031298E+006, -2.42725037832E+001, +0.00000000000E+000
+4.95374125048E+006, -2.43004459458E+001, +0.00000000000E+000
+4.95374218797E+006, -2.43295552851E+001, +0.00000000000E+000
+4.95374312547E+006, -2.43558922307E+001, +0.00000000000E+000
+4.95374406297E+006, -2.43834045827E+001, +0.00000000000E+000
+4.95374500047E+006, -2.44138119912E+001, +0.00000000000E+000
+4.95374593797E+006, -2.44391639010E+001, +0.00000000000E+000
+4.95374687547E+006, -2.44694245931E+001, +0.00000000000E+000
+4.95374781297E+006, -2.44976398370E+001, +0.00000000000E+000
+4.95374875047E+006, -2.45283200956E+001, +0.00000000000E+000
+4.95374968797E+006, -2.45573497205E+001, +0.00000000000E+000
+4.95375062547E+006, -2.45858533677E+001, +0.00000000000E+000
+4.95375156297E+006, -2.46136708687E+001, +0.00000000000E+000
+4.95375250047E+006, -2.46416124961E+001, +0.00000000000E+000
+4.95375343797E+006, -2.46712758452E+001, +0.00000000000E+000
+4.95375437547E+006, -2.46991287236E+001, +0.00000000000E+000
+4.95375531297E+006, -2.47295676404E+001, +0.00000000000E+000
+4.95375625047E+006, -2.47605364923E+001, +0.00000000000E+000
+4.95375718797E+006, -2.47860042962E+001, +0.00000000000E+000
+4.95375812546E+006, -2.48165273860E+001, +0.00000000000E+000
+4.95375906296E+006, -2.48479843018E+001, +0.00000000000E+000
+4.95376000046E+006, -2.48763429450E+001, +0.00000000000E+000
+4.95376093796E+006, -2.49068088493E+001, +0.00000000000E+000
+4.95376187546E+006, -2.49329594743E+001, +0.00000000000E+000
+4.95376281296E+006, -2.49633198316E+001, +0.00000000000E+000
+4.95376375046E+006, -2.49965160032E+001, +0.00000000000E+000
+4.95376468796E+006, -2.50254189312E+001, +0.00000000000E+000
+4.95376562546E+006, -2.50549390798E+001, +0.00000000000E+000
+4.95376656296E+006, -2.50878586374E+001, +0.00000000000E+000
+4.95376750046E+006, -2.51171392226E+001, +0.00000000000E+000
+4.95376843796E+006, -2.51480860572E+001, +0.00000000000E+000
+4.95376937546E+006, -2.51789297368E+001, +0.00000000000E+000
+4.95377031296E+006, -2.52084272224E+001, +0.00000000000E+000
+4.95377125046E+006, -2.52385155224E+001, +0.00000000000E+000
+4.95377218796E+006, -2.52693221284E+001, +0.00000000000E+000
+4.95377312545E+006, -2.53002853469E+001, +0.00000000000E+000
+4.95377406295E+006, -2.53305833729E+001, +0.00000000000E+000
+4.95377500045E+006, -2.53629313131E+001, +0.00000000000E+000
+4.95377593795E+006, -2.53945703717E+001, +0.00000000000E+000
+4.95377687545E+006, -2.54247423592E+001, +0.00000000000E+000
+4.95377781295E+006, -2.54570531086E+001, +0.00000000000E+000
+4.95377875045E+006, -2.54858715800E+001, +0.00000000000E+000
+4.95377968795E+006, -2.55197160955E+001, +0.00000000000E+000
+4.95378062545E+006, -2.55494736904E+001, +0.00000000000E+000
+4.95378156295E+006, -2.55807444690E+001, +0.00000000000E+000
+4.95378250045E+006, -2.56134679084E+001, +0.00000000000E+000
+4.95378343795E+006, -2.56477335568E+001, +0.00000000000E+000
+4.95378437545E+006, -2.56787461685E+001, +0.00000000000E+000
+4.95378531295E+006, -2.57118499487E+001, +0.00000000000E+000
+4.95378625045E+006, -2.57413479996E+001, +0.00000000000E+000
+4.95378718794E+006, -2.57763711533E+001, +0.00000000000E+000
+4.95378812544E+006, -2.58082837260E+001, +0.00000000000E+000
+4.95378906294E+006, -2.58401859517E+001, +0.00000000000E+000
+4.95379000044E+006, -2.58712415265E+001, +0.00000000000E+000
+4.95379093794E+006, -2.59050148422E+001, +0.00000000000E+000
+4.95379187544E+006, -2.59376566041E+001, +0.00000000000E+000
+4.95379281294E+006, -2.59697899765E+001, +0.00000000000E+000
