"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95370468800E+006, +1.48758010857E-001, +0.00000000000E+000
+4.95370562550E+006, +1.49341132148E-001, +0.00000000000E+000
+4.95370656300E+006, +1.49793028314E-001, +0.00000000000E+000
+4.95370750050E+006, +1.49929905124E-001, +0.00000000000E+000
+4.95370843800E+006, +1.49946717566E-001, +0.00000000000E+000
+4.95370937550E+006, +1.49928571354E-001, +0.00000000000E+000
+4.95371031300E+006, +1.49905992730E-001, +0.00000000000E+000
+4.95371125050E+006, +1.49882467291E-001, +0.00000000000E+000
+4.95371218799E+006, +1.49860778084E-001, +0.00000000000E+000
+4.95371312549E+006, +1.49837681221E-001, +0.00000000000E+000
+4.95371406299E+006, +1.49819891760E-001, +0.00000000000E+000
+4.95371500049E+006, +1.49798197180E-001, +0.00000000000E+000
+4.95371593799E+006, +1.49764171043E-001, +0.00000000000E+000
+4.95371687549E+006, +1.49735769557E-001, +0.00000000000E+000
+4.95371781299E+006, +1.49720920317E-001, +0.00000000000E+000
+4.95371875049E+006, +1.49698338451E-001, +0.00000000000E+000
+4.95371968799E+006, +1.49680949081E-001, +0.00000000000E+000
+4.95372062549E+006, +1.49653099282E-001, +0.00000000000E+000
+4.95372156299E+006, +1.49631847728E-001, +0.00000000000E+000
+4.95372250049E+006, +1.49615318782E-001, +0.00000000000E+000
+4.95372343799E+006, +1.49589069709E-001, +0.00000000000E+000
+4.95372437549E+006, +1.49571942419E-001, +0.00000000000E+000
+4.95372531299E+006, +1.49547118668E-001, +0.00000000000E+000
+4.95372625049E+006, +1.49523083860E-001, +0.00000000000E+000
+4.95372718799E+006, +1.49501939209E-001, +0.00000000000E+000
+4.95372812548E+006, +1.49482366772E-001, +0.00000000000E+000
+4.95372906298E+006, +1.49452117806E-001, +0.00000000000E+000
+4.95373000048E+006, +1.49430227647E-001, +0.00000000000E+000
+4.95373093798E+006, +1.49410046322E-001, +0.00000000000E+000
+4.95373187548E+006, +1.49384127299E-001, +0.00000000000E+000
+4.95373281298E+006, +1.49361954207E-001, +0.00000000000E+000
+4.95373375048E+006, +1.49341603874E-001, +0.00000000000E+000
+4.95373468798E+006, +1.49321524810E-001, +0.00000000000E+000
+4.95373562548E+006, +1.49301220297E-001, +0.00000000000E+000
+4.95373656298E+006, +1.49282808065E-001, +0.00000000000E+000
+4.95373750048E+006, +1.49257209046E-001, +0.00000000000E+000
+4.95373843798E+006, +1.49232746201E-001, +0.00000000000E+000
+4.95373937548E+006, +1.49211965873E-001, +0.00000000000E+000
+4.95374031298E+006, +1.49188522109E-001, +0.00000000000E+000
+4.95374125048E+006, +1.49163087498E-001, +0.00000000000E+000
+4.95374218797E+006, +1.49140856745E-001, +0.00000000000E+000
+4.95374312547E+006, +1.49116116793E-001, +0.00000000000E+000
+4.95374406297E+006, +1.49094294087E-001, +0.00000000000E+000
+4.95374500047E+006, +1.49073995626E-001, +0.00000000000E+000
+4.95374593797E+006, +1.49051133702E-001, +0.00000000000E+000
+4.95374687547E+006, +1.49034416296E-001, +0.00000000000E+000
+4.95374781297E+006, +1.48999150934E-001, +0.00000000000E+000
+4.95374875047E+006, +1.48971706887E-001, +0.00000000000E+000
+4.95374968797E+006, +1.48956793939E-001, +0.00000000000E+000
+4.95375062547E+006, +1.48931353289E-001, +0.00000000000E+000
