"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95370468800E+006, +1.81196995980E-001, +0.00000000000E+000
+4.95370562550E+006, +1.80210753192E-001, +0.00000000000E+000
+4.95370656300E+006, +1.79547962161E-001, +0.00000000000E+000
+4.95370750050E+006, +1.79882556625E-001, +0.00000000000E+000
+4.95370843800E+006, +1.79835678297E-001, +0.00000000000E+000
+4.95370937550E+006, +1.79769627947E-001, +0.00000000000E+000
+4.95371031300E+006, +1.79748272737E-001, +0.00000000000E+000
+4.95371125050E+006, +1.79772063387E-001, +0.00000000000E+000
+4.95371218799E+006, +1.79790638505E-001, +0.00000000000E+000
+4.95371312549E+006, +1.79795645959E-001, +0.00000000000E+000
+4.95371406299E+006, +1.79786030489E-001, +0.00000000000E+000
+4.95371500049E+006, +1.79750472098E-001, +0.00000000000E+000
+4.95371593799E+006, +1.79727664422E-001, +0.00000000000E+000
+4.95371687549E+006, +1.79684429935E-001, +0.00000000000E+000
+4.95371781299E+006, +1.79682003597E-001, +0.00000000000E+000
+4.95371875049E+006, +1.79669247143E-001, +0.00000000000E+000
+4.95371968799E+006, +1.79640503586E-001, +0.00000000000E+000
+4.95372062549E+006, +1.79650373277E-001, +0.00000000000E+000
+4.95372156299E+006, +1.79653388389E-001, +0.00000000000E+000
+4.95372250049E+006, +1.79656954613E-001, +0.00000000000E+000
+4.95372343799E+006, +1.79655351588E-001, +0.00000000000E+000
+4.95372437549E+006, +1.79636852705E-001, +0.00000000000E+000
+4.95372531299E+006, +1.79613196881E-001, +0.00000000000E+000
+4.95372625049E+006, +1.79598479287E-001, +0.00000000000E+000
+4.95372718799E+006, +1.79567716729E-001, +0.00000000000E+000
+4.95372812548E+006, +1.79571701831E-001, +0.00000000000E+000
+4.95372906298E+006, +1.79581230908E-001, +0.00000000000E+000
+4.95373000048E+006, +1.79579702796E-001, +0.00000000000E+000
+4.95373093798E+006, +1.79540077463E-001, +0.00000000000E+000
+4.95373187548E+006, +1.79527438821E-001, +0.00000000000E+000
+4.95373281298E+006, +1.79512578355E-001, +0.00000000000E+000
+4.95373375048E+006, +1.79488455246E-001, +0.00000000000E+000
+4.95373468798E+006, +1.79476531041E-001, +0.00000000000E+000
+4.95373562548E+006, +1.79427955589E-001, +0.00000000000E+000
+4.95373656298E+006, +1.79424362496E-001, +0.00000000000E+000
+4.95373750048E+006, +1.79403218166E-001, +0.00000000000E+000
+4.95373843798E+006, +1.79381740001E-001, +0.00000000000E+000
+4.95373937548E+006, +1.79362341221E-001, +0.00000000000E+000
+4.95374031298E+006, +1.79328137761E-001, +0.00000000000E+000
+4.95374125048E+006, +1.79345537540E-001, +0.00000000000E+000
+4.95374218797E+006, +1.79326558999E-001, +0.00000000000E+000
+4.95374312547E+006, +1.79317158259E-001, +0.00000000000E+000
+4.95374406297E+006, +1.79334902643E-001, +0.00000000000E+000
+4.95374500047E+006, +1.79277338945E-001, +0.00000000000E+000
+4.95374593797E+006, +1.79277593736E-001, +0.00000000000E+000
+4.95374687547E+006, +1.79275186354E-001, +0.00000000000E+000
+4.95374781297E+006, +1.79284659183E-001, +0.00000000000E+000
+4.95374875047E+006, +1.79281431363E-001, +0.00000000000E+000
+4.95374968797E+006, +1.79237079325E-001, +0.00000000000E+000
+4.95375062547E+006, +1.79243917230E-001, +0.00000000000E+000
+4.95375156297E+006, +1.79217878532E-001, +0.00000000000E+000
+4.95375250047E+006, +1.79188158934E-001, +0.00000000000E+000
+4.95375343797E+006, +1.79192708189E-001, +0.00000000000E+000
+4.95375437547E+006, +1.79189539026E-001, +0.00000000000E+000
+4.95375531297E+006, +1.79180006357E-001, +0.00000000000E+000
+4.95375625047E+006, +1.79166230497E-001, +0.00000000000E+000
+4.95375718797E+006, +1.79169958653E-001, +0.00000000000E+000
+4.95375812546E+006, +1.79146423574E-001, +0.00000000000E+000
+4.95375906296E+006, +1.79140793817E-001, +0.00000000000E+000
+4.95376000046E+006, +1.79148701327E-001, +0.00000000000E+000
