"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95370468800E+006, +1.50791448455E-001, +0.00000000000E+000
+4.95370562550E+006, +1.50125701989E-001, +0.00000000000E+000
+4.95370656300E+006, +1.49312517786E-001, +0.00000000000E+000
+4.95370750050E+006, +1.49481812368E-001, +0.00000000000E+000
+4.95370843800E+006, +1.49537629147E-001, +0.00000000000E+000
+4.95370937550E+006, +1.49504569307E-001, +0.00000000000E+000
+4.95371031300E+006, +1.49491260424E-001, +0.00000000000E+000
+4.95371125050E+006, +1.49462567853E-001, +0.00000000000E+000
+4.95371218799E+006, +1.49468512187E-001, +0.00000000000E+000
+4.95371312549E+006, +1.49454861978E-001, +0.00000000000E+000
+4.95371406299E+006, +1.49439274581E-001, +0.00000000000E+000
+4.95371500049E+006, +1.49424365640E-001, +0.00000000000E+000
+4.95371593799E+006, +1.49397176162E-001, +0.00000000000E+000
+4.95371687549E+006, +1.49361792815E-001, +0.00000000000E+000
+4.95371781299E+006, +1.49345358359E-001, +0.00000000000E+000
+4.95371875049E+006, +1.49338811942E-001, +0.00000000000E+000
+4.95371968799E+006, +1.49311443609E-001, +0.00000000000E+000
+4.95372062549E+006, +1.49280131120E-001, +0.00000000000E+000
+4.95372156299E+006, +1.49289068764E-001, +0.00000000000E+000
+4.95372250049E+006, +1.49280696842E-001, +0.00000000000E+000
+4.95372343799E+006, +1.49263727209E-001, +0.00000000000E+000
+4.95372437549E+006, +1.49264151872E-001, +0.00000000000E+000
+4.95372531299E+006, +1.49228144246E-001, +0.00000000000E+000
+4.95372625049E+006, +1.49209729632E-001, +0.00000000000E+000
+4.95372718799E+006, +1.49191328666E-001, +0.00000000000E+000
+4.95372812548E+006, +1.49186831800E-001, +0.00000000000E+000
+4.95372906298E+006, +1.49180312510E-001, +0.00000000000E+000
+4.95373000048E+006, +1.49146771873E-001, +0.00000000000E+000
+4.95373093798E+006, +1.49156388885E-001, +0.00000000000E+000
+4.95373187548E+006, +1.49144886447E-001, +0.00000000000E+000
+4.95373281298E+006, +1.49133914747E-001, +0.00000000000E+000
+4.95373375048E+006, +1.49094883570E-001, +0.00000000000E+000
+4.95373468798E+006, +1.49112781854E-001, +0.00000000000E+000
+4.95373562548E+006, +1.49089148829E-001, +0.00000000000E+000
+4.95373656298E+006, +1.49064741743E-001, +0.00000000000E+000
+4.95373750048E+006, +1.49063014991E-001, +0.00000000000E+000
+4.95373843798E+006, +1.49041578475E-001, +0.00000000000E+000
+4.95373937548E+006, +1.49022095485E-001, +0.00000000000E+000
+4.95374031298E+006, +1.49004416225E-001, +0.00000000000E+000
+4.95374125048E+006, +1.48970198411E-001, +0.00000000000E+000
+4.95374218797E+006, +1.48951196445E-001, +0.00000000000E+000
+4.95374312547E+006, +1.48931639645E-001, +0.00000000000E+000
+4.95374406297E+006, +1.48933785972E-001, +0.00000000000E+000
+4.95374500047E+006, +1.48909735038E-001, +0.00000000000E+000
+4.95374593797E+006, +1.48907976368E-001, +0.00000000000E+000
+4.95374687547E+006, +1.48900063187E-001, +0.00000000000E+000
+4.95374781297E+006, +1.48896563922E-001, +0.00000000000E+000
+4.95374875047E+006, +1.48887718778E-001, +0.00000000000E+000
+4.95374968797E+006, +1.48877106591E-001, +0.00000000000E+000
+4.95375062547E+006, +1.48874123789E-001, +0.00000000000E+000
+4.95375156297E+006, +1.48837934308E-001, +0.00000000000E+000
+4.95375250047E+006, +1.48820450799E-001, +0.00000000000E+000
+4.95375343797E+006, +1.48797621164E-001, +0.00000000000E+000
+4.95375437547E+006, +1.48786694544E-001, +0.00000000000E+000
+4.95375531297E+006, +1.48766702615E-001, +0.00000000000E+000
+4.95375625047E+006, +1.48780381363E-001, +0.00000000000E+000
+4.95375718797E+006, +1.48777297723E-001, +0.00000000000E+000
+4.95375812546E+006, +1.48758707650E-001, +0.00000000000E+000
+4.95375906296E+006, +1.48732144130E-001, +0.00000000000E+000
+4.95376000046E+006, +1.48711442699E-001, +0.00000000000E+000
+4.95376093796E+006, +1.48705831632E-001, +0.00000000000E+000
+4.95376187546E+006, +1.48694286465E-001, +0.00000000000E+000
+4.95376281296E+006, +1.48681832232E-001, +0.00000000000E+000
+4.95376375046E+006, +1.48671787996E-001, +0.00000000000E+000
+4.95376468796E+006, +1.48663999647E-001, +0.00000000000E+000
+4.95376562546E+006, +1.48651186352E-001, +0.00000000000E+000
+4.95376656296E+006, +1.48638022253E-001, +0.00000000000E+000
+4.95376750046E+006, +1.48639913070E-001, +0.00000000000E+000
+4.95376843796E+006, +1.48630559756E-001, +0.00000000000E+000
+4.95376937546E+006, +1.48618464012E-001, +0.00000000000E+000
+4.95377031296E+006, +1.48607558908E-001, +0.00000000000E+000
+4.95377125046E+006, +1.48584872430E-001, +0.00000000000E+000
+4.95377218796E+006, +1.48570133086E-001, +0.00000000000E+000
+4.95377312545E+006, +1.48547993726E-001, +0.00000000000E+000
+4.95377406295E+006, +1.48551899551E-001, +0.00000000000E+000
+4.95377500045E+006, +1.48523969765E-001, +0.00000000000E+000
+4.95377593795E+006, +1.48513405462E-001, +0.00000000000E+000
+4.95377687545E+006, +1.48480075024E-001, +0.00000000000E+000
+4.95377781295E+006, +1.48464252171E-001, +0.00000000000E+000
+4.95377875045E+006, +1.48440379021E-001, +0.00000000000E+000
+4.95377968795E+006, +1.48433752114E-001, +0.00000000000E+000
+4.95378062545E+006, +1.48448879023E-001, +0.00000000000E+000
+4.95378156295E+006, +1.48437944731E-001, +0.00000000000E+000
+4.95378250045E+006, +1.48412766320E-001, +0.00000000000E+000
+4.95378343795E+006, +1.48385391543E-001, +0.00000000000E+000
+4.95378437545E+006, +1.48381896403E-001, +0.00000000000E+000
+4.95378531295E+006, +1.48372660520E-001, +0.00000000000E+000
+4.95378625045E+006, +1.48356668355E-001, +0.00000000000E+000
+4.95378718794E+006, +1.48319682115E-001, +0.00000000000E+000
+4.95378812544E+006, +1.48291050403E-001, +0.00000000000E+000
+4.95378906294E+006, +1.48279374992E-001, +0.00000000000E+000
+4.95379000044E+006, +1.48266142348E-001, +0.00000000000E+000
+4.95379093794E+006, +1.48262404948E-001, +0.00000000000E+000
+4.95379187544E+006, +1.48250868300E-001, +0.00000000000E+000
+4.95379281294E+006, +1.48254561940E-001, +0.00000000000E+000
+4.95379375044E+006, +1.48240040500E-001, +0.00000000000E+000
+4.95379468794E+006, +1.48209382839E-001, +0.00000000000E+000
+4.95379562544E+006, +1.48177220030E-001, +0.00000000000E+000
+4.95379656294E+006, +1.48159041046E-001, +0.00000000000E+000
+4.95379750044E+006, +1.48172939289E-001, +0.00000000000E+000
+4.95379843794E+006, +1.48143786487E-001, +0.00000000000E+000
+4.95379937544E+006, +1.48141299007E-001, +0.00000000000E+000
+4.95380031294E+006, +1.48118724330E-001, +0.00000000000E+000
+4.95380125044E+006, +1.48107967488E-001, +0.00000000000E+000
+4.95380218794E+006, +1.48085508026E-001, +0.00000000000E+000
+4.95380312543E+006, +1.48062095742E-001, +0.00000000000E+000
+4.95380406293E+006, +1.48056163416E-001, +0.00000000000E+000
+4.95380500043E+006, +1.48028401730E-001, +0.00000000000E+000
+4.95380593793E+006, +1.48024310342E-001, +0.00000000000E+000
+4.95380687543E+006, +1.48000886909E-001, +0.00000000000E+000
+4.95380781293E+006, +1.47973117260E-001, +0.00000000000E+000
+4.95380875043E+006, +1.47957610321E-001, +0.00000000000E+000
+4.95380968793E+006, +1.47940411269E-001, +0.00000000000E+000
+4.95381062543E+006, +1.47945165374E-001, +0.00000000000E+000
+4.95381156293E+006, +1.47943874537E-001, +0.00000000000E+000
+4.95381250043E+006, +1.47925348999E-001, +0.00000000000E+000
+4.95381343793E+006, +1.47907953149E-001, +0.00000000000E+000
+4.95381437543E+006, +1.47890440143E-001, +0.00000000000E+000
+4.95381531293E+006, +1.47873621759E-001, +0.00000000000E+000
+4.95381625043E+006, +1.47869796398E-001, +0.00000000000E+000
+4.95381718792E+006, +1.47854466077E-001, +0.00000000000E+000
+4.95381812542E+006, +1.47810923806E-001, +0.00000000000E+000
+4.95381906292E+006, +1.47797243871E-001, +0.00000000000E+000
+4.95382000042E+006, +1.47794381510E-001, +0.00000000000E+000
+4.95382093792E+006, +1.47801633246E-001, +0.00000000000E+000
+4.95382187542E+006, +1.47762089671E-001, +0.00000000000E+000
+4.95382281292E+006, +1.47743833504E-001, +0.00000000000E+000
+4.95382375042E+006, +1.47731212882E-001, +0.00000000000E+000
+4.95382468792E+006, +1.47721386228E-001, +0.00000000000E+000
+4.95382562542E+006, +1.47711225630E-001, +0.00000000000E+000
