"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95370468800E+006, -2.32798191460E+001, +0.00000000000E+000
+4.95370562550E+006, -2.23182422753E+001, +0.00000000000E+000
+4.95370656300E+006, -2.21177594922E+001, +0.00000000000E+000
+4.95370750050E+006, -2.20953182434E+001, +0.00000000000E+000
+4.95370843800E+006, -2.21132236243E+001, +0.00000000000E+000
+4.95370937550E+006, -2.21366031470E+001, +0.00000000000E+000
+4.95371031300E+006, -2.21626794380E+001, +0.00000000000E+000
+4.95371125050E+006, -2.21884064050E+001, +0.00000000000E+000
+4.95371218799E+006, -2.22166095169E+001, +0.00000000000E+000
+4.95371312549E+006, -2.22415736563E+001, +0.00000000000E+000
+4.95371406299E+006, -2.22692311115E+001, +0.00000000000E+000
+4.95371500049E+006, -2.22967805447E+001, +0.00000000000E+000
+4.95371593799E+006, -2.23231421018E+001, +0.00000000000E+000
+4.95371687549E+006, -2.23508971535E+001, +0.00000000000E+000
+4.95371781299E+006, -2.23767712020E+001, +0.00000000000E+000
+4.95371875049E+006, -2.24047707571E+001, +0.00000000000E+000
+4.95371968799E+006, -2.24328110671E+001, +0.00000000000E+000
+4.95372062549E+006, -2.24615892060E+001, +0.00000000000E+000
+4.95372156299E+006, -2.24890569958E+001, +0.00000000000E+000
+4.95372250049E+006, -2.25152723590E+001, +0.00000000000E+000
+4.95372343799E+006, -2.25433979445E+001, +0.00000000000E+000
+4.95372437549E+006, -2.25722961887E+001, +0.00000000000E+000
+4.95372531299E+006, -2.25978830234E+001, +0.00000000000E+000
+4.95372625049E+006, -2.26258769192E+001, +0.00000000000E+000
+4.95372718799E+006, -2.26539644834E+001, +0.00000000000E+000
+4.95372812548E+006, -2.26824736642E+001, +0.00000000000E+000
+4.95372906298E+006, -2.27121319113E+001, +0.00000000000E+000
+4.95373000048E+006, -2.27399844981E+001, +0.00000000000E+000
+4.95373093798E+006, -2.27680007281E+001, +0.00000000000E+000
+4.95373187548E+006, -2.27970455394E+001, +0.00000000000E+000
+4.95373281298E+006, -2.28259999664E+001, +0.00000000000E+000
+4.95373375048E+006, -2.28561116897E+001, +0.00000000000E+000
+4.95373468798E+006, -2.28828086823E+001, +0.00000000000E+000
+4.95373562548E+006, -2.29100781041E+001, +0.00000000000E+000
+4.95373656298E+006, -2.29407309082E+001, +0.00000000000E+000
+4.95373750048E+006, -2.29709030882E+001, +0.00000000000E+000
