"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95351718800E+006, +4.47510130409E-002, +0.00000000000E+000
+4.95351812550E+006, +4.55070793846E-002, +0.00000000000E+000
+4.95351906300E+006, +4.60773474787E-002, +0.00000000000E+000
+4.95352000050E+006, +4.61884404303E-002, +0.00000000000E+000
+4.95352093800E+006, +4.61858911692E-002, +0.00000000000E+000
+4.95352187550E+006, +4.62007536861E-002, +0.00000000000E+000
+4.95352281300E+006, +4.60454386375E-002, +0.00000000000E+000
+4.95352375050E+006, +4.60301463683E-002, +0.00000000000E+000
+4.95352468799E+006, +4.60674955603E-002, +0.00000000000E+000
+4.95352562549E+006, +4.60099696970E-002, +0.00000000000E+000
+4.95352656299E+006, +4.60022830658E-002, +0.00000000000E+000
+4.95352750049E+006, +4.60489617659E-002, +0.00000000000E+000
+4.95352843799E+006, +4.61156887875E-002, +0.00000000000E+000
+4.95352937549E+006, +4.61033876372E-002, +0.00000000000E+000
+4.95353031299E+006, +4.61176746780E-002, +0.00000000000E+000
+4.95353125049E+006, +4.61380672849E-002, +0.00000000000E+000
+4.95353218799E+006, +4.60880505123E-002, +0.00000000000E+000
+4.95353312549E+006, +4.58417073288E-002, +0.00000000000E+000
+4.95353406299E+006, +4.59314627671E-002, +0.00000000000E+000
+4.95353500049E+006, +4.58517992007E-002, +0.00000000000E+000
+4.95353593799E+006, +4.58025846868E-002, +0.00000000000E+000
+4.95353687549E+006, +4.58118613314E-002, +0.00000000000E+000
+4.95353781299E+006, +4.57336089346E-002, +0.00000000000E+000
+4.95353875049E+006, +4.57478146775E-002, +0.00000000000E+000
+4.95353968799E+006, +4.57364942364E-002, +0.00000000000E+000
+4.95354062548E+006, +4.57304865907E-002, +0.00000000000E+000
+4.95354156298E+006, +4.57256835200E-002, +0.00000000000E+000
+4.95354250048E+006, +4.57240171579E-002, +0.00000000000E+000
+4.95354343798E+006, +4.57858858597E-002, +0.00000000000E+000
+4.95354437548E+006, +4.57782848253E-002, +0.00000000000E+000
+4.95354531298E+006, +4.58190216007E-002, +0.00000000000E+000
+4.95354625048E+006, +4.56805047015E-002, +0.00000000000E+000
+4.95354718798E+006, +4.56165973412E-002, +0.00000000000E+000
+4.95354812548E+006, +4.56976840659E-002, +0.00000000000E+000
+4.95354906298E+006, +4.56619622764E-002, +0.00000000000E+000
+4.95355000048E+006, +4.55734248226E-002, +0.00000000000E+000
+4.95355093798E+006, +4.56383026928E-002, +0.00000000000E+000
+4.95355187548E+006, +4.57149052093E-002, +0.00000000000E+000
+4.95355281298E+006, +4.56626844646E-002, +0.00000000000E+000
+4.95355375048E+006, +4.56039778397E-002, +0.00000000000E+000
+4.95355468797E+006, +4.56835301108E-002, +0.00000000000E+000
+4.95355562547E+006, +4.57026124434E-002, +0.00000000000E+000
+4.95355656297E+006, +4.55692816196E-002, +0.00000000000E+000
+4.95355750047E+006, +4.55125279183E-002, +0.00000000000E+000
+4.95355843797E+006, +4.55312223982E-002, +0.00000000000E+000
+4.95355937547E+006, +4.53247825106E-002, +0.00000000000E+000
+4.95356031297E+006, +4.52489609779E-002, +0.00000000000E+000
+4.95356125047E+006, +4.52939179775E-002, +0.00000000000E+000
+4.95356218797E+006, +4.53381595540E-002, +0.00000000000E+000
+4.95356312547E+006, +4.52860271733E-002, +0.00000000000E+000
+4.95356406297E+006, +4.52494782237E-002, +0.00000000000E+000
+4.95356500047E+006, +4.52506683447E-002, +0.00000000000E+000
+4.95356593797E+006, +4.52783226989E-002, +0.00000000000E+000
+4.95356687547E+006, +4.52741388237E-002, +0.00000000000E+000
+4.95356781297E+006, +4.52833923172E-002, +0.00000000000E+000
+4.95356875047E+006, +4.52641369658E-002, +0.00000000000E+000
