"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95351718800E+006, +1.28673596909E+002, +0.00000000000E+000
+4.95351812550E+006, +1.26517772062E+002, +0.00000000000E+000
+4.95351906300E+006, +1.26488438536E+002, +0.00000000000E+000
+4.95352000050E+006, +1.26668936968E+002, +0.00000000000E+000
+4.95352093800E+006, +1.26776176078E+002, +0.00000000000E+000
+4.95352187550E+006, +1.26863766107E+002, +0.00000000000E+000
+4.95352281300E+006, +1.26851769844E+002, +0.00000000000E+000
+4.95352375050E+006, +1.26907191499E+002, +0.00000000000E+000
+4.95352468799E+006, +1.26988961856E+002, +0.00000000000E+000
+4.95352562549E+006, +1.27031507078E+002, +0.00000000000E+000
+4.95352656299E+006, +1.27092564168E+002, +0.00000000000E+000
+4.95352750049E+006, +1.27189124870E+002, +0.00000000000E+000
+4.95352843799E+006, +1.27288406181E+002, +0.00000000000E+000
+4.95352937549E+006, +1.27355003437E+002, +0.00000000000E+000
+4.95353031299E+006, +1.27422316035E+002, +0.00000000000E+000
+4.95353125049E+006, +1.27502308472E+002, +0.00000000000E+000
+4.95353218799E+006, +1.27552477254E+002, +0.00000000000E+000
+4.95353312549E+006, +1.27480245997E+002, +0.00000000000E+000
+4.95353406299E+006, +1.27608964989E+002, +0.00000000000E+000
+4.95353500049E+006, +1.27636437330E+002, +0.00000000000E+000
+4.95353593799E+006, +1.27672040021E+002, +0.00000000000E+000
+4.95353687549E+006, +1.27754100963E+002, +0.00000000000E+000
+4.95353781299E+006, +1.27773855352E+002, +0.00000000000E+000
+4.95353875049E+006, +1.27857487179E+002, +0.00000000000E+000
+4.95353968799E+006, +1.27913350609E+002, +0.00000000000E+000
+4.95354062548E+006, +1.27980979088E+002, +0.00000000000E+000
+4.95354156298E+006, +1.28050666690E+002, +0.00000000000E+000
+4.95354250048E+006, +1.28123250985E+002, +0.00000000000E+000
+4.95354343798E+006, +1.28220258131E+002, +0.00000000000E+000
+4.95354437548E+006, +1.28289362117E+002, +0.00000000000E+000
+4.95354531298E+006, +1.28387275998E+002, +0.00000000000E+000
+4.95354625048E+006, +1.28384469620E+002, +0.00000000000E+000
+4.95354718798E+006, +1.28422145936E+002, +0.00000000000E+000
+4.95354812548E+006, +1.28534249921E+002, +0.00000000000E+000
+4.95354906298E+006, +1.28589700283E+002, +0.00000000000E+000
+4.95355000048E+006, +1.28616557523E+002, +0.00000000000E+000
+4.95355093798E+006, +1.28721643454E+002, +0.00000000000E+000
+4.95355187548E+006, +1.28831944011E+002, +0.00000000000E+000
+4.95355281298E+006, +1.28875279801E+002, +0.00000000000E+000
+4.95355375048E+006, +1.28922543771E+002, +0.00000000000E+000
+4.95355468797E+006, +1.29033655582E+002, +0.00000000000E+000
+4.95355562547E+006, +1.29111507831E+002, +0.00000000000E+000
+4.95355656297E+006, +1.29125088163E+002, +0.00000000000E+000
+4.95355750047E+006, +1.29172209492E+002, +0.00000000000E+000
+4.95355843797E+006, +1.29255209847E+002, +0.00000000000E+000
+4.95355937547E+006, +1.29229762956E+002, +0.00000000000E+000
+4.95356031297E+006, +1.29267249070E+002, +0.00000000000E+000
+4.95356125047E+006, +1.29368885211E+002, +0.00000000000E+000
+4.95356218797E+006, +1.29465076233E+002, +0.00000000000E+000
+4.95356312547E+006, +1.29516912558E+002, +0.00000000000E+000
+4.95356406297E+006, +1.29563940156E+002, +0.00000000000E+000
+4.95356500047E+006, +1.29650429320E+002, +0.00000000000E+000
