"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95370468800E+006, -2.01516481652E+001, +0.00000000000E+000
+4.95370562550E+006, -1.90936754518E+001, +0.00000000000E+000
+4.95370656300E+006, -1.88748049052E+001, +0.00000000000E+000
+4.95370750050E+006, -1.88840590603E+001, +0.00000000000E+000
+4.95370843800E+006, -1.89048758652E+001, +0.00000000000E+000
+4.95370937550E+006, -1.89433603620E+001, +0.00000000000E+000
+4.95371031300E+006, -1.89567387034E+001, +0.00000000000E+000
+4.95371125050E+006, -1.89837371777E+001, +0.00000000000E+000
+4.95371218799E+006, -1.90122405182E+001, +0.00000000000E+000
+4.95371312549E+006, -1.90502858382E+001, +0.00000000000E+000
+4.95371406299E+006, -1.90667143870E+001, +0.00000000000E+000
+4.95371500049E+006, -1.90979807529E+001, +0.00000000000E+000
+4.95371593799E+006, -1.91170719202E+001, +0.00000000000E+000
+4.95371687549E+006, -1.91598428856E+001, +0.00000000000E+000
+4.95371781299E+006, -1.91816907994E+001, +0.00000000000E+000
+4.95371875049E+006, -1.92166174497E+001, +0.00000000000E+000
+4.95371968799E+006, -1.92438075879E+001, +0.00000000000E+000
+4.95372062549E+006, -1.92806747321E+001, +0.00000000000E+000
+4.95372156299E+006, -1.93120509601E+001, +0.00000000000E+000
+4.95372250049E+006, -1.93463113176E+001, +0.00000000000E+000
+4.95372343799E+006, -1.93723650200E+001, +0.00000000000E+000
+4.95372437549E+006, -1.94046349519E+001, +0.00000000000E+000
+4.95372531299E+006, -1.94269972635E+001, +0.00000000000E+000
+4.95372625049E+006, -1.94658322984E+001, +0.00000000000E+000
+4.95372718799E+006, -1.94836081355E+001, +0.00000000000E+000
+4.95372812548E+006, -1.95219221392E+001, +0.00000000000E+000
+4.95372906298E+006, -1.95490802815E+001, +0.00000000000E+000
+4.95373000048E+006, -1.95825695897E+001, +0.00000000000E+000
+4.95373093798E+006, -1.96150227285E+001, +0.00000000000E+000
+4.95373187548E+006, -1.96468680500E+001, +0.00000000000E+000
+4.95373281298E+006, -1.96662186072E+001, +0.00000000000E+000
