"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95407199900E+006, -2.47707877656E+001, +0.00000000000E+000
+4.95407293650E+006, -2.47221797492E+001, +0.00000000000E+000
+4.95407387400E+006, -2.47487619388E+001, +0.00000000000E+000
+4.95407481150E+006, -2.47632955070E+001, +0.00000000000E+000
+4.95407574900E+006, -2.47799632695E+001, +0.00000000000E+000
+4.95407668650E+006, -2.47956992267E+001, +0.00000000000E+000
+4.95407762400E+006, -2.48125771805E+001, +0.00000000000E+000
+4.95407856150E+006, -2.48310943899E+001, +0.00000000000E+000
+4.95407949900E+006, -2.48455855305E+001, +0.00000000000E+000
+4.95408043650E+006, -2.48624663039E+001, +0.00000000000E+000
+4.95408137400E+006, -2.48783626054E+001, +0.00000000000E+000
+4.95408231150E+006, -2.48955956906E+001, +0.00000000000E+000
+4.95408324900E+006, -2.49118500677E+001, +0.00000000000E+000
+4.95408418650E+006, -2.49289517769E+001, +0.00000000000E+000
+4.95408512400E+006, -2.49466080327E+001, +0.00000000000E+000
+4.95408606150E+006, -2.49621962402E+001, +0.00000000000E+000
+4.95408699900E+006, -2.49794516354E+001, +0.00000000000E+000
+4.95408793650E+006, -2.49970219663E+001, +0.00000000000E+000
+4.95408887400E+006, -2.50133293620E+001, +0.00000000000E+000
+4.95408981150E+006, -2.50302062657E+001, +0.00000000000E+000
+4.95409074900E+006, -2.50475155360E+001, +0.00000000000E+000
+4.95409168650E+006, -2.50655810283E+001, +0.00000000000E+000
+4.95409262400E+006, -2.50818291670E+001, +0.00000000000E+000
+4.95409356150E+006, -2.50983556560E+001, +0.00000000000E+000
+4.95409449900E+006, -2.51167615668E+001, +0.00000000000E+000
+4.95409543650E+006, -2.51336725066E+001, +0.00000000000E+000
+4.95409637400E+006, -2.51498071448E+001, +0.00000000000E+000
+4.95409731150E+006, -2.51683553942E+001, +0.00000000000E+000
+4.95409824900E+006, -2.51858641013E+001, +0.00000000000E+000
+4.95409918650E+006, -2.52034843611E+001, +0.00000000000E+000
+4.95410012400E+006, -2.52205259446E+001, +0.00000000000E+000
+4.95410106150E+006, -2.52388988212E+001, +0.00000000000E+000
+4.95410199900E+006, -2.52559523123E+001, +0.00000000000E+000
+4.95410293650E+006, -2.52739516149E+001, +0.00000000000E+000
+4.95410387400E+006, -2.52928360035E+001, +0.00000000000E+000
+4.95410481150E+006, -2.53095937340E+001, +0.00000000000E+000
+4.95410574900E+006, -2.53275640789E+001, +0.00000000000E+000
+4.95410668650E+006, -2.53446451183E+001, +0.00000000000E+000
+4.95410762400E+006, -2.53634678726E+001, +0.00000000000E+000
+4.95410856150E+006, -2.53805056037E+001, +0.00000000000E+000
+4.95410949900E+006, -2.53983573140E+001, +0.00000000000E+000
+4.95411043650E+006, -2.54164859862E+001, +0.00000000000E+000
+4.95411137400E+006, -2.54351643317E+001, +0.00000000000E+000
+4.95411231150E+006, -2.54537808020E+001, +0.00000000000E+000
+4.95411324900E+006, -2.54721629214E+001, +0.00000000000E+000
+4.95411418650E+006, -2.54909912558E+001, +0.00000000000E+000
+4.95411512400E+006, -2.55089192405E+001, +0.00000000000E+000
+4.95411606150E+006, -2.55272918425E+001, +0.00000000000E+000
+4.95411699900E+006, -2.55456232669E+001, +0.00000000000E+000
+4.95411793650E+006, -2.55633702474E+001, +0.00000000000E+000
+4.95411887400E+006, -2.55823241179E+001, +0.00000000000E+000
+4.95411981150E+006, -2.56017431680E+001, +0.00000000000E+000
+4.95412074900E+006, -2.56202878535E+001, +0.00000000000E+000
+4.95412168650E+006, -2.56385734809E+001, +0.00000000000E+000
+4.95412262400E+006, -2.56584032948E+001, +0.00000000000E+000
+4.95412356150E+006, -2.56757844306E+001, +0.00000000000E+000
+4.95412449900E+006, -2.56944507743E+001, +0.00000000000E+000
+4.95412543650E+006, -2.57133078711E+001, +0.00000000000E+000
+4.95412637400E+006, -2.57334374389E+001, +0.00000000000E+000
+4.95412731150E+006, -2.57511641482E+001, +0.00000000000E+000
+4.95412824900E+006, -2.57699362886E+001, +0.00000000000E+000
+4.95412918650E+006, -2.57895279373E+001, +0.00000000000E+000
+4.95413012400E+006, -2.58090717550E+001, +0.00000000000E+000
+4.95413106150E+006, -2.58282203907E+001, +0.00000000000E+000
+4.95413199900E+006, -2.58473850877E+001, +0.00000000000E+000
+4.95413293650E+006, -2.58663729816E+001, +0.00000000000E+000
+4.95413387400E+006, -2.58863530459E+001, +0.00000000000E+000
+4.95413481150E+006, -2.59056716192E+001, +0.00000000000E+000
+4.95413574900E+006, -2.59244285808E+001, +0.00000000000E+000
+4.95413668650E+006, -2.59448195726E+001, +0.00000000000E+000
+4.95413762400E+006, -2.59646600777E+001, +0.00000000000E+000
+4.95413856150E+006, -2.59849917935E+001, +0.00000000000E+000
+4.95413949900E+006, -2.60043900657E+001, +0.00000000000E+000
+4.95414043650E+006, -2.60246711785E+001, +0.00000000000E+000
+4.95414137400E+006, -2.60441292383E+001, +0.00000000000E+000
+4.95414231150E+006, -2.60639894749E+001, +0.00000000000E+000
+4.95414324900E+006, -2.60834396808E+001, +0.00000000000E+000
+4.95414418650E+006, -2.61051215676E+001, +0.00000000000E+000
+4.95414512400E+006, -2.61239207849E+001, +0.00000000000E+000
+4.95414606150E+006, -2.61450620722E+001, +0.00000000000E+000
+4.95414699900E+006, -2.61657233198E+001, +0.00000000000E+000
+4.95414793650E+006, -2.61846398344E+001, +0.00000000000E+000
+4.95414887400E+006, -2.62059603003E+001, +0.00000000000E+000
+4.95414981150E+006, -2.62260557867E+001, +0.00000000000E+000
+4.95415074900E+006, -2.62464400824E+001, +0.00000000000E+000
+4.95415168650E+006, -2.62672348769E+001, +0.00000000000E+000
+4.95415262400E+006, -2.62873020007E+001, +0.00000000000E+000
+4.95415356150E+006, -2.63078935742E+001, +0.00000000000E+000
+4.95415449900E+006, -2.63298447292E+001, +0.00000000000E+000
