"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95769074900E+006, +1.37366793163E-001, +0.00000000000E+000
+4.95769168650E+006, +1.37540022125E-001, +0.00000000000E+000
+4.95769262400E+006, +1.37511766676E-001, +0.00000000000E+000
+4.95769356150E+006, +1.37508992432E-001, +0.00000000000E+000
+4.95769449900E+006, +1.37500832373E-001, +0.00000000000E+000
+4.95769543650E+006, +1.37487347998E-001, +0.00000000000E+000
+4.95769637400E+006, +1.37479643183E-001, +0.00000000000E+000
+4.95769731150E+006, +1.37476897249E-001, +0.00000000000E+000
+4.95769824900E+006, +1.37464712562E-001, +0.00000000000E+000
+4.95769918650E+006, +1.37452179651E-001, +0.00000000000E+000
+4.95770012400E+006, +1.37441570031E-001, +0.00000000000E+000
+4.95770106150E+006, +1.37436801044E-001, +0.00000000000E+000
+4.95770199900E+006, +1.37421267409E-001, +0.00000000000E+000
+4.95770293650E+006, +1.37407852587E-001, +0.00000000000E+000
+4.95770387400E+006, +1.37394729210E-001, +0.00000000000E+000
+4.95770481150E+006, +1.37383999676E-001, +0.00000000000E+000
+4.95770574900E+006, +1.37368761565E-001, +0.00000000000E+000
+4.95770668650E+006, +1.37365055739E-001, +0.00000000000E+000
+4.95770762400E+006, +1.37355151897E-001, +0.00000000000E+000
+4.95770856150E+006, +1.37349871581E-001, +0.00000000000E+000
+4.95770949900E+006, +1.37338794870E-001, +0.00000000000E+000
+4.95771043650E+006, +1.37327810983E-001, +0.00000000000E+000
+4.95771137400E+006, +1.37310047506E-001, +0.00000000000E+000
+4.95771231150E+006, +1.37309056967E-001, +0.00000000000E+000
+4.95771324900E+006, +1.37295315009E-001, +0.00000000000E+000
+4.95771418650E+006, +1.37286175287E-001, +0.00000000000E+000
+4.95771512400E+006, +1.37274948353E-001, +0.00000000000E+000
+4.95771606150E+006, +1.37269567638E-001, +0.00000000000E+000
+4.95771699900E+006, +1.37258839529E-001, +0.00000000000E+000
+4.95771793650E+006, +1.37251464713E-001, +0.00000000000E+000
+4.95771887400E+006, +1.37236017682E-001, +0.00000000000E+000
+4.95771981150E+006, +1.37227727853E-001, +0.00000000000E+000
+4.95772074900E+006, +1.37216190072E-001, +0.00000000000E+000
+4.95772168650E+006, +1.37201848251E-001, +0.00000000000E+000
+4.95772262400E+006, +1.37201535805E-001, +0.00000000000E+000
+4.95772356150E+006, +1.37181317405E-001, +0.00000000000E+000
+4.95772449900E+006, +1.37173575977E-001, +0.00000000000E+000
+4.95772543650E+006, +1.37153737729E-001, +0.00000000000E+000
+4.95772637400E+006, +1.37144301932E-001, +0.00000000000E+000
+4.95772731150E+006, +1.37143818772E-001, +0.00000000000E+000
+4.95772824900E+006, +1.37130717811E-001, +0.00000000000E+000
+4.95772918650E+006, +1.37120057885E-001, +0.00000000000E+000
+4.95773012400E+006, +1.37107671031E-001, +0.00000000000E+000
+4.95773106150E+006, +1.37098609722E-001, +0.00000000000E+000
+4.95773199900E+006, +1.37083502831E-001, +0.00000000000E+000
+4.95773293650E+006, +1.37073103637E-001, +0.00000000000E+000
+4.95773387400E+006, +1.37065587518E-001, +0.00000000000E+000
+4.95773481150E+006, +1.37044491824E-001, +0.00000000000E+000
+4.95773574900E+006, +1.37038249905E-001, +0.00000000000E+000
+4.95773668650E+006, +1.37028810281E-001, +0.00000000000E+000
+4.95773762400E+006, +1.37018573685E-001, +0.00000000000E+000
+4.95773856150E+006, +1.37003955843E-001, +0.00000000000E+000
+4.95773949900E+006, +1.36988886764E-001, +0.00000000000E+000
+4.95774043650E+006, +1.36983828842E-001, +0.00000000000E+000
+4.95774137400E+006, +1.36974884220E-001, +0.00000000000E+000
+4.95774231150E+006, +1.36962707568E-001, +0.00000000000E+000
+4.95774324900E+006, +1.36957083647E-001, +0.00000000000E+000
+4.95774418650E+006, +1.36939293889E-001, +0.00000000000E+000
+4.95774512400E+006, +1.36934307975E-001, +0.00000000000E+000
+4.95774606150E+006, +1.36918757020E-001, +0.00000000000E+000
+4.95774699900E+006, +1.36905422134E-001, +0.00000000000E+000
+4.95774793650E+006, +1.36886559100E-001, +0.00000000000E+000
+4.95774887400E+006, +1.36880418696E-001, +0.00000000000E+000
+4.95774981150E+006, +1.36874384578E-001, +0.00000000000E+000
+4.95775074900E+006, +1.36865102018E-001, +0.00000000000E+000
+4.95775168650E+006, +1.36854735813E-001, +0.00000000000E+000
+4.95775262400E+006, +1.36838361209E-001, +0.00000000000E+000
+4.95775356150E+006, +1.36834658850E-001, +0.00000000000E+000
+4.95775449900E+006, +1.36826002937E-001, +0.00000000000E+000
+4.95775543650E+006, +1.36814350065E-001, +0.00000000000E+000
+4.95775637400E+006, +1.36799509099E-001, +0.00000000000E+000
+4.95775731150E+006, +1.36785378740E-001, +0.00000000000E+000
+4.95775824900E+006, +1.36779838812E-001, +0.00000000000E+000
+4.95775918650E+006, +1.36765946916E-001, +0.00000000000E+000
+4.95776012400E+006, +1.36761159665E-001, +0.00000000000E+000
+4.95776106150E+006, +1.36752834291E-001, +0.00000000000E+000
+4.95776199900E+006, +1.36746161334E-001, +0.00000000000E+000
+4.95776293650E+006, +1.36731795658E-001, +0.00000000000E+000
+4.95776387400E+006, +1.36714721462E-001, +0.00000000000E+000
+4.95776481150E+006, +1.36700573754E-001, +0.00000000000E+000
+4.95776574900E+006, +1.36684875464E-001, +0.00000000000E+000
+4.95776668650E+006, +1.36687194423E-001, +0.00000000000E+000
+4.95776762400E+006, +1.36663087806E-001, +0.00000000000E+000
+4.95776856150E+006, +1.36658087551E-001, +0.00000000000E+000
+4.95776949900E+006, +1.36659985113E-001, +0.00000000000E+000
+4.95777043650E+006, +1.36644580131E-001, +0.00000000000E+000
+4.95777137400E+006, +1.36636070476E-001, +0.00000000000E+000
+4.95777231150E+006, +1.36623615092E-001, +0.00000000000E+000
+4.95777324900E+006, +1.36620767896E-001, +0.00000000000E+000
+4.95777418650E+006, +1.36612523292E-001, +0.00000000000E+000
+4.95777512400E+006, +1.36594875215E-001, +0.00000000000E+000
+4.95777606150E+006, +1.36582550462E-001, +0.00000000000E+000
+4.95777699900E+006, +1.36573430960E-001, +0.00000000000E+000
+4.95777793650E+006, +1.36561466786E-001, +0.00000000000E+000
+4.95777887400E+006, +1.36554333844E-001, +0.00000000000E+000
+4.95777981150E+006, +1.36534608287E-001, +0.00000000000E+000
+4.95778074900E+006, +1.36525187114E-001, +0.00000000000E+000
+4.95778168650E+006, +1.36515812049E-001, +0.00000000000E+000
+4.95778262400E+006, +1.36505273644E-001, +0.00000000000E+000
+4.95778356150E+006, +1.36499423472E-001, +0.00000000000E+000
+4.95778449900E+006, +1.36488395150E-001, +0.00000000000E+000
+4.95778543650E+006, +1.36468774410E-001, +0.00000000000E+000
+4.95778637400E+006, +1.36458147008E-001, +0.00000000000E+000
+4.95778731150E+006, +1.36451397294E-001, +0.00000000000E+000
+4.95778824900E+006, +1.36439243475E-001, +0.00000000000E+000
+4.95778918650E+006, +1.36430551142E-001, +0.00000000000E+000
+4.95779012400E+006, +1.36416987009E-001, +0.00000000000E+000
+4.95779106150E+006, +1.36413110421E-001, +0.00000000000E+000
+4.95779199900E+006, +1.36399004840E-001, +0.00000000000E+000
+4.95779293650E+006, +1.36392756027E-001, +0.00000000000E+000
+4.95779387400E+006, +1.36380956044E-001, +0.00000000000E+000
+4.95779481150E+006, +1.36362764474E-001, +0.00000000000E+000
+4.95779574900E+006, +1.36352880025E-001, +0.00000000000E+000
+4.95779668650E+006, +1.36336253185E-001, +0.00000000000E+000
+4.95779762400E+006, +1.36327512490E-001, +0.00000000000E+000
+4.95779856150E+006, +1.36315810895E-001, +0.00000000000E+000
+4.95779949900E+006, +1.36310447757E-001, +0.00000000000E+000
+4.95780043650E+006, +1.36297451827E-001, +0.00000000000E+000
+4.95780137400E+006, +1.36277876682E-001, +0.00000000000E+000
+4.95780231150E+006, +1.36273995147E-001, +0.00000000000E+000
+4.95780324900E+006, +1.36263271553E-001, +0.00000000000E+000
+4.95780418650E+006, +1.36254422171E-001, +0.00000000000E+000
+4.95780512400E+006, +1.36247948313E-001, +0.00000000000E+000
+4.95780606150E+006, +1.36236641417E-001, +0.00000000000E+000
+4.95780699900E+006, +1.36222501704E-001, +0.00000000000E+000
+4.95780793650E+006, +1.36212974998E-001, +0.00000000000E+000
+4.95780887400E+006, +1.36200111475E-001, +0.00000000000E+000
+4.95780981150E+006, +1.36194177725E-001, +0.00000000000E+000
+4.95781074900E+006, +1.36182285492E-001, +0.00000000000E+000
+4.95781168650E+006, +1.36171352057E-001, +0.00000000000E+000
+4.95781262400E+006, +1.36160317361E-001, +0.00000000000E+000
+4.95781356150E+006, +1.36145803927E-001, +0.00000000000E+000
+4.95781449900E+006, +1.36134346520E-001, +0.00000000000E+000
+4.95781543650E+006, +1.36128273490E-001, +0.00000000000E+000
+4.95781637400E+006, +1.36117660851E-001, +0.00000000000E+000
+4.95781731150E+006, +1.36108182598E-001, +0.00000000000E+000
+4.95781824900E+006, +1.36101318657E-001, +0.00000000000E+000
+4.95781918650E+006, +1.36098770036E-001, +0.00000000000E+000
+4.95782012400E+006, +1.36085354439E-001, +0.00000000000E+000
+4.95782106150E+006, +1.36064674628E-001, +0.00000000000E+000
+4.95782199900E+006, +1.36056172678E-001, +0.00000000000E+000
+4.95782293650E+006, +1.36051471243E-001, +0.00000000000E+000
+4.95782387400E+006, +1.36033168456E-001, +0.00000000000E+000
+4.95782481150E+006, +1.36022417195E-001, +0.00000000000E+000
+4.95782574900E+006, +1.36007697615E-001, +0.00000000000E+000
+4.95782668650E+006, +1.36000538582E-001, +0.00000000000E+000
+4.95782762400E+006, +1.35991514678E-001, +0.00000000000E+000
+4.95782856150E+006, +1.35979382976E-001, +0.00000000000E+000
+4.95782949900E+006, +1.35971506797E-001, +0.00000000000E+000
+4.95783043650E+006, +1.35970553572E-001, +0.00000000000E+000
+4.95783137400E+006, +1.35959593229E-001, +0.00000000000E+000
+4.95783231150E+006, +1.35946807569E-001, +0.00000000000E+000
+4.95783324900E+006, +1.35931281210E-001, +0.00000000000E+000
+4.95783418650E+006, +1.35919966740E-001, +0.00000000000E+000
+4.95783512400E+006, +1.35914570494E-001, +0.00000000000E+000
+4.95783606150E+006, +1.35905467778E-001, +0.00000000000E+000
+4.95783699900E+006, +1.35893275167E-001, +0.00000000000E+000
+4.95783793650E+006, +1.35894157188E-001, +0.00000000000E+000
+4.95783887400E+006, +1.35893028978E-001, +0.00000000000E+000
+4.95783981150E+006, +1.35877019154E-001, +0.00000000000E+000
+4.95784074900E+006, +1.35864713891E-001, +0.00000000000E+000
+4.95784168650E+006, +1.35852981344E-001, +0.00000000000E+000
+4.95784262400E+006, +1.35841460854E-001, +0.00000000000E+000
+4.95784356150E+006, +1.35832507019E-001, +0.00000000000E+000
+4.95784449900E+006, +1.35827114576E-001, +0.00000000000E+000
+4.95784543650E+006, +1.35811396407E-001, +0.00000000000E+000
+4.95784637400E+006, +1.35803942719E-001, +0.00000000000E+000
+4.95784731150E+006, +1.35786356620E-001, +0.00000000000E+000
+4.95784824900E+006, +1.35775345808E-001, +0.00000000000E+000
+4.95784918650E+006, +1.35774515887E-001, +0.00000000000E+000
+4.95785012400E+006, +1.35767488824E-001, +0.00000000000E+000
+4.95785106150E+006, +1.35746156089E-001, +0.00000000000E+000
+4.95785199900E+006, +1.35739265507E-001, +0.00000000000E+000
+4.95785293650E+006, +1.35724477597E-001, +0.00000000000E+000
+4.95785387400E+006, +1.35712003422E-001, +0.00000000000E+000
+4.95785481150E+006, +1.35701835291E-001, +0.00000000000E+000
+4.95785574900E+006, +1.35696606474E-001, +0.00000000000E+000
+4.95785668650E+006, +1.35684305978E-001, +0.00000000000E+000
+4.95785762400E+006, +1.35671584807E-001, +0.00000000000E+000
+4.95785856150E+006, +1.35667622191E-001, +0.00000000000E+000
+4.95785949900E+006, +1.35665660369E-001, +0.00000000000E+000
+4.95786043650E+006, +1.35661218930E-001, +0.00000000000E+000
+4.95786137400E+006, +1.35649817100E-001, +0.00000000000E+000
+4.95786231150E+006, +1.35636600289E-001, +0.00000000000E+000
+4.95786324900E+006, +1.35623072109E-001, +0.00000000000E+000
+4.95786418650E+006, +1.35612765591E-001, +0.00000000000E+000
+4.95786512400E+006, +1.35608587881E-001, +0.00000000000E+000
+4.95786606150E+006, +1.35604440278E-001, +0.00000000000E+000
+4.95786699900E+006, +1.35592513482E-001, +0.00000000000E+000
+4.95786793650E+006, +1.35576187634E-001, +0.00000000000E+000
+4.95786887400E+006, +1.35567493259E-001, +0.00000000000E+000
+4.95786981150E+006, +1.35550888801E-001, +0.00000000000E+000
+4.95787074900E+006, +1.35554537996E-001, +0.00000000000E+000
+4.95787168650E+006, +1.35537001846E-001, +0.00000000000E+000
+4.95787262400E+006, +1.35535531010E-001, +0.00000000000E+000
+4.95787356150E+006, +1.35524706773E-001, +0.00000000000E+000
+4.95787449900E+006, +1.35520842761E-001, +0.00000000000E+000
+4.95787543650E+006, +1.35510883207E-001, +0.00000000000E+000
+4.95787637400E+006, +1.35499837724E-001, +0.00000000000E+000
+4.95787731150E+006, +1.35494216737E-001, +0.00000000000E+000
+4.95787824900E+006, +1.35480510851E-001, +0.00000000000E+000
+4.95787918650E+006, +1.35472006532E-001, +0.00000000000E+000
+4.95788012400E+006, +1.35458366153E-001, +0.00000000000E+000
+4.95788106150E+006, +1.35462925589E-001, +0.00000000000E+000
+4.95788199900E+006, +1.35452987121E-001, +0.00000000000E+000
+4.95788293650E+006, +1.35448349957E-001, +0.00000000000E+000
+4.95788387400E+006, +1.35432761156E-001, +0.00000000000E+000
+4.95788481150E+006, +1.35423901019E-001, +0.00000000000E+000
+4.95788574900E+006, +1.35420055729E-001, +0.00000000000E+000
+4.95788668650E+006, +1.35414823451E-001, +0.00000000000E+000
+4.95788762400E+006, +1.35412628667E-001, +0.00000000000E+000
+4.95788856150E+006, +1.35395133414E-001, +0.00000000000E+000
+4.95788949900E+006, +1.35391564540E-001, +0.00000000000E+000
+4.95789043650E+006, +1.35385296445E-001, +0.00000000000E+000
+4.95789137400E+006, +1.35382999199E-001, +0.00000000000E+000
+4.95789231150E+006, +1.35371648721E-001, +0.00000000000E+000
+4.95789324900E+006, +1.35355600740E-001, +0.00000000000E+000
+4.95789418650E+006, +1.35352019578E-001, +0.00000000000E+000
+4.95789512400E+006, +1.35342333370E-001, +0.00000000000E+000
+4.95789606150E+006, +1.35335469650E-001, +0.00000000000E+000
+4.95789699900E+006, +1.35327152088E-001, +0.00000000000E+000
+4.95789793650E+006, +1.35321500010E-001, +0.00000000000E+000
+4.95789887400E+006, +1.35314701109E-001, +0.00000000000E+000
+4.95789981150E+006, +1.35309155325E-001, +0.00000000000E+000
+4.95790074900E+006, +1.35299073945E-001, +0.00000000000E+000
+4.95790168650E+006, +1.35286276460E-001, +0.00000000000E+000
+4.95790262400E+006, +1.35275412415E-001, +0.00000000000E+000
+4.95790356150E+006, +1.35276406372E-001, +0.00000000000E+000
+4.95790449900E+006, +1.35265805482E-001, +0.00000000000E+000
+4.95790543650E+006, +1.35260285577E-001, +0.00000000000E+000
+4.95790637400E+006, +1.35241927247E-001, +0.00000000000E+000
+4.95790731150E+006, +1.35235973728E-001, +0.00000000000E+000
+4.95790824900E+006, +1.35231932683E-001, +0.00000000000E+000
+4.95790918650E+006, +1.35226610203E-001, +0.00000000000E+000
+4.95791012400E+006, +1.35234223729E-001, +0.00000000000E+000
+4.95791106150E+006, +1.35229217058E-001, +0.00000000000E+000
+4.95791199900E+006, +1.35222745047E-001, +0.00000000000E+000
+4.95791293650E+006, +1.35201321481E-001, +0.00000000000E+000
+4.95791387400E+006, +1.35203299883E-001, +0.00000000000E+000
+4.95791481150E+006, +1.35198987012E-001, +0.00000000000E+000
+4.95791574900E+006, +1.35190223453E-001, +0.00000000000E+000
+4.95791668650E+006, +1.35183626856E-001, +0.00000000000E+000
+4.95791762400E+006, +1.35177708428E-001, +0.00000000000E+000
+4.95791856150E+006, +1.35173284226E-001, +0.00000000000E+000
+4.95791949900E+006, +1.35161380266E-001, +0.00000000000E+000
+4.95792043650E+006, +1.35164074751E-001, +0.00000000000E+000
+4.95792137400E+006, +1.35160140290E-001, +0.00000000000E+000
+4.95792231150E+006, +1.35150253686E-001, +0.00000000000E+000
+4.95792324900E+006, +1.35137081745E-001, +0.00000000000E+000
+4.95792418650E+006, +1.35137414878E-001, +0.00000000000E+000
+4.95792512400E+006, +1.35130549385E-001, +0.00000000000E+000
+4.95792606150E+006, +1.35129007571E-001, +0.00000000000E+000
+4.95792699900E+006, +1.35129044794E-001, +0.00000000000E+000
+4.95792793650E+006, +1.35127596299E-001, +0.00000000000E+000
+4.95792887400E+006, +1.35116272936E-001, +0.00000000000E+000
+4.95792981150E+006, +1.35111262103E-001, +0.00000000000E+000
+4.95793074900E+006, +1.35101530608E-001, +0.00000000000E+000
+4.95793168650E+006, +1.35095642562E-001, +0.00000000000E+000
+4.95793262400E+006, +1.35092407844E-001, +0.00000000000E+000
