"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.95769074900E+006, -2.25682472422E+001, +0.00000000000E+000
+4.95769168650E+006, -2.24969635680E+001, +0.00000000000E+000
+4.95769262400E+006, -2.25387736500E+001, +0.00000000000E+000
+4.95769356150E+006, -2.25648168420E+001, +0.00000000000E+000
+4.95769449900E+006, -2.25942588546E+001, +0.00000000000E+000
+4.95769543650E+006, -2.26223966329E+001, +0.00000000000E+000
+4.95769637400E+006, -2.26520194284E+001, +0.00000000000E+000
+4.95769731150E+006, -2.26823447447E+001, +0.00000000000E+000
+4.95769824900E+006, -2.27092929424E+001, +0.00000000000E+000
+4.95769918650E+006, -2.27393568605E+001, +0.00000000000E+000
+4.95770012400E+006, -2.27691616561E+001, +0.00000000000E+000
+4.95770106150E+006, -2.27983987077E+001, +0.00000000000E+000
+4.95770199900E+006, -2.28275188158E+001, +0.00000000000E+000
+4.95770293650E+006, -2.28559159897E+001, +0.00000000000E+000
+4.95770387400E+006, -2.28861340328E+001, +0.00000000000E+000
+4.95770481150E+006, -2.29156678161E+001, +0.00000000000E+000
+4.95770574900E+006, -2.29458561492E+001, +0.00000000000E+000
+4.95770668650E+006, -2.29754828099E+001, +0.00000000000E+000
+4.95770762400E+006, -2.30046769434E+001, +0.00000000000E+000
+4.95770856150E+006, -2.30334385349E+001, +0.00000000000E+000
+4.95770949900E+006, -2.30643886033E+001, +0.00000000000E+000
+4.95771043650E+006, -2.30948418296E+001, +0.00000000000E+000
+4.95771137400E+006, -2.31228437903E+001, +0.00000000000E+000
+4.95771231150E+006, -2.31562284158E+001, +0.00000000000E+000
+4.95771324900E+006, -2.31847302155E+001, +0.00000000000E+000
+4.95771418650E+006, -2.32148981900E+001, +0.00000000000E+000
+4.95771512400E+006, -2.32459166320E+001, +0.00000000000E+000
+4.95771606150E+006, -2.32746515173E+001, +0.00000000000E+000
+4.95771699900E+006, -2.33083327311E+001, +0.00000000000E+000
+4.95771793650E+006, -2.33390340631E+001, +0.00000000000E+000
+4.95771887400E+006, -2.33695361702E+001, +0.00000000000E+000
+4.95771981150E+006, -2.34022869264E+001, +0.00000000000E+000
+4.95772074900E+006, -2.34335855551E+001, +0.00000000000E+000
+4.95772168650E+006, -2.34635809814E+001, +0.00000000000E+000
+4.95772262400E+006, -2.34945475714E+001, +0.00000000000E+000
+4.95772356150E+006, -2.35268841090E+001, +0.00000000000E+000
+4.95772449900E+006, -2.35567918803E+001, +0.00000000000E+000
+4.95772543650E+006, -2.35896739031E+001, +0.00000000000E+000
