"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.95407199900E+006, +2.71071893905E-001, +0.00000000000E+000
+4.95407293650E+006, +2.71175565741E-001, +0.00000000000E+000
+4.95407387400E+006, +2.71239244264E-001, +0.00000000000E+000
+4.95407481150E+006, +2.71213601560E-001, +0.00000000000E+000
+4.95407574900E+006, +2.71195401230E-001, +0.00000000000E+000
+4.95407668650E+006, +2.71171664283E-001, +0.00000000000E+000
+4.95407762400E+006, +2.71150157900E-001, +0.00000000000E+000
+4.95407856150E+006, +2.71179152724E-001, +0.00000000000E+000
+4.95407949900E+006, +2.71170223762E-001, +0.00000000000E+000
+4.95408043650E+006, +2.71177026612E-001, +0.00000000000E+000
+4.95408137400E+006, +2.71168759955E-001, +0.00000000000E+000
+4.95408231150E+006, +2.71156013090E-001, +0.00000000000E+000
+4.95408324900E+006, +2.71156173794E-001, +0.00000000000E+000
+4.95408418650E+006, +2.71150106699E-001, +0.00000000000E+000
+4.95408512400E+006, +2.71131192497E-001, +0.00000000000E+000
+4.95408606150E+006, +2.71117541268E-001, +0.00000000000E+000
+4.95408699900E+006, +2.71116062001E-001, +0.00000000000E+000
+4.95408793650E+006, +2.71087932545E-001, +0.00000000000E+000
+4.95408887400E+006, +2.71119786585E-001, +0.00000000000E+000
+4.95408981150E+006, +2.71078484669E-001, +0.00000000000E+000
+4.95409074900E+006, +2.71085627618E-001, +0.00000000000E+000
+4.95409168650E+006, +2.71062548105E-001, +0.00000000000E+000
+4.95409262400E+006, +2.71045859920E-001, +0.00000000000E+000
+4.95409356150E+006, +2.71048396053E-001, +0.00000000000E+000
+4.95409449900E+006, +2.71040467626E-001, +0.00000000000E+000
+4.95409543650E+006, +2.71058567087E-001, +0.00000000000E+000
+4.95409637400E+006, +2.71051113047E-001, +0.00000000000E+000
+4.95409731150E+006, +2.71032440535E-001, +0.00000000000E+000
+4.95409824900E+006, +2.71026128647E-001, +0.00000000000E+000
+4.95409918650E+006, +2.71013627024E-001, +0.00000000000E+000
+4.95410012400E+006, +2.71003125875E-001, +0.00000000000E+000
+4.95410106150E+006, +2.70998852435E-001, +0.00000000000E+000
+4.95410199900E+006, +2.70982251419E-001, +0.00000000000E+000
+4.95410293650E+006, +2.70978330591E-001, +0.00000000000E+000
+4.95410387400E+006, +2.70956802574E-001, +0.00000000000E+000
+4.95410481150E+006, +2.70942555137E-001, +0.00000000000E+000
+4.95410574900E+006, +2.70942152939E-001, +0.00000000000E+000
+4.95410668650E+006, +2.70939648983E-001, +0.00000000000E+000
+4.95410762400E+006, +2.70932456503E-001, +0.00000000000E+000
+4.95410856150E+006, +2.70919187111E-001, +0.00000000000E+000
+4.95410949900E+006, +2.70891352190E-001, +0.00000000000E+000
+4.95411043650E+006, +2.70887486057E-001, +0.00000000000E+000
+4.95411137400E+006, +2.70882327376E-001, +0.00000000000E+000
+4.95411231150E+006, +2.70864968367E-001, +0.00000000000E+000
+4.95411324900E+006, +2.70850341933E-001, +0.00000000000E+000
+4.95411418650E+006, +2.70831914380E-001, +0.00000000000E+000
+4.95411512400E+006, +2.70797249380E-001, +0.00000000000E+000
+4.95411606150E+006, +2.70789442737E-001, +0.00000000000E+000
+4.95411699900E+006, +2.70791614844E-001, +0.00000000000E+000
+4.95411793650E+006, +2.70772763526E-001, +0.00000000000E+000
+4.95411887400E+006, +2.70746710330E-001, +0.00000000000E+000
+4.95411981150E+006, +2.70746767267E-001, +0.00000000000E+000
+4.95412074900E+006, +2.70747829865E-001, +0.00000000000E+000
+4.95412168650E+006, +2.70739754870E-001, +0.00000000000E+000
+4.95412262400E+006, +2.70741813657E-001, +0.00000000000E+000
+4.95412356150E+006, +2.70702745665E-001, +0.00000000000E+000
+4.95412449900E+006, +2.70694348044E-001, +0.00000000000E+000
+4.95412543650E+006, +2.70687522344E-001, +0.00000000000E+000
+4.95412637400E+006, +2.70703374126E-001, +0.00000000000E+000
+4.95412731150E+006, +2.70676611830E-001, +0.00000000000E+000
+4.95412824900E+006, +2.70662688535E-001, +0.00000000000E+000
+4.95412918650E+006, +2.70668223500E-001, +0.00000000000E+000
+4.95413012400E+006, +2.70662391388E-001, +0.00000000000E+000
+4.95413106150E+006, +2.70640800656E-001, +0.00000000000E+000
+4.95413199900E+006, +2.70622874140E-001, +0.00000000000E+000
+4.95413293650E+006, +2.70642667491E-001, +0.00000000000E+000
+4.95413387400E+006, +2.70620900388E-001, +0.00000000000E+000
+4.95413481150E+006, +2.70591513018E-001, +0.00000000000E+000
+4.95413574900E+006, +2.70592959600E-001, +0.00000000000E+000
+4.95413668650E+006, +2.70580625894E-001, +0.00000000000E+000
+4.95413762400E+006, +2.70556425563E-001, +0.00000000000E+000
+4.95413856150E+006, +2.70531601952E-001, +0.00000000000E+000
+4.95413949900E+006, +2.70525962609E-001, +0.00000000000E+000
+4.95414043650E+006, +2.70524574320E-001, +0.00000000000E+000
+4.95414137400E+006, +2.70521787669E-001, +0.00000000000E+000
+4.95414231150E+006, +2.70521467858E-001, +0.00000000000E+000
+4.95414324900E+006, +2.70507772863E-001, +0.00000000000E+000
+4.95414418650E+006, +2.70508434858E-001, +0.00000000000E+000
+4.95414512400E+006, +2.70516383333E-001, +0.00000000000E+000
+4.95414606150E+006, +2.70499449905E-001, +0.00000000000E+000
+4.95414699900E+006, +2.70475759591E-001, +0.00000000000E+000
+4.95414793650E+006, +2.70447887271E-001, +0.00000000000E+000
+4.95414887400E+006, +2.70420622565E-001, +0.00000000000E+000
+4.95414981150E+006, +2.70416383383E-001, +0.00000000000E+000
+4.95415074900E+006, +2.70402596744E-001, +0.00000000000E+000
+4.95415168650E+006, +2.70392976108E-001, +0.00000000000E+000
+4.95415262400E+006, +2.70374567743E-001, +0.00000000000E+000
+4.95415356150E+006, +2.70357644107E-001, +0.00000000000E+000
+4.95415449900E+006, +2.70348140475E-001, +0.00000000000E+000
+4.95415543650E+006, +2.70331868563E-001, +0.00000000000E+000
+4.95415637400E+006, +2.70309506044E-001, +0.00000000000E+000
+4.95415731150E+006, +2.70293759230E-001, +0.00000000000E+000
+4.95415824900E+006, +2.70303545891E-001, +0.00000000000E+000
+4.95415918650E+006, +2.70307734747E-001, +0.00000000000E+000
+4.95416012400E+006, +2.70302757616E-001, +0.00000000000E+000
+4.95416106150E+006, +2.70280740773E-001, +0.00000000000E+000
+4.95416199900E+006, +2.70260565774E-001, +0.00000000000E+000
+4.95416293650E+006, +2.70253917648E-001, +0.00000000000E+000
+4.95416387400E+006, +2.70231517678E-001, +0.00000000000E+000
+4.95416481150E+006, +2.70238671945E-001, +0.00000000000E+000
+4.95416574900E+006, +2.70240951378E-001, +0.00000000000E+000
+4.95416668650E+006, +2.70221056828E-001, +0.00000000000E+000
+4.95416762400E+006, +2.70201141969E-001, +0.00000000000E+000
+4.95416856150E+006, +2.70182965003E-001, +0.00000000000E+000
+4.95416949900E+006, +2.70178430260E-001, +0.00000000000E+000
+4.95417043650E+006, +2.70174074613E-001, +0.00000000000E+000
+4.95417137400E+006, +2.70159978442E-001, +0.00000000000E+000
+4.95417231150E+006, +2.70158849525E-001, +0.00000000000E+000
+4.95417324900E+006, +2.70166163702E-001, +0.00000000000E+000
+4.95417418650E+006, +2.70148236927E-001, +0.00000000000E+000
+4.95417512400E+006, +2.70136259354E-001, +0.00000000000E+000
+4.95417606150E+006, +2.70147962955E-001, +0.00000000000E+000
+4.95417699900E+006, +2.70133599879E-001, +0.00000000000E+000
+4.95417793650E+006, +2.70116026639E-001, +0.00000000000E+000
+4.95417887400E+006, +2.70115279826E-001, +0.00000000000E+000
+4.95417981150E+006, +2.70109529038E-001, +0.00000000000E+000
+4.95418074900E+006, +2.70100430116E-001, +0.00000000000E+000
+4.95418168650E+006, +2.70097527376E-001, +0.00000000000E+000
+4.95418262400E+006, +2.70098048429E-001, +0.00000000000E+000
+4.95418356150E+006, +2.70072608041E-001, +0.00000000000E+000
+4.95418449900E+006, +2.70069070152E-001, +0.00000000000E+000
+4.95418543650E+006, +2.70033355077E-001, +0.00000000000E+000
+4.95418637400E+006, +2.70033713519E-001, +0.00000000000E+000
+4.95418731150E+006, +2.70029022535E-001, +0.00000000000E+000
+4.95418824900E+006, +2.70001705589E-001, +0.00000000000E+000
+4.95418918650E+006, +2.70022914074E-001, +0.00000000000E+000
+4.95419012400E+006, +2.69995380917E-001, +0.00000000000E+000
+4.95419106150E+006, +2.69987966282E-001, +0.00000000000E+000
+4.95419199900E+006, +2.69965665087E-001, +0.00000000000E+000
+4.95419293650E+006, +2.69945956854E-001, +0.00000000000E+000
+4.95419387400E+006, +2.69945919748E-001, +0.00000000000E+000
+4.95419481150E+006, +2.69931406474E-001, +0.00000000000E+000
+4.95419574900E+006, +2.69914026411E-001, +0.00000000000E+000
+4.95419668650E+006, +2.69903193438E-001, +0.00000000000E+000
+4.95419762400E+006, +2.69892027781E-001, +0.00000000000E+000
+4.95419856150E+006, +2.69883241425E-001, +0.00000000000E+000
+4.95419949900E+006, +2.69838590231E-001, +0.00000000000E+000
+4.95420043650E+006, +2.69849932279E-001, +0.00000000000E+000
+4.95420137400E+006, +2.69871837863E-001, +0.00000000000E+000
+4.95420231150E+006, +2.69854415831E-001, +0.00000000000E+000
+4.95420324900E+006, +2.69875972256E-001, +0.00000000000E+000
+4.95420418650E+006, +2.69854923142E-001, +0.00000000000E+000
+4.95420512400E+006, +2.69839526764E-001, +0.00000000000E+000
+4.95420606150E+006, +2.69847946480E-001, +0.00000000000E+000
+4.95420699900E+006, +2.69819679584E-001, +0.00000000000E+000
+4.95420793650E+006, +2.69817441725E-001, +0.00000000000E+000
+4.95420887400E+006, +2.69806357266E-001, +0.00000000000E+000
+4.95420981150E+006, +2.69782098012E-001, +0.00000000000E+000
+4.95421074900E+006, +2.69777435427E-001, +0.00000000000E+000
